DateTime,AddedIPs,RemovedIPs
1575126740,2,5
1575130362,7,9
1575133984,3,7
1575137562,6,3
1575141157,5,6
1575144803,5,5
1575148366,6,4
1575151973,6,3
1575155557,2,4
1575159441,23,5
1575162974,17,2
1575166373,10,3
1575169954,8,14
1575173601,5,3
1575177155,2,5
1575180772,2,10
1575184383,1,5
1575187971,1,14
1575191589,8,4
1575195157,8,4
1575198799,3,2
1575202339,4,1
1575205965,3,6
1575209557,3,9
1575213191,12,5
1575216746,6,6
1575220356,10,2
1575223964,2,3
1575227611,2,9
1575231144,6,4
1575234788,4,4
1575238376,5,3
1575241977,7,3
1575245554,11,8
1575249183,22,5
1575252729,6,8
1575256362,7,20
1575259896,6,28
1575263556,12,3
1575267094,4,5
1575270733,2,5
1575274326,6,5
1575277938,10,9
1575281510,8,6
1575285136,5,6
1575288716,5,5
1575292334,6,7
1575295909,7,6
1575299562,6,6
1575303122,9,5
1575306753,3,10
1575310302,4,11
1575313924,9,7
1575317539,11,5
1575321116,7,6
1575324759,5,7
1575328314,3,10
1575331965,6,3
1575335509,15,10
1575339162,13,4
1575342716,4,13
1575346378,8,38
1575349971,3,5
1575353569,6,7
1575357181,7,5
1575360753,9,7
1575364359,12,6
1575367941,7,5
1575371565,4,7
1575375134,4,8
1575378767,4,6
1575382349,4,3
1575385964,8,4
1575389537,5,9
1575393175,8,6
1575396772,9,5
1575400362,5,5
1575403951,2,6
1575407582,6,5
1575411168,3,14
1575414758,15,6
1575418319,12,4
1575421979,15,6
1575425530,6,6
1575429122,7,11
1575432728,7,21
1575436342,11,6
1575439912,6,6
1575443522,5,7
1575447115,5,5
1575450735,3,8
1575454303,5,7
1575457901,7,3
1575461525,6,6
1575465110,5,5
1575468731,5,4
1575472319,4,5
1575475948,2,7
1575479502,7,7
1575483099,7,3
1575486718,4,6
1575490331,6,3
1575493966,3,6
1575497513,4,4
1575501148,3,7
1575504750,8,6
1575508322,16,2
1575511973,10,5
1575515508,9,11
1575519134,6,31
1575522733,7,6
1575526339,15,6
1575529923,7,4
1575533537,6,8
1575537098,9,7
1575540762,13,7
1575544311,9,6
1575547946,7,4
1575551513,7,8
1575555165,5,12
1575558717,12,8
1575562349,11,5
1575565931,3,6
1575569543,4,7
1575573107,8,10
1575576759,5,6
1575580350,5,5
1575583937,6,7
1575587521,6,7
1575591167,21,2
1575594693,3,3
1575598328,5,6
1575601900,7,23
1575605525,6,17
1575609100,11,5
1575612719,4,13
1575616304,5,6
1575619928,7,8
1575623509,5,8
1575627122,8,6
1575630700,9,5
1575634330,6,6
1575637887,5,6
1575641507,7,5
1575645087,3,12
1575648736,8,4
1575652317,7,8
1575655918,2,5
1575659507,4,2
1575663135,3,3
1575666702,7,5
1575670326,6,9
1575673900,6,5
1575677572,15,5
1575681181,20,8
1575684723,14,3
1575688335,4,7
1575691922,10,12
1575695523,7,9
1575699099,6,7
1575702695,2,6
1575706345,3,5
1575709910,3,6
1575713534,7,6
1575717120,9,9
1575720735,10,4
1575724345,12,6
1575727919,5,3
1575731534,10,11
1575735147,9,9
1575738722,8,11
1575742331,6,9
1575745899,7,9
1575749525,4,2
1575753158,8,3
1575756682,7,9
1575760346,6,10
1575763955,13,4
1575767589,7,10
1575771372,9,11
1575774704,6,13
1575778331,10,7
1575781916,9,3
1575785537,7,13
1575789108,7,10
1575792706,3,5
1575796326,7,6
1575799911,4,3
1575803514,4,6
1575807097,7,7
1575810764,5,7
1575814323,4,7
1575817948,3,3
1575821504,13,8
1575825135,5,6
1575828719,6,2
1575832316,6,10
1575835957,2,10
1575839522,5,2
1575843122,1,5
1575846693,4,2
1575850325,13,1
1575853900,30,6
1575857537,12,1
1575861131,10,11
1575864746,3,21
1575868301,7,8
1575871907,13,11
1575875520,13,8
1575879109,7,3
1575882703,7,3
1575886339,4,8
1575889900,8,20
1575893510,12,7
1575897155,4,10
1575900674,15,3
1575904314,5,8
1575907927,9,5
1575911506,10,6
1575915104,6,11
1575918711,10,8
1575922322,9,6
1575925913,8,8
1575929522,11,10
1575933102,7,7
1575936773,29,7
1575940296,4,18
1575943909,5,14
1575947517,10,37
1575951129,5,5
1575954716,3,3
1575958304,6,6
1575961916,6,8
1575965501,3,7
1575969086,9,5
1575972725,9,7
1575976328,2,5
1575979913,6,6
1575983505,6,8
1575987096,9,7
1575990715,6,7
1575994296,5,5
1575997930,2,8
1576001523,5,6
1576005114,5,4
1576008722,4,17
1576012292,17,5
1576015914,9,4
1576019495,7,4
1576023152,8,3
1576026736,18,5
1576030310,5,5
1576033939,4,7
1576037544,7,10
1576041124,4,5
1576044712,6,11
1576048323,5,4
1576051916,6,6
1576055508,5,8
1576059109,9,3
1576062748,4,5
1576066319,4,8
1576069923,7,5
1576073543,9,11
1576077113,11,1
1576080718,3,9
1576084335,11,9
1576087927,2,8
1576091510,8,6
1576095123,5,6
1576098746,7,3
1576102326,5,6
1576105900,4,5
1576109586,22,6
1576113112,3,8
1576116733,12,4
1576120309,5,25
1576123900,5,8
1576127510,4,9
1576131100,4,7
1576134707,8,3
1576138328,5,4
1576141928,6,8
1576145515,7,4
1576149098,6,3
1576152748,4,11
1576156294,6,3
1576159918,5,2
1576163512,5,5
1576167120,2,5
1576170698,4,7
1576174327,6,10
1576177895,8,4
1576181495,4,2
1576185109,2,4
1576188727,3,3
1576192341,4,1
1576195916,6,5
1576199564,27,3
1576203100,4,4
1576206735,4,5
1576210321,7,22
1576213935,7,5
1576217508,7,10
1576221117,9,6
1576224701,4,4
1576228323,5,4
1576231901,7,6
1576235510,5,6
1576239150,4,6
1576242713,6,6
1576246311,4,15
1576249967,6,9
1576253498,13,4
1576257135,5,5
1576260721,4,7
1576264323,5,2
1576267944,2,7
1576271513,8,4
1576275088,11,3
1576278716,4,6
1576282353,26,5
1576285891,6,3
1576289510,3,10
1576293104,3,20
1576296720,5,27
1576300295,4,2
1576303892,3,7
1576307517,4,3
1576311117,7,3
1576314698,1,5
1576318353,5,5
1576321910,1,10
1576325528,10,2
1576329077,8,1
1576332746,3,4
1576336375,6,1
1576339898,2,5
1576343538,5,11
1576347110,4,8
1576350693,9,5
1576354284,4,5
1576357895,8,9
1576361534,10,7
1576365097,8,8
1576368729,7,3
1576372317,17,5
1576375933,6,6
1576379501,6,17
1576383136,3,20
1576386787,3,5
1576390351,2,4
1576393958,6,6
1576397515,7,2
1576401155,1,2
1576404729,4,1
1576408350,4,3
1576411927,1,10
1576415550,7,3
1576419136,5,6
1576422756,3,7
1576426336,10,5
1576429969,3,7
1576433562,7,5
1576437171,5,3
1576440755,4,1
1576444342,3,6
1576447930,2,5
1576451541,4,6
1576455177,16,8
1576462381,29,3
1576465886,5,1
1576469505,6,14
1576473087,8,17
1576476701,4,7
1576480290,4,6
1576483920,5,4
1576487519,8,6
1576491089,6,7
1576494685,8,5
1576498393,5,5
1576501899,2,5
1576505516,5,3
1576509085,6,8
1576512732,9,5
1576516294,5,5
1576519895,2,4
1576523505,5,2
1576527093,4,5
1576530687,6,3
1576534336,1,4
1576537931,3,4
1576541511,8,2
1576545156,26,8
1576548708,10,3
1576552361,6,11
1576555948,5,18
1576559548,7,7
1576563179,7,2
1576566741,3,4
1576570358,9,6
1576573923,3,8
1576577574,7,8
1576581134,5,6
1576584757,7,6
1576588370,8,5
1576591983,2,4
1576595550,6,3
1576599163,4,9
1576602724,6,7
1576606352,5,4
1576609962,5,10
1576613558,4,3
1576617395,10,3
1576620748,4,2
1576624372,1,4
1576628040,32,2
1576631573,5,15
1576635199,15,7
1576638721,8,26
1576642332,6,13
1576645945,7,5
1576649574,3,6
1576653143,7,10
1576656772,5,6
1576660347,7,7
1576663945,2,7
1576667542,5,11
1576671168,5,5
1576674752,8,5
1576678353,13,4
1576681923,7,8
1576685577,9,2
1576689151,2,7
1576692753,6,4
1576696328,4,5
1576699961,8,10
1576703538,6,7
1576707142,3,6
1576710777,7,5
1576714340,12,12
1576717997,19,6
1576721574,8,6
1576725191,9,11
1576728729,4,30
1576732344,9,5
1576735964,4,4
1576739549,2,9
1576743148,4,7
1576746737,7,10
1576750353,12,2
1576753970,3,2
1576757545,5,3
1576761185,5,6
1576764751,5,9
1576768370,7,3
1576771946,2,2
1576775560,4,6
1576779143,4,5
1576782761,1,13
1576786346,9,2
1576789924,8,6
1576793562,5,4
1576797133,4,2
1576800775,15,5
1576804715,14,5
1576807962,4,4
1576811581,5,6
1576815224,4,13
1576818883,7,13
1576822346,4,5
1576825992,7,3
1576829541,5,9
1576833171,7,7
1576836749,7,10
1576840378,10,8
1576843953,11,4
1576847568,12,6
1576851175,5,4
1576854757,4,6
1576858346,5,4
1576861977,4,7
1576865528,5,11
1576869152,3,8
1576872728,12,3
1576876369,4,4
1576879942,4,1
1576883558,1,4
1576887122,10,1
1576890813,15,4
1576894373,19,4
1576897956,7,4
1576901546,3,27
1576905157,9,7
1576908722,4,13
1576912320,3,10
1576915914,9,4
1576919545,10,8
1576923131,4,3
1576926763,12,7
