DateTime,AddedIPs,RemovedIPs
1574525207,0,1
1574528797,3,0
1574550397,0,1
1574554001,1,0
1574557601,1,4
1574561195,4,0
1574564795,1,2
1574568401,1,3
1574572001,3,2
1574575586,4,5
1574579195,7,4
1574582800,5,0
1574586396,1,0
1574589993,0,1
1574593590,1,0
1574600792,0,1
1574604391,0,6
1574607990,7,1
1574615192,1,0
1574622395,0,1
1574625993,0,1
1574629599,0,8
1574633193,7,0
1574636786,0,5
1574640377,7,1
1574644015,11,0
1574647592,2,2
1574651208,5,1
1574654805,4,5
1574658395,9,0
1574662004,0,2
1574665604,1,3
1574669197,3,0
1574672811,1,8
1574676403,2,2
1574679989,3,5
1574683605,7,4
1574687194,5,0
1574690817,3,1
1574697991,0,1
1574701597,0,4
1574705208,1,6
1574708803,2,1
1574712408,2,2
1574716008,5,1
1574719604,2,5
1574723201,4,3
1574726829,3,0
1574730393,4,3
1574733994,0,5
1574737586,4,15
1574741195,0,15
1574744793,2,2
1574748393,2,1
1574751981,4,3
1574755602,1,0
1574759192,1,1
1574762789,1,2
1574766414,3,5
1574770002,2,1
1574773581,5,1
1574780802,1,0
1574788002,1,0
1574806002,0,3
1574809602,1,2
1574816798,4,0
1574867194,0,1
1574870796,1,4
1574874405,1,0
1574878011,0,1
1574881610,3,0
1574885194,0,2
1574888800,1,2
1574892400,2,0
1574896003,0,1
1574899636,12,0
1574903212,9,0
1574906799,1,0
1574910407,2,1
1574914014,4,1
1574917609,1,11
1574921207,6,2
1574924812,2,1
1574928415,0,2
1574932007,2,3
1574935607,1,3
1574939204,0,8
1574942810,2,0
1574946400,1,11
1574950024,8,0
1574953613,6,0
1574957216,4,0
1574964392,0,3
1574968010,1,3
1574971609,0,5
1574975217,5,1
1574978819,1,0
1574985999,5,0
1574989608,1,1
1574993209,3,2
1574996812,2,0
1575000401,1,9
1575004014,4,5
1575007614,2,4
1575011216,3,2
1575014801,6,1
1575018407,0,3
1575022012,1,1
1575025616,3,2
1575029200,2,9
1575032818,1,1
1575036406,9,5
1575040010,8,0
1575050810,1,1
1575054400,0,7
1575058012,5,4
1575061609,3,2
1575065232,3,3
1575068823,2,1
1575072436,8,5
1575076013,3,4
1575079617,2,1
1575083210,2,4
1575086815,1,20
1575090422,0,2
1575094014,1,0
1575097598,1,1
1575101206,1,1
1575108420,0,1
1575115612,0,1
1575126400,0,2
1575130013,1,1
1575140807,2,2
1575144426,1,1
1575148013,2,0
1575158799,4,0
1575162433,15,0
1575166013,5,1
1575169610,2,0
1575180415,0,6
1575184020,0,1
1575187618,0,6
1575191217,0,1
1575194819,4,2
1575198417,1,0
1575202012,2,0
1575205613,1,0
1575209224,1,5
1575212837,5,1
1575216406,0,1
1575220013,2,0
1575227229,0,3
1575230814,1,0
1575234421,0,2
1575238022,3,1
1575241613,2,0
1575245220,0,1
1575248822,0,3
1575252412,4,1
1575256013,2,7
1575259605,3,3
1575263212,7,0
1575266799,1,3
1575270400,0,1
1575274000,2,2
1575277610,4,4
1575281208,2,2
1575284807,1,2
1575288408,1,1
1575292016,2,3
1575295604,2,1
1575299213,1,2
1575302806,3,1
1575306410,0,4
1575310002,0,3
1575313598,4,1
1575317205,5,2
1575320781,3,1
1575324417,1,0
1575328005,2,2
1575331625,0,1
1575335192,0,5
1575338802,6,1
1575342400,0,7
1575346002,0,16
1575353208,1,2
1575360397,0,2
