DateTime,AddedIPs,RemovedIPs
1556791399,0,1
1556794999,1,0
1556798596,1,0
1556802210,0,1
1556805799,0,1
1556809409,1,0
1556813007,1,1
1556816603,0,1
1556820211,1,0
1556823801,0,1
1556838209,1,1
1556841792,1,0
1556845406,1,1
1556849000,1,1
1556852602,1,1
1556856207,1,1
1556859794,1,1
1556863390,1,1
1556866996,1,1
1556870588,0,1
1556874195,1,0
1556877793,1,1
1556881388,1,1
1556884997,0,1
1556888584,1,0
1556892202,0,1
1556895783,1,1
1556899388,1,1
1556906597,1,1
1556910200,0,1
1556917389,0,1
1556920991,1,0
1556928200,1,1
1556931802,1,0
1556938992,1,1
1556942592,1,1
1556949802,0,1
1556953399,0,1
1556964202,1,0
1556975003,1,0
1556978604,1,0
1556982197,1,1
1556985794,1,1
1556989392,0,1
1556993003,1,1
1556996589,0,1
1557003793,0,1
1557014583,1,0
1557021799,1,0
1557032593,1,1
1557043378,0,1
1557057788,0,1
1557061400,1,0
1557065000,0,1
1557068595,2,0
1557072198,0,1
1557075803,1,0
1557082997,0,1
1557119005,1,1
1557122603,1,0
1557126208,1,0
1557129799,1,1
1557133408,0,1
1557137014,1,1
1557140612,1,1
1557147812,1,1
1557151405,1,1
1557158613,0,1
1557162204,1,1
1557165796,1,0
1557169399,1,0
1557172991,0,1
1557176594,0,1
1557180187,0,1
1557183803,1,0
1557190994,1,0
1557194600,0,1
1557198199,1,0
1557201793,1,1
1557205391,0,1
1557216194,0,1
1557219797,0,1
1557345805,1,0
1557374606,1,0
1557590617,0,1
1557623015,1,0
1557731005,0,1
1557975808,1,0
1557997398,0,1
1558040598,1,0
1558044196,1,0
1558054993,0,1
1558083792,1,0
1558090993,1,0
1558101800,0,1
1558199001,1,0
1558209803,0,1
1558321419,1,0
1558332217,0,1
1558375409,0,1
1558580597,1,0
1558591389,0,2
1558594990,1,0
1558926195,1,0
1558936999,0,1
1559185404,1,0
1559196207,0,1
1559225004,1,0
1559239411,0,1
1559534583,1,0
1559545389,0,1
1559793810,1,0
1559804594,0,1
1560186200,0,1
1560189795,1,0
1560251002,0,1
1560258203,1,0
1560276194,0,1
1560528197,1,0
1560542588,0,1
1562187797,1,0
1563077006,1,0
1563091404,0,1
1563408193,1,0
1563433399,0,1
1563581003,1,0
1563591789,0,1
1563800613,4,0
1563915798,2,0
1563930206,0,2
1563994990,1,0
1564149789,1,0
1564164197,0,1
1564182196,0,1
1565607838,1,0
1565618620,1,0
1565629423,0,1
1565690618,1,0
1565694214,1,0
1565697815,1,0
1565755417,0,1
1566302604,8,0
1566389000,0,3
1566392604,0,5
1566900190,0,4
1566903795,6,0
1566907415,2,0
1567004588,0,1
1567011800,0,1
1567015396,0,2
1567206215,0,1
1567209794,1,0
1567357412,0,1
1567364600,1,0
1567609411,0,3
1567613008,0,8
1567753403,0,1
1568044996,1,0
1568736224,1,0
1569593012,3,0
1569787428,4,0
1569798223,0,21
1569841430,2,0
1569877407,3,0
1569891797,0,3
1569960213,2,0
1569963807,17,0
1569974577,0,4
1570057429,3,0
1570071809,0,3
1570233797,3,0
1570248215,0,3
1570406620,3,0
1570421002,0,3
1570439018,1,0
1570446221,1,0
1570467815,0,1
1570622609,0,1
1570629813,1,0
1570759405,3,0
1570903420,0,3
1570907009,3,0
1570943003,0,3
1570946590,1,0
1571072615,0,1
1571076200,1,0
1572098610,0,3
1572102224,3,0
1573070605,4,0
1573081398,0,9
1573243414,9,0
1573257777,0,4
1573563821,0,1
1573567408,1,0
1573625024,0,1
1573632213,1,0
1573704221,0,1
1573707804,1,0
1573733017,0,1
1573736618,1,0
1573941796,21,0
1573945405,1,0
1573949005,1,0
1573967006,0,2
1573970595,2,0
1574003011,0,2
1574006592,1,0
1574013798,1,0
1574042624,0,1
1574046224,1,0
1574060613,0,2
1574064218,1,0
1574067817,1,0
1574100214,0,1
1574103804,1,0
1574143431,0,6
1574147018,0,1
1574154228,4,0
1574161440,2,0
1574175830,0,1
1574186622,1,0
1574201024,0,4
1574204622,4,2
1574208205,2,0
1574222628,0,1
1574226226,1,0
1574233431,0,4
1574240629,0,1
1574247829,5,0
1574262230,0,4
1574273030,4,0
1574276631,0,1
1574280235,1,0
1574298222,0,1
1574309034,0,1
1574319832,0,1
1574323438,1,0
1574327029,0,1
1574330639,1,0
1574337824,1,0
1574359424,0,6
1574363022,1,0
1574373826,1,0
1574377426,0,1
1574391833,1,0
1574395431,4,0
1574409829,0,1
1574417027,1,4
1574424228,4,0
1574427818,0,1
1574435027,1,0
1574453027,0,2
1574456615,1,1
1574463820,1,0
1574467394,0,1
1574478204,1,0
1574525017,0,1
1574528616,0,1
1574535819,1,0
1574543020,1,0
1574589816,0,1
1574597011,1,0
1574611409,0,1
1574615015,1,0
1574629423,0,1
1574633015,1,0
1574669015,0,1
1574672620,1,0
1574676214,0,1
1574679807,1,0
1574690631,0,1
1574694216,1,1
1574697810,1,0
1574719420,0,1
1574723014,1,0
1574741009,0,1
1574748210,0,2
1574755414,3,0
1574769819,0,1
1574784221,1,0
1574787817,1,0
1574802217,0,1
1574805818,1,0
1574813029,1,0
1574827414,0,1
1574834613,1,1
1574838211,1,0
1574877820,0,1
1574892215,0,1
1574895814,1,0
1574906616,1,0
1574917423,0,1
1574921024,0,1
1574924628,1,0
1574935423,0,1
1574939023,1,1
1574949834,1,0
1574960632,1,0
1574989421,0,2
1574993025,2,0
1575007432,0,1
1575025425,1,0
1575029015,0,1
1575039827,0,2
1575043422,3,0
1575068641,0,1
1575072216,1,0
1575097421,0,1
1575101029,0,1
1575104642,1,0
1575108232,1,0
1575119030,0,1
1575129832,1,0
1575151435,0,1
1575162236,0,1
1575173032,1,0
1575183839,0,1
1575187437,0,1
1575191028,2,0
1575205426,1,0
1575209042,0,1
1575216222,0,1
1575223425,1,0
1575230633,1,0
1575245005,0,2
1575248636,1,0
1575255830,1,0
1575270221,0,1
1575277416,1,0
1575281015,1,0
1575295419,0,1
1575299025,0,1
1575302627,2,0
1575306223,0,2
1575317016,1,0
1575324231,0,1
1575338620,0,1
1575360218,2,1
1575363821,1,0
1575389009,0,1
1575392619,1,0
1575410617,0,1
1575417798,1,0
1575450208,0,1
1575457409,1,0
1575464598,0,1
1575471814,1,0
1575475408,0,1
1575479010,1,0
1575486222,0,1
1575493425,1,0
1575500613,0,1
1575507808,1,0
1575518620,0,1
1575525815,1,0
1575551013,0,2
1575554615,2,0
1575565420,1,0
1575569011,0,1
1575572621,1,0
1575576220,0,1
1575605019,0,1
1575619414,0,1
1575623006,1,0
1575633815,1,0
1575637412,0,1
1575641022,1,0
1575666212,0,1
1575673420,1,0
1575680607,0,1
1575684212,1,0
1575698622,0,1
1575713012,0,2
1575716619,1,0
1575720218,2,0
1575738210,0,1
1575741822,0,1
1575745409,1,0
1575749011,1,0
1575756211,0,1
1575763408,2,0
1575795823,0,1
1575803022,1,0
1575831824,0,2
1575839026,1,0
1575849794,1,0
1575857015,0,1
1575860614,1,0
1575878608,0,2
1575893013,2,0
1575932617,0,1
1575936215,1,0
1575957816,0,2
1575968598,1,0
1575979415,0,1
1575983009,1,0
1575986613,1,0
1576008221,0,1
1576011812,1,0
1576033422,0,1
1576037024,1,0
1576080216,0,2
1576083826,2,0
1576091018,0,1
1576094619,1,0
1576123411,0,1
1576127022,0,1
1576137820,2,0
1576152226,0,2
1576155811,1,0
1576173824,1,0
1576177411,1,0
1576191828,0,1
1576195425,1,1
1576217010,0,1
1576220622,1,0
1576238619,0,1
1576242203,1,1
1576249413,1,0
1576281810,0,1
1576285409,0,1
1576292617,1,0
1576296216,1,0
1576310620,0,1
1576314206,0,1
1576317816,1,1
1576325019,2,0
1576339417,0,1
1576343009,0,2
1576346605,1,0
1576350205,2,0
1576361024,0,1
1576364610,1,0
1576368220,0,1
1576371807,1,0
1576382610,0,1
1576386220,0,1
1576393421,2,0
1576407822,0,1
1576411415,0,1
1576418612,1,0
1576429414,0,1
1576433025,1,0
1576436621,1,0
1576451018,0,1
1576454605,0,1
1576465409,1,0
1576476207,0,1
1576479809,0,1
1576483408,1,0
1576487008,1,0
1576490606,1,0
1576508604,0,1
1576512213,1,0
1576523012,0,1
1576526610,0,1
1576530199,2,0
1576555421,0,1
1576562619,1,0
1576566211,0,1
1576569825,1,0
1576595017,0,1
1576598624,1,1
1576602212,0,1
1576616605,2,0
1576620225,1,0
1576634632,0,1
1576638230,0,2
1576645429,1,0
1576652626,1,0
1576677838,0,2
1576681432,2,0
1576692230,0,1
1576695822,1,0
1576703033,0,2
1576706636,0,1
1576710241,2,0
1576713805,1,0
1576728232,0,1
1576731831,1,1
1576735430,0,1
1576742632,1,0
1576753433,0,1
1576757033,1,0
1576760630,0,1
1576767832,1,0
1576775025,1,1
1576782232,0,1
1576785829,1,0
1576789427,1,0
1576793038,0,1
1576800200,0,1
1576811034,2,0
1576872234,0,1
1576875829,1,2
1576879427,1,0
1576893827,1,0
1576915424,0,1
1576919014,1,0
1576926217,0,1
