DateTime,AddedIPs,RemovedIPs
1575126461,2,2
1575130071,3,3
1575133674,3,2
1575137267,1,2
1575140864,1,2
1575144488,2,3
1575148075,3,1
1575151681,2,1
1575155271,2,3
1575159100,1,3
1575162691,1,1
1575166079,3,2
1575169675,3,2
1575173278,3,1
1575176871,2,3
1575180477,2,3
1575184081,1,2
1575187679,0,3
1575191286,2,3
1575194877,3,1
1575198478,1,1
1575202073,1,1
1575205674,2,1
1575209285,1,2
1575212893,2,2
1575216467,3,2
1575220074,3,1
1575223656,1,2
1575227290,1,3
1575230875,1,2
1575234480,2,1
1575238083,1,1
1575241674,3,1
1575245277,1,3
1575248887,1,2
1575252465,1,1
1575256075,2,1
1575259657,1,1
1575263272,2,2
1575266847,2,1
1575270451,1,2
1575274058,2,1
1575277666,2,1
1575281255,2,2
1575284855,2,2
1575288465,1,2
1575292064,2,1
1575295653,3,3
1575299271,3,2
1575302865,3,3
1575306468,2,2
1575310051,2,3
1575313647,2,3
1575317257,3,2
1575320836,2,2
1575324476,2,1
1575328052,0,3
1575331678,1,1
1575335242,2,2
1575338857,2,1
1575342457,2,1
1575346063,3,2
1575349662,2,3
1575353269,2,2
1575356877,2,1
1575360458,2,2
1575364072,2,3
1575367659,2,2
1575371260,2,3
1575374851,2,2
1575378460,3,2
1575382060,2,1
1575385662,3,3
1575389240,2,2
1575392862,3,2
1575396468,1,2
1575400064,2,2
1575403660,2,2
1575407273,2,3
1575410867,3,2
1575414467,2,3
1575418059,2,2
1575421678,2,2
1575425273,2,2
1575428857,2,2
1575432458,1,3
1575436052,3,2
1575439654,2,2
1575443258,2,2
1575446838,3,1
1575450461,1,3
1575454041,3,3
1575457634,2,2
1575461247,3,2
1575464830,2,1
1575468463,2,2
1575472057,1,2
1575475658,1,3
1575479230,3,2
1575482844,2,2
1575486461,3,3
1575490053,3,2
1575493667,2,2
1575497245,1,3
1575500851,1,3
1575504480,2,1
1575508060,1,0
1575511667,2,2
1575515256,3,2
1575518863,2,2
1575522452,1,2
1575526053,2,0
1575529650,2,1
1575533271,3,3
1575536845,3,3
1575540462,2,2
1575544046,2,3
1575547663,3,2
1575551249,3,3
1575554866,3,3
1575558459,3,2
1575562071,3,3
1575565664,2,3
1575569249,2,3
1575572864,2,2
1575576463,1,2
1575580058,2,2
1575583660,2,2
1575587255,1,2
1575590876,2,1
1575594434,1,2
1575598043,2,1
1575601655,2,1
1575605266,2,2
1575608846,3,2
1575612433,2,2
1575616046,3,2
1575619642,2,3
1575623242,1,3
1575626850,2,3
1575630435,3,1
1575634057,3,2
1575637647,3,2
1575641243,3,2
1575644842,1,3
1575648456,2,2
1575652056,2,4
1575655629,1,2
1575659248,2,2
1575662852,1,1
1575666444,3,1
1575670052,2,3
1575673646,2,2
1575677274,2,1
1575680839,1,3
1575684442,3,2
1575688059,2,1
1575691649,3,2
1575695252,1,3
1575698852,2,2
1575702441,1,2
1575706057,1,2
1575709649,1,2
1575713250,2,1
1575716848,1,1
1575720451,1,2
1575724065,2,0
1575727650,2,2
1575731256,2,1
1575734842,3,2
1575738457,2,3
1575742067,1,1
1575745639,2,3
1575749244,1,1
1575752847,2,1
1575756430,2,2
1575760050,3,2
1575763672,1,2
1575767318,0,2
1575771096,3,2
1575774452,1,2
1575778057,2,2
1575781657,3,0
1575785253,2,2
1575788853,2,3
1575792450,2,1
1575796059,1,2
1575799651,2,2
1575803244,2,2
1575806830,2,1
1575810473,2,3
1575814053,3,3
1575817666,2,2
1575821247,3,2
1575824845,1,3
1575828447,3,2
1575832047,1,3
1575835673,1,2
1575839257,2,1
1575842864,1,2
1575846447,2,1
1575850032,1,1
1575853654,2,2
1575857260,1,0
1575860842,2,3
1575864466,1,2
1575868049,2,1
1575871654,2,2
1575875256,3,2
1575878846,3,2
1575882453,1,0
1575886058,2,3
1575889640,3,1
1575893242,2,2
1575896871,3,3
1575900432,3,3
1575904051,3,2
1575907665,2,3
1575911231,2,3
1575914842,1,1
1575918448,1,3
1575922048,2,1
1575925653,3,3
1575929263,3,2
1575932849,3,1
1575936480,1,3
1575940049,2,3
1575943644,1,1
1575947246,2,1
1575950847,3,2
1575954446,0,2
1575958044,3,3
1575961655,2,3
1575965244,1,2
1575968831,2,0
1575972457,3,3
1575976049,2,2
1575979640,3,3
1575983246,3,2
1575986840,3,2
1575990441,3,3
1575994036,2,3
1575997664,0,3
1576001269,1,1
1576004851,1,1
1576008466,1,2
1576012040,3,2
1576015649,2,2
1576019246,2,2
1576022869,1,1
1576026452,2,1
1576030038,2,1
1576033668,3,3
1576037260,3,1
1576040865,3,2
1576044453,2,3
1576048062,1,3
1576051639,2,3
1576055258,1,2
1576058844,2,1
1576062475,2,2
1576066056,2,2
1576069668,3,2
1576073268,4,2
1576076846,2,1
1576080455,2,3
1576084066,1,4
1576087648,1,3
1576091251,1,1
1576094848,3,1
1576098468,1,2
1576102062,2,2
1576105650,2,2
