DateTime,AddedIPs,RemovedIPs
1572484113,23,0
1572494941,0,20
1572505748,0,1
1572523717,1,0
1572534524,1,0
1572541740,0,1
1572545349,1,1
1572570608,2,0
1572574120,1,0
1572581328,2,14
1572584964,0,1
1572592120,0,1
1572624547,0,1
1572631698,2,0
1572653352,20,0
1572656920,1,0
1572660536,1,0
1572664163,0,24
1572667737,2,1
1572671312,0,1
1572674919,1,0
1572678559,0,1
1572685726,0,1
1572692945,1,0
1572696533,1,0
1572700127,0,1
1572710915,2,0
1572718151,0,1
1572721706,1,1
1572725321,1,1
1572728895,1,0
1572732537,0,1
1572739754,13,0
1572743313,0,1
1572746914,1,0
1572750500,1,15
1572754095,2,0
1572757728,0,1
1572761314,0,1
1572764906,1,3
1572775685,1,0
1572790105,1,1
1572797316,1,0
1572800933,0,1
1572804490,1,1
1572808105,0,1
1572811732,1,1
1572818906,1,1
1572829949,22,1
1572833372,1,1
1572836978,1,0
1572840520,0,2
1572851342,0,2
1572854938,1,0
1572862090,1,1
1572865751,1,1
1572872907,1,1
1572876536,0,1
1572880118,1,0
1572887345,1,1
1572890892,3,1
1572901723,0,1
1572908921,1,0
1572916163,24,1
1572919704,0,1
1572926918,0,26
1572930539,1,0
1572941314,0,1
1572962925,0,1
1572970140,1,0
1572973677,1,0
1573002501,10,0
1573013300,0,12
1573016958,1,1
1573060103,2,0
1573063684,1,0
1573074534,0,1
1573088903,14,0
1573099714,0,25
1573106912,1,0
1573117708,0,1
1573171911,14,0
1573175388,2,0
1573178910,1,2
1573182709,1,26
1573186106,0,1
1573189750,1,1
1573193374,0,1
1573200518,1,0
1573204149,1,0
1573207719,1,0
1573211333,0,1
1573218548,1,1
1573222115,0,1
1573236509,2,1
1573243736,1,0
1573247309,1,0
1573254506,0,1
1573258106,1,0
1573261730,9,1
1573268942,1,1
1573272509,2,11
1573279724,1,2
1573283333,2,1
1573297716,1,0
1573301342,0,2
1573304965,0,1
1573308525,2,0
1573312110,1,0
1573315736,0,1
1573326527,1,1
1573330125,1,0
1573333712,2,0
1573337328,0,2
1573344564,13,2
1573348110,1,0
1573351721,1,0
1573355300,0,16
1573358923,1,0
1573366103,1,1
1573373341,1,0
1573384125,1,0
1573391330,0,1
1573394913,1,0
1573398509,0,1
1573402129,1,0
1573405705,1,1
1573409327,0,1
1573416508,0,1
1573420127,1,3
1573434521,15,1
1573438144,1,0
1573445324,1,17
1573448967,1,0
1573452518,0,2
1573456153,2,0
1573459748,1,0
1573463358,0,1
1573466939,1,1
1573477731,1,0
1573481324,0,1
1573484941,1,0
1573492118,0,1
1573495722,0,1
1573499335,2,0
1573502917,2,0
1573513714,0,1
1573517319,1,1
1573521091,13,1
1573528132,0,1
1573531903,0,9
1573542522,1,0
1573603766,7,0
1573614542,0,14
1573618132,1,0
1573639704,0,1
1573693692,10,0
1573704521,0,19
1573715325,2,0
1573758534,1,0
1573780142,6,0
1573790948,0,13
1573823367,0,1
1573826950,1,0
1573863131,39,0
1573870123,0,1
1573873844,1,8
1573891756,1,0
1573913338,0,1
1573931347,1,0
1573934911,1,0
1573945737,0,1
1573952928,24,0
1573960121,0,1
1573963716,0,10
1573970891,1,0
1573981721,1,0
1573992512,0,1
1574039320,9,1
1574046546,1,0
1574050120,0,7
1574057356,0,1
1574060915,1,0
1574068131,1,0
1574071733,0,1
1574078910,1,0
1574086124,0,1
1574093326,0,1
1574104083,1,0
1574107750,1,0
1574114932,1,1
1574118560,1,0
1574125711,12,0
1574129328,1,0
1574132959,0,1
1574136539,0,38
1574140128,1,3
1574150934,0,1
1574176147,0,1
1574208536,1,0
1574212450,18,0
1574219466,0,1
1574222959,0,21
1574240959,0,1
1574266140,0,1
1574298541,11,0
1574309348,0,11
1574345353,1,1
1574348923,1,0
1574356156,0,1
1574384961,15,0
1574388539,0,1
1574395744,0,13
1574471333,12,0
1574474904,1,0
1574482108,0,17
1574557789,15,0
1574568523,0,11
1574644144,9,0
1574654912,0,16
1574698135,1,0
1574708920,0,1
1574726958,17,0
1574730503,1,0
1574734124,1,0
1574737706,0,13
1574741319,0,1
1574744911,1,0
1574752093,1,1
1574755743,1,0
1574759311,0,1
1574766550,0,1
1574770130,1,1
1574773695,1,0
1574784527,3,1
1574791704,1,1
1574795329,1,1
1574802536,1,1
1574813356,3,1
1574816905,1,0
1574820517,1,1
1574824115,0,8
1574827727,1,0
1574834940,0,1
1574842107,0,1
1574845715,1,0
1574852909,0,1
1574856502,0,1
1574860084,1,0
1574874534,1,0
1574878128,1,0
1574881716,0,1
1574885297,1,1
1574892514,1,1
1574899820,8,1
1574903528,1,1
1574910661,1,9
1574917723,1,0
1574932124,0,1
1574939336,1,0
1574942946,1,0
1574946528,0,1
1574953733,1,0
1574957340,0,1
1574964512,1,1
1574968134,1,1
1574971755,1,1
1574975374,0,1
1574986123,1,0
1574989758,21,0
1574993327,0,1
1574996936,0,1
1575000535,0,19
1575004146,0,1
1575007743,1,0
1575011348,1,0
1575018556,0,1
1575022138,1,0
1575047354,0,1
1575054528,1,0
1575072565,26,0
1575079747,0,1
1575083352,0,10
1575086937,0,1
1575133763,0,1
1575137341,1,0
1575159200,17,0
1575169748,0,7
1575248954,22,0
1575259717,0,22
1575335312,13,0
1575346144,0,26
1575356949,1,0
1575364143,1,0
1575407355,1,0
1575418109,0,1
1575421761,9,0
1575432526,0,10
1575504546,0,1
1575508133,7,0
1575518931,0,26
1575544121,2,0
1575554949,0,1
1575558522,1,0
1575569329,0,1
1575590957,19,0
1575601712,0,17
1575677350,1,0
1575680913,20,0
1575684518,5,0
1575688124,1,0
1575691722,5,10
1575695325,4,4
1575702504,0,1
1575716922,4,5
1575720532,5,0
1575724134,5,4
1575731325,4,5
1575734929,1,5
1575738524,4,4
1575742139,4,4
1575745700,1,1
1575749327,1,0
1575752921,4,1
1575756498,4,5
1575760135,0,4
1575763747,5,0
1575767393,5,5
1575771178,0,4
1575774519,2,0
1575778130,5,6
1575781721,4,0
1575785334,4,5
1575788924,4,5
1575792509,0,4
1575796136,5,4
1575803316,0,4
1575806898,4,4
1575810559,0,1
1575821310,4,4
1575824926,4,0
1575828521,1,0
1575832113,4,4
1575835753,0,5
1575846519,1,1
1575850113,5,0
1575853717,17,4
1575857337,6,0
1575860925,0,1
1575864535,1,18
1575868113,1,1
1575871718,5,5
1575875327,4,1
1575878905,1,0
1575882506,4,1
1575886143,0,4
1575889701,1,5
1575893300,1,1
1575896955,1,4
1575900496,4,0
1575904116,1,1
1575907724,5,0
1575911316,5,2
1575914897,4,5
1575918514,5,5
1575922126,5,4
1575925718,1,4
1575929332,5,5
1575932907,4,1
1575936562,18,4
1575940110,1,6
1575943705,1,6
1575947308,1,18
1575950925,2,1
1575954514,1,1
1575958106,1,1
1575961718,2,1
1575965313,1,1
1575968898,1,2
1575972532,2,2
1575976124,1,1
1575979711,2,1
1575983311,1,2
1575986911,1,2
1575990512,2,1
1575994103,1,1
1575997739,1,2
1576001336,2,1
1576004923,1,2
1576008531,2,1
1576012112,2,2
1576015721,1,1
1576019309,2,2
1576022938,1,1
1576026530,14,2
1576030106,1,2
1576033722,1,1
1576037343,1,13
1576040925,2,1
1576044509,3,2
1576048118,1,1
1576051719,1,2
1576055312,2,2
1576058911,2,1
1576062548,1,1
1576066128,2,2
1576069722,1,1
1576073327,2,2
1576076915,1,1
1576080513,2,2
1576084133,2,1
1576087724,1,2
1576091322,2,1
1576094918,1,1
1576098547,1,1
1576102130,1,1
1576105718,1,2
1576109381,15,2
1576112919,1,2
1576116530,1,1
1576120124,1,21
1576123701,1,1
1576127317,1,1
1576130919,1,1
1576134516,1,1
1576138135,1,1
1576141728,1,1
1576145336,1,1
1576148911,1,1
1576152552,1,1
1576156103,1,1
1576159740,1,1
1576163325,1,1
1576166929,1,1
1576170516,1,1
1576174148,1,1
1576177714,1,1
1576181302,1,1
1576184916,1,2
1576188528,1,1
1576192142,1,1
1576195729,1,1
1576199352,7,1
1576202909,0,1
1576206528,0,1
1576210130,0,17
1576220917,1,0
1576274900,0,1
1576282150,17,0
1576285706,1,0
1576292917,0,9
1576372114,14,0
1576375721,1,0
1576379300,0,2
1576382919,0,16
1576429737,0,1
1576462148,28,0
1576469304,2,0
1576472901,0,8
1576480106,0,2
1576494487,2,0
1576505316,1,0
1576508887,1,0
1576516108,0,1
1576537742,0,1
1576544943,6,2
1576548512,1,0
1576555731,0,14
1576559334,0,2
1576570127,2,0
1576595327,1,0
1576598939,0,2
1576602515,1,0
1576606146,0,1
1576609737,2,0
1576624157,0,2
1576627825,23,0
1576631357,1,0
1576634994,1,0
1576638523,1,15
1576645736,0,1
1576656558,1,2
1576660149,2,0
1576667334,0,1
1576670964,1,2
1576678147,3,0
1576681727,0,1
1576696128,0,2
1576699746,2,0
1576717755,15,1
1576724967,0,2
1576728533,0,24
1576732135,0,1
1576764541,1,0
1576804426,8,0
1576807757,1,0
1576815003,0,6
1576854540,1,0
1576890569,12,0
1576901342,0,18
