DateTime,AddedIPs,RemovedIPs
1575926653,3,5
1575928846,4,8
1575930738,4,10
1575932729,5,15
1575934581,5,94
1575936779,6,166
1575938673,3,223
1575940590,3,306
1575942736,3,431
1575944650,1,249
1575946589,6,185
1575948500,4,139
1575950445,5,189
1575952358,2,392
1575954311,7,191
1575956193,72,310
1575958100,2,165
1575960011,6,152
1575961960,17,144
1575963853,8,145
1575965772,4,232
1575967714,3,222
1575969650,5,134
1575971567,9,148
1575973450,4,202
1575975637,3,149
1575977796,8,202
1575979877,7,134
1575981823,1,198
1575983674,5,151
1575985603,9,208
1575987728,4,140
1575989541,3,62
1575991467,4,5
1575993380,3,23
1575995566,2,884
1575997462,4,489
1575999639,3,97
1576001539,7,38
1576003457,3,49
1576005637,4,14
1576007544,6,36
1576009458,3,7
1576011396,3,7
1576013286,6,4
1576015238,8,7
1576017135,3,6
1576019325,4,4
1576021210,9,7
1576023163,1,9
1576025057,5,5
1576027228,5,7
1576029153,10,3
1576031052,11,3
1576032969,7,3
1576034919,5,3
1576038025,5,6
1576039930,6,3
1576041874,1,88
1576043793,3,4
1576045957,5,6
1576047889,3,13
1576049795,0,24
1576051706,2,25
1576053638,2,15
1576055547,4,5
1576057482,3,10
1576059619,5,6
1576061530,6,2
1576063478,5,8
1576065372,9,4
1576067547,54,6
1576069730,50,8
1576071620,93,6
1576073544,73,5
1576075462,40,3
1576077401,39,6
1576079327,12,4
1576081215,4,2
1576083212,21,1
1576085081,20,5
1576086992,14,2
1576088898,5,5
1576092018,4,8
1576093926,5,4
1576095873,3,5
1576097768,3,3
1576099686,58,13
1576102823,5,11
1576104732,5,4
1576106675,5,6
1576108576,4,4
1576110740,1,2
1576112915,6,7
1576114834,4,4
1576116749,12,5
1576118659,27,7
1576120588,6,7
1576122775,6,3
1576124679,7,8
1576126575,4,7
1576128744,3,2
1576130733,2,4
1576132603,7,2
1576134502,5,2
1576136417,5,0
1576138362,6,1
1576140254,1,3
1576142423,3,3
1576144331,4,1
1576146304,5,10
1576148195,9,6
1576150095,9,3
1576152065,3,11
1576153947,3,48
1576155893,5,50
1576157798,8,62
1576159704,5,76
1576161614,5,35
1576163561,6,35
1576165459,6,13
1576167381,3,9
1576169319,4,8
1576171212,4,24
1576173136,8,22
1576175193,33,12
1576176996,7,2
1576178892,5,6
1576180859,5,2
1576182733,6,8
1576184901,3,5
1576186825,3,2
1576188770,5,3
1576190668,8,5
1576192820,13,4
1576194733,8,7
1576196677,9,4
1576198571,26,7
1576200490,24,5
1576203632,10,71
1576205525,19,6
1576207473,25,9
1576209373,19,4
1576211287,22,6
1576213260,29,7
1576215149,22,3
1576218023,28,9
1576219927,17,3
1576221855,16,8
1576223766,12,3
1576225702,18,7
