DateTime,Entries,UniqueIPs
1565643376,7317,7317
1565676281,8113,8113
1565698334,8071,8071
1565720436,8037,8037
1565742488,8101,8101
1565764360,8115,8115
1565786674,8065,8065
1565808727,9159,9159
1565830572,9161,9161
1565852426,9163,9163
1565874283,9166,9166
1565896359,9176,9176
1565918432,9184,9184
1565940492,9186,9186
1565962358,9191,9191
1565984420,9256,9256
1566006269,9352,9352
1566028351,9454,9454
1566050498,9570,9570
1566072488,9593,9593
1566094592,9609,9609
1566116691,9608,9608
1566138818,9608,9608
1566160816,10240,10240
1566182670,10552,10552
1566204754,12776,12776
1566226595,14423,14423
1566248459,14440,14440
1566270509,13550,13550
1566292612,13567,13567
1566314700,13505,13505
1566336673,13455,13455
1566358609,13456,13456
1566380680,13490,13490
1566402626,12449,12449
1566424638,12455,12455
1566446695,12462,12462
1566468538,12470,12470
1566490627,12492,12492
1566512677,21326,21326
1566534753,21517,21517
1566556809,21516,21516
1566578662,21607,21607
1566600747,21780,21780
1566622655,21770,21770
1566644681,21786,21786
1566666762,21780,21780
1566688614,21731,21731
1566710672,21722,21722
1566732765,21737,21737
1566754811,21493,21493
1566776652,21219,21219
1566798521,20925,20925
1566832131,17420,17420
1566854180,17478,17478
1566876039,17484,17484
1566898105,23689,23689
1566920441,33622,33622
1566942500,33670,33670
1566964581,33666,33666
1566997975,33732,33732
1567020269,33731,33731
1567042336,33733,33733
1567064427,33890,33890
1567086278,34018,34018
1567108354,32292,32292
1567141720,29214,29214
1567164067,29211,29211
1567186124,28856,28856
1567207972,28843,28843
1567230043,28828,28828
1567252130,28801,28801
1567274446,28776,28776
1567296372,28695,28695
1567318342,28642,28642
1567340194,28693,28693
1567362279,28685,28685
1567384358,28586,28586
1567406412,28627,28627
1567428262,28665,28665
1567450335,28663,28663
1567472205,28600,28600
1567494278,26324,26324
1567516135,12871,12871
1567538208,9853,9853
1567560061,9856,9856
1567582101,9868,9868
1567603980,9823,9823
1567626048,9856,9856
1567648097,9883,9883
1567669964,9672,9672
1567692047,9444,9444
1567714103,19631,19631
1567735950,20470,20470
1567757799,20474,20474
1567779654,20775,20775
1567801699,20780,20780
1567823571,20765,20765
1567845643,20753,20753
1567867729,20757,20757
1567889766,21344,21344
1567922689,21357,21357
1567944746,21538,21538
1567966599,21704,21704
1567988454,22053,22053
1568010765,21985,21985
1568033082,22011,22011
1568054926,22009,22009
1568076969,22002,22002
1568098892,22002,22002
1568120901,21995,21995
1568142747,21236,21236
1568164613,21159,21159
1568186675,21770,21770
1568208763,21805,21805
1568230815,21873,21873
1568252681,21901,21901
1568274749,21927,21927
1568296857,21705,21705
1568318933,10896,10896
1568340972,10062,10062
1568362939,10078,10078
1568384918,9959,9959
1568406759,10024,10024
1568428856,10039,10039
1568451163,10051,10051
1568473277,10103,10103
1568495565,10103,10103
1568517644,10047,10047
1568539709,10032,10032
1568561576,9433,9433
1568583647,9493,9493
1568605704,9483,9483
1568627686,9310,9310
1568661209,9420,9420
1568683247,9421,9421
1568705294,10272,10272
1568727682,10309,10309
1568749691,10410,10410
1568771610,10095,10095
1568793691,9292,9292
1568815722,9196,9196
1568837797,9092,9092
1568859869,8992,8992
1568881939,8937,8937
1568904017,8915,8915
1568925874,10076,10076
1568947937,10059,10059
1568969791,10128,10128
1569002909,10069,10069
1569024982,21546,21546
1569047110,29800,29800
1569069137,29803,29803
1569090990,30382,30382
1569113069,31526,31526
1569135168,31548,31548
1569157251,31542,31542
1569179130,31818,31818
1569201146,31795,31795
1569223229,31717,31717
1569245094,31823,31823
1569267149,31823,31823
1569288995,31823,31823
1569311095,31055,31055
1569333378,31045,31045
1569366508,30967,30967
1569388596,30969,30969
1569410691,30964,30964
1569432768,31265,31265
1569454811,31256,31256
1569476674,31309,31309
1569498751,31304,31304
1569520853,30680,30680
1569542905,30692,30692
1569564999,30635,30635
1569586842,30549,30549
1569608889,30594,30594
1569630747,19372,19372
1569652594,12239,12239
1569674681,12241,12241
1569696751,11608,11608
1569718840,9379,9379
1569741155,9339,9339
1569763220,9341,9341
1569785295,8375,8375
1569807148,8324,8324
1569829214,8353,8353
1569851076,8277,8277
1569873131,8214,8214
1569894975,8206,8206
1569938908,8328,8328
1569960758,9555,9555
1569982851,9588,9588
1570004905,9592,9592
1570026995,9312,9312
1570049050,9075,9075
1570070912,8683,8683
1570093109,8521,8521
1570115310,8538,8538
1570137388,8537,8537
1570159453,8507,8507
1570181558,8554,8554
1570203819,8553,8553
1570226063,8585,8585
1570248193,8588,8588
1570270106,8595,8595
1570292439,8407,8407
1570314511,8815,8815
1570336632,9233,9233
1570358670,9317,9317
1570380752,9367,9367
1570402888,9434,9434
1570424897,9321,9321
1570446982,9487,9487
1570468834,9717,9717
1570490891,9816,9816
1570512738,9828,9828
1570534832,9849,9849
1570556674,8701,8701
1570578759,8639,8639
1570600841,8620,8620
1570623288,8592,8592
1570645224,8544,8544
1570667307,8517,8517
1570689153,8458,8458
1570711209,8396,8396
1570733060,8399,8399
1570755147,8404,8404
1570788302,11939,11939
1570810347,18080,18080
1570832687,18080,18080
1570854739,18079,18079
1570876816,18136,18136
1570899142,18111,18111
1570921290,17753,17753
1570943319,17347,17347
1570965405,17293,17293
1570987455,17310,17310
1571009551,17253,17253
1571031401,17199,17199
1571053702,17109,17109
1571075545,17124,17124
1571097394,17155,17155
1571130506,17901,17901
1571152594,17906,17906
1571174665,17918,17918
1571196751,17872,17872
1571218613,17836,17836
1571240662,17840,17840
1571262745,17846,17846
1571284593,17784,17784
1571306694,17880,17880
1571328758,17889,17889
1571350819,17883,17883
1571372892,17875,17875
1571394758,13482,13482
1571416829,8202,8202
1571438917,8240,8240
1571461019,8349,8349
1571483326,8240,8240
1571505623,8308,8308
1571527704,8327,8327
1571549550,8328,8328
1571571610,8327,8327
1571593707,8298,8298
1571615783,8638,8638
1571648703,8930,8930
1571670982,9098,9098
1571692830,9051,9051
1571714901,9037,9037
1571736766,8181,8181
1571758835,9107,9107
1571780909,9274,9274
1571802970,9276,9276
1571824832,9308,9308
1571846925,9335,9335
1571868984,9414,9414
1571891053,9430,9430
1571913159,9434,9434
1571935236,9464,9464
1571957290,9455,9455
1571979137,9451,9451
1572000997,9439,9439
1572023094,9424,9424
1572045153,9406,9406
1572066999,9340,9340
1572089091,9333,9333
1572111164,9279,9279
1572133218,9269,9269
1572155076,9269,9269
1572177135,9255,9255
1572199239,9255,9255
1572221328,9254,9254
1572243414,8875,8875
1572265500,8957,8957
1572287793,9288,9288
1572309870,9377,9377
1572331718,9363,9363
1572353776,9333,9333
1572386904,8155,8155
1572409008,8805,8805
1572431053,17778,17778
1572452898,17717,17717
1572474747,17643,17643
1572496813,17570,17570
1572518714,17521,17521
1572540743,17461,17461
1572562596,17436,17436
1572584925,17433,17433
1572607247,17446,17446
1572629305,18781,18781
1572651148,18949,18949
1572673234,18953,18953
1572695077,18954,18954
1572717142,18948,18948
1572738995,18990,18990
1572771881,19638,19638
1572794212,22566,22566
1572816265,22635,22635
1572838359,22758,22758
1572860697,22803,22803
1572883006,22820,22820
1572905315,22818,22818
1572927377,22810,22810
1572949449,22914,22914
1572971548,22990,22990
1572993393,23047,23047
1573015472,23048,23048
1573037558,23062,23062
1573059882,23057,23057
1573081971,20879,20879
1573104026,15799,15799
1573125867,15821,15821
1573147960,15844,15844
1573170027,15854,15854
1573191898,15852,15852
1573213963,15846,15846
1573236049,12425,12425
1573258143,12451,12451
1573280180,12489,12489
1573302061,12552,12552
1573324088,12563,12563
1573345938,12526,12526
1573367781,12535,12535
1573389648,9582,9582
1573411737,8488,8488
1573433783,8382,8382
1573455702,7844,7844
1573477733,8387,8387
1573499792,8548,8548
1573521877,8586,8586
1573543939,8633,8633
1573565796,8523,8523
1573587856,8470,8470
1573609958,8470,8470
1573643316,8405,8405
1573665394,9559,9559
1573687237,9626,9626
1573709309,9671,9671
1573731405,9641,9641
1573753451,9538,9538
1573775554,9528,9528
1573797657,9529,9529
1573819737,9528,9528
1573841775,9526,9526
1573863895,9523,9523
1573885942,9519,9519
1573908020,9486,9486
1573930113,9490,9490
1573952179,9500,9500
1573985314,9508,9508
1574007383,9499,9499
1574029474,9478,9478
1574051557,9345,9345
1574073429,9272,9272
1574095455,9096,9096
1574117322,8977,8977
1574139395,8958,8958
1574161495,8924,8924
1574183798,8901,8901
1574205870,8925,8925
1574227936,8917,8917
1574250016,8885,8885
1574271889,8879,8879
1574293935,8686,8686
1574327309,16116,16116
1574349390,16341,16341
1574371456,16341,16341
1574393554,16337,16337
1574415404,16344,16344
1574437460,16382,16382
1574459314,15305,15305
1574481377,15298,15298
1574503240,15281,15281
1574525092,15245,15245
1574547417,15191,15191
1574569510,15126,15126
1574591541,15103,15103
1574613617,15094,15094
1574635478,15096,15096
1574657537,15104,15104
1574679391,15109,15109
1574712525,15189,15189
1574734582,15229,15229
1574756651,15245,15245
1574778498,15261,15261
1574800339,15240,15240
1574822193,15305,15305
1574844257,15327,15327
1574866342,15359,15359
1574899720,15369,15369
1574922049,14626,14626
1574944113,7742,7742
1574966173,7803,7803
1574988020,7851,7851
1575010108,7875,7875
1575032183,7899,7899
1575065327,7818,7818
1575087169,7833,7833
1575109220,7846,7846
1575131292,7858,7858
1575153169,7872,7872
1575175210,7880,7880
1575197068,7822,7822
1575219157,7795,7795
1575252265,7908,7908
1575274125,7632,7632
1575295990,7912,7912
1575318031,7844,7844
1575340115,7899,7899
1575362188,7938,7938
1575384271,7937,7937
1575406359,9115,9115
1575428441,10604,10604
1575450532,16582,16582
1575472615,20076,20076
