DateTime,AddedIPs,RemovedIPs
1575418346,1,1
1575420269,0,1
1575422186,2,0
1575424095,1,1
1575426028,1,0
1575427958,3,0
1575429874,1,0
1575431787,0,1
1575440419,0,1
1575446227,1,0
1575448120,2,0
1575450072,1,0
1575459861,0,4
1575463717,1,1
1575465634,0,1
1575467537,0,2
1575469466,0,1
1575472616,1,0
1575476674,2,0
1575478583,2,0
1575480520,0,1
1575482490,0,1
1575484339,2,0
1575488173,0,2
1575490139,0,1
1575492017,1,0
1575493970,1,1
1575495855,0,1
1575498023,0,5
1575499933,0,1
1575503780,1,0
1575505700,1,1
1575507716,2,0
1575509569,0,2
1575511703,1,1
1575513615,1,4
1575515561,0,1
1575525369,2,0
1575533567,0,3
1575535459,0,1
1575545086,1,0
1575549143,1,0
1575551323,2,1
1575557311,0,1
1575559233,1,0
1575561134,1,0
1575563060,0,2
1575564982,2,2
1575570759,0,2
1575572681,0,1
1575576529,2,0
1575578440,1,1
1575580366,1,1
1575588022,1,0
1575591853,0,2
1575594984,0,2
1575598833,1,1
1575600760,0,1
1575602670,1,0
1575604581,2,0
1575611540,1,2
1575615389,1,0
1575617291,2,0
1575625237,2,0
1575629057,1,0
1575630987,1,0
1575632940,0,1
1575634822,1,0
1575636754,1,2
1575638654,1,1
1575646577,0,1
1575648541,1,0
1575650676,1,1
1575652589,2,1
1575663632,2,2
1575665553,1,1
1575667478,0,1
1575671319,1,0
1575674179,0,1
1575676341,1,1
1575680194,1,0
1575682116,3,0
1575685216,0,1
1575689073,0,1
1575691293,0,1
1575695319,3,0
1575697216,0,1
1575699164,1,0
1575701055,0,1
1575703009,0,1
1575704892,0,1
1575712576,0,2
1575714770,1,1
1575716926,0,1
1575722674,0,2
1575724587,1,1
1575726504,2,0
1575730356,1,0
1575736363,0,2
1575738317,0,2
1575746196,1,0
1575748344,0,1
1575750287,1,2
1575756343,2,1
1575762271,3,1
1575766338,0,1
1575768262,0,2
1575770195,0,1
1575775219,1,0
1575777153,1,0
1575781015,1,2
