DateTime,Entries,UniqueIPs
1575930009,20018,20018
1575931954,19705,19705
1575933854,19697,19697
1575935769,19699,19699
1575937692,19707,19707
1575940593,19722,19722
1575942738,19373,19373
1575944652,19286,19286
1575946592,19298,19298
1575948502,19324,19324
1575950550,19329,19329
1575952360,19311,19311
1575954347,19340,19340
1575956197,19345,19345
1575958124,19353,19353
1575960039,19310,19310
1575961963,21168,21168
1575963857,22890,22890
1575965776,22879,22879
1575967718,22473,22473
1575969686,22212,22212
1575971570,21885,21885
1575973453,21541,21541
1575975716,21543,21543
1575977822,21513,21513
1575979880,21508,21508
1575981850,21506,21506
1575983677,21504,21504
1575985605,21467,21467
1575987731,21453,21453
1575989544,21435,21435
1575991469,21430,21430
1575993397,20941,20941
1575995568,19110,19110
1575997465,17443,17443
1575999641,15331,15331
1576001541,14006,14006
1576003478,12719,12719
1576005639,12690,12690
1576007565,9830,9830
1576009461,9817,9817
1576011398,9859,9859
1576013288,9859,9859
1576015292,9845,9845
1576017137,9844,9844
1576019337,9833,9833
1576021212,9825,9825
1576023164,9807,9807
1576025059,9795,9795
1576027231,9782,9782
1576029155,10520,10520
1576031055,10809,10809
1576032972,10797,10797
1576034943,10758,10758
1576036911,10737,10737
1576038739,10728,10728
1576040902,10710,10710
1576042813,10687,10687
1576044761,10672,10672
1576046652,10198,10198
1576048818,8969,8969
1576050732,6370,6370
1576052653,4660,4660
1576055106,3904,3904
1576057215,3909,3909
1576059178,3909,3909
1576061054,3920,3920
1576063215,3904,3904
1576065133,3900,3900
1576067069,5254,5254
1576069354,7569,7569
1576071176,9425,9425
1576073072,11257,11257
1576074970,13047,13047
1576076921,14324,14324
1576079060,14692,14692
1576080997,14706,14706
1576083393,14719,14719
1576085606,14742,14742
1576087472,14747,14747
1576089616,14754,14754
1576091564,14762,14762
1576093473,14777,14777
1576095374,14778,14778
1576097319,14757,14757
1576099223,14754,14754
1576101129,14741,14741
1576103075,14751,14751
1576105006,14772,14772
1576107166,14790,14790
1576109093,14796,14796
1576110991,14809,14809
1576112926,14826,14826
1576114838,14837,14837
1576116753,14836,14836
1576118663,14854,14854
1576120592,14873,14873
1576122779,14916,14916
1576124683,14920,14920
1576126579,14923,14923
1576128748,14941,14941
1576130749,14953,14953
1576132607,15057,15057
1576134507,15050,15050
1576136421,15050,15050
1576138365,15062,15062
1576140258,15058,15058
1576142427,15069,15069
1576144334,15080,15080
1576146309,15062,15062
1576148199,15076,15076
1576150099,15086,15086
1576152243,15080,15080
1576154204,12996,12996
1576156385,10804,10804
1576158256,8700,8700
1576160422,6682,6682
1576162327,5142,5142
1576164278,4271,4271
1576166170,4283,4283
1576168349,4297,4297
1576170286,4258,4258
1576172194,4032,4032
1576174106,3992,3992
1576176012,3509,3509
1576177973,3536,3536
1576179858,3574,3574
1576182027,3595,3595
1576183929,3601,3601
1576185926,3623,3623
1576187787,3671,3671
1576189697,3670,3670
1576191670,4035,4035
1576193545,4469,4469
1576195702,5098,5098
1576197612,5177,5177
1576199560,5187,5187
1576201451,5201,5201
1576203634,5216,5216
1576205527,5220,5220
1576207475,5203,5203
1576209375,5213,5213
1576211289,5199,5199
1576213297,5197,5197
1576215150,5189,5189
1576217094,5181,5181
1576218988,5067,5067
1576220912,5408,5408
1576222828,5631,5631
1576224740,6585,6585
1576226668,7892,7892
1576228587,8258,8258
1576230742,8254,8254
1576232651,8272,8272
1576234989,8255,8255
1576236995,8244,8244
1576238891,8238,8238
1576240822,8253,8253
1576242762,8256,8256
1576244657,8265,8265
1576246600,8269,8269
1576248493,8271,8271
1576250410,8270,8270
1576252353,8270,8270
1576254251,8258,8258
1576256168,8252,8252
1576258110,8218,8218
1576260066,7768,7768
1576261968,7579,7579
1576263910,7561,7561
1576265793,7563,7563
1576267728,7560,7560
1576269616,7508,7508
1576271533,7504,7504
1576273472,7513,7513
1576275404,7535,7535
1576277551,7546,7546
1576279476,7561,7561
1576281374,7561,7561
1576283292,7564,7564
1576285368,7547,7547
1576287375,7527,7527
1576289301,7524,7524
1576291226,7920,7920
1576293171,7921,7921
1576295058,7918,7918
1576297229,7919,7919
1576299132,7926,7926
1576301066,7920,7920
1576302987,7927,7927
1576305184,8301,8301
1576307113,8788,8788
1576309238,8395,8395
1576311139,8233,8233
1576313089,8492,8492
1576314989,9231,9231
1576316921,9751,9751
1576318813,11470,11470
1576320740,13320,13320
1576322675,14284,14284
1576324577,14982,14982
1576326740,15603,15603
1576328906,16149,16149
1576330840,16150,16150
1576332751,16151,16151
1576334679,16141,16141
1576336582,16128,16128
1576338757,16106,16106
1576340656,16118,16118
1576342585,16115,16115
1576344494,16110,16110
1576347630,16092,16092
1576349641,17216,17216
1576351498,18650,18650
1576354598,18635,18635
1576356749,18623,18623
1576358655,18609,18609
1576360613,18700,18700
1576362517,18671,18671
1576365617,18644,18644
1576367539,18644,18644
1576369449,18638,18638
1576371388,18626,18626
1576373296,18613,18613
1576376192,18595,18595
1576378100,18456,18456
1576380039,18435,18435
1576381951,18424,18424
1576383868,18432,18432
1576385797,18421,18421
1576387696,18425,18425
1576389722,18452,18452
1576391563,18353,18353
1576393536,17328,17328
1576395400,17316,17316
1576397317,17421,17421
1576399247,17403,17403
1576401150,17400,17400
1576403070,17375,17375
1576405012,17357,17357
1576407159,17322,17322
1576409055,17325,17325
1576410980,17323,17323
1576412892,17303,17303
1576414858,17307,17307
1576416764,17298,17298
1576419626,17259,17259
1576421538,17284,17284
1576423459,17282,17282
1576425386,17276,17276
1576427288,17261,17261
1576430181,17247,17247
1576432341,17230,17230
1576434254,17237,17237
1576436190,17222,17222
1576438094,17204,17204
1576440980,17189,17189
1576442915,17182,17182
1576444820,17173,17173
1576446742,17082,17082
1576448695,17077,17077
1576450572,17074,17074
1576452746,17044,17044
1576454660,17043,17043
1576456590,16554,16554
1576458513,16282,16282
1576460431,16280,16280
1576462585,16279,16279
1576464492,16289,16289
1576466429,16284,16284
1576468335,16285,16285
1576470252,16281,16281
1576472608,16281,16281
1576474588,16293,16293
1576476504,16284,16284
1576478421,17223,17223
1576480615,16805,16805
1576482498,16334,16334
1576484431,16143,16143
1576486344,16165,16165
1576488259,16169,16169
1576490195,16197,16197
1576492113,16223,16223
1576494195,16241,16241
1576496187,16271,16271
1576498129,16282,16282
1576500019,16290,16290
1576501953,16158,16158
1576503874,16199,16199
1576505794,17030,17030
1576507943,17015,17015
1576509896,17029,17029
1576511781,17217,17217
1576513696,17493,17493
1576516819,17900,17900
1576518757,17801,17801
1576520684,16024,16024
1576522573,16044,16044
1576524495,16092,16092
1576527620,15962,15962
1576529560,16022,16022
1576531459,16032,16032
1576533403,16041,16041
1576535291,16048,16048
1576538177,16078,16078
1576540092,16090,16090
1576542039,16098,16098
1576543931,15968,15968
1576545881,15973,15973
1576547776,15997,15997
1576549708,16013,16013
1576551693,16039,16039
1576553559,16055,16055
1576555699,16075,16075
1576557611,16078,16078
1576559561,16104,16104
1576561453,15770,15770
1576563618,15910,15910
1576565530,16156,16156
1576567469,17737,17737
1576569373,17731,17731
1576571325,17736,17736
1576573304,17433,17433
1576575147,17038,17038
1576577090,16704,16704
1576579236,16221,16221
1576581154,15254,15254
1576583055,13899,13899
1576584998,12943,12943
1576587135,12161,12161
1576589074,11580,11580
1576590997,10999,10999
1576593139,10699,10699
1576595305,10713,10713
1576597217,10427,10427
1576599162,9680,9680
1576601074,9773,9773
1576603229,10674,10674
1576605133,10663,10663
1576607072,10616,10616
1576608973,10608,10608
1576611249,10597,10597
1576613097,10588,10588
1576614976,10583,10583
1576617147,10592,10592
1576619058,10589,10589
1576620988,10584,10584
1576622895,10581,10581
1576624821,10584,10584
1576626733,10589,10589
1576628674,10586,10586
1576630607,10585,10585
1576632747,10576,10576
1576634679,10579,10579
1576636593,10565,10565
1576638803,10561,10561
1576640655,10562,10562
1576642827,10566,10566
1576644732,10563,10563
1576646683,10548,10548
1576648583,10551,10551
1576650752,11357,11357
1576652719,11356,11356
1576654599,10163,10163
1576656520,8526,8526
1576658442,8519,8519
1576660347,8502,8502
1576662268,7342,7342
1576664190,6300,6300
1576666130,5380,5380
1576668034,4514,4514
1576669936,4521,4521
1576671860,4519,4519
1576675219,4538,4538
1576677132,4517,4517
1576679052,4498,4498
1576680968,4481,4481
1576682889,4494,4494
1576686035,4487,4487
1576687928,4492,4492
1576689852,4486,4486
1576691771,4498,4498
1576693690,4506,4506
1576696834,4331,4331
1576698748,2822,2822
1576700659,3169,3169
1576702502,3796,3796
1576704508,3993,3993
1576706501,5426,5426
1576708348,5442,5442
1576710342,5445,5445
1576712190,5439,5439
1576714146,5438,5438
1576716017,5452,5452
1576717961,5451,5451
1576719852,5461,5461
1576722025,5478,5478
1576723934,5489,5489
1576725879,5508,5508
1576727773,5520,5520
1576729695,5518,5518
1576731731,5526,5526
1576733547,5947,5947
1576735536,5961,5961
1576737376,5855,5855
1576739541,5869,5869
1576741454,5877,5877
1576743648,5925,5925
1576745547,5944,5944
1576747469,7515,7515
1576749427,8272,8272
1576751297,8288,8288
1576754460,8306,8306
1576756335,8312,8312
1576758263,8320,8320
1576760171,8331,8331
1576762101,8344,8344
1576764128,8370,8370
1576765974,8380,8380
1576768120,8389,8389
1576770015,8407,8407
1576772213,8422,8422
1576774100,8433,8433
1576776032,8439,8439
1576777950,8453,8453
1576779854,8444,8444
1576781777,8447,8447
1576783715,8449,8449
1576785903,8456,8456
1576787791,8149,8149
1576789720,7569,7569
1576791634,7567,7567
1576793544,7548,7548
1576795470,7555,7555
1576797614,7542,7542
1576799533,7545,7545
1576801472,7539,7539
1576803371,7456,7456
1576805301,6154,6154
1576807337,6152,6152
1576809159,6164,6164
1576811153,6135,6135
1576813213,6127,6127
1576815138,6113,6113
1576817084,6105,6105
1576819214,6125,6125
1576821130,5808,5808
1576823074,5436,5436
1576824988,6383,6383
1576826898,6756,6756
1576830032,6703,6703
1576831934,6689,6689
1576833893,6649,6649
1576835796,6638,6638
1576837945,6622,6622
1576839929,6605,6605
1576841778,6599,6599
1576843948,6590,6590
1576845876,6575,6575
1576847798,6563,6563
1576849695,6543,6543
1576851621,6534,6534
1576853553,6516,6516
1576855458,6506,6506
1576857391,6484,6484
1576859292,6465,6465
1576861323,6454,6454
1576863161,6432,6432
1576865350,6413,6413
1576867225,6405,6405
1576869163,6402,6402
1576871052,3852,3852
1576873013,3754,3754
1576874894,3742,3742
1576877060,3727,3727
1576879316,3713,3713
1576881161,3710,3710
1576883140,3712,3712
1576884990,3710,3710
1576886891,3706,3706
1576888813,3733,3733
1576890755,3816,3816
1576892657,3859,3859
1576894589,3885,3885
1576896531,10627,10627
1576898420,14015,14015
1576900333,17506,17506
1576902268,18812,18812
1576904170,18797,18797
1576906092,18786,18786
1576909219,18845,18845
1576911146,17743,17743
1576913069,17062,17062
1576915281,17084,17084
1576917139,17092,17092
1576919098,17086,17086
1576920970,17092,17092
1576922939,17367,17367
1576924812,19309,19309
1576926745,19369,19369
