DateTime,AddedIPs,RemovedIPs
1565522208,6,214
1565544252,3,0
1565566096,3,0
1565587964,2,4
1565610040,2,83
1565631895,4,2
1565653931,1339,6
1565676049,6,324
1565698101,4,85
1565720174,7,61
1565742045,6,4
1565763891,86,6
1565785934,18,59
1565808015,1,7
1565830135,3,5
1565852194,6,7
1565874314,6,5
1565896359,5,0
1565918433,2,2
1565940495,6,5
1565962359,188,4
1565984422,13,20
1566006270,2,17
1566028353,4,38
1566050539,70,0
1566072489,0,22
1566094594,0,9
1566116694,2,3
1566138819,3,1
1566160817,46,1
1566182672,17,2
1566204757,1,6
1566237818,35,2
1566259694,0,1196
1566281547,3,2
1566303638,20,2
1566325693,4,1
1566347565,13,2
1566369647,58,75
1566391711,1,13
1566413788,4,1
1566435895,3,5
1566457966,3,5
1566479975,2,8
1566501878,0,3
1566523744,6,3
1566545770,3,6
1566567865,2,404
1566589977,1395,14
1566612224,13,2
1566634106,44,5
1566656190,170,3
1566678285,8,19
1566700363,0,39
1566722428,2,0
1566744519,7,2
1566766599,6,31
1566799727,5,6
1566821571,3,28
1566843629,0,2
1566865692,6,0
1566887549,6,10
1566909640,1,32
1566931704,3,3
1566953545,1,13
1566975397,1,64
1566997314,500,1
1567019302,7,1
1567041157,2,2
1567063522,17,2
1567085871,2,10
1567107851,95,0
1567129698,3,1
1567151561,0,4
1567173676,15,1
1567195975,2,1058
1567218030,4,10
1567239913,4,26
1567261969,37,5
1567284019,5,5
1567306103,2,17
1567327955,186,3
1567350046,265,1
1567372108,2,2
1567393960,31,0
1567416034,2,1
1567438093,1,0
1567459941,0,4
1567482040,1,1
1567504094,1,5
1567526194,8,0
1567548059,0,3
1567570100,5,0
1567592210,1,35
1567614252,37,38
1567636394,75,0
1567658436,6,0
1567680282,2,22
1567702351,27,1
1567724226,3,0
1567746278,13,0
1567768364,1,6
1567790435,3,23
1567812514,2,0
1567834356,2,4
1567856433,2,5
1567878521,807,1
1567900581,1,3
1567933732,89,49
1567956040,30,64
1567978093,3,0
1567999972,0,1
1568022045,2,7
1568043887,2,85
1568065944,0,50
1568087799,0,1
1568109862,1,2
1568131728,3,6
1568153586,1,23
1568175613,1048,2
1568197691,4,25
1568219812,79,56
1568241730,4,51
1568263973,2,46
1568286023,12,104
1568307889,0,383
1568330212,2,3
1568352972,1,12
1568374841,2,6
1568396703,1,1
1568418814,0,2
1568441089,42,6
1568463170,66,6
1568485257,18,1
1568507389,3,5
1568529637,0,115
1568551731,0,811
1568574185,4,2
1568596143,2,2
1568618464,1,3
1568640769,1,81
1568662812,0,3
1568684687,1,0
1568706756,1,1
1568728649,3,9
1568750923,2,0
1568772992,0,805
1568795069,5,541
1568817165,19,16
1568839226,0,3
1568861314,2,19
1568883388,3,18
1568905266,11,2
1568927327,4,1
1568949650,13,0
1568971942,178,2
1568993794,1,1
1569015638,2,0
1569037705,1,34
1569059771,1,127
1569092610,26,2
1569114511,18,8
1569136601,187,0
1569180736,0,7
1569202578,0,2
1569224670,8,4
1569246750,155,0
1569280121,3,2
1569302455,11,0
1569324746,3,2
1569346837,2,2
1569368902,2,0
1569390761,13,1
1569412857,2,15
1569435164,2,23
1569457469,1,5
1569479651,1,4
1569501629,1,1
1569523711,0,5
1569545553,0,4
1569567647,3,71
1569589504,11,167
1569611535,9,1
1569633390,2,0
1569655474,5,1
1569677552,4,2
1569699638,2,5
1569721695,3,15
1569743536,1,118
1569765674,3,0
1569787965,3,0
1569810026,1,0
1569832096,24,12
1569853972,0,275
1569876015,4,125
1569898109,17,33
1569919954,90,4
1569942085,263,0
1569964365,39,1
1569986434,64,1
1570008286,5,47
1570030355,1,1
1570052413,5,27
1570074510,9,161
1570096796,10,2
1570118914,53,1
1570140768,7,0
1570163075,14,0
1570185159,52,13
1570207222,3,6
1570229312,51,0
1570251157,1,0
1570272997,2,6
1570295080,13,0
1570317156,18,0
1570339066,0,1
1570361098,12,0
1570383158,7,3
1570405002,0,1
1570427056,2,5
1570449175,0,23
1570471473,2,0
1570493338,163,3
1570515620,3,62
1570537471,5,14
1570559542,3,6
1570581629,3,45
1570603704,2,36
1570625739,4,56
1570647668,1,7
1570669734,1,9
1570691790,1,19
1570713852,6,50
1570735949,43,21
1570758031,17,6
1570780114,5,55
1570801959,2,144
1570835432,15,2
1570857399,0,2
1570879240,4,1
1570901537,1,29
1570923612,1,32
