DateTime,AddedIPs,RemovedIPs
1575935770,32,26
1575937693,32,16
1575939682,34,23
1575941560,26,133
1575943458,34,378
1575945390,30,22
1575947319,36,19
1575949224,50,27
1575951389,32,45
1575953551,48,30
1575955477,27,18
1575957385,36,28
1575959545,430,165
1575961486,1792,811
1575963394,2191,51
1575965306,347,113
1575967248,39,441
1575969154,34,280
1575971063,40,357
1575973000,38,483
1575974895,32,29
1575977316,29,31
1575979260,26,72
1575981201,29,39
1575983204,42,39
1575985111,23,61
1575987198,28,33
1575989057,32,45
1575991012,16,41
1575992910,27,85
1575995084,14,1795
1575996993,17,1912
1575999147,36,2051
1576001131,16,1423
1576002979,24,1402
1576005200,26,182
1576007085,27,2873
1576008985,32,44
1576011141,78,38
1576013052,25,29
1576015001,28,38
1576016889,28,28
1576018889,26,46
1576020759,21,29
1576022662,27,33
1576024592,19,51
1576026502,24,33
1576028442,488,27
1576030353,600,38
1576032263,24,32
1576034213,17,42
1576036101,23,57
1576038027,26,39
1576039933,32,43
1576041877,23,38
1576043814,17,41
1576045960,45,526
1576047923,42,503
1576049797,47,1717
1576051708,36,2443
1576053640,49,1780
1576055551,52,49
1576057484,43,51
1576059621,64,51
1576061533,41,49
1576063480,37,41
1576065375,45,46
1576067550,1860,47
1576069396,1884,43
1576071623,2459,39
1576073547,1793,27
1576075464,1702,39
1576077405,1104,17
1576079329,189,31
1576081218,29,16
1576083406,25,20
1576085610,52,31
1576087473,21,16
1576089617,39,34
1576091564,24,20
1576093474,39,26
1576095375,28,28
1576097320,33,54
1576099223,19,26
1576101130,24,38
1576103076,29,20
1576105007,35,15
1576107167,38,20
1576109095,26,20
1576110992,39,21
1576112926,37,21
1576114839,31,23
1576116754,26,27
1576118664,29,15
1576120593,27,11
1576122780,63,16
1576124684,22,20
1576126580,25,30
1576128749,37,17
1576130750,35,21
1576132608,134,31
1576134509,42,42
1576136421,39,39
1576138366,39,29
1576140259,37,45
1576142428,66,59
1576144335,49,36
1576146311,27,54
1576148199,41,24
1576150100,34,27
1576152262,47,59
1576154205,40,2111
1576156386,42,2232
1576158257,32,2130
1576160423,48,2053
1576162328,49,1584
1576164278,55,920
