DateTime,Entries,UniqueIPs
1565513558,1401,1401
1565535673,1405,1405
1565557695,1406,1406
1565579537,1411,1411
1565601389,1330,1330
1565623240,1330,1330
1565645310,1327,1327
1565667158,2664,2664
1565689235,2265,2265
1565711077,2207,2207
1565733138,2212,2212
1565754991,2213,2213
1565776862,2236,2236
1565798920,2244,2244
1565821006,2244,2244
1565843051,2245,2245
1565864892,2242,2242
1565886751,2245,2245
1565908825,2250,2250
1565930914,2247,2247
1565952974,2347,2347
1565974951,2438,2438
1565996930,2425,2425
1566019004,2395,2395
1566041053,2381,2381
1566063153,2426,2426
1566085233,2417,2417
1566107300,2417,2417
1566129206,2413,2413
1566151237,2461,2461
1566173315,2475,2475
1566195395,2470,2470
1566217480,2496,2496
1566239561,2504,2504
1566261611,1310,1310
1566283470,1309,1309
1566305559,1327,1327
1566327677,1329,1329
1566349964,1340,1340
1566372033,1324,1324
1566394107,1311,1311
1566415972,1315,1315
1566438008,1312,1312
1566459877,1311,1311
1566481965,1305,1305
1566504191,1301,1301
1566526125,1303,1303
1566548205,1301,1301
1566570279,898,898
1566592181,2279,2279
1566614175,2292,2292
1566636364,2331,2331
1566658360,2496,2496
1566680460,2452,2452
1566702526,2446,2446
1566724580,2447,2447
1566746686,2452,2452
1566769006,2425,2425
1566791060,2426,2426
1566812916,2421,2421
1566834758,2399,2399
1566856926,2404,2404
1566878924,2409,2409
1566900774,2372,2372
1566922854,2370,2370
1566944921,2358,2358
1566966996,2356,2356
1566988859,2653,2653
1567010950,2800,2800
1567032973,2800,2800
1567065911,2814,2814
1567087964,2808,2808
1567109816,2902,2902
1567131872,2904,2904
1567153721,2900,2900
1567175566,2914,2914
1567197628,1858,1858
1567219702,1852,1852
1567241777,1829,1829
1567274680,1859,1859
1567296865,1850,1850
1567319064,1917,1917
1567340915,2267,2267
1567362870,2294,2294
1567384814,2325,2325
1567406675,2325,2325
1567428524,2328,2328
1567450592,2327,2327
1567472534,2322,2322
1567494512,2318,2318
1567516581,2319,2319
1567538686,2324,2324
1567560777,2329,2329
1567582819,2330,2330
1567604681,2203,2203
1567627000,2312,2312
1567649097,2377,2377
1567671154,2357,2357
1567693243,2378,2378
1567715317,2385,2385
1567737384,2397,2397
1567759237,2395,2395
1567781317,2372,2372
1567803374,2375,2375
1567836535,2368,2368
1567858599,2369,2369
1567880439,3175,3175
1567902493,3173,3173
1567924346,3223,3223
1567946211,3236,3236
1567968278,3180,3180
1567990341,3182,3182
1568023489,3175,3175
1568045545,3093,3093
1568067620,3043,3043
1568089714,3042,3042
1568112039,3041,3041
1568134104,3037,3037
1568156172,3016,3016
1568178217,4062,4062
1568200133,4039,4039
1568222450,4062,4062
1568244497,4015,4015
1568266373,3972,3972
1568288440,3673,3673
1568310503,3495,3495
1568332361,3496,3496
1568355393,3482,3482
1568377246,3481,3481
1568399336,3480,3480
1568421388,3478,3478
1568443235,3514,3514
1568465567,3591,3591
1568509743,3560,3560
1568531811,3474,3474
1568553886,2663,2663
1568575954,2665,2665
1568598027,2665,2665
1568619882,2663,2663
1568641956,2582,2582
1568675055,2581,2581
1568697157,2582,2582
1568719229,2583,2583
1568741293,2578,2578
1568763147,2577,2577
1568785208,1234,1234
1568807078,1240,1240
1568828944,1237,1237
1568850969,1238,1238
1568884124,1205,1205
1568906193,1214,1214
1568928035,1217,1217
1568950091,1230,1230
1568971942,1406,1406
1568993795,1406,1406
1569015640,1408,1408
1569037707,1375,1375
1569059772,1249,1249
1569092650,1273,1273
1569114512,1283,1283
1569136602,1470,1470
1569180737,1463,1463
1569202579,1461,1461
1569224672,1464,1464
1569246751,1619,1619
1569280122,1620,1620
1569302456,1631,1631
1569324747,1632,1632
1569346838,1632,1632
1569368903,1635,1635
1569390762,1647,1647
1569412885,1634,1634
1569435185,1613,1613
1569457470,1609,1609
1569479652,1606,1606
1569501630,1607,1607
1569523712,1602,1602
1569545554,1598,1598
1569578733,1374,1374
1569601062,1382,1382
1569623068,1382,1382
1569645135,1383,1383
1569666989,1389,1389
1569689073,1386,1386
1569711150,1387,1387
1569733323,1374,1374
1569755321,1258,1258
1569777392,1264,1264
1569799253,1265,1265
1569821299,1262,1262
1569843144,1002,1002
1569865225,880,880
1569887316,851,851
1569909173,917,917
1569931264,1114,1114
1569953324,1225,1225
1569975624,1291,1291
1569997954,1272,1272
1570020050,1272,1272
1570042339,1247,1247
1570064456,1254,1254
1570086928,1106,1106
1570108810,1140,1140
1570130689,1159,1159
1570152748,1166,1166
1570174816,1195,1195
1570196670,1218,1218
1570218754,1264,1264
1570240604,1265,1265
1570262464,1261,1261
1570284520,1262,1262
1570306816,1289,1289
1570328716,1293,1293
1570350759,1304,1304
1570372812,1307,1307
1570394693,1309,1309
1570416737,1308,1308
1570438585,1282,1282
1570460693,1284,1284
1570482754,1415,1415
1570504841,1440,1440
1570526891,1378,1378
