DateTime,AddedIPs,RemovedIPs
1564942577,6,1
1564964431,6,2
1564986275,5,0
1565008361,2,1
1565030410,0,3
1565074341,2,4
1565096573,2,6
1565118741,0,6
1565140587,0,8
1565184492,1,3
1565206368,1,4
1565228411,1,0
1565250289,0,1
1565272351,3,5
1565294467,1,3
1565316537,2,2
1565338586,1,4
1565360431,0,3
1565382289,0,2
1565404366,1,6
1565426420,1,4
1565448512,3,0
1565470596,2,2
1565503506,0,8
1565525813,0,7
1565547852,2,6
1565569985,1,11
1565592033,3,12
1565614120,0,3
1565636253,1,0
1565669362,4,2
1565691626,3,2
1565713705,3,1
1565735743,3,0
1565757616,2,1
1565779693,9,0
1565801541,1,2
1565834668,2,3
1565856512,2,0
1565878599,2,3
1565900664,3,0
1565922770,1,4
1565944815,2,1
1565966682,5,0
1566010590,3,1
1566043495,3,2
1566065538,1,3
1566087388,1,0
1566153157,1,2
1566175257,1,1
1566197304,2,2
1566219411,2,0
1566241480,1,0
1566263570,4,3
1566285643,8,2
1566307703,4,3
1566329799,19,5
1566351856,2,0
1566373984,17,12
1566396040,1,1
1566417923,3,1
1566439932,6,2
1566461805,13,1
1566483700,0,1
1566505967,0,2
1566549870,0,1
1566571973,1,3
1566594086,20,0
1566616340,3,5
1566638201,1,0
1566660071,0,1
1566682121,12,2
1566726022,4,1
1566748115,2,1
1566770169,0,1
1566792194,2,7
1566814133,2,2
1566836209,2,1
1566858288,2,3
1566880356,0,5
1566902208,4,2
1566924284,1,16
1566946358,1,3
1566979529,3,19
1567001818,0,1
1567023852,2,2
1567045707,1,7
1567067804,2,12
1567089662,3,2
1567111710,3,0
1567133772,15,0
1567166746,1,2
1567188996,2,0
1567210838,17,24
1567232901,1,1
1567254993,2,0
1567277053,0,8
1567298910,0,7
1567320773,2,4
1567342895,0,2
1567364898,0,1
1567386761,1,2
1567408837,12,0
1567430927,0,7
1567452977,1,2
1567474851,10,1
1567496913,13,1
1567518997,2,1
1567551874,1,6
1567573735,11,0
1567596052,0,3
1567618364,4,3
1567640419,4,0
1567662301,4,1
1567684337,5,4
1567706178,1,2
1567728185,9,13
1567750377,8,0
1567772441,4,0
1567794292,0,2
1567816372,3,17
1567838420,1,2
1567860271,0,1
1567882356,1,0
1567904700,23,0
1567927013,0,2
1567949061,1,0
1567971142,2,1
1567993222,2,1
1568015066,2,10
1568037181,6,2
1568070296,3,1
1568092612,2,13
1568114905,2,13
1568136750,7,2
1568180447,0,10
1568202499,3,0
1568224368,2,3
1568246603,0,3
1568268530,1,4
1568290592,1,0
1568312443,3,0
1568334489,1,3
1568356593,15,6
1568378476,1,1
1568400494,1,0
1568422582,0,3
1568444575,1,1
1568466542,4,1
1568488606,2,2
1568510665,1,33
1568532523,0,1
1568554378,1,1
1568576456,1,4
1568598497,0,1
1568620356,1,1
1568642451,0,8
1568664304,2,0
1568686361,0,2
1568708410,5,3
1568730305,11,4
1568752344,5,5
1568774188,7,1
1568796269,0,2
1568818335,0,2
1568840194,1,2
