DateTime,AddedIPs,RemovedIPs
1567419630,1,0
1567421556,1,0
1567443871,1,0
1567455868,1,0
1567457773,1,0
1567459942,0,1
1567463798,1,1
1567471479,1,0
1567479155,0,1
1567481054,1,0
1567482972,0,1
1567506565,1,2
1567518015,2,0
1567527630,1,0
1567529535,0,1
1567539378,1,0
1567543249,0,1
1567545158,0,1
1567547082,0,1
1567548979,0,1
1567550900,2,0
1567552839,2,0
1567558576,0,1
1567566986,0,1
1567586419,1,0
1567594590,0,1
1567604417,0,1
1567608261,2,0
1567614045,0,1
1567615964,1,0
1567624699,0,2
1567636090,1,1
1567639047,2,2
1567640904,0,1
1567648603,1,0
1567654577,0,1
1567656516,1,0
1567660373,2,0
1567673781,0,1
1567687721,1,0
1567691540,3,0
1567693458,0,1
1567695399,0,1
1567701168,1,0
1567702990,1,1
1567714598,1,0
1567722287,0,1
1567724229,1,1
1567726098,2,1
1567735955,0,1
1567737881,1,0
1567743655,1,0
1567745802,0,1
1567747718,0,1
1567757803,1,0
1567773402,0,1
1567775566,1,0
1567777467,0,1
1567779658,0,1
1567783458,1,0
1567785396,1,0
1567787296,1,1
1567789483,0,1
1567795238,1,0
1567799195,1,0
1567802921,1,0
1567807972,1,0
1567809888,0,1
1567811823,3,3
1567817818,1,0
1567824024,0,1
1567829804,0,1
1567835799,1,0
1567843964,0,1
1567853810,2,0
1567859773,0,1
1567861784,0,1
1567866027,1,0
1567870419,0,2
1567874217,0,1
1567881882,0,1
1567885736,0,1
1567889567,0,1
1567893401,0,1
1567898190,0,3
1567900104,1,0
1567903948,0,1
1567914047,1,0
1567915952,1,0
1567921733,0,1
1567937302,1,0
1567939245,0,1
1567941146,0,1
1567964450,2,0
1567972586,1,0
1567984603,1,1
1567986765,0,1
1567991107,1,0
1567997090,0,1
1567998996,1,0
1568000911,2,2
1568006675,1,0
1568024451,1,0
1568036188,3,0
1568042191,0,1
1568046301,1,0
1568048207,1,0
1568050113,0,2
1568054246,1,0
1568056119,1,0
1568058285,1,1
1568064038,1,0
1568071713,1,1
1568073857,1,0
1568075800,0,1
1568077729,1,0
1568085393,0,1
1568087389,0,2
1568093064,0,1
1568110846,1,1
1568114906,2,0
1568121653,1,2
1568123547,0,1
1568127424,1,0
1568133373,0,1
1568135548,0,1
1568137464,4,0
1568141351,0,1
1568145171,1,1
1568150920,1,1
1568155001,1,0
1568156894,0,1
1568158814,1,1
1568160763,0,1
1568164616,0,1
1568170369,1,0
1568176106,1,0
1568180448,1,0
1568197973,0,1
1568200134,1,2
1568205855,1,0
1568207789,0,1
1568209740,5,0
1568213542,0,1
1568223578,0,4
1568230097,1,0
1568232078,0,1
1568238056,0,1
1568242123,0,1
1568244044,2,0
1568245943,0,1
1568256972,0,1
1568259146,1,0
1568263521,1,1
1568267551,0,1
1568269466,1,0
1568283384,1,0
1568285309,0,1
1568291075,0,1
1568295411,0,5
1568303320,1,0
1568314874,3,0
1568316989,0,1
1568320840,1,0
1568328757,1,0
1568330658,1,2
1568346495,0,1
1568356598,1,1
1568369016,0,1
1568391415,1,1
1568402219,0,3
1568407938,1,1
1568413953,1,2
1568418018,0,1
1568424066,1,0
1568439617,1,0
1568441588,0,1
1568453577,3,0
1568457385,1,0
1568461235,1,0
1568479284,0,1
1568495094,0,1
1568500843,1,1
1568510666,0,1
1568516691,1,0
1568526532,0,1
1568538735,0,3
1568544495,0,1
1568548575,0,1
1568550506,1,0
1568586045,0,1
1568589864,2,0
1568596146,1,0
1568603810,0,1
1568611728,1,0
1568615806,1,0
1568635723,0,1
1568650584,7,0
1568656589,1,0
1568662579,1,0
1568672426,1,0
1568676291,0,2
1568683026,1,1
1568698831,0,1
1568700762,1,0
1568702962,0,1
1568736977,0,7
1568742761,0,1
1568748507,0,1
1568758335,0,1
1568769886,0,1
1568785940,0,1
1568805642,1,0
1568836580,1,0
1568850032,1,0
1568892746,0,1
1568922510,0,1
1568934203,0,1
1568953229,1,0
1569072275,2,0
1569082103,1,0
1569100582,1,0
1569125123,0,1
1569134913,1,0
1569151413,1,0
1569162746,0,2
1569168518,0,1
1569186987,0,1
1569221070,0,1
1569225132,1,0
1569232360,1,0
1569238104,0,1
1569270054,1,0
1569275799,2,0
1569312351,0,1
1569318277,0,1
1569357142,0,1
1569361215,0,1
1569403242,1,0
1569414090,0,1
1569428902,1,0
1569441897,1,0
1569444030,1,0
1569447904,1,0
1569459670,1,0
1569491072,1,1
1569515310,0,1
1569529477,0,1
1569531392,0,1
1569533543,0,1
1569537424,1,0
1569539314,1,0
1569545051,0,1
1569548900,1,0
1569560733,1,0
1569578187,0,1
1569612501,2,0
1569626176,0,2
1569628118,1,0
1569635782,0,1
1569647304,0,1
1569649217,1,0
1569651155,1,0
1569697734,0,1
1569714766,0,1
1569735865,0,1
1569737811,0,1
1569757212,0,1
1569781472,1,0
1569798984,1,0
1569869789,0,1
1569886341,1,1
1569890192,1,0
1569912267,1,0
1569918270,1,0
1569972746,0,1
1569976836,0,1
1569998694,0,1
1570002756,0,1
1570057967,1,0
1570101828,1,0
1570145541,0,1
1570173175,1,0
1570188509,0,1
1570231964,1,0
1570259573,0,1
1570277321,1,0
1570318125,0,1
1570361320,0,1
1570529790,1,0
1570604173,1,0
1570679307,0,1
1570688930,1,0
1570690915,0,1
1570773367,0,1
1570835790,1,0
1570877678,1,0
1570923615,0,1
1570962283,0,1
1571013146,1,0
1571015074,2,0
1571020817,1,0
1571037160,1,0
1571100761,0,2
1571102675,0,1
1571106766,0,1
1571122105,0,1
1571157876,1,0
1571207070,1,0
1571214749,1,0
1571244252,0,1
1571293694,0,1
1571299505,0,1
1571321337,1,0
1571342917,1,0
1571364112,1,0
1571385201,1,0
1571389276,1,0
1571408192,0,1
1571416097,1,0
1571420529,1,0
1571426433,2,0
1571430270,0,1
1571443721,1,0
1571451633,0,1
1571463382,1,0
1571471073,0,1
1571472975,1,0
1571477052,0,1
1571492420,1,0
1571500343,1,0
1571504177,0,1
1571506347,0,1
1571508509,1,0
1571512362,0,2
1571521946,1,0
1571529729,0,1
1571547415,1,0
1571549314,0,1
1571558981,1,1
1571570898,1,0
1571578821,0,1
1571586756,0,1
1571593234,0,1
1571598995,1,0
1571606650,0,1
1571613377,1,0
1571630672,1,0
1571634514,0,1
1571646317,1,1
1571652997,1,0
1571657077,0,1
1571685185,0,1
1571700266,0,1
1571715870,1,0
1571733655,0,1
1571769776,1,0
1571785479,1,2
1571802972,0,1
1571826252,1,0
1571854115,0,1
1571873567,0,1
1571910971,0,1
1571921302,1,0
1571958292,1,0
1572007954,0,1
1572033881,1,0
1572045860,0,1
1572095066,1,0
1572097225,1,0
1572101080,1,0
1572119357,0,1
1572134517,1,0
1572182219,0,1
1572184102,0,1
1572187965,0,1
1572216973,0,1
1572230479,1,0
1572254907,1,0
1572317537,0,1
1572337962,0,1
1572400843,1,0
1572410922,3,0
1572438540,1,0
1572477646,1,0
1572487391,0,1
1572497568,0,3
1572525620,0,1
1572559005,1,0
1572564800,0,1
1572598339,1,0
1572608449,1,0
1572645394,0,1
1572649732,1,0
1572685033,0,1
1572696768,0,1
1572715971,1,0
1572737569,0,1
1572800189,0,1
1572859259,1,0
1572900276,1,0
1572906262,1,0
1572945933,1,1
1572987399,0,1
1572991347,0,1
1573032276,0,1
1573069705,1,0
1573108886,1,0
1573116760,1,0
1573156369,0,1
1573196200,0,1
1573201231,0,1
1573399483,1,0
1573484731,0,1
1573555950,1,0
1573608511,1,0
1573642390,0,1
1573687243,1,0
1573694895,0,1
1573715306,2,0
