DateTime,AddedIPs,RemovedIPs
1575847480,0,1
1575849375,1,0
1575851311,1,0
1575853437,2,2
1575855627,2,1
1575859477,2,1
1575861620,1,0
1575865478,2,0
1575869551,2,0
1575872426,1,0
1575874340,1,1
1575876277,0,1
1575878205,0,2
1575882345,0,4
1575884205,2,1
1575886136,1,0
1575888019,0,1
1575889971,1,0
1575891887,1,1
1575894041,2,2
1575895966,3,3
1575897868,1,0
1575899833,2,0
1575901704,1,1
1575904829,0,2
1575906748,1,1
1575908652,3,1
1575911802,2,6
1575913711,3,0
1575915624,2,0
1575917556,1,0
1575919478,2,0
1575921396,1,2
1575923544,1,0
1575925710,3,1
1575927636,2,0
1575931461,2,2
1575933494,2,0
1575935304,1,0
1575937243,1,2
1575939165,0,3
1575941055,0,1
1575943019,1,1
1575944920,2,0
1575946849,2,2
1575948760,2,1
1575950929,2,1
1575952813,1,1
1575954768,1,0
1575956655,2,1
1575958827,0,1
1575960733,0,1
1575962687,1,0
1575966750,1,0
1575968902,1,0
1575970815,4,2
1575972751,2,1
1575976713,1,1
1575978888,1,1
1575980729,1,2
1575982702,0,3
1575984551,1,1
1575986694,3,2
1575988747,5,0
1575992428,3,1
1575994524,2,1
1575996518,1,4
1575998423,2,0
1576000359,1,3
1576002257,0,1
1576004173,2,4
1576006097,3,0
1576008157,0,1
1576009974,3,1
1576011874,2,3
1576014021,3,2
1576016200,1,0
1576018120,0,3
1576020309,1,1
1576022192,1,1
1576024093,0,1
1576027315,1,0
1576029156,2,1
1576031059,0,2
1576032974,4,2
1576034951,1,2
1576036974,1,2
1576038994,2,0
1576040904,2,1
1576042814,1,2
1576044762,1,0
1576046653,1,0
1576048819,1,1
1576050732,0,3
1576052654,1,1
1576055107,1,1
1576057216,1,4
1576059179,2,2
1576061055,1,0
1576063216,3,1
1576065140,1,1
1576067070,3,1
1576070438,2,1
1576072339,2,1
1576074251,2,6
1576076178,3,1
1576078088,2,0
1576080093,1,4
1576081935,1,1
1576084657,5,2
1576086734,0,1
1576088653,1,0
1576092021,3,3
1576093929,5,2
1576095896,2,2
1576097770,0,3
1576099688,2,3
1576102826,0,1
1576104733,1,0
1576106684,0,1
1576108578,0,1
1576110742,1,0
1576112929,3,1
1576114841,2,2
1576118667,2,4
1576120596,2,1
1576122792,2,0
1576124687,0,3
1576126583,1,2
1576128752,0,1
1576130752,3,1
1576132610,2,1
1576136424,2,1
1576138369,2,2
1576142431,2,1
1576144340,1,1
1576146315,2,2
1576148202,2,3
1576150102,2,1
1576152323,1,1
1576154208,2,3
