DateTime,AddedIPs,RemovedIPs
1565027087,1,0
1565030900,0,2
1565052759,1,0
1565087614,1,0
1565115141,0,1
1565119007,1,0
1565140590,0,1
1565158338,1,0
1565205146,0,1
1565245693,0,1
1565258186,1,0
1565312709,1,0
1565337855,1,0
1565400971,0,1
1565420199,1,0
1565424189,0,1
1565428339,1,0
1565432205,0,1
1565506341,0,1
1565514061,0,1
1565520009,1,0
1565607758,0,1
1565640978,1,0
1565645053,1,0
1565704868,0,1
1565728369,0,1
1565748378,1,0
1565750213,1,0
1565754016,1,1
1565799149,1,0
1565820537,1,0
1565826500,1,0
1565836097,0,1
1565838181,0,1
1565840209,0,1
1565849792,1,0
1565876428,2,0
1565880254,1,0
1565886024,0,1
1565907684,0,1
1565913387,0,1
1565936663,0,1
1565938602,1,0
1565952497,1,0
1565962094,0,1
1565967901,0,1
1565985724,1,0
1565997389,1,0
1566037983,0,1
1566067219,1,0
1566071055,0,1
1566074899,1,0
1566082572,0,1
1566092418,0,1
1566137335,0,1
1566139225,1,0
1566152905,0,1
1566160820,1,1
1566201368,1,0
1566251326,1,0
1566286100,1,0
1566288264,1,1
1566312418,0,1
1566322098,0,1
1566324166,1,0
1566372790,0,1
1566374938,0,1
1566380682,1,0
1566410197,0,1
1566412099,1,0
1566417943,1,0
1566449567,1,0
1566467161,0,1
1566500205,0,1
1566504284,0,1
1566512227,2,0
1566537396,0,2
1566553491,1,0
1566595242,1,0
1566597160,0,1
1566599082,0,1
1566600986,1,0
1566634109,1,0
1566636424,0,1
1566686893,0,1
1566720146,0,1
1566723920,1,0
1566759883,0,1
1566804773,1,0
1566810513,0,1
1566814610,1,0
1566818454,1,0
1566836212,1,0
1566891671,0,1
1566901279,0,1
1566909641,1,0
1566917579,0,1
1566923301,0,1
1566928149,2,0
1566945868,0,1
1566957785,1,0
1566995880,0,1
1567009950,1,0
1567014045,0,1
1567018388,1,0
1567038772,1,0
1567103083,0,1
1567118926,1,0
1567126980,0,1
1567149172,0,1
1567161420,1,0
1567182979,0,1
1567232434,1,0
1567248272,0,1
1567254047,1,0
1567287903,1,0
1567324372,1,0
1567340200,0,2
1567342115,1,0
1567344328,1,0
1567374281,0,1
1567410011,0,1
1567421557,1,0
1567427542,0,1
1567430464,1,0
1567433323,1,0
1567450593,1,1
1567479709,0,1
1567516140,0,1
1567523779,1,0
1567525704,1,0
1567537391,0,1
1567550902,1,0
1567558577,0,1
1567562669,1,0
1567574675,1,0
1567584534,1,0
1567594591,0,1
1567600376,1,0
1567602301,1,0
1567610212,0,1
1567612106,0,1
1567615965,1,0
1567637089,0,1
1567648604,0,1
1567650558,1,0
1567662322,0,1
1567689653,0,1
1567716501,1,0
1567732128,0,1
1567737883,0,1
1567741707,1,0
1567743656,0,1
1567745804,1,0
1567802923,0,1
1567805801,1,0
1567833887,0,1
1567842055,0,1
1567847838,1,0
1567903950,1,0
1567929392,1,0
1567934215,0,1
1567957476,0,1
1567963456,1,0
1567978627,0,1
1567984604,1,0
1567991111,0,1
1567993245,1,0
1568026372,1,0
1568048209,0,1
1568069819,1,1
1568079629,0,1
1568085394,2,0
1568094982,1,0
1568110847,1,0
1568122588,0,1
1568130278,1,0
1568148059,1,0
1568155940,0,1
1568171573,0,2
1568181129,0,1
1568186896,1,0
1568194619,1,0
1568198443,0,1
1568216446,0,1
1568218350,0,1
1568274753,0,2
1568276663,2,0
1568281018,0,1
1568297026,3,0
1568326843,1,0
1568361098,0,1
1568362946,0,2
1568366727,1,0
1568369055,1,0
1568381793,0,3
1568383980,1,0
1568454507,0,1
1568456413,1,0
1568470854,0,1
1568474695,1,0
1568542576,0,1
1568544496,0,1
1568562534,1,1
1568607661,1,0
1568609804,1,0
1568627693,1,0
1568678183,2,0
1568715444,0,1
1568735062,1,0
1568764104,0,2
1568817616,0,1
1568819783,0,1
1568821697,1,1
1568859154,1,0
1568887947,1,0
1568907628,0,1
1568911701,1,0
1568929218,0,1
1568946510,0,1
1568973183,0,1
1568975077,1,0
1568985426,1,0
1568993101,1,0
1568996943,0,1
1569004824,1,1
1569058342,1,0
1569060534,0,1
1569078221,0,1
1569091938,0,1
1569097705,1,0
1569143096,0,1
1569176191,1,0
1569184107,0,1
1569263082,0,1
1569271234,1,0
1569286119,1,0
1569339423,1,0
1569357144,0,1
1569371075,0,1
1569403244,1,0
1569412999,0,1
1569479087,1,0
1569507407,1,0
1569565003,0,1
1569594989,0,1
1569616573,1,1
1569700334,0,1
1569714014,1,0
1569785301,1,0
1569800946,0,2
1569804735,1,0
1569847934,1,0
1569852338,1,0
1569891138,0,1
1569938174,0,1
1569950707,1,0
1569986720,1,0
1570012591,1,0
1570018836,1,0
1570026493,0,1
1570043785,0,1
1570091492,1,0
1570099943,0,1
1570104235,0,1
1570176999,0,1
1570190641,1,0
1570194789,1,0
1570226068,1,0
1570275153,1,0
1570277322,0,1
1570279217,0,1
1570289058,1,0
1570386972,0,1
1570405006,0,1
1570406918,1,0
1570426471,1,0
1570432336,0,1
1570449178,1,0
1570451071,1,0
1570493345,0,1
1570512992,0,1
1570534121,0,1
1570537002,1,0
1570571208,0,1
1570600407,0,1
1570602258,1,0
1570625743,0,1
1570648121,1,0
1570733340,0,1
1570735240,1,0
1570822727,0,1
1570824531,1,0
1570840601,3,0
1570911142,0,1
1570921467,1,0
1570927542,0,3
1571008106,0,1
1571023697,1,0
1571047704,0,1
1571059480,0,1
1571066437,1,0
1571092117,1,0
1571153324,0,1
1571158462,1,0
1571167481,1,0
1571177387,0,1
1571253412,0,1
1571286260,1,0
1571326598,1,0
1571332577,0,1
1571359711,1,0
1571373632,0,1
1571407266,1,0
1571413218,0,1
1571440091,1,0
1571445847,0,1
1571472976,1,0
1571485011,1,0
1571493134,0,1
1571525315,0,1
1571569992,0,1
1571571884,1,0
1571597071,1,0
1571677946,2,0
1571683703,1,1
1571722827,0,1
1571758841,0,1
1571768451,0,1
1571772260,1,0
1571821192,1,0
1571851479,0,1
1571859164,1,0
1571908162,1,1
1571920136,0,1
1572076127,0,1
1572081857,0,1
1572088598,1,0
