DateTime,AddedIPs,RemovedIPs
1575929545,4,11
1575931463,12,10
1575933513,10,3
1575935558,7,9
1575937448,6,11
1575939390,10,11
1575941288,9,8
1575943466,9,8
1575945392,11,6
1575947329,2,10
1575949227,12,9
1575951391,15,15
1575953554,14,13
1575955482,11,12
1575957387,6,18
1575959547,16,8
1575961501,20,20
1575963396,19,23
1575965310,16,20
1575967252,18,11
1575969156,16,19
1575971064,15,13
1575973003,17,11
1575974897,17,17
1575976778,17,11
1575978890,18,9
1575980731,13,7
1575982704,11,11
1575984552,8,10
1575986737,13,11
1575988749,226,26
1575990622,20,20
1575992431,30,17
1575994526,25,20
1575996520,21,7
1575998425,14,13
1576000361,8,12
1576002259,10,173
1576004175,8,18
1576006098,8,19
1576008218,21,29
1576010416,18,19
1576012339,6,29
1576014271,7,13
1576016202,9,3
1576018122,10,13
1576020311,3,11
1576022195,7,6
1576024096,4,5
1576026127,4,9
1576028180,8,15
1576030357,6,7
1576032264,4,7
1576034215,5,2
1576036103,6,10
1576038030,12,13
1576039935,12,14
1576041879,8,12
1576043816,7,16
1576045962,7,13
1576047927,11,20
1576049800,9,16
1576051711,17,12
1576053644,7,17
1576055554,7,13
1576057488,16,14
1576059624,8,19
1576061557,7,18
1576063482,24,14
1576065378,14,17
1576067552,10,17
1576069505,7,11
1576071626,462,12
1576073550,1210,221
1576075468,16,33
1576077407,11,24
1576079331,12,39
1576081221,10,30
1576083535,13,34
1576085672,10,17
1576087478,10,5
1576089620,14,10
1576091568,7,9
1576093478,16,10
1576095380,7,20
1576097327,6,10
1576099227,8,9
1576101134,9,7
1576103079,6,12
1576105009,9,8
1576107170,8,7
1576109101,4,6
1576110994,11,3
1576112932,6,4
1576114843,7,8
1576116759,12,4
1576118669,11,6
1576120597,12,7
1576122794,13,13
1576124689,8,10
1576126584,14,13
1576128753,9,7
1576130754,13,7
1576132612,14,6
1576134515,11,15
1576136426,11,11
1576138370,9,10
1576140264,8,27
1576142433,30,9
1576144362,21,12
1576146319,9,7
1576148203,844,8
1576150103,19,23
1576152334,12,11
1576154209,19,10
1576156390,14,5
1576158262,11,762
1576160427,10,835
1576162332,8,12
1576164282,10,10
1576166174,10,11
1576168353,12,9
1576170302,9,12
1576172199,19,7
1576174113,16,10
1576176020,14,13
1576177979,15,9
1576179876,7,12
1576182031,13,8
1576183934,15,8
1576185930,8,7
1576187792,6,9
1576189702,8,3
1576191874,16,8
1576193811,8,7
1576195705,3,5
1576197615,9,9
1576199563,9,3
1576201455,21,11
1576203637,14,8
1576205532,12,8
1576207479,8,9
1576209381,11,10
1576211293,8,10
1576213466,8,13
1576215640,8,10
1576217559,11,14
1576219463,11,14
1576221406,7,13
1576223305,11,10
1576225270,9,10
1576227141,7,8
1576229053,10,9
1576230994,11,25
1576232890,10,7
1576235135,10,942
1576237000,10,14
1576238896,6,11
1576240827,14,14
1576242767,11,13
1576244663,14,13
1576246604,9,8
1576248496,5,7
1576250417,12,13
1576252357,11,11
1576254255,8,11
1576256172,5,12
1576258116,10,11
1576261270,16,27
1576263148,11,11
1576265075,9,17
1576267353,8,18
1576269179,5,12
1576271087,11,8
1576273220,10,7
1576275408,7,9
1576277555,4,16
1576279500,5,14
1576281377,11,8
1576283295,11,14
1576285496,13,14
1576287378,13,18
1576289307,7,11
1576291230,11,7
1576293175,6,8
1576295083,10,8
1576297232,8,12
1576299135,26,10
1576301069,8,5
1576302990,15,10
1576305205,24,14
1576307116,17,12
1576309247,22,12
1576311143,13,9
1576313093,17,8
1576314992,10,10
1576316925,15,10
1576318816,17,8
1576320743,14,11
1576322679,18,7
1576324581,14,9
1576326745,23,13
1576328909,20,12
1576330846,16,11
1576332754,13,9
1576334683,21,6
1576336586,22,12
1576338761,23,12
1576340661,17,8
1576342593,20,6
1576344499,12,10
1576346684,19,10
1576348836,15,14
1576351013,18,8
1576352896,16,4
1576354830,49,7
