DateTime,AddedIPs,RemovedIPs
1573951960,2,0
1573953864,1,0
1573956306,0,1
1573962032,2,0
1573968029,0,1
1573975699,0,1
1573977801,2,1
1573979790,1,1
1573981715,0,8
1573983650,0,1
1573985552,1,0
1573987466,1,0
1573993615,6,0
1573997553,2,0
1573999730,1,0
1574001618,1,0
1574005701,1,0
1574007625,1,2
1574011477,1,0
1574013376,1,0
1574025143,0,1
1574027055,0,1
1574032832,0,2
1574038596,0,2
1574040503,1,1
1574044820,1,0
1574046992,0,1
1574048898,0,1
1574050833,2,0
1574056576,1,0
1574060908,1,0
1574062820,0,1
1574064752,1,1
1574066924,5,1
1574068874,1,0
1574070746,2,1
1574075004,1,1
1574078917,0,6
1574080836,1,0
1574082780,0,1
1574084659,0,1
1574086588,0,2
1574090418,0,1
1574094528,0,1
1574096595,1,1
1574100503,0,1
1574102426,1,0
1574106255,1,0
1574114179,1,1
1574118360,1,0
1574120208,2,0
1574126199,1,0
1574128107,0,1
1574131949,0,1
1574133857,1,0
1574136151,1,1
1574138198,0,1
1574144437,0,1
1574146331,0,1
1574151460,0,1
1574153355,0,4
1574155238,0,1
1574157171,0,2
1574162206,2,2
1574168194,3,1
1574172526,1,0
1574174447,1,0
1574182373,0,1
1574188375,1,1
1574190542,1,0
1574192695,0,1
1574200583,0,1
1574204679,0,1
1574206600,0,2
1574212716,0,1
1574220284,0,1
1574222199,1,1
1574239703,2,0
1574243799,2,0
1574250020,0,2
1574254119,0,2
1574256029,0,1
1574257994,1,1
1574260110,0,1
1574274509,0,1
1574276637,0,1
1574305767,1,0
1574307620,0,1
1574325152,1,2
1574329250,0,1
1574331185,0,1
1574334987,1,0
1574340777,2,0
1574344594,0,1
1574348579,1,0
1574360696,1,0
1574391146,0,1
1574411092,0,1
1574412985,1,0
1574421404,0,1
1574427415,0,2
1574433635,0,1
1574439405,1,0
1574447304,0,1
1574459320,1,0
1574461505,2,0
1574463385,2,0
1574469154,1,0
1574476832,1,0
1574484755,1,0
1574486711,1,0
1574500617,0,1
1574510925,1,0
1574527229,0,1
1574542993,1,0
1574545219,0,1
1574547421,0,2
1574549309,0,1
1574551248,0,1
1574555075,0,1
1574562762,0,1
1574566621,1,0
1574570446,1,1
1574572594,0,1
1574580830,2,0
1574590372,2,0
1574592262,1,0
1574598266,0,1
1574602104,1,0
1574604297,1,0
1574629725,0,1
1574635488,2,0
1574653218,0,1
1574657081,0,1
1574667139,0,2
1574673639,1,0
1574675568,0,2
1574679399,0,1
1574687559,5,1
1574689465,2,1
1574705309,1,0
1574721146,0,1
1574723145,1,1
1574725005,1,0
1574728820,1,0
1574730784,1,0
1574734591,1,0
1574760035,0,1
1574769981,2,0
1574773721,0,1
1574775628,2,6
1574788604,1,0
1574792480,0,1
1574796309,1,0
1574798199,1,0
1574808274,0,1
1574810204,0,1
1574815941,0,1
1574817881,0,1
1574821948,0,1
1574845711,1,0
1574856332,0,2
1574858448,1,0
1574862261,0,2
1574874318,0,1
1574881980,0,1
1574883862,1,1
1574889885,1,0
1574899724,1,0
1574909306,1,0
1574930956,0,1
1574935451,1,0
1574941466,1,0
1574945575,0,1
1574951559,1,0
1574967397,1,0
1574971424,0,1
1574975799,0,1
1574977739,1,0
1574985873,0,1
1574996190,0,1
1575011808,1,0
1575015618,1,0
1575023306,1,1
1575027430,0,1
1575029326,1,0
1575038130,0,1
1575040180,3,0
1575046313,1,0
1575052325,0,1
1575064571,0,1
1575085002,2,0
1575091219,1,0
1575093136,1,0
1575098894,1,1
1575102991,0,1
1575104908,1,0
1575108767,1,1
1575110662,1,0
1575116677,0,1
1575125537,0,3
1575129371,1,0
1575133359,0,1
1575135380,1,0
1575145237,1,0
1575170678,0,2
1575176922,1,0
1575178817,1,1
1575180772,0,1
1575184609,0,1
1575190350,1,1
1575192256,1,0
1575194184,0,1
1575196112,0,1
1575211971,1,0
1575215788,1,1
1575222036,0,1
1575229939,1,0
1575231862,1,1
1575238833,2,0
1575244585,1,0
1575264025,0,1
1575265964,0,1
1575271699,1,0
1575275573,0,1
1575279411,0,1
1575285149,1,0
1575291160,1,0
1575296906,1,0
1575299111,1,1
1575303175,1,1
1575310826,1,0
1575314683,1,0
1575316598,1,1
1575318495,1,1
1575322601,0,1
1575326430,0,1
1575330532,2,0
1575332416,0,1
1575334352,1,0
1575340576,1,0
1575346578,1,0
1575348521,1,0
1575358342,0,1
1575366520,2,0
1575370363,1,1
1575378288,0,1
1575382116,2,0
1575384023,0,1
1575385967,0,1
1575389792,0,1
1575393625,1,0
1575395574,0,1
1575401316,0,2
1575404366,0,1
1575416196,0,2
1575420277,0,1
1575426035,0,1
1575431795,0,1
1575436588,1,1
1575452443,0,2
1575456269,0,1
1575464193,1,0
1575468323,0,2
1575470198,1,0
1575480040,0,1
1575489783,2,0
1575523474,1,1
1575525371,1,0
1575529523,1,0
1575551326,0,1
1575557320,0,1
1575564990,1,0
1575574828,0,1
1575577016,0,1
1575578945,1,0
1575584698,1,0
1575600363,1,0
1575604110,1,0
1575609858,0,1
1575611792,0,1
1575615710,0,1
1575621403,1,0
1575623315,1,0
1575629064,1,0
1575650687,0,1
1575660528,1,0
1575665586,1,1
1575671329,0,1
1575686195,0,1
1575692195,0,1
1575696041,1,0
1575703760,1,0
1575708024,0,1
1575710201,0,1
1575730361,0,1
1575746212,1,1
1575752185,0,1
1575764464,1,0
1575774298,1,0
1575782420,1,1
1575790098,0,1
1575823223,1,0
1575827324,1,0
1575833306,0,1
1575848926,1,0
1575850827,0,1
1575861638,0,1
1575869553,0,1
1575906030,1,0
1575909865,0,1
1575913714,1,1
1575917559,1,0
1575931463,1,0
1575935558,0,1
1575937448,1,0
1575957387,1,0
1575961501,1,0
1575965311,1,0
1575971065,1,0
1575978892,1,0
1575992431,1,1
1576000361,0,1
1576004175,0,1
1576006099,1,0
1576008240,1,0
1576010417,1,0
1576018122,0,1
1576024097,0,1
1576032265,1,0
1576043817,0,1
1576047927,0,1
1576051711,0,1
1576057489,0,1
1576065379,0,1
1576071626,1,0
1576075468,1,0
1576077408,1,0
1576079332,0,1
1576081221,1,0
1576091568,1,1
1576093478,0,1
1576095380,0,1
1576097327,1,0
1576118669,0,1
1576122794,1,0
1576130755,1,0
1576138371,1,0
1576150104,1,0
1576152335,1,0
1576156390,0,1
1576158263,1,0
1576162332,0,1
1576164282,0,1
1576168353,0,1
1576174115,1,0
1576177980,0,1
1576182031,2,0
1576183934,0,1
1576193811,1,0
1576197615,1,0
1576207479,1,1
1576215640,0,1
1576221407,1,0
1576225271,0,1
1576237000,1,2
1576238896,1,0
1576242768,1,0
1576244663,0,1
1576246604,1,0
1576250417,1,0
1576260235,0,1
1576270093,0,2
1576279942,0,1
1576284014,0,1
1576293873,0,1
1576307788,1,1
1576321702,1,0
1576323643,0,1
1576325558,0,1
1576329652,0,1
1576331569,0,1
1576337292,0,1
1576339401,2,0
1576341635,2,0
1576345693,1,0
1576349645,2,0
1576365434,1,0
1576367297,1,0
1576384825,1,0
1576388677,1,0
1576390593,1,0
1576394677,0,1
1576408340,0,1
1576410303,1,0
1576426343,0,2
1576428281,0,1
1576432346,1,0
1576436195,0,2
1576440986,1,0
1576452778,0,2
1576456607,0,1
1576462609,1,0
1576466435,1,0
1576470277,0,1
1576476511,0,2
1576486350,1,0
1576496193,0,1
1576500025,2,1
1576501958,2,0
1576518761,0,1
1576520690,1,0
1576526719,0,1
1576533138,1,0
1576538908,1,0
1576545184,1,0
1576547061,1,0
1576549011,0,1
1576552835,0,1
1576556683,1,0
1576572501,0,1
1576586429,0,2
1576588589,0,2
1576603504,2,0
1576607297,0,1
1576616174,2,0
1576618115,0,1
1576622418,1,0
1576624371,0,1
1576626258,1,0
1576628437,1,0
1576630333,2,1
1576632275,1,0
1576634171,0,1
1576636140,2,0
1576639248,1,0
1576641132,3,0
1576643077,1,1
1576647139,2,0
1576650014,3,0
1576660601,1,0
1576668252,1,0
1576674307,1,0
1576676197,3,0
1576678109,2,0
1576680045,2,0
1576682193,1,0
1576690128,0,2
1576696121,2,0
1576700219,1,0
1576702508,7,2
1576704512,1,0
1576710765,0,1
1576712656,0,1
1576714820,0,1
1576716736,0,2
1576718673,0,1
1576722496,0,2
1576724598,0,1
1576726590,0,2
1576728506,0,2
1576732366,0,1
1576734250,0,1
1576736196,0,3
1576745783,1,1
1576747954,1,0
1576750121,1,0
1576752018,3,0
1576753950,3,1
1576757808,1,0
1576761624,1,3
1576763555,0,3
1576765453,0,1
1576767403,0,2
1576775789,2,0
1576779859,4,0
1576781782,0,1
1576783719,0,1
1576787796,1,7
1576789723,1,2
1576803379,1,0
1576805306,1,0
1576815139,1,0
1576826901,1,0
1576831938,0,1
1576833900,0,1
1576837952,0,4
1576839949,0,3
1576843953,1,1
1576847802,1,1
1576851634,3,0
1576861498,1,2
1576865813,0,4
1576873457,0,1
1576877342,0,1
1576887623,1,0
1576889531,1,1
1576891472,0,1
1576902272,0,1
1576916195,1,0
