DateTime,AddedIPs,RemovedIPs
1567463090,1,0
1567465428,0,1
1567471216,1,0
1567478894,0,1
1567480812,1,0
1567484659,0,1
1567506584,1,2
1567518503,2,0
1567528095,1,0
1567530198,0,1
1567537833,1,0
1567541776,0,1
1567545656,0,2
1567549459,0,1
1567551402,2,0
1567553294,2,0
1567558352,0,1
1567566084,0,1
1567586225,1,0
1567594107,0,1
1567605903,0,1
1567607812,2,0
1567613669,0,1
1567615593,1,0
1567623401,0,1
1567625586,0,1
1567635159,1,0
1567637091,1,2
1567639050,1,1
1567640907,0,1
1567648606,1,0
1567654580,0,1
1567656520,1,0
1567660377,2,0
1567673784,0,1
1567687725,1,0
1567691544,3,0
1567693461,0,1
1567695402,0,1
1567701369,1,1
1567703334,1,0
1567715057,1,0
1567722030,0,1
1567723950,1,1
1567725880,2,1
1567735711,0,1
1567737623,1,0
1567743657,1,0
1567745805,0,1
1567747721,0,1
1567757805,1,0
1567773405,0,1
1567775569,1,0
1567777471,0,1
1567779663,0,1
1567783461,1,0
1567785400,1,0
1567787299,1,1
1567789490,0,1
1567795241,1,0
1567799198,1,0
1567802924,1,0
1567807985,1,0
1567809892,0,1
1567811827,3,3
1567817823,1,0
1567824028,0,1
1567829808,0,1
1567835803,1,0
1567843978,0,1
1567853814,2,0
1567859777,0,1
1567861788,0,1
1567866049,1,0
1567870440,0,2
1567874221,0,1
1567881896,0,1
1567885754,0,1
1567889570,0,1
1567893405,0,1
1567898194,0,3
1567900107,1,0
1567903953,0,1
1567914051,1,0
1567915955,1,0
1567921736,0,1
1567937308,1,0
1567939269,0,1
1567941156,0,1
1567964455,2,0
1567972590,1,0
1567984608,1,1
1567986772,0,1
1567991115,1,0
1567997095,0,1
1567999002,1,0
1568000915,2,2
1568006679,1,0
1568024456,1,0
1568036193,3,0
1568042196,0,1
1568046305,1,0
1568048211,1,0
1568050117,0,2
1568054250,1,0
1568056124,1,0
1568058289,1,1
1568064042,1,0
1568071717,1,1
1568073892,1,0
1568075804,0,1
1568077745,1,0
1568083497,0,1
1568087393,0,2
1568093068,0,1
1568110858,1,1
1568114910,2,0
1568120905,1,0
1568122812,0,3
1568126947,1,0
1568132669,0,1
1568134587,0,1
1568138601,4,0
1568140826,0,1
1568144679,0,1
1568146596,1,0
1568150420,0,1
1568152362,1,0
1568154333,1,0
1568156175,0,1
1568158357,0,1
1568160301,1,1
1568164150,0,1
1568169871,1,0
1568178272,1,0
1568180459,1,0
1568197975,0,1
1568200136,1,2
1568205856,1,0
1568207791,0,1
1568209741,5,0
1568213545,0,1
1568223580,0,4
1568230099,1,0
1568232114,0,1
1568238058,0,1
1568242126,0,1
1568244068,2,0
1568245964,0,1
1568256512,0,1
1568260579,1,0
1568262533,0,1
1568264563,1,0
1568266375,0,1
1568268329,1,0
1568282953,1,0
1568284844,0,1
1568292805,0,1
1568297086,0,5
1568304785,1,0
1568314377,3,0
1568316259,0,1
1568320843,1,0
1568328760,1,0
1568330661,1,2
1568347000,0,1
1568356611,1,1
1568369129,0,1
1568389975,0,1
1568391858,1,0
1568399791,0,1
1568401749,0,2
1568407694,1,1
1568413474,0,2
1568415379,1,0
1568417291,0,1
1568422996,1,0
1568438682,1,0
1568442518,0,1
1568452603,3,0
1568458360,1,0
1568462196,1,0
1568479700,0,1
1568493643,0,1
1568499377,1,0
1568501327,0,1
1568510212,0,1
1568526535,0,1
1568538738,0,3
1568544499,0,1
1568548587,0,1
1568550509,1,0
1568586049,0,1
1568589878,2,0
1568594203,1,0
1568611733,1,0
1568615812,1,0
1568636737,0,1
1568650589,7,0
1568656593,1,0
1568662600,1,0
1568672429,1,0
1568676296,0,2
1568683032,1,1
1568698835,0,1
1568700766,1,0
1568702979,0,1
1568736980,0,7
1568742764,0,1
1568748511,0,1
1568758339,0,1
1568769898,0,1
1568785944,0,1
1568805646,1,0
1568835141,1,0
1568848582,1,0
1568892023,0,1
1568921319,0,1
1568933084,0,1
1568953234,1,0
1569072279,2,0
1569082106,1,0
1569101584,1,0
1569124599,0,1
1569134916,1,0
1569151418,1,0
1569161561,0,2
1569167568,0,1
1569187236,0,1
1569221550,0,1
1569225439,1,0
1569232364,1,0
1569238110,0,1
1569270058,1,0
1569275802,2,0
1569311808,0,1
1569319950,0,1
1569356686,0,1
1569360746,0,1
1569404178,1,0
1569414497,0,1
1569428461,1,0
1569442351,1,0
1569444318,1,0
1569446188,1,0
1569460375,1,0
1569489972,0,1
1569491776,1,0
1569514374,0,1
1569529228,0,1
1569531138,0,1
1569533096,0,1
1569538912,2,0
1569546527,0,1
1569548436,1,0
1569562364,1,0
1569577724,0,1
1569611321,1,0
1569613229,1,0
1569625708,0,2
1569627623,1,0
1569635322,0,1
1569646993,0,1
1569648992,1,0
1569650914,1,0
