DateTime,Entries,UniqueIPs
1575931960,3760,3760
1575933859,3823,3823
1575935774,3757,3757
1575937698,3706,3706
1575939857,3692,3692
1575942015,3595,3595
1575943938,3527,3527
1575945876,3457,3457
1575947778,3409,3409
1575949941,3326,3326
1575951863,3270,3270
1575953797,3210,3210
1575955948,3144,3144
1575958128,3058,3058
1575960047,2953,2953
1575961968,2951,2951
1575963862,2945,2945
1575965789,2730,2730
1575967722,2647,2647
1575969690,2603,2603
1575971577,2550,2550
1575973458,2526,2526
1575975772,2513,2513
1575977840,2726,2726
1575979885,2817,2817
1575981855,2894,2894
1575983680,2965,2965
1575985609,3037,3037
1575987736,3101,3101
1575989548,3155,3155
1575991472,3191,3191
1575993406,3193,3193
1575995594,3226,3226
1575997469,3293,3293
1575999647,3381,3381
1576001543,3432,3432
1576003481,3573,3573
1576005641,3611,3611
1576007568,3648,3648
1576009463,3699,3699
1576011401,3745,3745
1576013291,3762,3762
1576015351,3777,3777
1576017393,3808,3808
1576019361,3805,3805
1576021215,3772,3772
1576023170,3830,3830
1576025064,3860,3860
1576027342,3927,3927
1576029158,3982,3982
1576031061,4055,4055
1576032977,4086,4086
1576034963,4119,4119
1576037064,4139,4139
1576038998,4186,4186
1576040907,4232,4232
1576042817,4238,4238
1576044765,4246,4246
1576046656,4249,4249
1576048823,4247,4247
1576050735,4247,4247
1576052658,4242,4242
1576055111,4211,4211
1576057220,4178,4178
1576059183,4145,4145
1576061061,4103,4103
1576063235,3963,3963
1576065164,3737,3737
1576067074,3658,3658
1576069513,3543,3543
1576071634,3421,3421
1576073557,3350,3350
1576075475,3291,3291
1576077413,3230,3230
1576079336,3168,3168
1576081229,3137,3137
1576084718,3058,3058
1576086739,2995,2995
1576088657,2969,2969
1576092029,2880,2880
1576093935,2879,2879
1576095902,2836,2836
1576097773,2779,2779
1576099694,2759,2759
1576102831,2739,2739
1576104738,2727,2727
1576106687,2702,2702
1576108583,2647,2647
1576110746,2584,2584
1576112941,2498,2498
1576114851,2441,2441
1576116764,2343,2343
1576118673,2289,2289
1576120602,2194,2194
1576122800,2156,2156
1576124716,2049,2049
1576126588,1934,1934
1576128759,1936,1936
1576130759,1956,1956
1576132617,1967,1967
1576134521,1966,1966
1576136431,1980,1980
1576138375,1975,1975
1576140269,1992,1992
1576142439,1995,1995
1576144366,2002,2002
1576146332,2015,2015
1576148207,1990,1990
1576150108,1992,1992
1576152339,2014,2014
1576154213,2022,2022
1576156394,2048,2048
1576158274,2045,2045
1576160431,2046,2046
1576162343,2043,2043
1576164286,2050,2050
1576166177,2041,2041
1576168358,2052,2052
1576170310,2070,2070
1576172203,2074,2074
1576174121,2074,2074
1576176031,2027,2027
1576177984,2005,2005
1576179881,1997,1997
1576182035,1991,1991
1576183938,1990,1990
1576185934,1974,1974
1576187796,1968,1968
1576189707,1968,1968
1576191943,1953,1953
1576193815,1938,1938
1576195712,1956,1956
1576197620,1958,1958
1576199583,1959,1959
1576201481,1977,1977
1576203641,1954,1954
1576205543,1967,1967
1576207483,1971,1971
1576209410,1957,1957
1576211313,1949,1949
