DateTime,Entries,UniqueIPs
1575931963,36156,36156
1575933885,36177,36177
1575935777,36180,36180
1575937701,35069,35069
1575939886,33881,33881
1575942045,32306,32306
1575943941,31105,31105
1575945882,29849,29849
1575947781,28740,28740
1575949945,27778,27778
1575951866,26740,26740
1575953810,25529,25529
1575955951,24564,24564
1575958131,23603,23603
1575960051,22678,22678
1575961971,21898,21898
1575963865,21024,21024
1575965792,20297,20297
1575967725,19555,19555
1575969693,18895,18895
1575971581,18237,18237
1575973461,17500,17500
1575975866,16612,16612
1575977842,15942,15942
1575979888,15312,15312
1575981858,14590,14590
1575983682,14036,14036
1575985611,13359,13359
1575987738,12717,12717
1575989550,12477,12477
1575991474,12467,12467
1575993409,12429,12429
1575995597,11032,11032
1575997471,10330,10330
1575999650,10340,10340
1576001545,10437,10437
1576003483,10433,10433
1576005643,10469,10469
1576007571,10482,10482
1576009465,10471,10471
1576011403,10461,10461
1576013293,10454,10454
1576015441,10475,10475
1576017395,10479,10479
1576019394,10496,10496
1576021217,10532,10532
1576023173,10510,10510
1576025066,10500,10500
1576027344,10543,10543
1576029160,10618,10618
1576031063,10652,10652
1576032979,10641,10641
1576034965,10644,10644
1576037112,10658,10658
1576039001,10672,10672
1576040910,10573,10573
1576042819,10576,10576
1576044774,10562,10562
1576046658,10541,10541
1576048825,10549,10549
1576050737,10547,10547
1576052660,10521,10521
1576055113,10513,10513
1576057222,10501,10501
1576059186,10494,10494
1576061063,10459,10459
1576063237,10473,10473
1576065165,10523,10523
1576067076,10511,10511
1576069527,10525,10525
1576071638,10524,10524
1576073559,10512,10512
1576075478,10495,10495
1576077416,10484,10484
1576079339,10463,10463
1576081232,10453,10453
1576083893,10755,10755
1576085800,11050,11050
1576087833,11026,11026
1576089880,11031,11031
1576092031,10978,10978
1576093937,10965,10965
1576095905,10948,10948
1576097776,10982,10982
1576099696,11026,11026
1576102834,10992,10992
1576104741,10983,10983
1576106690,10931,10931
1576108585,10921,10921
1576110748,10922,10922
1576112944,10926,10926
1576114875,10827,10827
1576116766,11494,11494
1576118676,12294,12294
1576120605,12289,12289
1576122803,12299,12299
1576124719,12259,12259
1576126591,12258,12258
1576128762,12275,12275
1576130781,12273,12273
1576132620,12299,12299
1576134523,12270,12270
1576136433,12254,12254
1576138377,12212,12212
1576140272,12165,12165
1576142441,12145,12145
1576144369,12174,12174
1576146334,12201,12201
1576148210,12187,12187
1576150111,12122,12122
1576152344,12088,12088
1576154224,12089,12089
1576156396,12076,12076
1576158277,12163,12163
1576160433,12164,12164
1576162345,12131,12131
1576164289,12123,12123
1576166180,12119,12119
1576168360,12056,12056
1576170314,11813,11813
1576172205,11505,11505
1576174125,11438,11438
1576176034,11433,11433
1576177988,11435,11435
1576179886,11425,11425
1576182037,11474,11474
1576183941,11418,11418
1576185936,11419,11419
1576187798,11423,11423
1576189709,11416,11416
1576191946,11446,11446
1576193829,11464,11464
1576195714,11516,11516
1576197622,11610,11610
1576199585,12118,12118
1576201483,12475,12475
1576203644,11315,11315
1576205545,11644,11644
1576207486,11926,11926
1576209412,12278,12278
1576211315,12610,12610
1576213532,12980,12980
1576215648,13333,13333
1576217581,13678,13678
1576219470,13992,13992
1576221413,14270,14270
1576223311,14589,14589
1576225277,14843,14843
1576227149,15459,15459
1576229062,15718,15718
1576231003,15657,15657
1576232906,15654,15654
1576235146,15669,15669
1576237007,15685,15685
1576238903,15673,15673
1576240864,15664,15664
1576242797,15647,15647
1576244671,15484,15484
1576246611,15451,15451
1576248503,15445,15445
1576250432,15439,15439
1576252364,15702,15702
1576254263,15966,15966
1576256179,16726,16726
1576258159,17947,17947
1576260302,19294,19294
1576262184,19562,19562
1576264392,19855,19855
1576266320,20320,20320
1576268192,20537,20537
1576270100,20809,20809
1576272038,21055,21055
1576273948,21347,21347
1576275859,21603,21603
1576277795,21874,21874
1576279957,22182,22182
1576281863,22395,22395
1576283798,22603,22603
1576285908,22788,22788
1576287924,23029,23029
1576290042,23313,23313
1576291944,23579,23579
1576293879,23739,23739
1576295780,23921,23921
1576297965,24188,24188
1576300112,24506,24506
1576302025,24824,24824
1576303963,25102,25102
1576306908,25589,25589
1576308773,25858,25858
1576310675,26010,26010
1576312572,25355,25355
1576314492,24692,24692
1576316413,24463,24463
1576318359,24219,24219
1576320264,23903,23903
1576322423,23539,23539
1576324328,23264,23264
1576326281,23006,23006
1576328172,22737,22737
1576330140,22470,22470
1576332116,22161,22161
1576333968,21910,21910
1576335898,21692,21692
1576338034,21381,21381
1576340188,21087,21087
1576342094,20845,20845
1576344036,19400,19400
1576345944,17765,17765
1576347861,17490,17490
1576350190,17579,17579
1576352174,17872,17872
1576354163,17538,17538
1576356015,17220,17220
1576357938,16945,16945
1576359880,16581,16581
1576361775,16305,16305
1576363970,15927,15927
1576365857,15635,15635
1576367784,15320,15320
1576369713,15112,15112
1576372836,14373,14373
1576374753,14070,14070
1576376682,13782,13782
1576378586,13510,13510
1576380497,13278,13278
1576382667,13028,13028
1576384846,12574,12574
1576386749,12236,12236
1576388687,11853,11853
1576390636,11535,11535
1576392751,11131,11131
1576394689,10814,10814
1576396607,10387,10387
1576398526,10362,10362
1576400652,10377,10377
1576402596,10367,10367
1576404520,10353,10353
1576406425,10341,10341
1576408349,10269,10269
1576410314,10078,10078
