DateTime,Entries,UniqueIPs
1575933888,7804,7804
1575935778,7825,7825
1575937703,7813,7813
1575939897,7805,7805
1575942047,7770,7770
1575943943,7756,7756
1575945883,7745,7745
1575947783,7743,7743
1575949946,7772,7772
1575951868,7795,7795
1575953812,7817,7817
1575955953,7809,7809
1575958133,7833,7833
1575960052,7821,7821
1575961972,7806,7806
1575963868,7791,7791
1575965794,7768,7768
1575967727,7755,7755
1575969694,7763,7763
1575971607,7768,7768
1575973463,7781,7781
1575975895,7785,7785
1575977844,7752,7752
1575979890,7739,7739
1575981860,7695,7695
1575983683,7686,7686
1575985612,7667,7667
1575987739,7648,7648
1575989552,7625,7625
1575991475,7622,7622
1575993411,7623,7623
1575995598,6210,6210
1575997473,5480,5480
1575999652,5471,5471
1576001546,5479,5479
1576003484,5464,5464
1576005644,5481,5481
1576007572,5500,5500
1576009467,5499,5499
1576011404,5485,5485
1576013294,5481,5481
1576015479,5466,5466
1576017396,5461,5461
1576019414,5434,5434
1576021219,5429,5429
1576023175,5412,5412
1576025067,5397,5397
1576027346,5456,5456
1576029161,5525,5525
1576031064,5570,5570
1576032981,5538,5538
1576034966,5573,5573
1576037133,5553,5553
1576039002,5537,5537
1576040911,5530,5530
1576042820,5527,5527
1576044775,5518,5518
1576046659,5504,5504
1576048827,5511,5511
1576050738,5496,5496
1576052662,5476,5476
1576055115,5491,5491
1576057225,5498,5498
1576059187,5478,5478
1576061064,5470,5470
1576063256,5508,5508
1576065166,5553,5553
1576067077,5543,5543
1576069529,5553,5553
1576071639,5562,5562
1576073560,5564,5564
1576075479,5559,5559
1576077417,5531,5531
1576079340,5521,5521
1576081234,5544,5544
1576083982,5594,5594
1576085822,5580,5580
1576087834,5590,5590
1576089881,5607,5607
1576092032,5587,5587
1576093939,5573,5573
1576095906,5574,5574
1576097777,5590,5590
1576099697,5581,5581
1576102835,5561,5561
1576104742,5542,5542
1576106726,5518,5518
1576108587,5515,5515
1576110753,5504,5504
1576112945,5514,5514
1576114876,5418,5418
1576116767,5350,5350
1576118677,5343,5343
1576120606,5321,5321
1576122805,5281,5281
1576124721,5261,5261
1576126592,5255,5255
1576128764,5262,5262
1576130782,5252,5252
1576132621,5264,5264
1576134524,5239,5239
1576136434,5221,5221
1576138378,5213,5213
1576140273,5193,5193
1576142442,5177,5177
1576144370,5301,5301
1576146335,5309,5309
1576148211,5301,5301
1576150112,5234,5234
1576152345,5178,5178
1576154225,5188,5188
1576156397,5183,5183
1576158278,5304,5304
1576160434,5324,5324
1576162346,5270,5270
1576164290,5255,5255
1576166181,5250,5250
1576168361,5172,5172
1576170315,5210,5210
1576172206,5219,5219
1576174126,5271,5271
1576176035,5261,5261
1576177989,5268,5268
1576179887,5280,5280
1576182038,5256,5256
1576183943,5242,5242
1576185937,5234,5234
1576187799,5236,5236
1576189710,5244,5244
1576191947,5275,5275
1576193830,5307,5307
1576195733,5306,5306
1576197623,5294,5294
1576199586,5294,5294
1576201484,5271,5271
1576203645,5242,5242
1576205546,5238,5238
1576207486,5245,5245
1576209413,5263,5263
1576211316,5281,5281
1576213533,5285,5285
1576215649,5265,5265
1576217584,5242,5242
1576219471,5236,5236
1576221414,5240,5240
1576223311,5231,5231
1576225278,5883,5883
1576227150,7066,7066
1576229064,7496,7496
1576231005,7400,7400
1576232909,7390,7390
1576235147,7435,7435
1576237008,7530,7530
1576238921,7509,7509
1576240866,7511,7511
1576242798,7505,7505
1576244672,7307,7307
1576246612,7282,7282
1576248504,7281,7281
1576250433,7271,7271
1576252365,7252,7252
1576254264,7256,7256
1576256180,7251,7251
1576258159,7229,7229
1576260308,7219,7219
1576262185,7229,7229
1576264393,7202,7202
1576266323,7193,7193
1576268193,7200,7200
1576270101,7187,7187
1576272039,7172,7172
1576273949,7175,7175
1576275860,7160,7160
1576277796,7154,7154
1576279977,7250,7250
1576281881,7259,7259
1576283800,7279,7279
1576285909,7292,7292
1576287925,7283,7283
1576290043,7291,7291
1576291945,7307,7307
1576293880,7312,7312
1576295782,7310,7310
1576297967,7295,7295
1576300113,7291,7291
1576302026,7297,7297
1576303964,7316,7316
1576305944,7329,7329
1576307806,7328,7328
1576309747,7429,7429
1576311649,6715,6715
1576313579,5508,5508
1576315485,5099,5099
1576317399,5088,5088
1576319557,5120,5120
1576321709,5055,5055
1576323654,4939,4939
1576325565,4926,4926
1576327474,4929,4929
1576329659,4917,4917
1576331579,4916,4916
1576333460,4898,4898
1576335402,4914,4914
1576337300,4897,4897
1576339475,4872,4872
1576341646,4866,4866
1576343793,4864,4864
1576345722,4852,4852
1576347643,4881,4881
1576349658,5230,5230
1576351525,6034,6034
1576353913,6087,6087
1576355789,6112,6112
1576357726,6115,6115
1576359631,6109,6109
1576361559,6098,6098
1576363500,6101,6101
1576365447,6089,6089
1576367309,6037,6037
1576369242,6055,6055
1576371180,6138,6138
1576373092,6159,6159
1576375007,6158,6158
1576376922,6149,6149
1576379159,6112,6112
1576380989,6094,6094
1576382936,6067,6067
1576384848,6035,6035
1576386751,6037,6037
1576388689,6035,6035
1576390638,6020,6020
1576392753,6033,6033
1576394690,6046,6046
1576396608,5905,5905
1576398527,5912,5912
1576400653,5921,5921
1576402597,5899,5899
1576404522,5887,5887
1576406426,5862,5862
1576408350,5850,5850
1576410315,5859,5859
1576412224,5869,5869
1576414354,5867,5867
1576416298,5897,5897
1576418221,5913,5913
1576420432,5888,5888
1576422336,5838,5838
1576424447,5832,5832
1576426376,5836,5836
1576428293,5869,5869
1576430211,5903,5903
1576432359,5931,5931
1576434273,5937,5937
1576436209,5948,5948
1576438113,5939,5939
1576440321,5936,5936
1576442196,5918,5918
1576444112,5914,5914
1576446021,5956,5956
1576447963,5983,5983
1576449883,5999,5999
1576452040,6056,6056
1576453957,6080,6080
1576455874,6045,6045
1576457787,6060,6060
1576459715,6055,6055
1576461885,6077,6077
1576464041,6073,6073
1576465941,6076,6076
1576467885,6082,6082
1576469789,6121,6121
1576471983,6128,6128
1576473879,6151,6151
1576475781,6185,6185
1576477948,6190,6190
1576480133,6153,6153
1576482044,6170,6170
1576484215,6154,6154
1576486384,6145,6145
1576488281,6166,6166
1576490221,6169,6169
1576492132,6182,6182
1576494360,6192,6192
1576496203,6193,6193
1576498169,6185,6185
1576500090,6195,6195
1576501969,6179,6179
1576503897,6171,6171
1576505850,6175,6175
1576508012,6184,6184
1576509914,6199,6199
1576511800,6192,6192
1576513715,6218,6218
1576515928,6211,6211
1576518044,6215,6215
1576520248,5730,5730
1576522120,5028,5028
1576524145,5042,5042
1576526212,5056,5056
1576528392,5097,5097
1576530649,5117,5117
1576532695,5089,5089
1576534592,5113,5113
1576536759,4886,4886
1576538689,4860,4860
1576540636,4856,4856
1576542504,4870,4870
1576544770,4857,4857
1576546613,4891,4891
1576548582,4881,4881
1576550480,4895,4895
1576552648,4891,4891
1576554818,4873,4873
1576556694,4838,4838
1576558626,4816,4816
1576560512,4816,4816
1576562705,4788,4788
1576564600,4780,4780
1576566504,4792,4792
1576568430,4773,4773
1576570625,4793,4793
1576572511,4803,4803
1576574703,4759,4759
1576576589,4761,4761
1576578793,4750,4750
1576580763,4741,4741
1576582682,4722,4722
1576584536,4755,4755
1576586440,4763,4763
1576588596,4780,4780
1576590742,4816,4816
1576592695,4799,4799
1576594581,4769,4769
1576596755,4722,4722
1576598731,4710,4710
1576600601,4710,4710
1576602514,4689,4689
1576604423,4670,4670
1576606362,4663,4663
1576608275,4629,4629
1576610432,4623,4623
1576612377,4602,4602
1576614263,4605,4605
1576616197,4607,4607
1576618123,4620,4620
1576620315,4625,4625
1576622434,4642,4642
1576624379,4654,4654
1576626267,4626,4626
1576628450,4625,4625
1576630340,4627,4627
1576632284,4663,4663
1576634180,4689,4689
1576636149,4700,4700
1576638361,4695,4695
1576640197,4703,4703
1576642110,4711,4711
1576644021,4714,4714
1576645960,4683,4683
1576647859,4699,4699
1576649780,4702,4702
1576651731,4686,4686
1576653613,4667,4667
1576655537,4651,4651
1576657457,4622,4622
1576659401,4609,4609
1576661320,4614,4614
1576663480,4587,4587
1576665619,4611,4611
1576667544,4742,4742
1576669480,5473,5473
1576671399,5950,5950
1576673577,6741,6741
1576675482,7179,7179
1576677381,7901,7901
1576679316,8599,8599
1576681546,9410,9410
1576683619,10188,10188
1576685569,10826,10826
1576687459,11554,11554
1576689414,12156,12156
1576691330,12800,12800
1576693232,13362,13362
1576695135,14065,14065
1576697079,14782,14782
1576699460,15629,15629
1576701380,16433,16433
1576703325,17170,17170
1576705223,18018,18018
1576707150,18735,18735
1576709072,19546,19546
1576711235,20290,20290
1576713143,21045,21045
1576715075,21742,21742
1576716982,22567,22567
1576719148,23263,23263
1576721040,23893,23893
1576722995,24629,24629
1576724924,25253,25253
1576726822,25972,25972
1576728766,26579,26579
1576730665,27351,27351
1576732849,28120,28120
1576734758,28500,28500
1576736661,28493,28493
1576738571,28494,28494
1576740526,28480,28480
1576742603,28476,28476
1576744588,28487,28487
1576746507,28504,28504
1576748446,28507,28507
1576750356,28605,28605
1576752273,28611,28611
1576754467,28268,28268
1576756355,27623,27623
1576758270,27101,27101
1576760178,26390,26390
1576762109,25920,25920
1576764315,25143,25143
1576766448,24262,24262
1576768603,23467,23467
1576770520,22698,22698
1576772654,21970,21970
1576774574,21232,21232
1576776492,20656,20656
1576778626,19991,19991
1576780852,19214,19214
1576782759,18568,18568
1576784690,17821,17821
1576786844,16988,16988
1576788737,16159,16159
1576790665,15430,15430
1576792610,14579,14579
1576794805,13774,13774
1576796745,13090,13090
1576798605,12371,12371
1576800508,11676,11676
1576802433,10810,10810
1576804362,10072,10072
1576806287,9343,9343
1576808209,8742,8742
1576810361,7883,7883
1576812262,7284,7284
1576814211,6571,6571
1576816100,5909,5909
1576818378,5056,5056
1576820195,4365,4365
1576822122,4316,4316
1576824025,4319,4319
1576825984,4362,4362
1576827859,4370,4370
1576830042,4368,4368
1576831943,4364,4364
1576833910,4357,4357
1576835806,4276,4276
1576837959,4278,4278
1576839953,4281,4281
