DateTime,AddedIPs,RemovedIPs
1551542971,0,2
1551576016,1,1
1551663879,0,2
1551685960,1,0
1551709548,2,1
1551797539,0,1
1551819397,0,1
1551841317,3,0
1551863303,0,1
1551885162,1,0
1551972805,3,0
1551994832,2,0
1552060923,0,2
1552082926,0,1
1552104995,1,2
1552127061,1,0
1552171234,1,1
1552281138,0,1
1552325311,1,2
1552347388,0,1
1552369260,1,0
1552391314,1,0
1552435422,0,2
1552457337,1,1
1552479381,1,1
1552523298,1,0
1552567241,0,1
1552589102,0,2
1552611157,0,2
1552699000,1,0
1552720844,0,1
1552742927,0,1
1552764974,0,1
1552786833,0,1
1552808915,1,0
1552853093,1,0
1552875143,1,0
1552919093,1,0
1552942617,0,1
1552964496,0,1
1552986516,0,1
1553008583,2,0
1553030429,1,0
1553052270,1,0
1553074131,1,2
1553118269,0,1
1553272025,1,0
1553293967,0,1
1553448028,0,1
1553470495,1,1
1553514285,0,1
1553536378,1,0
1553602353,1,0
1553624395,0,3
1553668364,0,1
1553690448,0,1
1553822915,1,0
1553866843,1,0
1553888694,0,1
1554064366,0,1
1554130348,0,1
1554196603,0,1
1554218676,1,0
1554306753,2,0
1554328598,1,0
1554372514,2,0
1554394364,1,0
1554460363,0,1
1554483197,1,0
1554548932,1,0
1554592843,3,0
1554614913,2,0
1554636980,1,0
1554658822,1,0
1554680693,2,0
1554746586,2,0
1554768546,0,1
1554812455,0,1
1554878681,1,0
1554922890,0,2
1554944921,1,1
1554966771,1,0
1554988821,0,3
1555032751,1,0
1555054819,1,0
1555076663,1,0
1555098531,0,1
1555164525,0,1
1555208664,0,3
1555230773,1,1
1555252833,0,1
1555274680,0,3
1555340681,0,2
1555362771,1,0
1555384618,1,0
1555472902,0,1
1555516955,1,0
1555540385,1,0
1555562438,0,1
1555584516,0,1
1555606418,1,0
1555650524,1,2
1555672617,0,1
1555716514,0,1
1555826209,1,0
1555958417,0,1
1556002361,0,1
1556024205,1,0
1556134585,1,2
1556156429,0,1
1556200343,0,1
1556233463,1,0
1556255541,0,1
1556409399,0,1
1556431307,1,1
1556541654,1,0
1556629723,0,1
1556739640,1,1
1556827723,0,1
1557025324,0,1
1557069180,1,0
1557113323,1,0
1557135170,1,0
1557157221,0,1
1557179321,1,0
1557355568,0,1
1557663154,0,1
1557706874,1,1
1557750744,0,1
1557772611,1,0
1557794661,0,1
1557948263,1,0
1558146769,1,0
1558278786,1,0
1558300846,0,1
1558366581,0,1
1558520210,1,0
1558564113,0,1
1558608018,1,0
1558652191,1,0
1558740041,0,1
1558850564,1,0
1558872498,0,1
1558960572,2,0
1558982487,1,0
1559137216,1,1
1559203351,0,1
1559247678,0,1
1559269729,1,0
1559313926,2,0
1559445878,1,0
1559467964,0,1
1559555809,0,1
1559577684,0,2
1559732894,0,1
1559754738,1,0
1559820754,1,0
1559886995,1,1
1559908840,1,1
1559930688,1,1
1559952993,1,0
1559975071,1,0
1560041065,0,1
1560063136,1,0
1560239060,1,0
1560304883,1,0
1560370823,0,1
1560414752,0,1
1560502990,1,1
1560524917,0,1
1560546772,0,2
1560568828,1,0
1560590911,1,1
1560766884,1,0
1560833369,1,1
1560899283,0,1
1561053677,1,0
1561097566,0,1
1561185626,0,1
1561207723,0,1
1561317875,1,0
1561362055,0,1
1561384107,1,0
1561428108,0,1
1561494037,1,0
1561626106,1,0
1561669964,0,1
1561713885,1,0
1561758037,1,0
1561890529,1,0
1561912636,0,1
1561934689,1,0
1562000909,0,1
1562066945,1,0
1562111068,0,1
1562177299,1,0
1562221231,2,1
1562331191,0,1
1562353343,1,1
1562485488,0,1
1562551724,1,1
1562683722,0,1
1562771923,1,1
1562815969,0,2
1562904323,1,0
1562970306,0,1
1562992349,1,0
1563058356,1,0
1563146490,0,1
1563344431,1,0
1563366289,0,1
1563498089,1,1
1563586098,0,1
1563630033,1,0
1563673958,0,1
1563695819,1,0
1563739697,1,0
1563805485,1,0
1563937377,0,1
1564112913,0,1
1564200985,1,0
1564222842,1,0
1564244898,0,1
1564266761,1,0
1564310674,0,1
1564332739,0,1
1564421085,0,1
1564509219,1,0
1564564112,1,0
1564806026,0,1
1564827876,0,1
1564872011,1,1
1564937788,2,0
1564981979,1,0
1565113939,0,1
1565157702,0,1
1565179720,1,0
1565201776,1,0
1565399437,1,0
1565487164,0,1
1565509217,1,1
1565531091,0,1
1565553161,0,1
1565597326,0,1
1565773322,0,1
1565795325,0,1
1565993329,0,1
1566059569,1,0
1566103728,0,1
1566147758,1,0
1566257802,1,0
1566367952,1,0
1566456046,1,0
1566610346,1,0
1566632243,1,0
1566676412,0,1
1566720748,1,0
1566764660,0,1
1566852541,0,1
1566973534,0,1
1567061571,0,1
1567216362,1,1
1567238208,0,1
1567326522,0,1
1567567976,1,0
1567612110,2,0
1567821142,0,1
1568173699,0,1
1568195608,0,2
1569850100,7,0
1569871971,5,0
1570026029,5,0
1570103100,3,0
1570169327,12,0
1570367804,5,0
1570455896,0,10
1570477948,0,1
1570544102,8,0
1570632505,6,5
1570698556,0,3
1570786838,0,12
1570896681,4,0
1570962769,0,6
1570984825,8,0
1571139143,0,8
1571227342,0,1
1571249305,0,5
1571271387,1,0
1571315309,1,0
1571337166,8,0
1571403172,1,0
1571436541,1,0
1571458577,2,0
1571480435,1,0
1571502302,0,4
1571524341,1,0
1571568274,1,0
1571590364,5,8
1571623497,1,0
1571667879,5,0
1571689961,1,0
1571712024,1,0
1571734128,1,0
1571756183,3,0
1571778119,2,0
1571822197,2,0
1571865894,1,0
1571887946,0,1
1571932125,0,8
1571954200,2,0
1571976134,2,0
1571998121,0,1
1572019982,5,1
1572064351,0,2
1572086462,2,1
1572108527,1,0
1572130400,1,1
1572174778,1,1
1572196849,6,5
1572218912,1,0
1572241064,1,0
1572263078,9,7
1572318280,1,2
1572340169,3,1
1572362197,1,2
1572384043,1,2
1572428450,1,2
1572450536,2,0
1572472599,2,1
1572505490,2,0
1572527816,1,0
1572549861,2,1
1572571724,1,1
1572593619,2,1
1572615640,4,0
1572637726,7,5
1572659787,1,0
1572681873,0,1
1572703720,11,2
1572747898,1,1
1572791801,7,3
1572813890,1,6
1572835958,3,1
1572857853,1,2
1572879992,0,8
1572902239,7,0
1572924318,1,1
1572946478,0,3
1572969030,1,1
1572991521,8,1
1573035408,1,1
1573057394,10,2
1573079572,1,2
1573101621,0,1
1573123484,1,2
1573145550,4,1
1573201026,1,2
1573223090,6,4
1573245159,1,7
1573311181,5,10
1573355538,0,1
1573377638,1,0
1573399487,0,7
1573421554,0,2
1573443463,0,2
1573465472,1,1
1573487347,0,8
1573509403,2,1
1573564822,0,1
1573586668,0,7
1573608521,0,1
1573630402,2,0
1573652432,14,8
1573674287,1,0
1573696345,3,1
1573718240,1,1
1573740189,6,6
1573762343,1,0
1573806510,2,1
1573828602,1,7
1573850687,2,1
1573905870,3,7
1573994431,2,1
1574016515,1,0
1574060530,0,1
1574082502,6,0
1574104395,1,1
1574126418,0,1
1574170356,1,0
1574192699,1,0
1574247938,2,14
1574270194,1,1
1574292053,1,2
1574314374,0,2
1574336422,1,5
1574358312,0,2
1574402210,3,1
1574424169,0,2
1574446360,3,1
1574468200,0,1
1574512359,0,4
1574556515,1,0
1574600701,0,4
1574622753,2,1
1574666682,1,0
1574689016,2,6
1574710860,4,1
1574732916,4,0
1574754766,2,0
1574787914,4,1
1574809949,1,1
1574832076,2,1
1574854363,3,1
1574876225,1,1
1574898282,1,1
1574920130,1,0
1574942189,1,1
1574964100,2,0
1574985971,1,0
1575007962,2,3
1575029823,1,0
1575051924,1,3
1575073975,2,0
1575096030,1,0
1575118119,2,0
1575140179,1,0
1575162173,2,1
1575184108,2,0
1575206212,2,0
1575228281,1,2
1575250353,2,0
1575272196,1,1
1575294284,2,2
1575316128,0,4
1575337969,2,4
1575360095,1,1
1575382125,3,3
1575404385,1,2
1575426256,2,2
1575448136,1,2
1575470206,2,2
1575492267,2,0
1575514141,1,1
1575536169,2,1
