DateTime,AddedIPs,RemovedIPs
1575933890,10,6
1575935779,22,12
1575937706,20,8
1575939908,19,8
1575942048,14,20
1575943947,9,13
1575945884,9,11
1575947783,8,18
1575949947,21,13
1575951869,11,7
1575953840,13,8
1575955954,9,7
1575958134,12,15
1575960053,9,5
1575961973,7,8
1575963869,11,9
1575965795,10,12
1575967728,9,11
1575969695,11,12
1575971609,11,12
1575973464,14,9
1575975907,18,11
1575977845,17,6
1575979893,9,9
1575981862,13,9
1575983684,11,14
1575985612,10,3
1575987741,9,10
1575989553,10,5
1575991476,9,8
1575993415,17,11
1575995599,9,11
1575997478,15,12
1575999656,17,11
1576001547,15,7
1576003485,5,8
1576005645,9,13
1576007573,12,8
1576009468,13,6
1576011405,13,5
1576013294,14,9
1576015491,11,25
1576017400,15,11
1576019416,13,19
1576021219,10,18
1576023175,10,15
1576025068,9,26
1576027346,13,15
1576029162,12,9
1576031065,9,10
1576032983,12,8
1576034967,15,13
1576037174,18,20
1576039026,14,8
1576040915,8,13
1576042821,17,8
1576044775,5,10
1576046661,11,10
1576048829,6,8
1576050739,7,10
1576052666,10,13
1576055116,9,12
1576057228,8,10
1576059188,11,14
1576061065,8,13
1576063260,16,18
1576065167,14,11
1576067078,12,10
1576069529,14,20
1576071640,20,9
1576073561,9,12
1576075480,13,10
1576077418,9,10
1576079341,14,17
1576081236,9,8
1576084024,23,20
1576086288,11,17
1576088192,5,13
1576090343,13,8
1576092308,10,6
1576094172,8,16
1576096345,13,11
1576099230,11,23
1576101136,11,11
1576103082,6,16
1576105012,6,13
1576107173,15,12
1576109114,6,7
1576110997,6,11
1576112946,19,11
1576114877,5,16
1576116768,10,7
1576118678,8,10
1576120607,13,16
1576122806,9,19
1576124722,10,12
1576126593,6,12
1576128764,6,17
1576130784,12,6
1576132622,12,9
1576134525,5,7
1576136435,8,8
1576138379,5,7
1576140274,16,10
1576142444,15,7
1576144370,9,10
1576146336,10,9
1576148212,11,8
1576150112,12,14
1576152346,10,14
1576154226,4,9
1576156398,6,17
1576158280,8,20
1576160435,10,9
1576162346,5,13
1576164291,12,9
1576166182,8,15
1576168362,9,11
1576170317,14,15
1576172208,9,10
1576174127,10,5
1576176036,7,12
1576177990,5,10
1576179888,7,7
1576182039,9,11
1576183943,7,13
1576185938,12,8
1576187800,12,13
1576189711,9,4
1576191948,9,8
1576193832,10,13
1576195734,10,5
1576197624,13,11
1576199587,6,14
1576201485,7,6
1576203646,5,11
1576205547,9,10
1576207487,12,10
1576209414,11,8
1576211317,9,8
1576213534,7,4
1576215650,9,10
1576217585,5,13
1576219486,5,9
1576221415,4,6
1576223312,12,7
1576225279,3,9
1576227151,7,14
1576229064,8,16
1576231009,5,6
1576232909,17,10
1576235148,3,17
1576237009,3,6
1576238922,4,9
1576240866,4,8
1576242799,4,4
1576244672,4,7
1576246613,3,7
1576248505,3,9
1576250435,0,12
1576252367,1,8
1576254265,1,8
1576256181,2,14
1576258160,6,10
1576260309,2,9
1576262186,1,9
1576264394,2,6
1576266324,7,8
1576268194,1,7
1576270101,3,8
1576272040,5,9
1576273950,2,13
1576275860,6,7
1576277797,0,8
1576279978,6,11
1576281892,5,9
1576283801,6,14
1576285910,1,9
1576287926,2,8
1576290044,4,7
1576291946,5,10
1576293881,5,12
1576295782,9,12
1576297968,6,9
1576300114,3,10
1576302027,3,6
1576303965,6,3
1576305967,2,8
1576307807,6,5
1576309748,1,12
1576311650,2,3
1576313581,8,10
1576315485,3,8
1576317400,6,6
1576319559,5,18
1576321710,0,3
1576323655,4,3
1576325566,4,4
1576327475,5,4
1576329660,2,5
1576331580,4,4
1576333461,6,4
1576335403,1,1
1576337300,5,0
1576339476,10,3
1576341646,6,2
1576343794,4,5
1576345723,2,2
1576347646,2,1
1576349660,1,3
1576351538,4,4
1576353914,2,4
1576355790,5,2
1576357727,6,5
1576359631,7,2
1576361561,3,6
1576363502,3,1
1576365449,9,1
1576367311,6,10
1576369243,20,3
1576371180,17,3
1576373093,2,2
1576375008,4,2
1576376923,5,5
1576379170,2,7
1576380990,5,5
1576382937,2,10
1576384849,3,3
1576386752,3,2
1576388690,3,4
1576390639,3,5
1576392763,4,3
1576394691,5,6
1576396609,2,0
1576398528,4,2
1576400655,4,10
1576402598,3,5
1576404523,1,3
1576406427,2,4
1576408351,7,1
1576410317,3,4
1576412226,4,3
1576414356,6,5
1576416299,7,2
1576418223,2,4
1576420433,0,7
1576422337,1,1
1576424448,6,11
1576426377,1,5
1576428294,8,4
1576430212,2,4
1576432361,4,3
1576434274,2,1
1576436210,1,1
1576438119,2,5
1576440326,3,1
1576442200,4,5
1576444113,4,6
1576446022,7,7
1576447964,6,3
1576449884,5,3
1576452041,4,9
1576453958,6,8
1576455875,3,20
1576457789,7,16
1576459737,1,1
1576461888,1,4
1576464042,0,6
1576465942,3,2
1576467886,7,5
1576469792,5,2
1576471984,10,2
1576473884,3,6
1576475783,3,1
1576477952,5,4
1576480135,5,5
1576482045,4,3
1576484217,7,3
1576486385,6,4
1576488284,3,5
1576490222,6,0
1576492134,5,2
1576494361,6,6
1576496204,7,5
1576498170,2,2
1576500092,2,7
1576501970,1,6
1576503899,3,4
1576505851,1,0
1576508013,9,1
1576509916,3,1
1576511803,0,6
1576513719,3,1
1576515931,10,8
1576518045,10,5
1576520250,6,1
1576522122,9,2
1576524147,6,2
1576526214,6,2
1576528394,3,4
1576530650,5,6
1576532696,7,7
1576534593,6,5
1576536762,9,6
1576538689,5,3
1576540637,3,6
1576542504,4,4
1576544771,3,6
1576546614,4,2
1576548584,4,0
1576550483,8,0
1576552649,5,4
1576554821,3,6
1576556695,3,7
1576558627,3,8
1576560513,7,3
1576562710,8,3
1576564601,4,6
1576566505,4,4
1576568431,5,4
1576570626,7,7
1576572513,8,5
1576574704,5,4
1576576590,5,6
1576578794,4,5
1576580764,7,6
1576582683,2,8
1576584537,5,1
1576586440,6,2
1576588597,4,2
1576590743,4,2
1576592702,3,5
1576594583,4,5
1576596756,1,3
1576598732,3,2
1576600603,5,6
1576602518,4,6
1576604427,0,9
1576606363,7,4
1576608276,5,10
1576610433,3,7
1576612378,1,5
1576614263,4,3
1576616197,5,6
1576618123,8,4
1576620320,9,5
1576622435,6,10
1576624380,5,7
1576626268,4,3
1576628450,6,3
1576630341,4,4
1576632285,9,3
1576634181,2,5
1576636149,5,7
1576638379,4,6
1576640199,2,1
1576642111,6,5
1576644022,3,2
1576645961,4,6
1576647860,5,7
1576649781,2,7
1576651733,2,3
1576653614,7,5
1576655538,2,6
1576657459,4,4
1576659404,6,8
1576661320,6,5
1576663494,4,4
1576665621,5,8
1576667545,3,3
1576669481,4,3
1576671404,4,5
1576673578,5,6
1576675483,6,4
1576677382,8,3
1576679317,2,4
1576681547,6,3
1576683620,4,2
1576685570,7,2
1576687460,2,6
1576689414,7,3
1576691334,4,2
1576693232,3,7
1576695139,3,3
1576697080,2,3
1576699478,4,3
1576701381,7,3
1576703326,3,9
1576705224,1,4
1576707151,2,9
1576709077,7,5
1576711240,4,6
1576713144,10,6
1576715076,2,5
1576716983,4,3
1576719152,3,8
1576721050,4,2
1576722996,5,5
1576724925,5,4
1576726823,3,2
1576728766,10,7
1576730666,5,2
1576732853,5,6
1576734759,3,4
1576736662,4,1
1576738572,3,5
1576740530,5,5
1576742665,2,2
1576744589,1,7
1576746508,5,4
1576748447,2,6
1576750358,3,3
1576752275,4,5
1576754468,3,3
1576756356,5,4
1576758270,8,4
1576760179,3,4
1576762110,4,9
1576764322,5,5
1576766450,2,4
1576768605,4,6
1576770521,5,4
1576772656,5,5
1576774575,4,4
1576776494,3,7
1576778660,8,3
1576780853,5,3
1576782759,3,3
1576784691,3,1
1576786846,3,7
1576788738,1,5
1576790666,3,3
1576792610,5,1
1576794806,8,6
1576796746,2,3
1576798605,1,11
1576800509,6,3
1576802433,5,2
1576804363,0,5
1576806288,4,2
1576808209,2,5
1576810362,9,5
1576812262,9,5
1576814212,8,6
1576816100,8,8
1576818381,3,6
1576820196,3,3
1576822122,5,2
1576824026,5,6
1576825985,2,0
1576827860,6,6
1576830043,5,1
1576831943,5,4
1576833913,4,3
1576835807,1,2
1576837963,2,4
1576839954,2,3
1576841789,1,4
1576843958,8,9
1576845895,1,2
1576847807,1,5
1576849738,5,5
1576851641,4,2
1576853599,3,3
1576855467,2,5
1576857400,3,3
1576859324,2,6
1576861505,4,4
1576863625,3,6
1576865819,4,7
1576867725,2,2
1576869623,5,3
1576871535,2,3
1576873463,3,4
1576875377,5,1
