DateTime,AddedIPs,RemovedIPs
1575906554,1,3
1575908436,2,1
1575910375,6,2
1575912301,6,3
1575914197,2,1
1575916121,1,0
1575918294,2,2
1575920208,1,1
1575922121,0,1
1575924039,1,2
1575926249,0,10
1575928149,2,1
1575930025,2,2
1575931968,1,0
1575933891,3,1
1575935780,4,0
1575937707,2,1
1575939912,7,0
1575942049,4,5
1575943948,1,5
1575945885,1,1
1575947784,3,1
1575949948,5,1
1575951869,3,1
1575953840,1,1
1575955955,7,2
1575958134,5,6
1575960053,7,0
1575961974,3,0
1575963869,2,3
1575965795,2,0
1575967728,2,3
1575969696,3,5
1575971610,7,3
1575973464,5,4
1575975911,1,1
1575977845,0,11
1575979894,0,11
1575981862,2,3
1575983685,5,2
1575985613,4,1
1575987741,1,2
1575989553,4,2
1575991476,1,1
1575993415,1,2
1575995600,3,3
1575997478,4,5
1575999656,1,5
1576001547,0,2
1576003485,2,2
1576005645,5,1
1576007573,3,1
1576009469,2,0
1576011405,4,1
1576013295,2,0
1576015495,6,2
1576017410,0,3
1576019417,3,2
1576021220,1,4
1576023176,1,1
1576025069,1,7
1576027347,0,5
1576029162,4,1
1576031065,5,1
1576032983,4,2
1576034967,4,4
1576037178,1,4
1576039027,3,3
1576040915,3,1
1576042821,3,8
1576044776,0,5
1576046661,2,5
1576048830,0,4
1576050739,2,1
1576052666,6,2
1576055116,4,3
1576057229,2,7
1576059188,5,7
1576061065,3,1
1576063261,2,0
1576065167,2,0
1576067078,2,1
1576069530,5,5
1576071640,3,3
1576073562,1,2
1576075481,4,5
1576077418,2,1
1576079341,0,1
1576081236,6,1
1576084038,0,6
1576086291,1,1
1576088192,1,0
1576090344,3,3
1576092308,1,5
1576094172,2,2
1576096345,3,2
1576099230,6,5
1576101137,2,4
1576103082,2,3
1576105012,1,1
1576107173,4,3
1576109114,2,1
1576110997,4,1
1576114877,1,4
1576116769,2,3
1576118678,3,4
1576120607,2,3
1576122809,2,4
1576124722,1,2
1576126593,0,4
1576128765,1,3
1576130784,1,0
1576132622,0,2
1576134525,5,0
1576136436,0,1
1576138379,3,3
1576140274,2,6
1576142444,3,3
1576144371,5,3
1576146336,1,3
1576148212,3,3
1576150113,3,2
1576152346,2,4
1576154227,2,3
1576156398,2,3
1576158280,3,2
1576160435,2,2
1576162347,5,4
1576164291,6,1
1576166182,0,2
