DateTime,AddedIPs,RemovedIPs
1575798264,1,3
1575800428,0,3
1575802350,1,0
1575804263,2,1
1575806198,1,0
1575808101,3,3
1575811000,2,1
1575813187,0,3
1575815060,0,1
1575817009,1,2
1575821111,1,0
1575823233,1,1
1575825418,2,1
1575827346,0,1
1575829244,1,0
1575831408,2,1
1575836457,0,2
1575840273,1,2
1575842219,1,0
1575844113,1,1
1575847006,4,4
1575848937,2,4
1575850838,2,1
1575852772,0,1
1575854707,1,2
1575856620,0,2
1575858516,3,0
1575860787,4,2
1575862617,1,2
1575864769,0,1
1575868829,1,0
1575870755,2,1
1575874585,3,3
1575876761,0,2
1575878916,1,0
1575880866,0,1
1575882758,0,2
1575884687,1,0
1575886604,0,1
1575888527,1,3
1575890462,0,1
1575892347,1,1
1575894335,1,2
1575896194,0,2
1575898130,0,2
1575902442,1,2
1575904604,0,3
1575906554,0,1
1575910375,3,1
1575912302,4,2
1575914198,7,1
1575916122,1,1
1575918295,1,2
1575920209,1,0
1575922122,2,1
1575924039,1,3
1575926250,0,1
1575930026,0,2
1575931969,1,0
1575933891,2,2
1575935780,2,1
1575937707,0,1
1575939914,1,0
1575942049,3,2
1575943948,1,2
1575945885,0,1
1575947784,4,4
1575955955,2,1
1575958134,1,0
1575960054,0,3
1575961974,1,0
1575963870,1,0
1575965796,0,1
1575969696,1,2
1575971610,0,1
1575973465,4,0
1575975915,1,1
1575977845,1,0
1575981863,0,1
1575983685,2,3
1575985614,2,1
1575987741,0,2
1575989554,2,0
1575991476,2,1
1575993415,0,1
1575995601,0,1
1575997479,1,1
1575999657,1,0
1576001548,3,1
1576003486,3,2
1576005646,2,0
1576007574,7,2
1576009469,5,2
1576011405,2,0
1576013295,3,0
1576017410,1,0
1576019417,0,1
1576021220,1,3
1576023176,3,0
1576025069,2,2
1576027347,0,1
1576029163,1,3
1576031065,1,0
1576032984,3,0
1576034968,1,2
1576037180,0,1
1576039027,4,0
1576042822,1,3
1576044776,0,1
1576048830,2,0
1576055116,2,0
1576057229,1,0
1576059189,0,3
1576061065,7,6
1576063261,1,3
1576065168,0,3
1576069530,2,2
1576073562,0,2
1576075481,1,1
1576077419,1,2
1576079343,1,3
1576081237,0,1
1576084061,3,2
1576086291,0,1
1576088193,3,0
1576090344,2,1
1576092309,1,1
1576096346,4,2
1576099230,0,1
1576103082,1,1
1576105012,3,2
1576107173,4,2
1576109116,7,2
1576110997,0,1
1576112947,2,1
1576114878,1,0
1576116769,1,0
1576118679,0,2
1576120607,1,3
1576126594,1,0
1576132623,1,2
1576134526,2,0
1576136436,0,1
1576140275,4,0
1576142444,2,0
1576144371,2,0
1576146337,0,5
