DateTime,AddedIPs,RemovedIPs
1563319735,2,50
1563323829,0,1
1563331483,0,1
1563339158,1,0
1563343038,1,0
1563344911,1,0
1563354780,2,1
1563356684,1,0
1563360550,0,1
1563404969,1,0
1563406840,0,2
1563408778,1,0
1563420294,2,0
1563422212,1,0
1563424114,0,1
1563428193,1,1
1563432069,1,1
1563436001,1,0
1563437882,1,0
1563439963,1,1
1563441888,0,2
1563492750,0,1
1563494603,0,1
1563504268,1,0
1563506212,0,2
1563508110,0,1
1563510072,1,0
1563513871,0,1
1563517716,1,1
1563523710,0,2
1563527572,0,1
1563545019,1,0
1563564269,1,0
1563576034,1,0
1563591397,0,1
1563595307,0,1
1563602959,0,1
1563608683,1,0
1563631952,0,1
1563647320,1,0
1563651389,0,1
1563662501,0,1
1563695592,0,1
1563699428,1,0
1563734663,0,1
1563783404,0,1
1563834760,1,0
1563844405,1,0
1563865748,1,0
1563883515,2,0
1563921146,0,1
1563930746,0,1
1563942255,1,0
1563952133,0,1
1563969892,0,2
1563975633,1,0
1564024007,1,0
1564029918,0,1
1564055323,1,0
1564061093,0,1
1564074747,1,0
1564099704,1,0
1564101633,1,0
1564103536,1,0
1564111472,0,1
1564127092,1,0
1564142548,0,1
1564153979,1,0
1564159961,0,1
1564171730,1,0
1564186627,0,1
1564188562,1,1
1564190470,0,1
1564207952,1,0
1564213730,0,1
1564221444,1,0
1564231247,1,0
1564238934,0,1
1564258591,0,1
1564276148,0,1
1564279961,1,0
1564293408,0,1
1564308985,0,1
1564316668,0,1
1564363718,0,1
1564376490,1,0
1564392533,1,0
1564394586,1,0
1564400691,1,0
1564402588,1,0
1564445544,1,0
1564457311,1,0
1564460265,1,0
1564464034,0,1
1564472145,1,0
1564478941,0,1
1564480783,0,1
1564486889,0,1
1564489218,0,1
1564512999,1,0
1564519240,1,0
1564527777,1,0
1564531968,0,1
1564543503,1,1
1564545432,1,1
1564550558,2,0
1564552415,1,0
1564558408,0,1
1564564385,1,0
1564593410,1,0
1564599156,0,1
1564604946,0,1
1564607001,1,0
1564614651,0,1
1564626295,1,0
1564630131,0,2
1564636165,0,1
1564638062,0,2
1564650319,0,1
1564679778,0,1
1564693312,0,1
1564712669,1,1
1564767877,1,0
1564787543,1,0
1564799082,0,1
1564811055,1,0
1564853301,0,1
1564874700,0,1
1564876622,2,0
1564882580,1,0
1564890296,1,0
1564896258,0,1
1564962734,0,1
1564964667,0,1
1564970625,0,1
1564976419,0,1
1564994432,1,0
1565079167,0,1
1565136756,1,0
1565224577,1,1
1565248612,1,0
1565260121,1,0
1565311227,0,1
1565332579,0,1
1565340599,1,0
1565346313,1,1
1565352317,1,0
1565373798,1,0
1565412517,1,0
1565414445,1,0
1565418265,1,0
1565420219,1,0
1565428348,0,1
1565432215,0,1
1565437974,0,1
1565459309,0,1
1565467520,1,0
1565481404,1,0
1565487385,1,0
1565498910,1,1
1565500838,0,1
1565504709,0,1
1565506593,0,1
1565521949,1,0
1565529688,1,0
1565554616,0,1
1565568211,0,1
1565574291,2,1
1565585806,0,1
1565591786,1,0
1565610059,0,1
1565615783,0,1
1565617745,1,0
1565657215,1,0
1565661252,0,2
1565678917,0,1
1565691197,1,0
1565702925,0,1
1565728827,85,0
1565742511,0,1
1565760051,1,0
1565761982,1,0
1565775620,1,0
1565777812,0,1
1565783800,1,0
1565809517,1,0
1565815243,0,85
1565817145,1,0
1565846689,1,1
1565848996,0,1
1565850812,1,0
1565862787,0,1
1565868449,0,1
1565896851,0,1
1565902649,0,1
1565934770,0,1
1565960709,1,1
1566005093,2,0
1566016596,1,0
1566047624,0,1
1566090279,0,1
1566092427,0,1
1566100613,0,1
1566107073,1,0
1566180205,1,0
1566193720,0,1
1566211745,1,0
1566239083,1,0
1566247028,1,0
1566250820,1,0
1566266185,1,0
1566268360,0,1
1566276025,1,0
1566279877,1,0
1566299401,0,1
1566324983,0,1
1566332911,0,1
1566336991,0,1
1566348738,1,0
1566350702,1,0
1566352576,0,1
1566362437,0,1
1566366283,0,1
1566379713,1,0
1566387668,1,0
1566435150,0,1
1566437062,0,1
1566467252,0,1
1566471399,0,1
1566474757,1,0
1566514158,1,0
1566557560,1,0
1566561417,0,1
1566600998,0,1
1566620656,1,0
1566636775,1,0
1566642996,0,1
1566706616,0,1
1566720196,0,1
1566780271,1,0
1566796372,1,0
1566800225,1,0
1566853009,85,0
1566866662,0,1
1566872672,1,0
1566883233,0,1
1566887081,0,1
1566893598,1,0
1566897395,1,0
1566939185,0,85
1566942984,1,0
1566959110,0,1
1566974912,1,0
1566978854,0,1
1566984770,0,1
1567020788,1,0
1567030839,0,1
1567036610,1,0
1567056543,1,0
1567060832,1,1
1567063007,1,0
1567087039,1,0
1567106700,0,1
1567108587,1,0
1567122518,0,1
1567142227,0,1
1567146063,1,1
1567148027,0,1
1567172697,0,1
1567178458,1,0
1567190444,1,0
1567192610,1,0
1567194532,0,1
1567204117,1,0
1567230057,1,0
1567232013,0,1
1567235822,1,0
1567254061,1,0
1567266147,0,1
1567275907,0,1
1567277796,1,1
1567289786,0,1
1567291717,1,0
1567308046,1,0
1567311871,1,0
1567317196,0,1
1567319076,1,0
1567323637,1,1
1567341642,0,1
1567345724,1,0
1567363242,0,1
1567378615,0,1
1567386774,1,0
1567394446,0,1
1567398299,0,1
1567404302,1,0
1567406196,0,1
1567410027,0,1
1567421596,1,0
1567433615,0,1
1567472623,0,1
1567491872,0,1
1567493812,1,0
1567503855,1,0
1567507746,0,1
1567525479,1,0
1567531463,1,0
1567567490,1,0
1567579729,0,1
1567584298,1,0
1567590073,0,1
1567596063,1,0
1567597980,1,0
1567609788,1,0
1567611671,0,1
1567617662,0,1
1567654609,0,1
1567670008,0,1
1567675712,1,0
1567683666,0,2
1567689669,1,0
1567697341,1,1
1567745814,1,0
1567763622,0,1
1567771547,1,0
1567775580,0,1
1567783472,0,1
1567832715,0,1
1567856654,0,1
1567920290,1,0
1567947786,1,0
1567953642,1,0
1568005363,1,0
1568007165,0,1
1568033557,0,1
1568039307,0,1
1568057295,1,0
1568078898,1,0
1568082047,1,0
1568091176,0,1
1568142770,0,1
1568166034,0,1
1568168019,1,1
1568178284,1,0
1568182372,1,0
1568190288,1,0
1568200602,1,0
1568254359,0,1
1568264724,0,1
1568268750,0,1
1568276678,0,1
1568284851,0,1
1568339325,1,0
1568393817,86,0
1568427164,0,1
1568438691,1,0
1568446619,1,0
1568480691,0,86
1568523893,0,1
1568531547,0,1
1568606710,1,0
1568618471,1,0
1568648445,1,0
1568693321,0,1
1568704858,0,1
1568724594,1,0
1568779946,0,1
1568783810,1,0
1568811409,0,1
1568868533,0,1
1568880768,1,0
1568913170,1,0
1568967162,0,1
1568996980,1,0
1568999112,0,1
1569082131,0,1
1569159148,1,0
1569211554,1,0
1569219672,1,0
1569221587,1,0
1569247590,0,1
1569297925,0,1
1569306046,0,1
1569313225,1,1
1569397473,1,0
1569399484,0,1
1569456539,81,0
1569462299,1,0
1569483888,0,1
1569543666,0,81
1569545569,0,1
1569550109,1,0
1569569559,1,0
1569637240,0,1
1569652829,0,1
1569673957,1,0
1569675895,6,0
1569678025,373,0
1569764425,0,352
1569787992,0,28
1570241560,1,0
1570328720,0,1
1570764298,1,0
1570787570,1,0
1570854039,0,1
1570877686,0,1
1571162925,1,0
1571170830,1,0
1571250289,0,1
1571254130,0,1
1571584831,1,0
1571670320,0,1
1571714187,1,0
1571716131,1,0
1571734128,1,0
1571800109,0,1
1571802055,0,1
1571819321,0,1
1571982980,1,0
1572067717,0,1
1572106376,1,0
1572121250,1,0
1572193987,0,1
1572205736,0,1
1572410416,1,0
1572416446,1,0
1572492059,1,0
1572497827,0,1
1572503779,0,1
1572555763,1,0
1572581073,0,1
1572615642,1,0
1572621639,1,0
1572641554,0,1
1572651382,1,0
1572691721,1,0
1572701575,0,1
1572709240,0,1
1572738747,0,1
1572748604,1,0
1572772112,2,0
1572777865,0,1
1572793721,1,0
1572835960,0,1
1572845802,1,0
1572857348,0,1
1572859303,0,1
1572881226,0,1
1572931241,0,1
1572979482,1,0
1572981408,1,0
1573004908,1,0
1573066603,0,2
1573090108,0,1
1573096818,1,0
1573181554,0,1
1573282602,1,0
1573367571,0,1
1573473453,1,0
1573558655,0,1
1573572302,1,0
1573584277,1,0
1573595800,1,0
1573655077,1,0
1573659408,0,1
1573673065,0,1
1573682938,0,1
1573733136,1,0
1573741006,0,1
1573817811,0,1
1573825215,1,0
1573861959,1,0
1573911622,0,1
1573947393,0,1
1574348219,1,0
1574433676,0,1
1574521731,1,0
1574539944,1,0
1574563939,1,0
1574609794,0,1
1574627078,0,1
1574689477,0,1
1574760491,1,0
1574773750,1,0
1574832078,1,0
1574860411,0,1
1574917984,1,0
1574919885,0,1
1574928349,3,0
1574969329,0,1
1575004136,0,1
1575013706,0,2
1575228496,1,1
1575314697,0,1
1575811000,1,0
1575895983,0,1
1576657729,1,0
1576659689,1,0
1576893133,1,2
1576922717,1,0
