DateTime,Entries,UniqueIPs
1563319735,6,6
1563323829,5,5
1563331483,4,4
1563339158,5,5
1563343038,6,6
1563344911,7,7
1563354780,8,8
1563356684,9,9
1563360550,8,8
1563404969,9,9
1563406840,7,7
1563408778,8,8
1563420294,10,10
1563422212,11,11
1563424114,10,10
1563428193,10,10
1563432069,10,10
1563436001,11,11
1563437882,12,12
1563439963,12,12
1563441888,10,10
1563492750,9,9
1563494603,8,8
1563504268,9,9
1563506212,7,7
1563508110,6,6
1563510072,7,7
1563513871,6,6
1563517716,6,6
1563523710,4,4
1563527572,3,3
1563545019,4,4
1563564269,5,5
1563576034,6,6
1563591397,5,5
1563595307,4,4
1563602959,3,3
1563608683,4,4
1563631952,3,3
1563647320,4,4
1563651389,3,3
1563662501,2,2
1563695592,1,1
1563699428,2,2
1563734663,1,1
1563783404,0,0
1563834760,1,1
1563844405,2,2
1563865748,3,3
1563883515,5,5
1563921146,4,4
1563930746,3,3
1563942255,4,4
1563952133,3,3
1563969892,1,1
1563975633,2,2
1564024007,3,3
1564029918,2,2
1564055323,3,3
1564061093,2,2
1564074747,3,3
1564099704,4,4
1564101633,5,5
1564103536,6,6
1564111472,5,5
1564127092,6,6
1564142548,5,5
1564153979,6,6
1564159961,5,5
1564171730,6,6
1564186627,5,5
1564188562,5,5
1564190470,4,4
1564207952,5,5
1564213730,4,4
1564221444,5,5
1564231247,6,6
1564238934,5,5
1564258591,4,4
1564276148,3,3
1564279961,4,4
1564293408,3,3
1564308985,2,2
1564316668,1,1
1564363718,0,0
1564376490,1,1
1564392533,2,2
1564394586,3,3
1564400691,4,4
1564402588,5,5
1564445544,6,6
1564457311,7,7
1564460265,8,8
1564464034,7,7
1564472145,8,8
1564478941,7,7
1564480783,6,6
1564486889,5,5
1564489218,4,4
1564512999,5,5
1564519240,6,6
1564527777,7,7
1564531968,6,6
1564543503,6,6
1564545432,6,6
1564550558,8,8
1564552415,9,9
1564558408,8,8
1564564385,9,9
1564593410,10,10
1564599156,9,9
1564604946,8,8
1564607001,9,9
1564614651,8,8
1564626295,9,9
1564630131,7,7
1564636165,6,6
1564638062,4,4
1564650319,3,3
1564679778,2,2
1564693312,1,1
1564712669,1,1
1564767877,2,2
1564787543,3,3
1564799082,2,2
1564811055,3,3
1564853301,2,2
1564874700,1,1
1564876622,3,3
1564882580,4,4
1564890296,5,5
1564896258,4,4
1564962734,3,3
1564964667,2,2
1564970625,1,1
1564976419,0,0
1564994432,1,1
1565079167,0,0
1565136756,1,1
1565224577,1,1
1565248612,2,2
1565260121,3,3
1565311227,2,2
1565332579,1,1
1565340599,2,2
1565346313,2,2
1565352317,3,3
1565373798,4,4
1565412517,5,5
1565414445,6,6
1565418265,7,7
1565420219,8,8
1565428348,7,7
1565432215,6,6
1565437974,5,5
1565459309,4,4
1565467520,5,5
1565481404,6,6
1565487385,7,7
1565498910,7,7
1565500838,6,6
1565504709,5,5
1565506593,4,4
1565521949,5,5
1565529688,6,6
1565554616,5,5
1565568211,4,4
1565574291,5,5
1565585806,4,4
1565591786,5,5
1565610059,4,4
1565615783,3,3
1565617745,4,4
1565657215,5,5
1565661252,3,3
1565678917,2,2
1565691197,3,3
1565702925,2,2
1565728827,87,87
1565742511,86,86
1565760051,87,87
1565761982,88,88
1565775620,89,89
1565777812,88,88
1565783800,89,89
1565809517,90,90
1565815243,5,5
1565817145,6,6
1565846689,6,6
1565848996,5,5
1565850812,6,6
1565862787,5,5
1565868449,4,4
1565896851,3,3
1565902649,2,2
1565934770,1,1
1565960709,1,1
1566005093,3,3
1566016596,4,4
1566047624,3,3
1566090279,2,2
1566092427,1,1
1566100613,0,0
1566107073,1,1
1566180205,2,2
1566193720,1,1
1566211745,2,2
1566239083,3,3
1566247028,4,4
1566250820,5,5
1566266185,6,6
1566268360,5,5
1566276025,6,6
1566279877,7,7
1566299401,6,6
1566324983,5,5
1566332911,4,4
1566336991,3,3
1566348738,4,4
1566350702,5,5
1566352576,4,4
1566362437,3,3
1566366283,2,2
1566379713,3,3
1566387668,4,4
1566435150,3,3
1566437062,2,2
1566467252,1,1
1566471399,0,0
1566474757,1,1
