DateTime,AddedIPs,RemovedIPs
1576552110,12,22
1576552821,10,5
1576553550,5,0
1576554261,8,7
1576555230,7,14
1576555955,2,6
1576556666,5,3
1576557379,5,8
1576558112,5,5
1576558822,5,0
1576559553,6,4
1576560260,1,1
1576560980,2,9
1576562436,2,5
1576563148,7,0
1576563859,1,5
1576564579,5,4
1576565300,1,3
1576566022,5,4
1576566744,7,3
1576567460,4,2
1576568187,2,1
1576568905,2,3
1576569618,0,5
1576570594,4,2
1576571299,3,1
1576572027,0,9
1576572744,5,1
1576573716,8,11
1576574671,2,0
1576575379,2,1
1576576111,7,2
1576576825,5,4
1576577550,6,1
1576578260,2,3
1576579225,6,1
1576579945,3,3
1576580663,1,4
1576581385,4,3
1576582103,1,1
1576582822,4,4
1576583541,3,2
1576584511,4,2
1576585219,2,3
1576585962,2,3
1576586660,7,4
1576587380,1,5
1576588111,3,1
1576588822,5,0
1576589551,3,1
1576590266,3,4
1576590986,2,2
1576591955,2,1
1576592663,2,6
1576593394,1,1
1576594105,4,8
1576594827,5,0
1576595542,6,3
1576596262,2,6
1576596982,2,0
1576597718,1,9
1576598422,10,0
1576599152,7,4
1576599866,3,4
1576600582,3,9
1576601304,6,4
1576602021,2,0
1576602747,3,6
1576603466,2,10
1576604181,4,0
1576604907,8,9
1576605622,4,4
1576606347,5,5
1576607061,2,0
1576607781,4,9
1576608515,2,1
1576609229,10,0
1576609970,3,10
1576610662,6,0
1576611625,5,7
1576612340,4,7
1576613069,3,2
1576613784,4,2
1576614505,6,4
1576615222,4,0
1576615945,3,2
1576616671,4,5
1576617396,4,50
1576618102,3,4
1576618820,4,4
1576619546,1,6
1576620514,4,8
1576621219,5,0
1576621950,4,3
1576622668,2,10
1576623381,5,3
1576624361,5,1
1576625068,3,5
1576625790,3,4
1576626514,3,0
1576627227,4,2
1576627946,2,0
1576628664,6,9
1576629385,4,1
1576630105,4,7
1576630824,3,0
1576631545,0,3
1576632265,6,2
1576632980,6,10
1576633707,4,6
1576634423,5,8
1576635149,12,0
1576635861,5,5
1576636583,7,5
1576637302,8,7
1576638032,11,13
1576638760,15,14
1576639460,4,7
1576640181,7,12
1576640907,6,7
1576641621,7,0
1576642346,4,7
1576643063,2,7
1576643784,4,12
1576644506,8,0
1576645225,2,9
1576645947,5,0
1576646673,1,5
1576647382,1,4
1576648102,2,0
1576648827,3,2
1576649547,3,4
1576650261,1,3
1576650980,1,0
1576651714,3,3
1576652421,4,0
1576653153,2,10
1576653861,4,2
1576654589,4,5
1576655320,6,2
1576656025,4,6
1576656995,0,2
1576657701,4,2
1576658431,4,1
1576659145,4,4
1576659878,5,0
1576660588,4,6
1576661302,7,3
1576662025,5,3
1576662745,6,5
1576663722,3,4
1576664419,3,5
1576665154,3,2
1576665862,1,3
1576666583,1,1
1576667303,1,4
1576668024,1,5
1576668750,1,5
1576669465,3,1
1576670181,1,1
1576670915,6,6
1576671621,2,3
1576672350,2,0
1576673075,5,7
1576674039,2,0
1576674768,1,6
1576675462,3,3
1576676184,3,2
1576676906,1,1
1576677626,5,3
1576678608,5,1
1576679299,3,3
1576680028,2,1
1576680742,3,2
1576681713,4,2
1576682431,2,2
1576683159,6,3
1576683862,4,2
1576684582,5,4
1576685556,4,9
1576686272,4,3
1576686983,3,0
1576687707,1,9
1576688456,5,2
1576689398,3,3
1576690568,8,2
1576691291,1,2
1576692017,4,1
1576692736,1,3
1576693449,9,4
1576694169,4,9
1576694893,7,2
1576695620,5,4
1576696340,6,1
1576697051,2,8
1576697785,7,6
1576698738,4,5
1576699701,5,6
1576700649,5,5
1576701367,5,2
1576702099,3,3
1576702871,4,1
1576703787,6,4
1576704497,6,2
1576705210,3,7
1576705937,4,4
1576706898,3,8
1576707608,9,4
1576708338,2,7
1576709049,4,2
1576709772,3,8
1576710755,7,3
1576711462,4,4
1576712181,1,2
1576712903,3,2
1576713633,7,8
1576714347,5,4
1576715060,6,0
1576715780,1,2
1576716502,8,3
1576717230,4,17
1576717952,1,7
1576718662,4,0
1576719382,10,12
1576720103,2,0
1576720835,6,10
1576721547,7,0
1576722261,3,4
1576722981,5,3
1576723706,7,19
1576724424,6,0
1576725146,11,13
1576725869,6,18
1576726579,6,0
1576727303,6,1
1576728023,6,16
1576728754,8,5
1576729460,6,0
1576730180,5,5
1576730906,5,6
1576731632,2,9
1576732348,2,3
1576733061,3,0
1576734028,4,6
1576734742,3,2
1576735473,1,2
1576736183,3,1
1576736902,6,7
1576737622,2,5
1576738342,2,4
1576739063,3,3
1576739790,3,3
1576740511,5,5
1576741226,4,2
1576742422,4,5
1576743135,8,2
1576743849,2,6
1576744574,1,7
1576745293,4,2
1576746019,3,4
1576746735,2,2
1576747454,4,0
1576748175,2,3
1576748887,1,6
1576749613,1,4
1576750335,2,3
1576751047,2,3
1576751771,3,1
1576752489,4,2
1576753221,3,2
1576753938,5,1
1576754648,2,2
1576755612,2,0
1576756326,4,2
1576757057,3,4
1576757783,0,5
1576758486,4,3
1576759211,0,3
1576759929,4,1
1576760899,3,2
1576761613,3,0
1576762347,4,3
1576763051,3,2
1576763767,2,4
1576764510,1,6
1576765219,3,5
1576765962,3,2
1576766663,1,1
1576767384,4,6
1576768110,1,0
1576769065,3,4
1576769780,7,4
1576770507,5,7
1576771230,3,8
1576772196,5,3
1576772903,6,1
1576773625,5,3
1576774340,3,5
1576775316,5,4
1576776020,2,15
1576776752,5,0
1576777467,2,6
1576778437,2,4
1576779402,5,6
1576780098,4,4
1576780830,1,3
1576781539,5,2
1576782275,3,0
1576783236,7,3
1576783944,3,4
1576784670,3,2
1576785378,3,5
1576786357,5,3
1576787067,6,6
1576787780,6,6
1576788508,2,2
1576789220,5,0
1576790228,4,13
1576790904,3,4
1576791623,2,3
1576792343,2,8
1576793783,6,6
1576794779,4,16
1576795460,2,4
1576796178,4,6
1576797155,4,0
1576797869,2,11
1576798589,3,4
1576799305,0,8
1576800027,5,0
1576800746,9,3
1576801462,4,6
1576802179,6,0
1576802903,7,14
1576803625,4,0
1576804347,1,1
1576805060,1,1
1576805780,5,5
1576806753,1,13
1576807722,9,5
1576808418,5,6
1576809150,3,3
1576809863,13,9
1576810579,5,13
1576811302,10,8
1576812019,7,12
1576812748,1,3
1576813462,4,4
1576814196,4,5
1576814898,4,4
1576815620,5,7
1576816356,3,4
1576817062,8,5
1576817778,2,4
1576818769,5,8
1576819463,3,5
1576820181,3,0
1576820901,2,5
1576821624,6,2
1576822595,4,4
1576823559,5,2
1576824262,3,3
1576824980,6,2
1576825965,2,8
1576826663,5,2
1576827383,3,6
1576828102,4,6
1576828828,3,2
1576829547,2,4
1576830262,6,5
1576830982,1,1
1576831705,3,3
1576833160,5,4
1576833881,2,2
1576834580,5,1
1576835307,5,2
1576836033,2,1
1576836759,4,0
1576837465,1,1
1576838430,6,1
1576839146,2,1
1576839878,1,8
1576840586,3,10
1576841299,3,3
1576842742,2,1
1576843475,2,1
1576844196,3,0
1576844901,4,0
1576845627,1,2
1576846339,4,6
1576847068,4,0
1576847786,4,2
1576848505,3,6
1576849221,3,1
1576849952,2,0
1576850668,1,2
1576851383,0,1
1576852103,4,2
1576852821,1,4
1576853542,7,6
1576854523,7,8
1576855206,5,0
1576855954,7,3
1576856665,2,3
1576857381,1,3
1576858099,6,6
1576858818,3,3
1576859550,2,3
1576860262,4,3
1576860983,4,5
1576861719,2,1
1576862418,6,0
1576863150,4,4
1576863860,8,5
1576864583,2,2
1576865321,4,5
1576866268,7,1
1576866978,1,3
1576867706,6,7
1576868421,4,2
1576869154,3,10
1576869859,5,3
1576870582,0,4
1576871305,4,5
1576872021,8,7
1576873005,6,3
1576873696,4,0
1576874424,5,3
1576875139,1,5
1576875873,0,7
1576876588,4,0
1576877329,4,8
1576878020,1,0
1576878745,3,8
1576879721,5,4
1576880416,7,9
1576881153,4,0
1576881860,1,6
1576882580,0,8
1576883559,3,2
1576884261,4,0
1576884982,1,2
1576885705,2,4
1576886420,4,0
1576887151,2,13
1576887861,4,0
