DateTime,AddedIPs,RemovedIPs
1576555230,45,32
1576555955,33,66
1576556666,27,32
1576557379,70,42
1576558112,36,32
1576558822,41,25
1576559553,19,19
1576560260,15,44
1576560980,32,56
1576561705,50,28
1576562436,16,78
1576563148,76,24
1576563859,25,46
1576564579,68,29
1576565300,21,17
1576566022,23,20
1576566744,26,27
1576567460,31,46
1576568187,38,68
1576568905,30,33
1576569618,56,30
1576570594,37,73
1576571299,74,22
1576572027,16,49
1576572744,41,27
1576573716,44,41
1576574671,22,43
1576575379,39,18
1576576111,43,22
1576576825,17,44
1576577550,65,24
1576578260,21,69
1576579225,29,26
1576579945,66,25
1576580663,28,58
1576581385,62,56
1576582103,37,93
1576582822,99,36
1576583541,35,21
1576584511,21,49
1576585219,25,31
1576585962,60,21
1576586660,22,73
1576587380,63,16
1576588111,21,21
1576588822,26,57
1576589551,45,18
1576590266,26,74
1576590986,41,25
1576591955,45,33
1576592663,26,61
1576593394,85,29
1576594105,33,67
1576594827,72,43
1576595542,35,108
1576596262,86,34
1576596982,43,44
1576597718,35,47
1576598422,91,29
1576599152,26,71
1576599866,84,31
1576600582,35,88
1576601304,89,23
1576602021,31,61
1576602747,23,52
1576603466,54,33
1576604181,37,23
1576604907,31,69
1576605622,96,19
1576606347,30,91
1576607061,91,25
1576607781,38,53
1576608515,30,85
1576609229,100,31
1576609970,19,103
1576610662,103,27
1576611625,33,81
1576612340,46,43
1576613069,41,33
1576613784,32,59
1576614505,95,35
1576615222,27,25
1576615945,28,45
1576616671,32,70
1576617396,47,42
1576618102,31,47
1576618820,42,29
1576619546,21,45
1576620514,36,80
1576621219,72,25
1576621950,36,25
1576622668,49,39
1576623381,47,61
1576624361,68,30
1576625068,23,29
1576625790,23,65
1576626514,43,23
1576627227,63,55
1576627946,36,81
1576628664,50,49
1576629385,49,20
1576630105,42,30
1576630824,49,39
1576631545,20,30
1576632265,28,41
1576632980,35,61
1576633707,53,24
1576634423,16,32
1576635149,54,42
1576635861,41,25
1576636583,27,50
1576637302,49,30
1576638032,37,81
1576638760,87,47
1576639460,26,38
1576640181,30,92
1576640907,82,35
1576641621,47,32
1576642346,38,55
1576643063,52,33
1576643784,30,28
1576644506,28,36
1576645225,27,27
1576645947,37,78
1576646673,63,33
1576647382,39,30
1576648102,29,63
1576648827,66,31
1576649547,26,66
1576650261,67,26
