DateTime,Entries,UniqueIPs
1576555230,7994,7994
1576555955,7961,7961
1576556666,7956,7956
1576557379,7984,7984
1576558112,7988,7988
1576558822,8004,8004
1576559553,8004,8004
1576560260,7975,7975
1576560980,7951,7951
1576561705,7973,7973
1576562436,7911,7911
1576563148,7963,7963
1576563859,7942,7942
1576564579,7981,7981
1576565300,7985,7985
1576566022,7988,7988
1576566744,7987,7987
1576567460,7972,7972
1576568187,7942,7942
1576568905,7939,7939
1576569618,7965,7965
1576570594,7929,7929
1576571299,7981,7981
1576572027,7948,7948
1576572744,7962,7962
1576573716,7965,7965
1576574671,7944,7944
1576575379,7965,7965
1576576111,7986,7986
1576576825,7959,7959
1576577550,8000,8000
1576578260,7952,7952
1576579225,7955,7955
1576579945,7996,7996
1576580663,7966,7966
1576581385,7972,7972
1576582103,7916,7916
1576582822,7979,7979
1576583541,7993,7993
1576584511,7965,7965
1576585219,7959,7959
1576585962,7998,7998
1576586660,7947,7947
1576587380,7994,7994
1576588111,7994,7994
1576588822,7963,7963
1576589551,7990,7990
1576590266,7942,7942
1576590986,7958,7958
1576591955,7970,7970
1576592663,7935,7935
1576593394,7991,7991
1576594105,7957,7957
1576594827,7986,7986
1576595542,7913,7913
1576596262,7965,7965
1576596982,7964,7964
1576597718,7952,7952
1576598422,8014,8014
1576599152,7969,7969
1576599866,8022,8022
1576600582,7969,7969
1576601304,8035,8035
1576602021,8005,8005
1576602747,7976,7976
1576603466,7997,7997
1576604181,8011,8011
1576604907,7973,7973
1576605622,8050,8050
1576606347,7989,7989
1576607061,8055,8055
1576607781,8040,8040
1576608515,7985,7985
1576609229,8054,8054
1576609970,7970,7970
1576610662,8046,8046
1576611625,7998,7998
1576612340,8001,8001
1576613069,8009,8009
1576613784,7982,7982
1576614505,8042,8042
1576615222,8044,8044
1576615945,8027,8027
1576616671,7989,7989
1576617396,7994,7994
1576618102,7978,7978
1576618820,7991,7991
1576619546,7967,7967
1576620514,7923,7923
1576621219,7970,7970
1576621950,7981,7981
1576622668,7991,7991
1576623381,7977,7977
1576624361,8015,8015
1576625068,8009,8009
1576625790,7967,7967
1576626514,7987,7987
1576627227,7995,7995
1576627946,7950,7950
1576628664,7951,7951
1576629385,7980,7980
1576630105,7992,7992
1576630824,8002,8002
1576631545,7992,7992
1576632265,7979,7979
1576632980,7953,7953
1576633707,7982,7982
1576634423,7966,7966
1576635149,7978,7978
1576635861,7994,7994
1576636583,7971,7971
1576637302,7990,7990
1576638032,7946,7946
1576638760,7986,7986
1576639460,7974,7974
1576640181,7912,7912
1576640907,7959,7959
1576641621,7974,7974
1576642346,7957,7957
1576643063,7976,7976
1576643784,7978,7978
1576644506,7970,7970
1576645225,7970,7970
1576645947,7929,7929
1576646673,7959,7959
1576647382,7968,7968
1576648102,7934,7934
1576648827,7969,7969
1576649547,7929,7929
1576650261,7970,7970
1576650980,7914,7914
1576651714,7957,7957
1576652421,7955,7955
1576653153,7908,7908
1576653861,7952,7952
1576654589,7950,7950
1576655320,7936,7936
1576656025,7919,7919
1576656995,7915,7915
1576657701,7951,7951
1576658431,7911,7911
1576659145,7919,7919
1576659878,7923,7923
1576660588,7905,7905
1576661302,7959,7959
1576662025,7933,7933
1576662745,7968,7968
1576663722,7938,7938
1576664419,7937,7937
1576665154,7965,7965
1576665862,7925,7925
1576666583,7956,7956
1576667303,7955,7955
1576668024,7937,7937
1576668750,7935,7935
1576669465,7909,7909
1576670181,7953,7953
1576670915,7884,7884
1576671621,7928,7928
1576672350,7947,7947
1576673075,7917,7917
1576674039,7930,7930
1576674768,7929,7929
1576675462,7921,7921
1576676184,7955,7955
1576676906,7947,7947
1576677626,7972,7972
1576678608,7946,7946
1576679299,7979,7979
1576680028,7961,7961
1576680742,7984,7984
1576681713,7944,7944
1576682431,7983,7983
1576683159,7887,7887
1576683862,7954,7954
1576684582,7958,7958
1576685556,7920,7920
1576686272,7989,7989
1576686983,7970,7970
1576687707,7962,7962
1576688456,7965,7965
1576689398,7930,7930
1576690568,7929,7929
1576691291,7957,7957
1576692017,7956,7956
1576692736,7971,7971
1576693449,7930,7930
1576694169,7938,7938
1576694893,7950,7950
1576695620,8001,8001
1576696340,8004,8004
1576697051,7961,7961
1576697785,7968,7968
1576698738,7976,7976
1576699701,7962,7962
1576700649,7969,7969
1576701367,7955,7955
1576702099,7959,7959
1576702871,7996,7996
1576703787,7998,7998
1576704497,7990,7990
1576705210,7961,7961
1576705937,7940,7940
1576706898,7960,7960
1576707608,7958,7958
1576708338,7969,7969
1576709049,7939,7939
1576709772,7968,7968
1576710755,7942,7942
1576711462,7941,7941
1576712181,7977,7977
1576712903,7941,7941
1576713633,7911,7911
1576714347,7917,7917
1576715060,7918,7918
1576715780,7959,7959
1576716502,7918,7918
1576717230,7958,7958
1576717952,7899,7899
1576718662,7960,7960
1576719382,7943,7943
1576720103,7962,7962
1576720835,7932,7932
1576721547,7930,7930
1576722261,7920,7920
1576722981,7953,7953
1576723706,7983,7983
1576724424,7975,7975
1576725146,7914,7914
1576725869,7910,7910
1576726579,7940,7940
1576727303,7958,7958
1576728023,7964,7964
1576728754,7951,7951
1576729460,7918,7918
1576730180,7973,7973
1576730906,7977,7977
1576731632,7912,7912
1576732348,7931,7931
1576733061,7957,7957
1576734028,7915,7915
1576734742,7958,7958
1576735473,7918,7918
1576736183,7916,7916
1576736902,7929,7929
1576737622,7946,7946
1576738342,7934,7934
1576739063,7973,7973
1576739790,7931,7931
1576740511,7979,7979
1576741226,7951,7951
1576742422,7965,7965
1576743135,7950,7950
1576743849,7976,7976
1576744574,7941,7941
1576745293,7939,7939
1576746019,7932,7932
1576746735,7959,7959
1576747454,7973,7973
1576748175,7967,7967
1576748887,7925,7925
1576749613,7956,7956
1576750335,7956,7956
1576751047,7961,7961
1576751771,7948,7948
1576752489,7947,7947
1576753221,7951,7951
1576753938,7946,7946
1576754648,7937,7937
1576755612,7941,7941
1576756326,7965,7965
1576757057,7954,7954
1576757783,7942,7942
1576758486,7970,7970
1576759211,7956,7956
1576759929,7990,7990
1576760899,7940,7940
1576761613,7946,7946
1576762347,7950,7950
1576763051,7948,7948
1576763767,7945,7945
1576764510,7919,7919
1576765219,7997,7997
1576765962,7979,7979
1576766663,7944,7944
1576767384,7934,7934
1576768110,7941,7941
1576769065,7944,7944
