DateTime,AddedIPs,RemovedIPs
1576248130,3,23
1576250049,5,8
1576251729,3,14
1576252826,4,11
1576254489,4,3
1576256832,10,28
1576258088,5,2
1576259768,9,15
1576260909,1,12
1576262530,10,11
1576263997,2,8
1576265108,4,0
1576266130,4,18
1576266968,3,4
1576268049,1,7
1576268888,5,1
1576270250,5,16
1576271648,4,9
1576273329,1,10
1576274170,4,0
1576275250,6,4
1576276090,3,3
1576277536,1,7
1576278848,6,7
1576280412,4,17
1576281370,7,2
1576283290,3,7
1576285811,9,54
1576287611,7,14
1576289418,5,8
1576290488,1,0
1576292110,7,41
1576294089,7,12
1576296851,8,37
1576298410,4,12
1576300449,6,5
1576302012,3,15
1576302968,4,0
1576304109,3,4
1576304890,9,0
1576305729,5,17
1576306571,6,2
1576307715,5,13
1576309211,8,8
1576310673,6,5
1576312931,12,15
1576314850,9,3
1576316531,6,6
1576317370,10,0
1576318449,5,17
1576320128,11,38
1576321818,1,13
1576323011,9,11
1576324828,12,13
1576325648,3,1
1576327152,8,5
1576328171,11,5
1576329248,2,8
1576330088,6,0
1576331709,12,20
1576332848,9,15
1576334269,13,3
1576335455,2,8
1576336581,4,9
1576337708,6,4
1576338850,7,3
1576340110,14,6
1576341356,5,10
1576342629,4,7
1576344489,12,7
1576345631,4,13
1576347011,2,8
1576348131,10,0
1576349768,9,15
1576350848,5,9
1576351689,6,0
1576353084,9,11
1576354218,3,12
1576356132,9,22
1576357226,2,30
1576358411,9,1
1576359611,13,16
1576361409,7,13
1576362610,7,15
1576363808,1,13
1576365309,5,4
1576367374,15,27
1576367769,5,0
1576368910,6,28
1576370111,4,8
1576371309,8,14
1576372510,6,24
1576373289,6,0
1576374620,8,54
1576376049,4,16
1576377610,13,13
1576378826,4,6
1576380011,7,2
1576381331,7,25
1576383251,3,12
1576384088,5,0
1576386850,14,13
1576388530,5,12
1576390210,2,6
1576392131,14,10
1576394048,4,4
1576394890,4,2
1576396568,7,14
1576397711,5,7
1576398912,4,6
1576400425,4,9
1576401612,13,0
1576402811,6,18
1576404611,11,22
1576406531,5,16
1576408219,4,18
1576410128,6,3
1576411225,4,8
1576412411,11,0
1576414508,11,16
1576416490,11,6
1576417331,3,8
1576419018,7,3
1576420211,13,5
1576421817,16,5
1576423204,11,8
1576423688,9,2
1576424528,6,3
1576426210,13,7
1576427412,10,7
1576428911,24,6
1576430110,7,12
1576430890,6,0
1576431728,6,7
1576433412,9,4
1576434679,5,4
1576435808,5,3
1576437011,9,3
1576438208,7,3
1576440618,27,5
1576441690,11,2
1576443010,11,0
1576444196,17,3
1576445320,28,1
1576448050,30,17
1576449730,27,6
1576451418,8,6
1576453211,14,6
1576455011,22,12
1576456212,16,8
1576457709,23,2
1576458848,20,5
1576460412,18,5
1576462448,9,6
1576463288,8,1
1576464909,16,4
1576466117,10,6
1576466889,10,1
1576467731,4,5
1576469651,7,13
1576471210,11,5
1576473018,0,997
1576474931,1010,0
1576476611,44,7
1576477689,3,1
1576478530,7,6
1576479372,16,2
1576480449,15,7
1576481291,11,1
1576482131,12,13
1576484049,26,5
1576484892,19,2
1576486107,22,10
1576487412,30,6
1576488490,18,0
1576489592,13,9
1576491249,23,7
1576492509,11,11
1576493615,15,3
1576493768,3,0
1576494911,18,6
1576496529,24,5
1576498210,6,7
1576499288,8,1
1576500968,14,11
1576502109,18,5
1576503731,14,15
1576505649,19,4
1576506491,7,2
1576507926,6,12
1576509308,15,5
1576510928,10,17
1576512131,15,5
1576513688,17,2
1576515008,12,19
1576516218,5,9
1576517290,16,1
1576518545,20,7
1576519811,18,8
1576520888,11,1
1576523648,20,19
1576525208,19,8
1576526427,17,2
1576527612,17,2
1576529108,20,13
1576530611,20,9
1576532529,17,8
1576533369,7,1
1576533628,3,4
1576535288,14,5
1576536130,7,14
1576537727,26,4
1576538888,13,6
1576541410,21,8
1576542560,16,14
1576544427,22,7
1576545610,9,2
1576546931,12,8
1576547771,3,0
1576549688,16,6
1576551126,9,12
1576552449,17,7
1576553710,16,3
1576556046,0,1518
1576557731,1525,0
1576558569,15,0
1576559651,12,6
1576561212,10,12
1576562322,11,4
1576563248,1,4
1576564089,10,4
1576564931,9,9
1576566132,10,13
1576567811,18,6
1576570452,22,9
1576572010,18,10
1576574048,18,10
1576575546,16,11
1576576571,7,3
1576577650,7,5
1576579329,13,8
1576580170,7,1
1576581309,5,5
1576582089,9,2
1576582943,6,7
1576583770,5,0
1576584851,7,7
1576586318,13,11
1576587504,4,7
1576588811,11,2
1576590311,8,18
1576592049,7,8
1576593351,13,7
1576594480,3,2
1576595579,3,11
1576597511,16,14
1576598653,9,5
1576600265,9,7
1576601768,8,7
1576602911,7,8
1576604543,17,11
1576606451,14,6
1576608137,15,11
1576610049,21,14
1576611731,17,13
1576612569,4,1
1576613709,7,9
1576614911,5,31
1576616374,10,5
1576617612,11,4
1576619107,10,31
1576620849,14,7
1576622411,16,7
1576624036,15,13
1576624448,4,1
1576625709,14,14
1576626974,14,5
1576628048,11,10
1576629732,14,23
1576631648,23,4
1576633329,12,19
1576634168,8,2
1576635311,12,9
1576636091,11,1
1576638849,10,20
1576640530,10,9
1576642211,9,7
1576643410,14,11
1576644136,2,6
1576646048,11,17
1576646889,7,2
1576647731,6,20
1576649410,11,12
1576650910,11,14
1576652182,7,2
1576653249,9,10
1576654510,5,20
1576655770,15,5
1576656849,14,17
1576658108,16,20
1576659308,16,5
1576660427,5,28
1576661714,10,11
1576662968,9,8
1576664048,6,9
1576664888,9,1
1576666569,9,38
1576667650,5,4
1576668489,6,0
1576669835,8,9
1576671010,3,8
1576672210,13,13
1576673771,5,7
1576674848,2,10
1576676109,7,14
1576677371,5,3
1576678510,4,8
1576679635,8,7
1576680798,4,4
1576682110,6,10
1576685379,16,24
1576686489,7,0
1576687328,5,16
1576689018,12,23
1576690508,10,9
1576691710,6,2
1576692910,7,5
1576694529,9,22
1576695635,3,13
1576696810,1,1
1576698010,8,23
1576700048,15,14
1576701308,3,17
1576702419,11,9
1576703710,10,10
1576706169,10,23
1576707248,5,14
1576708930,13,21
1576709770,1,3
1576710912,7,9
1576712532,8,21
1576713369,9,1
1576714510,1,13
1576715909,5,20
1576717108,1,12
1576718290,18,2
1576719733,5,16
1576720569,3,0
1576721710,6,15
1576723329,11,30
1576724770,5,4
1576726091,12,2
1576728583,16,25
1576729689,4,1
1576731918,14,29
1576733411,4,10
1576734609,3,4
1576735812,4,14
1576736048,5,0
1576736888,5,1
1576737730,4,17
1576739235,3,18
1576740490,17,1
1576742168,11,21
1576743249,23,12
1576744932,9,29
1576746848,10,6
1576747690,12,0
1576748529,1,19
1576750210,16,11
1576752128,17,15
1576753818,9,15
1576754920,10,3
1576757649,17,28
1576759329,6,18
1576760169,0,2
1576761312,5,5
1576762508,6,15
1576762931,2,7
1576764368,11,3
1576765689,6,4
1576767244,8,9
1576768448,9,17
1576770144,8,3
1576772050,9,14
1576773729,7,15
1576775418,13,11
1576776611,4,14
1576777809,2,5
1576778169,1,0
1576779311,11,5
1576780811,7,26
1576782609,17,11
1576783810,19,10
1576785308,6,6
1576786450,16,13
1576788009,17,19
1576789292,5,8
1576790412,4,1
1576791613,3,28
1576793410,9,11
1576794911,7,18
1576797018,14,22
1576798448,13,22
1576799708,5,4
1576800852,7,17
1576801688,6,1
1576802531,16,23
1576804210,12,8
1576805412,5,19
1576806910,6,5
1576808049,8,5
1576808888,9,1
1576809741,3,16
1576811123,10,9
1576813331,7,16
1576814171,5,2
1576815310,6,12
1576816510,6,12
1576818504,9,20
1576819688,6,0
1576820532,1,17
1576822451,4,6
1576824011,7,15
1576825568,9,21
1576826966,4,23
1576828568,8,9
1576829672,7,16
1576831035,4,12
1576832389,14,14
1576833250,2,0
1576834510,8,16
1576835768,4,2
1576836912,4,8
1576838108,10,8
1576839369,7,4
1576840448,4,5
1576841709,5,7
1576842968,5,5
1576844049,14,2
1576845731,5,7
1576846568,1,0
1576847651,2,3
1576848489,1,0
1576849332,6,15
1576850174,4,0
1576851248,9,5
1576852089,9,0
1576853410,7,9
1576854611,6,15
1576855689,3,1
1576856530,4,7
1576858447,6,8
1576860133,20,12
1576861489,5,7
1576862986,9,11
1576865651,13,6
1576867333,5,7
1576868171,2,1
1576869248,4,9
1576870351,10,2
1576870932,7,3
1576871768,3,0
1576873688,9,6
1576876210,6,21
1576877411,4,8
1576879188,9,3
1576880410,4,0
1576882568,15,14
1576883710,3,9
1576885332,6,10
1576887011,9,3
1576888210,5,8
1576890609,3,6
1576891691,4,0
1576892533,5,12
1576894219,20,5
1576895366,3,6
1576896797,11,4
1576898050,2,12
1576898888,42,0
1576901410,31,43
1576903332,4,15
1576904170,5,2
1576905311,8,10
1576906932,16,14
1576908848,12,3
1576910536,13,12
1576912211,11,9
1576913410,13,14
1576915222,12,12
1576916892,10,2
1576917732,6,7
1576918569,7,0
1576919710,7,5
1576921212,16,20
1576923249,25,7
1576924813,13,16
1576925768,15,1
1576926848,1,6
