DateTime,Entries,UniqueIPs
1576248130,9202,9202
1576250049,9199,9199
1576251729,9188,9188
1576252826,9181,9181
1576254489,9182,9182
1576256832,9164,9164
1576258088,9167,9167
1576259768,9161,9161
1576260909,9150,9150
1576262530,9149,9149
1576263997,9143,9143
1576265108,9147,9147
1576266130,9133,9133
1576266968,9132,9132
1576268049,9126,9126
1576268888,9130,9130
1576270250,9119,9119
1576271648,9114,9114
1576273329,9105,9105
1576274170,9109,9109
1576275250,9111,9111
1576276090,9111,9111
1576277536,9105,9105
1576278848,9104,9104
1576280412,9091,9091
1576281370,9096,9096
1576283290,9092,9092
1576285811,9047,9047
1576287611,9040,9040
1576289418,9037,9037
1576290488,9038,9038
1576292110,9004,9004
1576294089,8999,8999
1576296851,8970,8970
1576298410,8962,8962
1576300449,8963,8963
1576302012,8951,8951
1576302968,8955,8955
1576304109,8954,8954
1576304890,8963,8963
1576305729,8951,8951
1576306571,8955,8955
1576307715,8947,8947
1576309211,8947,8947
1576310673,8948,8948
1576312931,8945,8945
1576314850,8951,8951
1576316531,8951,8951
1576317370,8961,8961
1576318449,8949,8949
1576320128,8922,8922
1576321818,8910,8910
1576323011,8908,8908
1576324828,8907,8907
1576325648,8909,8909
1576327152,8912,8912
1576328171,8918,8918
1576329248,8912,8912
1576330088,8918,8918
1576331709,8910,8910
1576332848,8904,8904
1576334269,8914,8914
1576335455,8908,8908
1576336581,8903,8903
1576337708,8905,8905
1576338850,8909,8909
1576340110,8917,8917
1576341356,8912,8912
1576342629,8909,8909
1576344489,8914,8914
1576345631,8905,8905
1576347011,8899,8899
1576348131,8909,8909
1576349768,8903,8903
1576350848,8899,8899
1576351689,8905,8905
1576353084,8903,8903
1576354218,8894,8894
1576356132,8881,8881
1576357226,8853,8853
1576358411,8861,8861
1576359611,8858,8858
1576361409,8852,8852
1576362610,8844,8844
1576363808,8832,8832
1576365309,8833,8833
1576367374,8821,8821
1576367769,8826,8826
1576368910,8804,8804
1576370111,8800,8800
1576371309,8794,8794
1576372510,8776,8776
1576373289,8782,8782
1576374620,8736,8736
1576376049,8724,8724
1576377610,8724,8724
1576378826,8722,8722
1576380011,8727,8727
1576381331,8709,8709
1576383251,8700,8700
1576384088,8705,8705
1576386850,8706,8706
1576388530,8699,8699
1576390210,8695,8695
1576392131,8699,8699
1576394048,8699,8699
1576394890,8701,8701
1576396568,8694,8694
1576397711,8692,8692
1576398912,8690,8690
1576400425,8685,8685
1576401612,8698,8698
1576402811,8686,8686
1576404611,8675,8675
1576406531,8664,8664
1576408219,8650,8650
1576410128,8653,8653
1576411225,8649,8649
1576412411,8660,8660
1576414508,8655,8655
1576416490,8660,8660
1576417331,8655,8655
1576419018,8659,8659
1576420211,8667,8667
1576421817,8678,8678
1576423204,8681,8681
1576423688,8688,8688
1576424528,8691,8691
1576426210,8697,8697
1576427412,8700,8700
1576428911,8718,8718
1576430110,8713,8713
1576430890,8719,8719
1576431728,8718,8718
1576433412,8723,8723
1576434679,8724,8724
1576435808,8726,8726
1576437011,8732,8732
1576438208,8736,8736
1576440618,8758,8758
1576441690,8767,8767
1576443010,8778,8778
1576444196,8792,8792
1576445320,8819,8819
1576448050,8832,8832
1576449730,8853,8853
1576451418,8855,8855
1576453211,8863,8863
1576455011,8873,8873
1576456212,8881,8881
1576457709,8902,8902
1576458848,8917,8917
1576460412,8930,8930
1576462448,8933,8933
1576463288,8940,8940
1576464909,8952,8952
1576466117,8956,8956
1576466889,8965,8965
1576467731,8964,8964
1576469651,8958,8958
1576471210,8964,8964
1576473018,7967,7967
1576474931,8977,8977
1576476611,9014,9014
1576477689,9016,9016
1576478530,9017,9017
1576479372,9031,9031
1576480449,9039,9039
1576481291,9049,9049
1576482131,9048,9048
1576484049,9069,9069
1576484892,9086,9086
1576486107,9098,9098
1576487412,9122,9122
1576488490,9140,9140
1576489592,9144,9144
1576491249,9160,9160
1576492509,9160,9160
1576493615,9172,9172
1576493768,9175,9175
1576494911,9187,9187
1576496529,9206,9206
1576498210,9205,9205
1576499288,9212,9212
1576500968,9215,9215
1576502109,9228,9228
1576503731,9227,9227
1576505649,9242,9242
1576506491,9247,9247
1576507926,9241,9241
1576509308,9251,9251
1576510928,9244,9244
1576512131,9254,9254
1576513688,9269,9269
1576515008,9262,9262
1576516218,9258,9258
1576517290,9273,9273
1576518545,9286,9286
1576519811,9296,9296
1576520888,9306,9306
1576523648,9307,9307
1576525208,9318,9318
1576526427,9333,9333
1576527612,9348,9348
1576529108,9355,9355
1576530611,9366,9366
1576532529,9375,9375
1576533369,9381,9381
1576533628,9380,9380
1576535288,9389,9389
1576536130,9382,9382
1576537727,9404,9404
1576538888,9411,9411
1576541410,9424,9424
1576542560,9426,9426
1576544427,9441,9441
1576545610,9448,9448
1576546931,9452,9452
1576547771,9455,9455
1576549688,9465,9465
1576551126,9462,9462
1576552449,9472,9472
1576553710,9485,9485
1576556046,7967,7967
1576557731,9492,9492
1576558569,9507,9507
1576559651,9513,9513
1576561212,9511,9511
1576562322,9518,9518
1576563248,9515,9515
1576564089,9521,9521
1576564931,9521,9521
1576566132,9518,9518
1576567811,9530,9530
1576570452,9543,9543
1576572010,9551,9551
1576574048,9559,9559
1576575546,9564,9564
1576576571,9568,9568
1576577650,9570,9570
1576579329,9575,9575
1576580170,9581,9581
1576581309,9581,9581
1576582089,9588,9588
1576582943,9587,9587
1576583770,9592,9592
1576584851,9592,9592
1576586318,9594,9594
1576587504,9591,9591
1576588811,9600,9600
1576590311,9590,9590
1576592049,9589,9589
1576593351,9595,9595
1576594480,9596,9596
1576595579,9588,9588
1576597511,9590,9590
1576598653,9594,9594
1576600265,9596,9596
1576601768,9597,9597
1576602911,9596,9596
1576604543,9602,9602
1576606451,9610,9610
1576608137,9614,9614
1576610049,9621,9621
1576611731,9625,9625
1576612569,9628,9628
1576613709,9626,9626
1576614911,9600,9600
1576616374,9605,9605
1576617612,9612,9612
1576619107,9591,9591
