DateTime,AddedIPs,RemovedIPs
1575745814,2,0
1575756040,0,1
1575759628,1,1
1575760813,2,0
1575765013,0,1
1575767650,0,1
1575778514,1,0
1575780142,1,0
1575780970,1,0
1575782114,0,1
1575784574,1,0
1575787811,0,1
1575791770,1,0
1575792914,0,1
1575794114,1,0
1575795627,0,1
1575797292,2,0
1575798915,1,0
1575806960,2,0
1575814476,1,1
1575820254,1,0
1575822753,2,0
1575825313,0,1
1575826932,1,0
1575828614,1,1
1575832515,1,1
1575833633,1,0
1575834735,1,0
1575840910,0,1
1575846620,0,2
1575850513,2,0
1575853812,1,0
1575854890,1,0
1575856475,1,1
1575857716,1,0
1575858913,2,0
1575868220,1,0
1575869414,0,1
1575872113,1,1
1575873735,1,0
1575875652,0,1
1575878172,0,1
1575879252,1,0
1575881189,0,2
1575884530,0,1
1575886453,0,1
1575890068,0,1
1575896170,1,0
1575900621,1,0
1575902549,1,0
1575905801,0,1
1575906900,1,1
1575908115,0,1
1575909357,0,2
1575910517,1,1
1575912490,0,1
1575913341,0,4
1575915314,0,2
1575916940,2,1
1575922450,2,0
1575923710,1,0
1575924971,1,0
1575926054,1,0
1575929654,0,2
1575931341,0,2
1575933252,1,0
1575947413,0,1
1575951015,1,0
1575953403,2,0
1575963013,0,2
1575967344,0,1
1575970642,0,1
1575971771,2,0
1575974547,0,1
1575977415,0,1
1575978986,1,0
1575982027,1,0
1575983651,1,0
1575985349,1,1
1575988951,2,2
1575990613,0,1
1575992820,0,4
1575998053,0,1
1575998892,1,0
1576001417,2,0
1576004116,1,1
1576006951,1,0
1576008888,2,0
1576011647,0,1
1576014158,0,1
1576015599,1,0
1576018572,2,0
1576021365,0,2
1576023014,3,0
1576024958,0,2
1576026853,0,3
1576028331,0,3
1576029585,1,0
1576030765,1,0
1576032151,1,0
1576034056,5,1
1576035311,1,0
1576036571,1,0
1576037713,0,1
1576040113,1,1
1576041315,2,1
1576042846,2,0
1576046533,1,1
1576048454,2,0
1576049291,1,0
1576050611,1,0
1576054033,1,0
1576055271,1,0
1576055652,0,1
1576058170,1,0
1576061555,1,0
1576063690,1,0
1576066451,0,1
1576068980,0,1
1576071310,2,0
1576071785,0,2
1576073652,1,0
1576077251,0,2
1576079859,0,1
1576080851,0,1
1576082563,1,0
1576083717,1,0
1576085411,2,1
1576087254,0,1
1576091412,0,2
1576092616,0,4
1576095020,0,2
1576096214,1,0
1576102213,0,1
1576106113,0,1
1576108570,0,1
1576113276,1,1
1576119372,0,1
1576120516,1,0
1576124050,1,1
1576125652,0,1
1576129810,0,1
1576131013,1,1
1576134850,5,0
1576137014,1,0
1576142053,0,2
1576143649,2,1
1576144933,1,0
1576147387,1,1
1576148171,1,0
1576150513,0,1
1576152632,2,0
1576153819,0,1
1576155015,0,1
1576156213,1,0
1576159846,1,2
1576161015,0,1
1576163430,0,1
1576164560,1,2
1576168205,0,1
1576169770,0,1
1576172447,2,0
1576174060,1,0
1576176038,0,1
1576179804,1,0
1576184170,0,1
1576186164,2,0
1576188911,0,1
1576190110,1,1
1576192454,1,2
1576193713,1,1
1576197312,1,0
1576198572,1,0
1576199665,0,1
