DateTime,AddedIPs,RemovedIPs
1576244115,4,9
1576244534,4,5
1576245837,3,2
1576247075,8,4
1576248134,3,12
1576250053,6,8
1576251733,3,14
1576252830,4,11
1576254493,4,3
1576256836,10,28
1576258092,5,2
1576259772,9,15
1576260915,1,11
1576262534,10,9
1576264001,1,8
1576265112,4,0
1576266133,4,18
1576266972,3,4
1576268053,1,7
1576268892,5,1
1576270254,5,16
1576271654,3,9
1576273333,1,10
1576274173,4,0
1576275255,6,4
1576276094,3,3
1576277540,1,7
1576278853,5,7
1576280418,3,17
1576281373,7,2
1576283294,3,6
1576285815,8,54
1576287616,7,13
1576289422,5,8
1576290492,1,0
1576292114,6,41
1576294093,7,12
1576296856,8,37
1576298416,4,12
1576300454,6,5
1576302017,2,15
1576302972,4,0
1576304113,4,4
1576304894,8,0
1576306575,9,16
1576307719,4,13
1576309216,8,8
1576310677,6,5
1576312936,12,15
1576314854,8,3
1576316535,7,6
1576317374,9,1
1576318454,3,16
1576320133,11,38
1576321822,1,13
1576323015,9,11
1576324832,12,13
1576325653,2,1
1576327157,8,5
1576328175,11,5
1576329252,2,8
1576330093,6,0
1576331714,12,20
1576332852,9,15
1576334273,13,3
1576335460,2,8
1576336586,4,10
1576337712,6,3
1576338854,7,3
1576340114,14,6
1576341360,5,10
1576342642,4,7
1576344493,12,7
1576345635,4,12
1576347015,2,8
1576348137,10,0
1576349772,9,16
1576350852,5,7
1576351693,6,0
1576353088,9,11
1576354222,3,12
1576356136,9,22
1576357231,2,30
1576358417,9,1
1576359615,12,16
1576361414,7,13
1576362616,6,14
1576363812,1,13
1576365314,5,4
1576367378,14,26
1576367773,5,0
1576368915,7,28
1576370115,3,8
1576371313,8,14
1576372515,4,24
1576373294,5,0
1576374624,8,52
1576376053,4,16
1576377616,12,12
1576378830,4,6
1576380016,6,2
1576381335,7,25
1576383255,3,12
1576384092,5,0
1576386855,14,13
1576388535,4,12
1576390214,2,6
1576392135,14,9
1576394052,4,4
1576394893,4,2
1576396572,6,14
1576397716,5,7
1576398917,4,5
1576400430,4,9
1576401617,12,0
1576402815,5,18
1576404615,11,22
1576406535,5,15
1576408223,4,17
1576410133,5,3
1576411230,3,7
1576412415,11,0
1576414512,9,16
1576416494,11,6
1576417335,3,8
1576419021,7,3
1576420217,13,5
1576421822,16,5
1576423208,13,8
1576423692,8,3
1576424533,6,3
1576426214,13,7
1576427416,10,7
1576428916,24,6
1576430115,8,12
1576430894,5,0
1576431732,6,6
1576433416,9,4
1576434684,5,4
1576435812,5,3
1576437015,9,3
1576438213,7,3
1576440622,28,4
1576441694,9,2
1576443014,11,0
1576444199,17,3
1576445324,28,1
1576448054,30,12
1576449734,26,4
1576451421,7,6
1576453217,14,5
1576455015,22,12
