DateTime,Entries,UniqueIPs
1576244115,1204,1204
1576244534,1203,1203
1576245837,1204,1204
1576247075,1208,1208
1576248134,1199,1199
1576250053,1197,1197
1576251733,1186,1186
1576252830,1179,1179
1576254493,1180,1180
1576256836,1162,1162
1576258092,1165,1165
1576259772,1159,1159
1576260915,1149,1149
1576262534,1150,1150
1576264001,1143,1143
1576265112,1147,1147
1576266133,1133,1133
1576266972,1132,1132
1576268053,1126,1126
1576268892,1130,1130
1576270254,1119,1119
1576271654,1113,1113
1576273333,1104,1104
1576274173,1108,1108
1576275255,1110,1110
1576276094,1110,1110
1576277540,1104,1104
1576278853,1102,1102
1576280418,1088,1088
1576281373,1093,1093
1576283294,1090,1090
1576285815,1044,1044
1576287616,1038,1038
1576289422,1035,1035
1576290492,1036,1036
1576292114,1001,1001
1576294093,996,996
1576296856,967,967
1576298416,959,959
1576300454,960,960
1576302017,947,947
1576302972,951,951
1576304113,951,951
1576304894,959,959
1576306575,952,952
1576307719,943,943
1576309216,943,943
1576310677,944,944
1576312936,941,941
1576314854,946,946
1576316535,947,947
1576317374,955,955
1576318454,942,942
1576320133,915,915
1576321822,903,903
1576323015,901,901
1576324832,900,900
1576325653,901,901
1576327157,904,904
1576328175,910,910
1576329252,904,904
1576330093,910,910
1576331714,902,902
1576332852,896,896
1576334273,906,906
1576335460,900,900
1576336586,894,894
1576337712,897,897
1576338854,901,901
1576340114,909,909
1576341360,904,904
1576342642,901,901
1576344493,906,906
1576345635,898,898
1576347015,892,892
1576348137,902,902
1576349772,895,895
1576350852,893,893
1576351693,899,899
1576353088,897,897
1576354222,888,888
1576356136,875,875
1576357231,847,847
1576358417,855,855
1576359615,851,851
1576361414,845,845
1576362616,837,837
1576363812,825,825
1576365314,826,826
1576367378,814,814
1576367773,819,819
1576368915,798,798
1576370115,793,793
1576371313,787,787
1576372515,767,767
1576373294,772,772
1576374624,728,728
1576376053,716,716
1576377616,716,716
1576378830,714,714
1576380016,718,718
1576381335,700,700
1576383255,691,691
1576384092,696,696
1576386855,697,697
1576388535,689,689
1576390214,685,685
1576392135,690,690
1576394052,690,690
1576394893,692,692
1576396572,684,684
1576397716,682,682
1576398917,681,681
1576400430,676,676
1576401617,688,688
1576402815,675,675
1576404615,664,664
1576406535,654,654
1576408223,641,641
1576410133,643,643
1576411230,639,639
1576412415,650,650
1576414512,643,643
1576416494,648,648
1576417335,643,643
1576419021,647,647
1576420217,655,655
1576421822,666,666
1576423208,671,671
1576423692,676,676
1576424533,679,679
1576426214,685,685
1576427416,688,688
1576428916,706,706
1576430115,702,702
1576430894,707,707
1576431732,707,707
1576433416,712,712
1576434684,713,713
1576435812,715,715
1576437015,721,721
1576438213,725,725
1576440622,749,749
1576441694,756,756
1576443014,767,767
1576444199,781,781
1576445324,808,808
1576448054,826,826
1576449734,848,848
1576451421,849,849
1576453217,858,858
1576455015,868,868
1576456216,881,881
1576457714,903,903
1576458853,918,918
1576460417,931,931
1576462452,935,935
1576463292,942,942
1576464913,954,954
1576466121,958,958
1576466893,967,967
1576467736,966,966
1576469656,960,960
1576471215,966,966
1576474935,979,979
1576476616,1016,1016
1576477693,1018,1018
1576478535,1018,1018
1576479376,1033,1033
1576480453,1041,1041
1576481295,1051,1051
1576482134,1050,1050
1576484054,1070,1070
1576484896,1088,1088
1576486111,1100,1100
1576487416,1113,1113
1576488494,1132,1132
1576489596,1136,1136
1576491253,1150,1150
1576492513,1151,1151
1576493620,1163,1163
1576493773,1166,1166
1576494915,1178,1178
1576496533,1197,1197
1576498215,1196,1196
1576499292,1202,1202
1576500972,1205,1205
1576502113,1218,1218
1576503736,1217,1217
1576505654,1231,1231
1576506495,1235,1235
1576507932,1229,1229
1576509312,1239,1239
1576510933,1232,1232
1576512135,1242,1242
1576513692,1257,1257
1576515012,1250,1250
1576516222,1246,1246
1576517294,1259,1259
1576518550,1273,1273
1576519815,1282,1282
1576520892,1292,1292
1576523653,1293,1293
1576525213,1305,1305
1576526432,1319,1319
1576527616,1334,1334
1576529113,1339,1339
1576530616,1350,1350
1576532533,1360,1360
1576533372,1366,1366
1576533633,1365,1365
1576535292,1374,1374
1576536134,1365,1365
1576537731,1388,1388
1576538892,1395,1395
1576541415,1406,1406
1576542566,1411,1411
1576544433,1425,1425
1576545614,1432,1432
1576546935,1437,1437
1576547775,1440,1440
1576549693,1450,1450
1576551131,1448,1448
1576552453,1447,1447
1576553714,1458,1458
1576557735,1466,1466
1576558574,1482,1482
1576559656,1487,1487
1576561217,1486,1486
1576562326,1493,1493
1576563252,1490,1490
1576564092,1496,1496
1576564935,1496,1496
1576566136,1494,1494
1576567815,1506,1506
1576570457,1519,1519
1576572015,1529,1529
1576574052,1536,1536
1576575554,1541,1541
1576576575,1544,1544
1576577654,1546,1546
1576579333,1551,1551
1576580174,1557,1557
1576581314,1557,1557
1576582093,1564,1564
1576582947,1563,1563
1576583774,1568,1568
1576584855,1569,1569
1576586322,1571,1571
1576587508,1568,1568
1576588817,1577,1577
1576590314,1567,1567
1576592054,1566,1566
1576593355,1572,1572
1576594484,1573,1573
1576595583,1565,1565
1576597516,1567,1567
1576598657,1571,1571
1576600271,1573,1573
1576601773,1574,1574
1576602915,1573,1573
1576604547,1578,1578
1576606456,1586,1586
1576608141,1590,1590
1576610054,1597,1597
1576611735,1602,1602
1576612573,1605,1605
1576613714,1604,1604
1576614915,1578,1578
1576616388,1585,1585
1576617619,1590,1590
1576619113,1570,1570
1576620853,1577,1577
1576622419,1587,1587
1576624040,1589,1589
1576624453,1592,1592
1576625713,1593,1593
1576626978,1601,1601
1576628053,1602,1602
1576629736,1593,1593
1576631654,1612,1612
1576633333,1605,1605
1576634172,1611,1611
1576635316,1614,1614
1576636094,1624,1624
1576638854,1614,1614
1576640534,1616,1616
1576642215,1618,1618
1576643416,1621,1621
1576644140,1618,1618
1576646052,1612,1612
1576646893,1617,1617
1576647735,1603,1603
1576649414,1601,1601
1576650914,1598,1598
1576652186,1603,1603
1576653253,1602,1602
1576654514,1587,1587
1576655774,1597,1597
1576656854,1594,1594
1576658113,1589,1589
1576659312,1600,1600
1576660431,1578,1578
1576661718,1577,1577
1576662972,1578,1578
1576664053,1575,1575
1576664893,1583,1583
1576666572,1554,1554
1576667654,1555,1555
1576668493,1561,1561
1576669839,1561,1561
1576671014,1556,1556
1576672216,1555,1555
