DateTime,AddedIPs,RemovedIPs
1576251723,244,112
1576252819,37,53
1576254482,69,0
1576256826,96,210
1576258082,59,0
1576259762,84,118
1576260903,45,55
1576262524,53,104
1576263991,54,61
1576265102,48,0
1576266123,36,107
1576266963,32,1
1576268042,40,52
1576268883,27,1
1576270244,57,81
1576271643,44,51
1576273323,81,85
1576274162,33,0
1576275243,63,41
1576276083,91,0
1576277529,86,83
1576278842,56,46
1576280403,58,110
1576281363,20,0
1576283282,74,46
1576285803,92,175
1576287603,72,101
1576289403,55,45
1576290482,51,1
1576292105,61,108
1576294083,71,80
1576296842,103,173
1576298402,61,117
1576300442,79,62
1576302004,60,117
1576302963,36,0
1576304103,55,58
1576304883,39,0
1576305723,29,109
1576306562,30,0
1576307702,45,82
1576309203,41,112
1576310668,40,45
1576312923,71,99
1576314842,91,53
1576316524,72,111
1576317363,28,0
1576318443,57,89
1576320123,79,156
1576321803,62,69
1576323003,52,210
1576324820,63,86
1576325642,28,0
1576327147,58,190
1576328163,53,0
1576329243,53,56
1576330082,22,1
1576331702,71,106
1576332842,50,60
1576334263,87,84
1576335446,73,23
1576336576,101,61
1576337702,38,85
1576338844,45,27
1576340102,52,91
1576341351,49,71
1576342618,41,29
1576344482,79,67
1576345626,49,93
1576347003,47,51
1576348121,48,0
1576349763,73,114
1576350842,40,82
1576351683,38,0
1576353076,60,118
1576354204,50,42
1576356125,88,181
1576357219,46,83
1576358403,60,0
1576359602,51,102
1576361402,56,54
1576362602,56,77
1576363802,53,32
1576364162,8,0
1576365302,39,47
1576367367,223,116
1576367763,10,0
1576368902,53,71
1576370102,35,76
1576371303,70,40
1576372503,72,81
1576373283,32,0
1576374614,56,146
1576376042,50,60
1576377602,55,113
1576378819,36,43
1576380002,47,0
1576381324,44,129
1576383243,69,56
1576384082,31,0
1576386843,104,126
1576388524,53,95
1576390204,53,49
1576392123,91,103
1576394042,58,58
1576394882,40,0
1576396562,45,109
1576397704,40,50
1576398902,86,75
1576400405,45,91
1576401603,57,1
1576402803,60,89
1576404602,64,55
1576406523,61,133
1576408203,49,70
1576410122,54,161
1576411218,25,42
1576412403,45,2
1576414502,74,98
1576416484,65,57
1576417324,27,89
1576419004,68,40
1576420205,38,143
1576421812,71,120
1576422903,55,59
1576423683,22,1
1576424522,30,90
1576426203,65,40
1576427403,45,75
1576428902,62,41
1576430102,45,53
1576430882,23,0
1576431723,31,86
1576433403,57,46
1576434673,34,77
1576435803,36,29
1576437003,46,40
1576438203,47,59
1576440602,99,78
1576441682,35,0
1576443003,40,88
1576444190,49,67
1576445313,61,0
1576448043,505,269
1576449723,73,87
1576451404,70,36
1576453202,67,83
1576455004,101,49
1576456204,43,70
1576457702,69,30
1576458842,55,46
1576460403,65,103
1576462443,73,47
1576463282,29,1
1576464903,67,89
1576466103,45,53
1576466882,30,0
1576467723,29,79
1576469642,74,39
1576471202,61,95
1576473002,100,44
1576474924,87,98
1576476603,105,49
1576477683,48,0
1576478522,45,75
1576479363,49,0
1576480442,46,50
1576481282,51,1
1576482124,38,84
1576484042,87,47
1576484883,40,0
1576486101,59,107
1576487405,67,49
1576488483,55,1
1576489586,54,98
1576491242,78,39
1576492503,65,80
1576493610,48,18
1576493763,9,0
1576494903,63,44
1576496523,84,96
1576498202,75,59
1576499283,51,1
1576500962,60,85
1576502102,55,68
1576503723,71,128
1576505643,95,96
1576506483,36,0
1576507920,109,129
1576509303,74,45
1576510922,64,98
1576512123,52,41
