DateTime,AddedIPs,RemovedIPs
1576209373,5,4
1576210513,1,3
1576212047,3,7
1576214053,6,4
1576215419,1,2
1576216572,3,0
1576217655,1,1
1576219212,2,1
1576221253,6,1
1576222509,7,0
1576223712,5,1
1576224913,1,2
1576226445,2,3
1576228452,1,1
1576230209,4,3
1576231414,5,1
1576232595,1,0
1576233912,1,2
1576235420,5,0
1576236614,1,0
1576238111,5,0
1576239251,2,0
1576240092,1,0
1576240931,2,0
1576242911,3,1
1576244532,5,1
1576245835,1,16
1576248132,1,1
1576250050,1,2
1576251730,3,3
1576252827,2,0
1576254491,2,0
1576256834,3,4
1576258090,2,0
1576259769,6,4
1576260913,0,4
1576262532,1,2
1576263999,3,3
1576265109,5,0
1576266131,2,4
1576266970,1,0
1576268051,2,0
1576268890,2,0
1576270251,2,0
1576271650,1,0
1576273330,1,3
1576274171,2,0
1576275252,1,1
1576277538,3,2
1576278850,4,0
1576280414,0,1
1576281371,1,0
1576283291,5,0
1576285813,8,0
1576287613,2,1
1576289420,5,0
1576292112,10,1
1576294091,7,0
1576296853,10,2
1576298413,3,2
1576300451,3,5
1576302014,2,8
1576302970,2,0
1576304111,1,5
1576304892,2,0
1576305731,2,5
1576306573,2,0
1576307717,1,6
1576309213,4,6
1576310675,2,1
1576312934,6,4
1576314851,4,2
1576316532,3,6
1576317372,1,0
1576318451,5,2
1576320130,4,4
1576321820,4,1
1576323013,3,3
1576324829,3,6
1576325650,2,0
1576327154,4,4
1576328173,2,0
1576329250,3,2
1576330091,0,1
1576331711,1,1
1576332850,3,0
1576334270,1,4
1576335457,0,1
1576336583,2,3
1576337709,0,1
1576338852,1,0
1576340112,1,5
1576341358,2,0
1576345633,1,5
1576348133,2,0
1576349770,2,2
1576350849,4,2
1576351690,1,0
1576353085,0,4
1576354219,0,1
1576356134,1,1
1576357229,2,0
1576358414,2,0
1576359613,0,1
1576361411,1,0
1576362613,1,4
1576363810,5,0
1576364171,1,0
1576365312,2,2
1576367376,3,1
1576367771,2,0
1576368913,1,0
1576370113,1,3
1576371310,4,3
1576372513,5,3
1576374622,3,7
1576376050,5,5
1576377613,5,9
1576378828,2,2
1576380013,1,0
1576381333,1,6
1576383253,4,4
1576386852,5,9
1576388532,4,5
1576390212,6,4
1576392132,5,9
1576394050,3,3
1576396569,2,5
1576397713,3,1
1576398914,4,2
1576400428,1,5
1576401613,3,0
1576402813,2,6
1576404613,2,2
1576406532,6,6
1576408220,1,4
1576410130,2,3
1576411227,2,2
1576414510,4,4
1576416492,1,2
1576417333,2,1
1576419019,3,0
1576420214,1,1
1576421819,3,1
1576423206,2,2
1576423690,1,0
1576424530,1,1
1576426211,1,3
1576427414,1,2
1576428913,2,2
1576430113,0,4
1576430891,1,0
1576433414,1,3
1576434680,0,5
1576435810,3,1
