DateTime,AddedIPs,RemovedIPs
1576247072,19,8
1576248131,20,66
1576250049,19,18
1576251730,28,25
1576252826,11,21
1576254490,28,2
1576256833,26,50
1576258089,18,4
1576259769,17,37
1576260910,15,16
1576262531,19,40
1576263998,19,25
1576265109,16,6
1576266130,16,28
1576266969,11,1
1576268050,12,20
1576268889,9,2
1576270251,21,28
1576271649,27,18
1576273329,28,28
1576274170,19,3
1576275251,15,18
1576276091,12,3
1576277537,12,31
1576278849,14,10
1576280413,19,27
1576281370,7,10
1576283291,21,11
1576285812,32,38
1576287612,28,32
1576289419,13,17
1576290489,6,7
1576292111,20,25
1576294090,26,18
1576296852,24,49
1576298412,14,32
1576300450,25,16
1576302013,10,24
1576302969,11,1
1576304110,14,8
1576304891,10,5
1576305730,10,35
1576306572,11,6
1576307716,29,21
1576309213,22,31
1576310674,15,25
1576312933,32,33
1576314850,28,23
1576316532,17,43
1576317371,12,4
1576318450,18,39
1576320129,21,44
1576321819,30,21
1576323012,11,26
1576324829,24,23
1576325649,14,4
1576327153,18,51
1576328172,24,3
1576329249,32,12
1576330090,12,9
1576331710,18,24
1576332849,9,16
1576334270,31,33
1576335457,24,14
1576336582,16,19
1576337709,14,27
1576338851,16,17
1576340111,12,16
1576341357,10,23
1576344490,44,22
1576345632,15,24
1576347012,14,17
1576348133,15,8
1576349769,19,37
1576350849,11,14
1576351690,16,3
1576353085,22,33
1576354219,12,15
1576356133,25,37
1576357228,20,17
1576358412,20,5
1576359612,15,20
1576361410,37,11
1576362611,20,20
1576363809,21,10
1576364170,2,5
1576365310,20,19
1576367375,17,33
1576367770,6,5
1576368912,23,15
1576370112,13,26
1576371310,26,17
1576372511,18,14
1576373290,6,6
1576374621,25,18
1576376050,19,19
1576377612,27,26
1576378827,14,7
1576380012,8,5
1576381332,14,16
1576383252,27,14
1576384089,10,3
1576386851,31,36
1576388531,13,20
1576390211,21,12
1576392131,19,17
1576394049,23,18
1576394890,27,1
1576396568,26,27
1576397712,14,12
1576398913,23,28
1576400426,21,27
1576401612,15,6
1576402812,19,18
1576404612,29,12
1576406532,19,30
1576408220,17,23
1576410129,15,96
1576411226,12,10
1576412412,33,7
1576414509,31,23
1576416491,18,28
1576417332,10,23
1576419019,20,16
1576420213,8,19
1576421818,36,16
1576423205,26,22
1576423689,8,6
1576424529,10,33
1576426211,36,18
1576427413,39,19
1576428912,7,23
1576430111,24,18
1576430891,8,6
1576431729,9,31
1576433413,16,19
1576434679,9,26
1576435809,16,15
1576437011,26,18
1576438209,13,22
1576440619,26,37
1576441691,13,9
1576443011,12,32
1576444196,14,20
1576445321,9,6
1576448051,96,69
1576449730,17,29
1576451418,20,24
1576453212,20,28
1576455012,29,26
1576456213,22,22
1576457710,20,22
1576458849,14,13
1576460413,16,18
1576462449,23,21
1576463288,7,11
1576464910,19,36
1576466118,8,16
1576466890,9,6
1576467732,13,16
1576469652,21,20
1576471211,21,26
1576474932,42,33
1576476612,19,25
1576477690,9,7
1576478532,12,25
1576479373,13,7
1576480450,5,15
1576481292,15,2
1576482131,12,25
1576484050,22,21
1576484893,7,6
1576486107,13,29
1576487413,11,18
1576488491,11,5
1576489593,12,24
1576491250,25,19
1576492510,28,19
1576493616,20,9
1576493769,2,2
1576494912,17,12
1576496530,33,26
1576498211,27,24
1576499289,21,9
1576500969,18,35
1576502110,11,18
1576503733,16,28
1576505650,35,25
1576506492,14,4
1576507929,21,36
1576509309,22,22
1576510929,23,29
1576512132,9,22
1576513689,20,15
1576515009,13,30
1576516219,13,20
1576517291,11,3
1576518547,7,28
1576519812,17,19
1576520889,9,5
1576523649,27,58
1576525209,16,28
1576526429,13,20
1576527613,28,5
1576529109,36,24
1576530612,23,22
1576532530,24,29
1576533369,6,5
1576533629,0,12
1576535289,13,8
1576536130,8,27
1576537728,20,19
1576538889,22,6
1576541411,29,60
1576542561,15,14
1576544429,12,27
1576545611,18,8
1576546932,17,19
1576547772,10,6
1576549689,29,16
1576551127,12,27
1576552450,21,14
1576553711,8,22
1576557732,33,45
1576558570,5,8
1576559652,3,14
1576561213,15,22
1576562323,18,7
1576563249,16,7
1576564089,10,3
1576564931,5,26
1576566133,20,18
