DateTime,Entries,UniqueIPs
1576247072,1927,1927
1576248131,1881,1881
1576250049,1882,1882
1576251730,1885,1885
1576252826,1875,1875
1576254490,1901,1901
1576256833,1877,1877
1576258089,1891,1891
1576259769,1871,1871
1576260910,1870,1870
1576262531,1849,1849
1576263998,1843,1843
1576265109,1853,1853
1576266130,1841,1841
1576266969,1851,1851
1576268050,1843,1843
1576268889,1850,1850
1576270251,1843,1843
1576271649,1852,1852
1576273329,1852,1852
1576274170,1868,1868
1576275251,1865,1865
1576276091,1874,1874
1576277537,1855,1855
1576278849,1859,1859
1576280413,1851,1851
1576281370,1848,1848
1576283291,1858,1858
1576285812,1852,1852
1576287612,1848,1848
1576289419,1844,1844
1576290489,1843,1843
1576292111,1838,1838
1576294090,1846,1846
1576296852,1821,1821
1576298412,1803,1803
1576300450,1812,1812
1576302013,1798,1798
1576302969,1808,1808
1576304110,1814,1814
1576304891,1819,1819
1576305730,1794,1794
1576306572,1799,1799
1576307716,1807,1807
1576309213,1798,1798
1576310674,1788,1788
1576312933,1787,1787
1576314850,1792,1792
1576316532,1766,1766
1576317371,1774,1774
1576318450,1753,1753
1576320129,1730,1730
1576321819,1739,1739
1576323012,1724,1724
1576324829,1725,1725
1576325649,1735,1735
1576327153,1702,1702
1576328172,1723,1723
1576329249,1743,1743
1576330090,1746,1746
1576331710,1740,1740
1576332849,1733,1733
1576334270,1731,1731
1576335457,1741,1741
1576336582,1738,1738
1576337709,1725,1725
1576338851,1724,1724
1576340111,1720,1720
1576341357,1707,1707
1576344490,1729,1729
1576345632,1720,1720
1576347012,1717,1717
1576348133,1724,1724
1576349769,1706,1706
1576350849,1703,1703
1576351690,1716,1716
1576353085,1705,1705
1576354219,1702,1702
1576356133,1690,1690
1576357228,1693,1693
1576358412,1708,1708
1576359612,1703,1703
1576361410,1729,1729
1576362611,1729,1729
1576363809,1740,1740
1576364170,1737,1737
1576365310,1738,1738
1576367375,1722,1722
1576367770,1723,1723
1576368912,1731,1731
1576370112,1718,1718
1576371310,1727,1727
1576372511,1731,1731
1576373290,1731,1731
1576374621,1738,1738
1576376050,1738,1738
1576377612,1739,1739
1576378827,1746,1746
1576380012,1749,1749
1576381332,1747,1747
1576383252,1760,1760
1576384089,1767,1767
1576386851,1762,1762
1576388531,1755,1755
1576390211,1764,1764
1576392131,1766,1766
1576394049,1771,1771
1576394890,1797,1797
1576396568,1796,1796
1576397712,1798,1798
1576398913,1793,1793
1576400426,1787,1787
1576401612,1796,1796
1576402812,1797,1797
1576404612,1814,1814
1576406532,1803,1803
1576408220,1797,1797
1576410129,1716,1716
1576411226,1718,1718
1576412412,1744,1744
1576414509,1752,1752
1576416491,1742,1742
1576417332,1729,1729
1576419019,1733,1733
1576420213,1722,1722
1576421818,1742,1742
1576423205,1746,1746
1576423689,1748,1748
1576424529,1725,1725
1576426211,1743,1743
1576427413,1763,1763
1576428912,1747,1747
1576430111,1753,1753
1576430891,1755,1755
1576431729,1733,1733
1576433413,1730,1730
1576434679,1713,1713
1576435809,1714,1714
1576437011,1722,1722
