DateTime,AddedIPs,RemovedIPs
1576250048,40,21
1576251728,43,43
1576252824,24,22
1576254488,41,0
1576256831,53,73
1576258088,27,0
1576259767,42,53
1576260908,28,18
1576262529,29,56
1576263996,26,29
1576265107,18,1
1576266129,20,42
1576266967,16,0
1576268048,18,33
1576268887,11,0
1576270249,26,39
1576271648,23,27
1576273328,30,46
1576274168,22,0
1576275249,22,23
1576276089,22,0
1576277536,22,48
1576278848,27,19
1576280410,31,56
1576281369,9,1
1576283288,35,21
1576285809,45,66
1576287610,34,50
1576289417,22,24
1576290487,6,5
1576292109,25,40
1576294088,36,25
1576296850,45,89
1576298409,37,75
1576300448,45,30
1576302011,30,57
1576302968,18,0
1576304108,21,20
1576304889,17,2
1576305728,17,54
1576306570,15,0
1576307713,25,33
1576309210,14,52
1576310672,17,23
1576312929,35,60
1576314848,47,35
1576316529,31,62
1576317369,13,1
1576318447,30,56
1576320128,36,70
1576321817,31,36
1576323010,20,48
1576324826,24,38
1576325647,20,0
1576327152,33,75
1576328169,24,0
1576329247,23,24
1576330087,13,1
1576331708,39,37
1576332847,22,26
1576334268,57,47
1576335455,55,10
1576336580,39,27
1576337707,24,46
1576338849,25,17
1576340109,20,30
1576341355,18,33
1576342626,28,11
1576344488,33,32
1576345630,28,39
1576347009,22,29
1576348129,25,2
1576349767,33,63
1576350847,17,20
1576351688,20,0
1576353083,32,59
1576354217,22,15
1576356131,44,70
1576357225,34,24
1576358410,28,0
1576359609,13,52
1576361407,31,24
1576362609,31,39
1576363807,28,13
1576364168,2,0
1576365308,19,24
1576367373,28,47
1576367768,6,2
1576368909,31,29
1576370110,17,39
1576371307,43,14
1576372509,30,30
1576373288,12,1
1576374619,28,51
1576376048,25,29
1576377609,21,59
1576378824,23,18
1576380010,23,0
1576381330,24,59
1576383250,41,24
1576384087,16,1
1576386849,53,69
1576388529,30,50
1576390209,35,23
1576392130,35,54
1576394047,29,24
1576394888,15,0
1576396567,20,45
1576397710,17,27
1576398909,30,42
1576400424,23,37
1576401610,24,1
1576402810,19,38
1576404610,34,25
1576406529,32,58
1576408218,25,33
1576410127,25,126
1576411223,14,25
1576412409,24,2
1576414507,32,48
1576416490,31,37
1576417330,13,43
1576419017,31,26
1576420210,12,43
1576421817,35,18
1576423202,29,35
1576423687,9,1
1576424527,17,52
1576426209,30,24
1576427410,22,40
1576428910,22,15
1576430108,25,31
1576430888,8,1
1576431727,18,45
1576433411,22,21
1576434678,14,35
1576435807,16,14
1576437009,21,19
1576438207,15,26
1576440617,42,42
1576441688,14,0
1576443009,13,41
1576444195,25,29
1576445319,11,0
1576448049,413,62
1576449728,21,50
1576451417,36,13
1576453210,23,39
1576455010,31,29
1576456210,15,29
1576457708,19,18
1576458847,16,22
1576460410,29,29
1576462447,35,22
1576463287,8,0
1576464908,29,44
1576466115,17,18
1576466888,10,2
1576467730,12,41
1576469649,36,21
1576471209,27,48
1576473017,40,21
1576474930,29,40
1576476610,35,33
1576477688,20,0
1576478529,21,37
1576479370,18,3
1576480448,12,21
1576481289,17,0
1576482130,16,39
1576484048,40,28
1576484889,10,3
1576486106,19,53
1576487411,20,26
1576488490,18,3
1576489591,27,47
1576491248,31,25
1576492508,33,29
1576493614,23,9
1576493767,3,0
1576494909,23,19
1576496528,34,51
1576498209,30,29
1576499287,26,0
1576500967,31,49
1576502108,22,46
1576503729,22,73
1576505648,46,61
1576506489,18,0
1576507925,31,53
1576509304,0,5965
1576510927,5981,0
1576512130,18,23
1576513688,42,5
1576515007,22,43
1576516217,29,26
1576517288,16,1
1576518544,18,49
1576519808,21,28
1576520887,18,3
1576523647,57,85
1576525207,26,44
1576526426,25,40
1576527611,30,1
1576529107,42,46
1576530610,27,18
1576532528,32,43
1576533368,15,0
1576533626,3,22
1576535287,26,2
1576536129,10,47
1576537726,37,21
1576538887,26,2
1576541409,41,89
1576542558,27,26
1576544426,34,41
1576545609,23,1
1576546929,19,35
1576547770,12,1
1576549688,30,25
1576551126,0,5940
1576552448,5943,0
1576553708,14,27
1576556046,0,5930
1576557730,5906,0
1576558568,8,2
1576559650,21,29
1576561210,21,36
1576562321,28,22
1576563247,22,5
1576564088,12,0
1576564929,14,41
1576566131,24,13
1576567810,25,26
1576570448,85,34
1576572009,45,40
1576574047,42,20
1576575544,34,39
1576576571,26,1
1576577649,19,25
1576579328,26,37
1576580169,17,0
1576581308,21,18
1576582088,18,1
1576582942,19,45
1576583769,13,0
1576584849,28,19
1576586317,46,30
1576587503,16,14
