DateTime,Entries,UniqueIPs
1576250048,14401,14401
1576251728,14401,14401
1576252824,14403,14403
1576254488,14444,14444
1576256831,14424,14424
1576258088,14451,14451
1576259767,14440,14440
1576260908,14450,14450
1576262529,14423,14423
1576263996,14420,14420
1576265107,14437,14437
1576266129,14415,14415
1576266967,14431,14431
1576268048,14416,14416
1576268887,14427,14427
1576270249,14414,14414
1576271648,14410,14410
1576273328,14394,14394
1576274168,14416,14416
1576275249,14415,14415
1576276089,14437,14437
1576277536,14411,14411
1576278848,14419,14419
1576280410,14394,14394
1576281369,14402,14402
1576283288,14416,14416
1576285809,14395,14395
1576287610,14379,14379
1576289417,14377,14377
1576290487,14378,14378
1576292109,14363,14363
1576294088,14374,14374
1576296850,14330,14330
1576298409,14292,14292
1576300448,14307,14307
1576302011,14280,14280
1576302968,14298,14298
1576304108,14299,14299
1576304889,14314,14314
1576305728,14277,14277
1576306570,14292,14292
1576307713,14284,14284
1576309210,14246,14246
1576310672,14240,14240
1576312929,14215,14215
1576314848,14227,14227
1576316529,14196,14196
1576317369,14208,14208
1576318447,14182,14182
1576320128,14148,14148
1576321817,14143,14143
1576323010,14115,14115
1576324826,14101,14101
1576325647,14121,14121
1576327152,14079,14079
1576328169,14103,14103
1576329247,14102,14102
1576330087,14114,14114
1576331708,14116,14116
1576332847,14112,14112
1576334268,14122,14122
1576335455,14167,14167
1576336580,14179,14179
1576337707,14157,14157
1576338849,14165,14165
1576340109,14155,14155
1576341355,14140,14140
1576342626,14157,14157
1576344488,14158,14158
1576345630,14147,14147
1576347009,14140,14140
1576348129,14163,14163
1576349767,14133,14133
1576350847,14130,14130
1576351688,14150,14150
1576353083,14123,14123
1576354217,14130,14130
1576356131,14104,14104
1576357225,14114,14114
1576358410,14142,14142
1576359609,14103,14103
1576361407,14110,14110
1576362609,14102,14102
1576363807,14117,14117
1576364168,14119,14119
1576365308,14114,14114
1576367373,14095,14095
1576367768,14099,14099
1576368909,14101,14101
1576370110,14079,14079
1576371307,14108,14108
1576372509,14108,14108
1576373288,14119,14119
1576374619,14096,14096
1576376048,14092,14092
1576377609,14054,14054
1576378824,14059,14059
1576380010,14082,14082
1576381330,14047,14047
1576383250,14064,14064
1576384087,14079,14079
1576386849,14063,14063
1576388529,14043,14043
1576390209,14055,14055
1576392130,14036,14036
1576394047,14041,14041
1576394888,14056,14056
1576396567,14031,14031
1576397710,14021,14021
1576398909,14009,14009
1576400424,13995,13995
1576401610,14018,14018
1576402810,13999,13999
1576404610,14008,14008
1576406529,13982,13982
1576408218,13974,13974
1576410127,13873,13873
1576411223,13862,13862
1576412409,13884,13884
1576414507,13868,13868
1576416490,13862,13862
1576417330,13832,13832
1576419017,13837,13837
1576420210,13806,13806
1576421817,13823,13823
1576423202,13817,13817
1576423687,13825,13825
1576424527,13790,13790
1576426209,13796,13796
1576427410,13778,13778
1576428910,13785,13785
1576430108,13779,13779
1576430888,13786,13786
1576431727,13759,13759
1576433411,13760,13760
1576434678,13739,13739
1576435807,13741,13741
1576437009,13743,13743
1576438207,13732,13732
1576440617,13732,13732
1576441688,13746,13746
1576443009,13718,13718
1576444195,13714,13714
1576445319,13725,13725
1576448049,14076,14076
1576449728,14047,14047
1576451417,14070,14070
1576453210,14054,14054
1576455010,14056,14056
1576456210,14042,14042
1576457708,14043,14043
1576458847,14037,14037
1576460410,14037,14037
1576462447,14050,14050
1576463287,14058,14058
1576464908,14043,14043
1576466115,14042,14042
1576466888,14050,14050
1576467730,14021,14021
1576469649,14036,14036
1576471209,14015,14015
1576473017,14034,14034
1576474930,14023,14023
1576476610,14025,14025
1576477688,14045,14045
1576478529,14029,14029
1576479370,14044,14044
1576480448,14035,14035
1576481289,14052,14052
1576482130,14029,14029
1576484048,14041,14041
1576484889,14048,14048
1576486106,14014,14014
1576487411,14008,14008
1576488490,14023,14023
1576489591,14003,14003
1576491248,14009,14009
1576492508,14013,14013
1576493614,14027,14027
1576493767,14030,14030
1576494909,14034,14034
1576496528,14017,14017
1576498209,14018,14018
1576499287,14044,14044
1576500967,14026,14026
1576502108,14002,14002
1576503729,13951,13951
1576505648,13936,13936
1576506489,13954,13954
1576507925,13932,13932
1576509304,7967,7967
1576510927,13948,13948
1576512130,13943,13943
1576513688,13980,13980
