DateTime,AddedIPs,RemovedIPs
1576245835,7,8
1576247073,12,3
1576248132,1,10
1576250051,11,7
1576251731,10,8
1576252828,3,11
1576254491,7,6
1576256834,24,23
1576258090,11,10
1576259770,10,16
1576260913,8,8
1576262533,9,14
1576263999,11,15
1576265110,5,5
1576266131,5,6
1576266970,5,6
1576268051,11,8
1576268890,5,1
1576270252,12,5
1576271651,7,11
1576273331,15,12
1576274171,6,11
1576275252,4,10
1576276092,9,5
1576277538,13,16
1576278850,5,13
1576280415,15,11
1576281371,7,1
1576283292,19,6
1576285813,16,22
1576287613,15,17
1576289420,9,9
1576290490,4,5
1576292112,14,10
1576294091,10,13
1576296853,12,22
1576298414,5,9
1576300452,15,10
1576302014,15,13
1576302970,6,8
1576304111,10,7
1576304892,9,2
1576305731,7,4
1576306573,7,7
1576307717,3,7
1576309214,10,11
1576310676,13,3
1576312934,10,8
1576314851,17,8
1576316533,10,14
1576317372,8,6
1576318452,6,12
1576320130,13,8
1576321820,12,14
1576323013,10,14
1576324830,5,12
1576325650,7,10
1576327154,13,10
1576328173,10,8
1576329250,4,11
1576330091,10,4
1576331711,14,7
1576332850,14,7
1576334271,8,9
1576335458,11,5
1576336583,10,4
1576337710,5,6
1576338852,5,8
1576340112,5,8
1576341358,6,12
1576344491,13,25
1576345633,10,13
1576347013,8,14
1576348134,1,10
1576349770,10,8
1576350850,9,10
1576351691,3,9
1576353086,11,12
1576354220,4,9
1576356134,18,9
1576357229,9,10
1576358415,8,13
1576359613,7,8
1576361411,10,20
1576362614,8,11
1576363810,9,1
1576364171,2,4
1576365312,4,5
1576367376,8,26
1576367771,1,1
1576368913,6,9
1576370113,6,6
1576371311,13,8
1576372513,11,6
1576373291,5,11
1576374622,10,9
1576376051,9,14
1576377613,10,9
1576378828,19,7
1576380014,11,7
1576381333,8,8
1576383253,7,10
1576384090,8,2
1576386852,15,16
1576388532,13,10
1576390212,11,11
1576392132,6,9
1576394050,15,13
1576394891,3,6
1576396570,10,9
1576397714,7,7
1576398914,15,12
1576400428,14,10
1576401614,7,7
1576402813,3,9
1576404614,10,11
1576406533,8,7
1576408221,13,10
1576410130,13,17
1576411228,8,8
1576412413,6,5
1576414510,12,19
1576416492,15,12
1576417333,4,8
1576419020,15,8
1576420215,12,7
1576421819,6,9
1576423206,4,7
1576423690,5,3
1576424531,5,6
1576426212,11,4
1576427414,7,8
1576428913,8,14
1576430113,11,20
1576430892,2,6
1576431730,2,10
1576433414,9,9
1576434681,12,10
1576435810,9,5
1576437013,10,7
1576438211,6,9
1576440620,20,9
1576441692,14,8
1576443012,5,7
1576444197,8,5
1576445322,6,10
1576448052,23,22
1576449731,7,18
1576451419,9,13
1576453214,11,8
1576455013,10,10
1576456214,1,8
1576457711,11,9
1576458850,7,7
1576460415,12,8
1576462450,11,16
1576463290,9,5
1576464911,9,5
1576466119,8,9
1576466891,8,6
1576467733,4,5
1576469653,7,16
1576471212,5,17
1576474933,22,20
1576476614,4,10
1576477691,6,10
1576478533,9,8
1576479374,7,3
1576480451,5,6
1576481293,7,0
1576482132,6,5
1576484051,8,10
1576484894,4,3
1576486109,6,5
1576487414,7,4
1576488492,9,12
1576489594,9,7
1576491251,8,16
1576492511,8,8
1576493617,3,7
1576493771,2,1
1576494913,8,7
1576496531,16,9
1576498213,13,9
1576499290,15,3
1576500970,18,8
1576502111,10,6
1576503734,4,9
1576505651,13,9
1576506493,3,7
1576507930,15,8
1576509310,4,4
1576510930,14,12
1576512133,10,7
1576513690,11,9
1576515010,10,18
1576516220,8,12
1576517292,10,9
1576518548,8,8
1576519814,9,0
1576520890,6,9
1576523650,12,21
1576525210,4,16
1576526430,7,7
1576527614,8,10
1576529111,13,6
1576530613,7,9
1576532531,13,15
1576533370,6,1
1576533631,1,3
1576535290,9,6
1576536132,12,9
1576537729,16,14
1576538890,4,3
