DateTime,AddedIPs,RemovedIPs
1576245832,29,31
1576247069,36,16
1576248127,21,52
1576250047,31,38
1576251727,209,68
1576252823,19,23
1576254486,34,9
1576256830,57,132
1576258086,35,10
1576259766,45,59
1576260907,27,32
1576262528,28,46
1576263995,41,35
1576265106,27,6
1576266127,23,55
1576266966,22,4
1576268046,24,23
1576268886,14,9
1576270248,32,42
1576271647,26,22
1576273327,62,42
1576274166,20,8
1576275247,46,20
1576276087,74,10
1576277535,72,34
1576278846,31,25
1576280408,35,52
1576281367,8,9
1576283286,38,38
1576285807,52,71
1576287607,46,51
1576289416,33,23
1576290486,55,6
1576292108,33,45
1576294087,41,57
1576296848,61,59
1576298407,27,35
1576300447,36,37
1576302009,36,53
1576302967,22,8
1576304107,38,37
1576304887,19,13
1576305727,15,43
1576306569,20,14
1576307711,25,37
1576309208,28,58
1576310672,21,31
1576312927,32,38
1576314846,40,30
1576316528,46,47
1576317366,15,11
1576318446,30,23
1576320127,38,60
1576321816,43,34
1576323007,35,159
1576324824,39,36
1576325646,15,8
1576327151,27,124
1576328167,32,13
1576329246,40,30
1576330086,10,12
1576331707,34,69
1576332846,30,41
1576334266,32,44
1576335454,29,23
1576336579,65,36
1576337706,16,38
1576338848,23,15
1576340106,27,57
1576341354,35,37
1576342625,25,22
1576344486,44,30
1576345629,26,42
1576347007,36,22
1576348128,24,2
1576349766,43,50
1576350846,28,62
1576351687,23,5
1576353082,31,56
1576354216,30,18
1576356130,41,103
1576357224,18,37
1576358407,35,9
1576359607,35,41
1576361406,40,31
1576362606,31,29
1576363806,21,17
1576364167,9,2
1576365307,15,20
1576367371,205,48
1576367766,4,4
1576368906,27,25
1576370107,23,34
1576371306,27,26
1576372507,40,33
1576373287,26,7
1576374618,28,46
1576376046,32,22
1576377607,33,48
1576378823,21,42
1576380007,23,11
1576381328,22,49
1576383248,37,29
1576384086,11,7
1576386847,51,56
1576388528,30,46
1576390208,23,30
1576392128,50,40
1576394046,35,43
1576394886,31,5
1576396566,27,58
1576397707,24,24
1576398906,61,44
1576400423,29,54
1576401607,29,13
1576402808,46,35
1576404607,33,22
1576406527,25,61
1576408217,32,30
1576410126,39,45
1576411222,17,17
1576412407,22,14
1576414506,59,55
1576416488,41,33
1576417329,17,41
1576419016,33,28
1576420209,21,109
1576421816,31,108
1576423686,34,27
1576424526,9,34
1576426207,29,22
1576427407,21,34
1576428908,38,35
1576430106,40,24
1576430886,15,3
1576431727,16,35
1576433407,34,27
1576434677,27,47
1576435806,20,22
1576437007,23,29
1576438206,34,32
1576440616,44,51
1576441686,20,15
1576443007,20,50
1576444194,12,42
1576445319,32,9
1576448048,65,206
1576449727,42,35
1576451416,36,23
1576453207,38,51
1576455008,58,29
1576456208,22,31
1576457707,38,23
1576458846,21,26
1576460407,27,83
1576462446,37,26
1576463286,15,10
1576464906,27,46
1576466112,24,32
1576466887,18,10
1576467726,14,33
1576469647,51,17
1576471207,36,44
1576473016,48,26
1576474929,44,56
1576476607,43,21
1576477687,34,8
1576478526,24,32
1576479367,23,7
1576480447,26,28
1576481287,23,13
1576482128,18,41
1576484047,33,29
1576484888,18,5
1576486104,21,51
1576487410,20,23
1576488487,32,10
1576489589,19,42
1576491246,39,21
1576492507,30,46
1576493613,16,10
1576493766,4,2
1576494908,26,29
1576496527,38,55
1576498208,40,34
1576499286,24,19
1576500966,23,45
1576502107,24,32
1576503727,40,39
1576505647,31,47
1576506487,19,3
1576507923,84,81
1576510926,57,84
1576512128,28,25
1576513687,30,18
1576515006,47,53
1576516216,31,30
1576517286,18,10
1576518542,31,34
1576519806,18,36
1576520886,18,9
1576523646,80,58
1576525206,54,39
1576526424,36,23
1576527609,36,12
1576529106,48,42
1576530608,45,21
1576532527,53,40
1576533367,12,7
1576533624,7,17
1576535286,37,12
1576536128,16,123
1576537725,35,120
1576538886,17,7
1576541408,64,77
1576542543,28,10
1576544424,40,68
1576545607,27,10
1576546927,23,34
1576547768,13,1
1576549687,36,20
1576552447,52,76
1576553707,33,39
1576557729,63,76
1576558567,9,13
1576559647,21,29
1576561208,27,49
1576562320,19,24
1576563246,26,5
1576564087,13,10
1576564926,16,49
1576566130,34,28
1576567808,44,40
1576570446,78,65
1576572007,26,64
1576574046,38,29
1576575543,27,37
1576576570,22,6
1576577646,19,27
1576579327,35,48
1576580168,18,9
1576581307,23,29
1576582087,20,4
1576582927,13,45
1576583767,14,7
1576584846,14,28
1576586316,28,43
1576587500,26,20
1576588807,40,11
1576590308,18,47
1576592046,40,31
1576593349,20,39
1576594478,35,12
1576595577,29,19
1576597507,40,47
1576598651,36,18
1576600262,47,33
1576601766,47,18
1576602907,29,21
1576604540,38,54
1576606448,50,84
1576608135,34,731
1576610047,176,52
1576611729,104,46
1576612567,31,8
1576613706,50,23
1576614906,40,25
1576616369,65,40
1576617609,44,172
1576619106,76,45
1576620847,102,30
1576622407,73,46
1576624034,70,33
1576624446,18,8
1576625707,36,53
1576626970,32,23
1576628046,24,44
1576629730,61,40
1576631647,66,32
1576633327,78,49
1576634166,121,5
1576635307,57,21
1576636088,14,10
1576638848,76,74
1576640528,56,36
1576642207,52,37
1576643407,35,50
1576644132,21,13
1576646046,32,39
1576646887,27,8
1576647727,23,43
1576649407,38,35
1576650906,28,46
1576652180,24,21
1576653247,41,22
1576654506,41,45
1576655767,19,21
1576656847,18,28
1576658106,36,45
1576659306,42,22
1576660425,25,24
1576661710,34,40
1576662966,37,30
1576664046,29,24
1576664886,14,6
1576666567,46,58
1576667646,28,24
1576668486,22,7
1576669833,34,48
1576671007,34,23
1576672206,25,46
1576673766,51,22
1576674846,26,22
1576676107,80,33
1576677367,31,90
1576678506,15,24
1576679634,49,46
1576680796,30,19
1576682108,33,23
1576685377,66,57
1576686486,27,11
1576687326,17,35
1576689016,53,26
1576690506,42,33
1576691707,31,25
1576692906,24,36
1576694527,26,44
1576695631,27,24
1576696807,35,11
1576698007,69,31
1576700046,44,36
1576701306,28,32
1576702417,28,15
1576703706,33,26
1576706167,43,41
1576707246,24,19
1576708927,31,47
1576709767,32,7
1576710908,26,21
1576712528,42,43
1576713366,16,14
1576714508,23,20
1576715908,41,43
1576717106,66,21
1576718286,95,10
1576719731,67,54
1576720567,13,7
1576721707,45,22
1576723326,51,52
1576724765,37,39
1576726087,30,9
1576728581,66,62
1576729687,23,3
1576731916,43,61
1576733407,18,36
1576734607,37,18
1576735810,24,32
1576736046,5,0
1576736886,11,5
1576737726,25,54
1576739234,53,31
1576740488,18,6
1576742167,32,64
1576743248,27,32
1576744928,47,31
1576746846,44,22
1576747686,23,13
1576748527,19,31
1576750206,49,38
1576752126,43,56
1576753816,44,42
1576754919,30,4
1576757647,53,67
1576759327,35,53
1576760167,15,6
1576761310,26,20
1576762507,26,46
1576762927,8,13
1576764364,31,46
1576765686,29,10
1576767242,27,45
1576768446,22,32
1576770143,40,69
1576772047,36,37
1576773727,32,57
1576775416,44,44
1576776607,32,37
1576777807,31,17
1576778167,9,2
1576779307,15,25
1576780807,37,117
1576782606,61,585
1576783806,77,42
1576785306,58,178
1576786446,91,29
1576788006,67,187
1576789287,140,48
1576790407,65,8
1576791610,41,159
1576793406,169,66
1576794907,98,44
1576797016,78,40
1576797247,12,1
1576798444,31,282
1576799706,137,22
1576800848,93,30
1576801686,48,6
1576802527,40,65
1576804206,57,166
1576805410,32,50
1576806907,56,22
1576808047,33,24
1576808886,24,9
1576809738,30,71
1576811121,39,41
1576813327,73,63
1576814167,30,5
1576815307,33,35
1576816508,40,44
1576818502,50,46
1576819686,27,4
1576820528,16,52
1576822447,49,36
1576824007,33,100
1576825563,36,28
1576826964,41,58
1576828566,42,28
1576829670,23,52
1576831033,30,48
1576832387,39,56
1576833246,18,6
1576834507,25,44
1576835766,29,22
1576836907,21,38
1576838106,36,48
1576839367,32,15
1576840446,24,28
1576841706,24,36
1576842966,19,24
1576844047,18,39
1576845727,107,106
1576846567,14,4
1576847649,17,27
1576848486,24,7
1576849330,18,58
1576850170,19,7
1576851246,21,31
1576852087,15,7
1576853407,37,57
1576854608,30,21
1576855687,22,8
1576856527,13,48
1576858445,36,40
1576860128,24,45
1576861487,18,34
1576862983,35,46
1576865648,66,47
1576867329,32,104
1576868169,11,2
1576869246,29,31
1576870349,16,34
1576870928,12,13
1576871767,11,8
1576873686,43,34
1576876208,50,70
1576877408,22,37
1576879186,28,61
1576880406,30,7
1576882566,32,61
1576883708,47,17
1576885328,86,56
1576887007,48,64
1576888207,22,140
1576890607,47,45
1576891688,25,7
1576892529,16,84
1576894216,39,36
1576895362,22,46
1576896795,23,14
1576898046,17,29
1576898886,13,36
1576901407,68,90
1576903329,37,40
1576904167,23,3
1576905306,18,22
1576906928,27,35
1576908847,36,40
1576910533,30,61
1576912207,43,30
1576913406,23,45
1576916407,61,47
1576916890,6,4
1576917727,12,55
1576918567,15,2
1576919708,20,29
1576921208,25,55
1576923247,42,34
1576924808,17,40
1576925766,13,6
1576926846,19,31
