DateTime,AddedIPs,RemovedIPs
1575317650,0,1
1575320051,1,0
1575321314,1,0
1575322929,1,0
1575323772,2,0
1575324918,3,0
1575326536,0,2
1575330132,2,1
1575335397,1,0
1575337215,0,2
1575339021,2,0
1575340213,1,0
1575344533,1,3
1575345372,3,0
1575347291,1,0
1575348820,0,1
1575351615,1,0
1575354013,1,0
1575355333,1,0
1575357250,1,0
1575359714,1,0
1575360853,0,1
1575362533,1,0
1575366972,1,0
1575368051,0,1
1575373004,1,1
1575375258,0,1
1575378614,2,0
1575379790,1,0
1575380533,1,0
1575382451,2,0
1575384134,1,0
1575386056,1,0
1575388219,1,0
1575393253,0,1
1575394815,11,0
1575401737,1,2
1575404111,2,0
1575408492,1,1
1575410078,1,0
1575412091,1,0
1575413771,1,0
1575414912,0,1
1575419419,3,0
1575420513,0,1
1575421820,0,1
1575425421,0,1
1575426613,0,1
1575432614,2,1
1575436220,1,1
1575441731,0,1
1575443414,0,2
1575446020,0,1
1575453449,0,1
1575454451,0,1
1575459492,0,1
1575461651,1,0
1575463218,1,2
1575466931,1,0
1575469691,1,0
1575472451,1,0
1575479651,0,2
1575481336,0,2
1575483976,1,0
1575489011,1,0
1575494114,1,0
1575499334,0,1
1575506531,0,2
1575515417,3,1
1575519255,1,0
1575520936,0,1
1575522851,0,1
1575527713,0,1
1575531617,0,1
1575533170,0,1
1575538931,0,3
1575539773,0,1
1575549164,0,2
1575555252,1,0
1575558198,0,1
1575559669,2,0
1575563711,1,0
1575565064,0,12
1575566053,0,1
1575566891,1,0
1575570885,1,2
1575575197,0,1
1575579461,0,1
1575582018,1,2
1575582973,1,0
1575588614,1,2
1575597749,0,2
1575599415,0,1
1575602068,3,0
1575603619,1,1
1575609914,1,0
1575613733,1,1
1575614541,0,1
1575621014,0,2
1575625338,1,0
1575626510,1,0
1575629775,1,3
1575631218,1,0
1575632878,0,2
1575634214,1,0
1575647655,1,0
1575656116,0,2
1575671798,0,1
1575676511,0,1
1575677614,1,0
1575679513,2,0
1575685815,0,2
1575689111,1,0
1575691815,0,2
1575693312,0,2
1575695421,1,0
1575697771,3,1
