DateTime,AddedIPs,RemovedIPs
1576554213,14,15
1576555173,12,45
1576555893,13,10
1576556612,19,7
1576557333,17,7
1576558053,7,25
1576558774,16,21
1576559493,21,18
1576560213,13,16
1576560934,14,16
1576561653,8,8
1576562373,8,12
1576563093,14,22
1576563813,19,18
1576564533,18,39
1576565252,21,19
1576565972,7,13
1576566694,17,13
1576567413,18,14
1576568132,12,6
1576568854,1103,13
1576569573,11,8
1576570533,9,12
1576571253,8,8
1576571974,8,7
1576572693,17,9
1576573653,15,14
1576574613,17,8
1576575333,20,15
1576576053,21,14
1576576774,10,17
1576577493,17,9
1576578214,9,70
1576579173,14,9
1576579894,12,8
1576580613,17,13
1576581334,17,15
1576582053,8,16
1576582772,14,13
1576583493,8,5
1576584453,11,8
1576585173,8,3
1576585892,18,11
1576586614,17,16
1576587334,8,9
1576588054,14,18
1576588774,9,17
1576589494,5,8
1576590214,9,11
1576590933,8,2
1576591892,22,11
1576592613,19,8
1576593333,5,19
1576594053,9,17
1576594774,12,6
1576595493,7,4
1576596213,6,10
1576596933,11,11
1576597654,10,9
1576598372,1,5
1576599094,5,8
1576599813,5,4
1576600533,3,11
1576601252,5,7
1576601974,9,4
1576602693,6,6
1576603413,14,9
1576604133,4,13
1576604853,14,8
1576605572,6,13
1576606292,8,8
1576607013,51,10
1576607733,58,3
1576608453,66,5
1576609173,4,6
1576609893,54,5
1576610614,4,14
1576611573,55,10
1576612293,59,10
1576613012,5,12
1576613733,63,8
1576614453,60,7
1576615172,57,10
1576615893,11,16
1576616613,52,10
1576617333,47,12
1576618054,17,5
1576618773,15,106
1576619493,14,16
1576620453,60,10
1576621173,3,13
1576621894,7,14
1576622614,3,26
1576623334,12,8
1576624294,15,13
1576625013,9,13
1576625734,8,11
1576626454,7,9
1576627172,12,3
1576627893,13,23
1576628614,6,14
1576629332,7,14
1576630054,15,10
1576630773,18,18
1576631493,20,17
1576632214,27,22
1576632934,12,20
1576633654,17,18
1576634373,18,20
1576635093,15,8
1576635814,18,16
1576636533,28,14
1576637254,11,14
1576637973,17,8
1576638694,10,8
1576639414,15,39
1576640133,11,16
1576640853,13,12
1576641573,21,12
1576642294,31,12
1576643013,56,18
1576643733,18,13
1576644453,15,10
1576645174,19,13
1576645894,5,19
1576646613,21,7
1576647333,13,12
1576648054,12,8
1576648774,9,5
1576649494,7,12
1576650213,16,14
1576650934,14,14
1576651654,14,12
1576652373,12,7
1576653094,5,16
1576653813,13,12
1576654532,2,13
1576655253,9,21
1576655973,10,10
1576656932,17,13
1576657652,11,7
1576658374,26,11
1576659093,11,14
1576659814,15,15
1576660533,3,10
1576661253,16,13
1576661973,12,24
1576662694,14,11
1576663654,8,19
1576664373,5,10
1576665093,4,11
1576665813,7,15
1576666534,10,8
1576667252,8,19
1576667974,10,13
1576668693,13,7
1576669413,16,12
1576670133,11,10
1576670853,13,5
1576671573,5,8
1576672293,7,15
1576673013,8,18
1576673973,14,11
1576674694,9,18
1576675412,5,3
1576676134,8,3
1576676853,9,9
1576677574,4,7
1576678533,12,18
1576679252,4,14
1576679974,11,8
1576680693,5,7
1576681654,11,11
1576682373,5,4
1576683093,5,5
1576683814,11,14
1576684533,6,2
1576685492,10,8
1576686212,2,3
1576686933,6,5
1576687653,5,5
1576688373,4,9
1576689333,20,8
1576690053,56,11
1576690774,7,4
1576691493,12,15
1576692454,8,7
1576693173,15,47
1576693893,9,55
1576694614,10,62
1576695333,7,7
1576696052,12,50
1576696773,16,69
1576697493,7,52
1576698214,6,7
1576699172,15,57
1576700134,37,57
1576700854,9,56
1576701574,13,54
1576703253,21,59
1576703973,3,56
1576704933,7,11
1576705653,4,14
1576706373,2,59
1576707093,7,4
1576707814,2,8
1576708533,9,2
1576709253,5,2
1576709974,3,16
1576710693,3,11
1576711412,2,9
1576712133,5,9
1576712852,6,7
1576713572,7,9
1576714292,17,12
1576715013,17,9
1576715733,15,8
1576716453,16,16
1576717174,17,10
1576717893,23,18
1576718613,21,23
1576719332,17,11
1576720052,31,21
1576720772,21,18
1576721494,6,14
1576722214,20,19
1576722933,17,27
1576723653,6,10
1576724373,21,13
1576725093,18,11
1576725813,29,9
1576726533,16,9
1576727254,12,8
1576727973,12,20
1576728693,13,15
1576729413,20,54
1576730134,11,18
1576730853,14,14
1576731573,9,15
1576732293,5,10
1576733014,11,14
1576733973,13,18
1576734694,11,10
1576735413,21,8
1576736133,8,7
1576736853,9,14
1576737574,9,12
1576738294,8,15
1576739012,8,12
1576739733,16,3
1576740453,14,11
1576741173,19,5
1576741893,9,8
1576742854,22,13
1576743573,13,15
1576744294,61,13
1576745013,15,19
1576745733,9,14
1576746453,20,6
1576747173,5,8
1576747893,10,12
1576748612,10,12
1576749392,10,12
1576750054,8,6
1576750773,12,8
1576751493,11,2
1576752213,17,6
1576752934,14,12
1576753653,10,6
1576754372,8,5
1576755093,8,14
1576755813,21,16
1576756534,13,13
1576757493,11,12
1576758213,6,7
1576758933,3,8
1576759653,10,7
1576760374,7,7
1576761333,8,10
1576762054,3,9
1576762773,7,7
1576763493,7,7
1576764454,7,8
1576765173,7,6
1576765893,3,9
1576766613,5,9
1576767333,5,5
1576768053,6,10
1576769013,9,7
1576769734,11,7
1576770453,12,11
1576771173,46,5
1576772134,6,10
1576772854,6,3
1576773573,12,9
1576774292,9,5
1576775252,12,13
1576775972,10,49
1576776692,5,8
1576777413,6,9
1576778373,10,14
1576779333,11,8
1576780052,9,11
1576780773,9,5
1576781493,6,8
1576782213,8,7
1576783173,9,15
1576783893,6,8
1576784613,8,6
1576785333,22,13
1576786293,11,33
1576787012,6,10
1576787734,9,10
1576788453,14,15
1576789173,8,7
1576790132,14,5
1576790852,9,5
1576791572,5,6
1576792293,3,3
1576793013,7,2
1576793733,9,7
1576794752,9,4
1576795413,5,10
1576796132,4,4
1576797093,13,3
1576797813,10,4
1576798533,28,5
1576799253,9,8
1576799974,12,5
1576800693,7,16
1576801414,13,13
1576802133,14,13
1576802854,19,15
1576803573,17,18
1576804293,32,17
1576805013,12,16
1576805733,14,11
1576806693,20,32
1576807654,19,16
1576808374,17,8
1576809094,24,24
1576809813,15,11
1576810533,17,9
1576811253,11,21
1576811973,13,17
1576812693,11,12
1576813413,10,15
1576814134,17,10
1576814853,18,12
1576815574,11,13
1576816293,8,11
1576817013,12,15
1576817734,18,13
1576818694,16,7
1576819413,13,10
1576820134,8,10
1576820853,7,13
1576821573,10,19
1576822532,7,12
1576823492,10,11
1576824212,11,10
1576824933,6,10
1576825893,16,16
1576826613,12,11
1576827334,9,10
1576828054,12,8
1576828773,12,22
1576829493,7,7
1576830214,17,43
1576830932,13,9
1576831653,7,14
1576832373,8,9
1576833094,9,16
1576833814,13,6
1576834533,10,7
1576835253,16,10
1576835973,10,11
1576836693,15,9
1576837413,9,12
1576838373,22,14
1576839094,20,16
1576839813,15,9
1576840533,8,6
1576841254,15,10
1576841973,9,14
1576842693,15,9
1576843413,14,12
1576844133,13,9
1576844852,23,2
1576845573,12,7
1576846292,6,6
1576847014,8,8
1576847733,14,8
1576848453,10,2
1576849173,7,807
1576849894,10,7
1576850613,6,4
1576851332,6,7
1576852053,4,4
1576852773,14,5
1576853493,7,7
1576854933,19,4
1576855893,5,12
1576856613,0,9
1576857332,5,8
1576858052,8,35
1576858774,8,6
1576859493,7,3
1576860213,17,10
1576860933,8,9
1576861653,6,9
1576862372,9,9
1576863093,7,6
1576863812,4,6
1576864532,6,10
1576865252,4,8
1576866212,16,9
1576866932,14,13
1576867653,9,9
1576868373,7,11
1576869093,4,4
1576869813,10,6
1576870533,17,6
1576871254,8,9
1576871973,7,14
1576872933,21,7
1576873653,8,5
1576874373,4,12
1576875093,6,12
1576875813,6,8
1576876533,5,11
1576877254,10,5
1576877973,4,6
1576878693,5,4
1576879653,48,8
1576880373,17,10
1576881093,5,4
1576881813,9,5
1576882533,8,6
1576883493,6,13
1576884214,17,10
1576884932,12,25
1576885653,9,9
1576886373,14,12
1576887093,7,6
1576887814,8,11
1576888533,11,15
1576889253,14,22
1576889974,3,13
1576890693,11,25
1576891413,12,16
1576892133,12,12
1576892853,12,14
1576893573,15,15
1576894293,15,12
1576895013,7,20
1576895733,12,16
1576896453,18,11
1576897174,15,16
1576897893,7,10
1576898614,13,15
1576899334,10,13
1576900053,11,14
1576900773,9,15
1576901494,10,11
1576902213,3,9
1576902932,13,9
1576903654,9,17
1576904372,11,16
1576905094,10,7
1576905812,8,12
1576906532,11,5
1576907253,7,6
1576907973,8,10
1576908693,5,6
1576909413,4,9
1576910133,11,5
1576910852,13,9
1576911573,12,6
1576912294,8,14
1576913014,10,9
1576913973,13,15
1576914694,11,9
1576915412,15,9
1576916134,16,8
1576916853,10,13
1576917573,9,12
1576918294,16,3
1576919013,13,8
1576919734,1219,11
1576920452,10,9
1576921174,9,13
1576921894,9,19
1576922853,9,11
1576923574,10,8
1576924293,10,9
1576925014,50,19
1576925733,10,13
1576926452,8,10
1576927173,11,15
