DateTime,AddedIPs,RemovedIPs
1575889952,8,44
1575891849,10,0
1575894029,11,27
1575895947,24,21
1575897856,17,18
1575899802,18,11
1575901692,12,16
1575903614,19,0
1575905562,21,35
1575907478,27,0
1575909630,19,41
1575911785,22,24
1575913704,24,18
1575915607,27,17
1575917544,25,31
1575921390,25,33
1575923535,8,17
1575927622,26,41
1575929538,11,0
1575931453,11,16
1575933389,17,19
1575935294,13,9
1575937228,17,14
1575939137,19,20
1575941050,8,16
1575943005,11,12
1575944898,9,23
1575946809,12,0
1575948750,15,37
1575950917,18,0
1575952810,19,32
1575954755,12,28
1575956651,15,28
1575958823,23,26
1575960729,19,0
1575962672,18,26
1575964568,16,0
1575966742,14,23
1575968898,13,24
1575970811,23,14
1575972743,8,22
1575974651,19,24
1575976580,24,23
1575978857,16,21
1575980709,19,16
1575982692,28,18
1575984543,28,13
1575986544,22,18
1575988716,14,21
1575990610,23,20
1575992651,19,17
1575994478,15,0
1575996511,23,15
1575998412,16,14
1576000342,13,0
1576002250,19,35
1576004167,31,11
1576008015,29,17
1576009950,19,0
1576011851,15,15
1576014015,27,14
1576016187,21,18
1576018105,17,0
1576020283,13,24
1576022178,13,10
1576024087,20,0
1576026023,20,17
1576028175,10,11
1576030345,9,18
1576032251,10,17
1576034200,15,10
1576036096,16,18
1576038020,17,15
1576039926,14,24
1576041863,13,0
1576043769,6,7
1576047856,16,22
1576049782,13,16
1576051702,17,19
1576053626,19,5
1576055542,14,16
1576059614,6,37
1576063466,15,35
1576065368,25,17
1576067543,21,12
1576069717,14,9
1576071617,15,7
1576073540,16,11
1576077395,14,26
1576079305,23,20
1576083182,21,26
1576085057,11,27
1576086979,14,21
1576088891,23,10
1576090835,12,16
1576092740,23,27
1576096812,15,20
1576100650,10,39
1576102819,22,18
1576104727,14,18
1576106662,13,17
1576108572,11,20
1576110736,13,12
1576112906,15,17
1576114823,12,26
1576116744,9,13
1576118655,14,36
1576120584,15,15
1576122736,15,24
1576124666,20,19
1576126571,15,14
1576128740,15,17
1576130667,12,10
1576132584,18,16
1576134496,9,23
1576136412,14,23
1576138350,14,19
1576142417,12,39
1576144327,15,0
1576146291,8,45
1576148173,13,11
1576150092,26,0
1576152023,14,26
1576153943,15,28
1576155860,19,34
1576157784,14,22
1576159701,15,29
1576161611,21,26
1576163549,10,24
1576165453,15,23
1576167371,26,29
1576169308,25,22
1576171208,23,15
1576173132,23,8
1576175069,18,13
1576176993,18,12
1576178888,18,18
1576180832,20,14
1576182731,22,15
1576184898,18,12
1576186813,22,6
1576188756,24,19
1576190651,13,11
1576192814,15,17
1576194730,13,12
1576196666,13,27
1576198568,10,0
1576200487,14,21
1576202424,8,13
1576204333,13,11
1576206499,14,12
1576208411,19,0
1576210360,12,38
1576212249,11,0
1576214431,16,10
1576216341,12,6
