DateTime,Entries,UniqueIPs
1575889952,6051,6242
1575891849,6061,6252
1575894029,6045,6236
1575895947,6048,6239
1575897856,6047,6238
1575899802,6055,6245
1575901692,6049,6241
1575903614,6067,6260
1575905562,6053,6246
1575907478,6080,6273
1575909630,6059,6251
1575911785,6057,6249
1575913704,6062,6255
1575915607,6072,6265
1575917544,6067,6259
1575921390,6063,6251
1575923535,6055,6242
1575927622,6039,6227
1575929538,6050,6238
1575931453,6046,6233
1575933389,6045,6231
1575935294,6049,6235
1575937228,6051,6238
1575939137,6050,6237
1575941050,6042,6229
1575943005,6042,6228
1575944898,6029,6214
1575946809,6040,6226
1575948750,6016,6204
1575950917,6034,6222
1575952810,6023,6209
1575954755,6007,6193
1575956651,5995,6180
1575958823,5990,6177
1575960729,6009,6196
1575962672,6001,6188
1575964568,6017,6204
1575966742,6008,6195
1575968898,5997,6184
1575970811,6008,6193
1575972743,5994,6179
1575974651,5988,6174
1575976580,5989,6175
1575978857,5983,6170
1575980709,5987,6173
1575982692,5998,6183
1575984543,6013,6198
1575986544,6017,6202
1575988716,6010,6195
1575990610,6014,6198
1575992651,6016,6200
1575994478,6031,6215
1575996511,6039,6223
1575998412,6041,6225
1576000342,6054,6238
1576002250,6038,6222
1576004167,6058,6242
1576008015,6071,6254
1576009950,6090,6273
1576011851,6090,6273
1576014015,6103,6286
1576016187,6103,6289
1576018105,6119,6306
1576020283,6108,6295
1576022178,6111,6298
1576024087,6131,6318
1576026023,6133,6321
1576028175,6132,6320
1576030345,6124,6311
1576032251,6117,6304
1576034200,6122,6309
1576036096,6121,6307
1576038020,6124,6309
1576039926,6116,6299
1576041863,6129,6312
1576043769,6128,6311
1576047856,6122,6305
1576049782,6119,6302
1576051702,6118,6300
1576053626,6131,6314
1576055542,6129,6312
1576059614,6099,6281
1576063466,6079,6261
1576065368,6087,6269
1576067543,6097,6278
1576069717,6102,6283
1576071617,6108,6291
1576073540,6113,6296
1576077395,6101,6284
1576079305,6104,6287
1576083182,6099,6282
1576085057,6082,6266
1576086979,6076,6259
1576088891,6089,6272
1576090835,6085,6268
1576092740,6081,6264
1576096812,6075,6259
1576100650,6047,6230
1576102819,6051,6234
1576104727,6047,6230
1576106662,6043,6226
1576108572,6035,6217
1576110736,6036,6218
1576112906,6034,6216
1576114823,6020,6202
1576116744,6016,6198
1576118655,5995,6176
1576120584,5995,6176
1576122736,5986,6167
1576124666,5986,6168
1576126571,5987,6169
1576128740,5985,6167
1576130667,5987,6169
1576132584,5991,6171
1576134496,5977,6157
1576136412,5968,6148
1576138350,5963,6143
1576142417,5935,6116
1576144327,5950,6131
1576146291,5912,6094
1576148173,5914,6096
1576150092,5940,6122
1576152023,5928,6110
1576153943,5915,6097
1576155860,5900,6082
1576157784,5892,6074
1576159701,5881,6060
1576161611,5873,6055
1576163549,5859,6041
1576165453,5853,6033
1576167371,5850,6030
1576169308,5853,6033
1576171208,5861,6041
1576173132,5876,6056
1576175069,5881,6061
1576176993,5887,6067
1576178888,5890,6067
1576180832,5895,6073
1576182731,5902,6080
1576184898,5908,6086
1576186813,5924,6102
1576188756,5928,6107
1576190651,5930,6109
1576192814,5928,6107
1576194730,5929,6108
1576196666,5914,6094
1576198568,5924,6104
1576200487,5918,6097
1576202424,5913,6092
1576204333,5916,6094
1576206499,5918,6096
1576208411,5934,6115
1576210360,5908,6089
1576212249,5919,6100
1576214431,5924,6106
1576216341,5930,6112
1576218264,5921,6103
1576220168,5943,6125
1576222103,5943,6126
1576224006,5964,6147
1576225954,5962,6145
1576228116,5954,6136
1576232183,5951,6130
1576234376,5987,6166
1576236288,6007,6187
1576238171,6015,6195
1576242032,6032,6212
1576243949,6057,6237
1576245873,6066,6245
1576247776,6077,6257
1576249941,6089,6270
1576251852,6094,6275
1576253790,6097,6278
1576255691,6096,6275
1576257607,6124,6303
1576259543,6141,6318
1576261449,6161,6338
1576263380,6158,6335
1576265286,6161,6339
1576267225,6138,6316
1576269153,6154,6332
1576271063,6168,6346
1576273214,6154,6332
1576275399,6154,6332
1576277546,6157,6333
1576279462,6171,6347
1576281369,6172,6350
1576283287,6172,6350
1576285225,6184,6363
1576287152,6196,6375
1576289056,6192,6371
1576290971,6197,6374
1576293157,6198,6375
1576295052,6216,6393
1576297223,6242,6419
1576299126,6244,6424
1576301053,6245,6425
1576302982,6244,6424
1576305167,6252,6433
1576307063,6256,6442
1576309228,6260,6445
