DateTime,AddedIPs,RemovedIPs
1575889952,24,50
1575891849,42,23
1575894029,45,41
1575895947,52,44
1575897856,49,51
1575899802,35,51
1575901692,38,36
1575903614,51,39
1575905562,48,47
1575907478,62,49
1575909630,44,62
1575911785,48,42
1575913704,49,52
1575915607,55,48
1575917544,61,56
1575921390,62,60
1575923535,38,56
1575927622,47,42
1575929538,44,49
1575931453,40,44
1575933389,46,39
1575935294,56,47
1575937228,39,54
1575939137,48,39
1575941050,28,49
1575943005,46,30
1575944898,33,44
1575946809,47,33
1575948750,37,43
1575950917,54,40
1575952810,53,54
1575954755,41,53
1575956651,38,43
1575958823,53,39
1575960729,44,52
1575962672,46,44
1575964568,60,44
1575966742,42,54
1575968898,48,44
1575970811,58,50
1575972743,19,62
1575974651,63,19
1575976580,57,61
1575978857,47,55
1575980709,46,51
1575982692,59,46
1575984543,54,59
1575986544,60,53
1575988716,44,55
1575990610,52,45
1575992651,46,52
1575994478,55,49
1575996511,61,56
1575998412,54,62
1576000342,45,49
1576002250,53,51
1576004167,56,53
1576008015,57,55
1576009950,51,58
1576011851,48,45
1576014015,55,51
1576016187,51,54
1576018105,42,53
1576020283,43,43
1576022178,51,41
1576024087,47,52
1576026023,43,48
1576028175,47,39
1576030345,30,46
1576032251,47,34
1576034200,52,48
1576036096,37,50
1576038020,48,37
1576039926,51,46
1576041863,37,53
1576043769,44,36
1576047856,43,43
1576049782,40,43
1576051702,44,38
1576053626,57,49
1576055542,33,58
1576059614,21,34
1576063466,45,22
1576065368,59,44
1576067543,45,53
1576069717,37,43
1576071617,42,43
1576073540,40,40
1576077395,42,41
1576079305,46,44
1576083182,49,47
1576085057,50,49
1576086979,47,49
1576088891,47,48
1576090835,49,48
1576092740,49,44
1576096812,40,49
1576100650,45,44
1576102819,42,44
1576104727,40,41
1576106662,34,40
1576108572,42,34
1576110736,34,37
1576112906,28,33
1576114823,26,31
1576116744,41,29
1576118655,45,43
1576120584,52,42
1576122736,49,52
1576124666,49,51
1576126571,49,49
1576128740,40,43
1576130667,32,41
1576132584,48,33
1576134496,31,49
1576136412,41,30
1576138350,47,41
1576142417,24,47
1576144327,47,28
1576146291,26,49
1576148173,51,24
1576150092,63,48
1576152023,55,64
1576153943,41,49
1576155860,37,45
1576157784,41,38
1576159701,47,39
1576161611,45,44
1576163549,38,52
1576165453,48,37
1576167371,55,46
1576169308,52,61
1576171208,52,51
1576173132,52,50
1576175069,33,51
1576176993,39,33
1576178888,54,41
1576180832,50,54
1576182731,37,41
1576184898,48,44
1576186813,45,48
1576188756,50,44
1576190651,46,49
1576192814,44,50
1576194730,42,41
1576196666,40,44
1576198568,40,41
1576200487,47,41
1576202424,39,46
1576204333,37,37
1576206499,33,36
1576208411,44,31
1576210360,32,47
1576212249,43,32
1576214431,41,46
1576216341,50,39
1576218264,52,52
1576220168,66,52
1576222103,55,66
1576224006,70,56
1576225954,57,64
1576228116,61,60
1576232183,39,62
1576234376,74,39
1576236288,64,71
1576238171,62,68
1576242032,72,60
1576243949,50,71
1576245873,60,51
1576247776,61,58
1576249941,49,64
1576251852,57,49
1576253790,42,59
1576255691,33,40
1576257607,59,35
1576259543,60,55
1576261449,58,64
1576263380,59,59
1576265286,54,51
1576267225,65,57
1576269153,60,64
1576271063,51,61
1576273214,58,50
1576275399,55,57
1576277546,59,58
1576279462,57,59
1576281369,68,58
1576283287,69,69
1576285225,66,66
1576287152,55,64
1576289056,57,57
1576290971,57,58
1576293157,53,56
1576295052,62,53
1576297223,60,63
1576299126,50,61
1576301053,48,47
1576302982,53,48
1576305167,60,49
1576307063,60,66
1576309228,61,60
1576311134,62,61
1576313055,60,63
1576314976,39,63
1576316908,26,38
1576318807,29,25
1576320733,60,31
1576322662,52,55
1576324569,64,53
1576326734,61,64
1576328899,62,60
1576330824,57,62
1576332744,48,52
1576334663,65,56
1576336575,41,67
1576338749,41,40
1576342569,66,38
1576344486,54,64
1576346423,50,55
1576348367,44,50
1576350507,37,44
1576352423,36,35
1576354580,43,40
1576356738,37,41
1576358648,47,38
1576360588,41,48
1576362488,47,42
1576364421,40,45
1576366341,42,40
1576368277,41,42
1576370168,47,41
1576372362,30,48
1576374250,34,32
1576376187,53,33
1576378095,45,51
1576380022,44,44
1576381945,44,46
1576383855,37,45
1576385779,49,37
1576387690,31,50
1576389615,30,26
1576391550,42,34
1576393519,39,42
1576395383,44,40
1576397312,45,42
1576399228,42,46
1576401146,25,42
1576403054,33,25
1576404974,21,33
1576407150,41,22
1576409051,38,41
1576412887,16,36
1576414822,55,17
1576416750,41,53
1576420814,40,42
1576422738,43,37
1576424664,54,47
1576426576,46,52
1576428732,39,47
1576430650,42,39
1576432579,42,44
1576434495,66,41
1576436412,51,59
1576438338,60,54
1576440500,62,60
1576442412,39,63
1576444348,37,42
1576446251,35,37
1576448417,43,35
1576450353,35,41
1576452260,47,37
1576454169,44,46
1576458021,55,46
1576459942,40,54
1576462109,50,40
1576464013,44,46
1576467867,36,45
