DateTime,AddedIPs,RemovedIPs
1571460985,0,2
1571471797,2,2
1571482546,3,5
1571493343,2,10
1571503340,1,2
1571513994,2,7
1571524780,0,3
1571534037,2,5
1571543457,1,2
1571554556,1,1
1571564206,3,4
1571574664,1,2
1571585906,3,0
1571595149,0,1
1571604740,2,1
1571615514,1,4
1571626814,0,4
1571638005,2,4
1571648775,2,1
1571659659,0,2
1571669654,1,1
1571680517,3,2
1571691111,6,1
1571701906,1,2
1571712940,1,3
1571724011,2,3
1571733118,2,1
1571743825,2,2
1571754300,3,0
1571764076,2,3
1571775374,3,3
1571786300,0,3
1571797313,1,3
1571807854,4,3
1571818634,2,1
1571827279,0,4
1571838178,2,2
1571849349,3,4
1571859906,3,1
1571870858,2,7
1571881438,2,3
1571891577,1,2
1571901131,0,2
1571911776,2,2
1571921988,3,2
1571932841,4,3
1571943788,2,2
1571954839,1,3
1571965740,0,2
1571975785,0,2
1571986680,3,3
1571996942,0,2
1572007783,3,4
1572018390,3,3
1572029703,2,1
1572040966,1,2
1572051837,1,3
1572062811,3,3
1572074056,2,0
1572085078,4,3
1572095835,3,1
1572105879,0,3
1572116915,4,2
1572125547,1,2
1572140197,1,3
1572151074,0,3
1572161998,1,2
1572173147,3,5
1572183982,2,2
1572194725,3,2
1572205578,1,5
1572216672,2,1
1572227716,2,2
1572238604,1,2
1572260402,2,1
1572270990,1,2
1572281070,2,1
1572292277,10,2
1572302845,2,2
1572313864,2,0
1572323748,4,5
1572334567,1,3
1572345356,2,3
1572355807,3,3
1572366723,3,0
1572377654,1,2
1572388319,4,2
1572399527,2,3
1572409238,1,3
1572420199,1,1
1572431283,1,1
1572441772,3,4
1572452566,4,3
1572463859,2,5
1572474747,5,0
1572485774,8,0
1572496348,2,0
1572506686,0,3
1572517374,2,0
1572526890,1,1
1572537427,1,2
1572546766,2,3
1572557501,4,1
1572568098,1,3
1572578972,2,3
1572589852,4,2
1572600291,1,2
1572611260,1,3
1572622286,0,5
1572633370,3,3
1572644303,2,2
1572654914,1,4
1572665680,3,1
1572676705,2,3
1572687507,2,3
1572698173,3,3
1572709069,6,2
1572719540,0,2
1572730090,3,3
1572741105,1,2
1572752098,2,3
1572762791,6,1
1572773755,5,3
1572784642,2,2
1572795054,3,2
1572806148,0,4
1572816267,5,6
1572827238,2,2
1572836925,4,2
1572847415,2,2
1572863012,0,12
1572873184,3,4
1572883642,0,3
1572892905,1,3
1572903523,1,2
1572914420,4,1
1572924853,5,1
1572935711,3,1
1572946466,1,4
1572957489,3,1
1572968516,3,2
1572979440,6,1
1572990681,3,1
1573001462,4,5
1573012362,5,2
1573022712,0,2
1573033622,1,2
1573054950,2,2
1573065813,1,4
1573076969,1,3
1573087908,0,4
1573098774,5,6
1573109467,1,6
1573120400,2,0
1573131378,0,1
1573142417,1,2
1573153444,2,2
1573164449,3,2
1573174913,1,2
1573185544,3,0
1573196562,1,0
1573207329,1,2
1573218491,3,4
1573228985,1,1
1573240020,2,1
1573251304,3,4
1573262237,5,2
1573272450,1,2
1573283485,1,0
1573304553,3,2
1573315424,5,5
1573326455,2,3
1573337647,5,2
1573348328,0,1
1573359082,5,0
1573368691,1,2
1573379414,1,0
1573390370,2,1
1573400670,1,3
1573411574,1,2
1573421971,2,5
1573432325,3,1
1573443150,1,2
1573453930,1,2
1573464260,2,3
1573475232,2,8
1573485558,1,6
1573496499,1,5
1573507076,0,3
1573517912,7,2
1573528940,4,5
1573539503,1,3
1573550488,3,1
1573560550,1,1
1573571296,4,1
1573581908,2,3
1573592673,0,3
1573603682,1,2
1573614068,2,1
1573623894,5,1
1573634889,2,1
1573644702,1,3
1573654958,2,1
1573666029,4,5
1573676814,4,3
1573686773,1,0
1573697587,1,2
1573707749,2,2
1573718867,0,1
1573729884,3,4
1573740639,2,4
1573751610,3,2
1573762226,1,1
1573773045,0,3
1573784065,2,7
1573794972,4,2
1573805714,2,4
1573815717,3,4
1573826774,0,1
1573837687,0,3
1573848428,3,1
1573858433,3,4
1573868904,1,2
1573879656,2,2
1573890222,3,3
1573901286,1,1
1573911684,1,2
1573922627,2,2
1573933146,3,3
1573944162,2,5
1573954857,3,2
1573965805,0,2
1573976407,0,1
1573987195,1,2
1573997722,3,1
1574008756,2,0
1574019464,3,3
1574027883,6,3
1574038605,1,3
1574049074,1,2
1574059444,2,2
1574070422,1,1
1574081437,1,2
1574091872,0,2
1574101473,2,2
1574112580,1,2
1574123423,7,2
1574134703,2,1
1574144842,2,0
1574155359,2,3
1574166378,1,4
1574176581,1,4
1574187608,2,4
1574198559,4,0
1574209029,2,2
1574219502,2,0
1574229836,2,2
1574240265,1,2
1574251186,2,1
1574262141,1,1
1574272144,1,2
1574282484,1,2
1574293352,1,7
1574303268,0,1
1574312836,2,2
1574323159,2,1
1574334431,0,1
1574345606,2,3
1574356455,1,1
1574366875,2,2
1574377845,3,1
1574387811,4,4
1574397049,0,2
1574408148,1,5
1574418913,1,1
1574429772,3,1
1574440764,3,2
1574451607,2,3
1574462025,3,2
1574472455,1,0
1574483245,2,1
1574504976,1,4
1574515936,2,2
1574527070,4,5
1574536992,0,1
1574547831,3,5
1574558699,10,0
1574569558,2,0
1574580644,1,0
1574590290,3,1
1574601535,0,1
1574612538,0,2
1574623424,2,1
1574634461,1,3
1574645175,2,2
1574655052,1,3
1574665585,1,1
1574676160,2,3
1574687089,2,2
1574697622,3,2
1574708850,1,4
1574719823,3,3
1574730326,1,3
1574741067,2,1
1574762523,2,1
1574773690,1,4
1574784582,3,2
1574794478,4,4
1574804882,1,2
1574815758,1,3
1574826546,2,2
1574837114,2,1
1574847978,1,8
1574858699,2,3
1574869883,1,0
1574880418,0,2
1574890691,4,1
1574901587,2,3
1574912649,0,3
