DateTime,AddedIPs,RemovedIPs
1571457841,6851,6851
1571468641,3650,3650
1571479441,3803,3803
1571490241,4552,4552
1571501041,5538,5538
1571511841,5887,5887
1571522641,6321,6321
1571533441,6610,6610
1571544241,6725,6725
1571555041,6921,6921
1571565842,4361,4361
1571576641,4330,4330
1571587441,5235,5235
1571598241,5711,5711
1571609041,5975,5975
1571619841,6411,6411
1571630641,6670,6670
1571641441,3763,3763
1571652241,2656,2656
1571663041,4289,4289
1571673841,4865,4865
1571684641,5170,5170
1571695441,5587,5587
1571706241,6076,6076
1571717041,6263,6263
1571727841,6819,6819
1571738641,2380,2380
1571749441,3899,3899
1571760241,4382,4382
1571771041,5177,5177
1571781841,5519,5519
1571792641,5683,5683
1571803441,5920,5920
1571814241,4273,4273
1571825041,2161,2161
1571835841,3647,3647
1571846641,4161,4161
1571857441,4600,4600
1571868241,5393,5393
1571879041,5607,5607
1571889841,5812,5812
1571900641,2878,2878
1571911441,2255,2255
1571922241,2910,2910
1571933041,3664,3664
1571943841,4843,4843
1571954641,5460,5460
1571965441,5667,5667
1571976241,6099,6099
1571987041,1955,1955
1571997841,2749,2749
1572008641,3316,3316
1572019441,3892,3892
1572030241,4541,4541
1572041041,5271,5271
1572051841,5491,5491
1572062641,5736,5736
1572073441,4504,4504
1572084241,1445,1445
1572095041,3160,3160
1572105841,3641,3641
1572116641,4391,4391
1572127441,4712,4712
1572138241,5335,5335
1572149041,5776,5776
1572159841,4561,4561
1572170641,2626,2626
1572181441,3217,3217
1572192241,4363,4363
1572203041,4742,4742
1572213841,4982,4982
1572224641,5523,5523
1572235441,6110,6110
1572246241,1887,1887
1572257041,2792,2792
1572267841,3480,3480
1572278641,4516,4516
1572289441,4888,4888
1572300241,5493,5493
1572311041,5747,5747
1572321841,6093,6093
1572332641,3017,3017
1572343441,2281,2281
1572354241,3092,3092
1572365041,4218,4218
1572375841,5072,5072
1572386641,5303,5303
1572397441,5647,5647
1572408241,5981,5981
1572419041,3361,3361
1572429841,1829,1829
1572440641,3495,3495
1572451441,3962,3962
1572462241,4799,4799
1572473041,5142,5142
1572483841,5487,5487
1572505441,6141,6141
1572516241,1891,1891
1572527041,3543,3543
1572537841,4039,4039
1572548641,4431,4431
1572559441,4895,4895
1572570241,5581,5581
1572581041,5703,5703
1572591841,3289,3289
1572602641,1616,1616
1572613441,3223,3223
1572624241,3745,3745
1572635042,4516,4516
1572645841,4780,4780
1572656641,5217,5217
1572667441,5436,5436
1572678241,1788,1788
1572689041,2559,2559
1572699841,2921,2921
1572710641,3534,3534
1572721441,3941,3941
1572732241,4800,4800
1572743041,4943,4943
1572753841,5447,5447
1572764641,3167,3167
1572775441,2864,2864
1572786241,2705,2705
1572797041,3546,3546
1572807841,4368,4368
1572818641,4793,4793
1572829441,5040,5040
1572840241,5459,5459
1572851041,3583,3583
1572861841,3208,3208
1572872641,3325,3325
1572883441,4365,4365
1572894241,4734,4734
1572905041,5189,5189
1572915841,5543,5543
1572926641,5937,5937
1572937441,3013,3013
1572948241,2244,2244
1572959041,3157,3157
1572969841,4306,4306
1572980641,4785,4785
1572991441,5016,5016
1573002241,5711,5711
1573013041,6057,6057
1573023841,1895,1895
1573034641,2676,2676
1573045441,3263,3263
1573056241,4291,4291
1573067041,4693,4693
1573088641,5187,5187
1573099441,5831,5831
1573110241,1957,1957
1573121041,1673,1673
1573131841,3135,3135
1573142641,4550,4550
1573153441,5118,5118
1573164241,5481,5481
1573175041,5856,5856
1573185841,1780,1780
1573218241,5119,5119
1573229041,4376,4376
1573239841,4856,4856
1573250641,5197,5197
1573261441,5525,5525
1573272241,3246,3246
1573283041,2166,2166
1573293841,2392,2392
1573304641,3298,3298
1573315441,3989,3989
1573326241,4450,4450
1573337041,4794,4794
1573347841,5241,5241
1573358641,3048,3048
1573369441,1877,1877
1573380241,1947,1947
1573391041,2938,2938
1573401841,3629,3629
1573412641,4191,4191
