DateTime,AddedIPs,RemovedIPs
1563930278,882,861
1563971769,830,859
1564064892,834,873
1564082710,913,17
1564092987,805,18
1564098983,825,24
1564132338,856,10
1564135716,571,16
1564142442,803,852
1564176751,776,29
1564188994,716,22
1564257372,772,820
1564349293,805,834
1564355536,842,16
1564377626,816,10
1564419648,807,809
1564511051,792,801
1564590754,802,1568
1564682911,746,807
1564774354,861,4564
1564865793,920,2323
1564925079,860,14
1565004743,500,1334
1565005234,397,1256
1565007874,893,12
1565099065,837,850
1565190257,500,428
1565190974,400,398
1565281940,500,462
1565282433,383,391
1565372901,500,446
1565373627,335,371
1565464662,878,829
1565555543,874,1710
1565604993,853,11
1565696170,889,1830
1565788145,851,847
1565880748,913,910
1565972206,962,877
1565982506,850,859
1566073933,855,869
1566165132,917,882
1566256576,891,869
1566306047,811,876
1566385520,766,26
1566477617,878,815
1566481237,873,5
1566485822,802,927
1566490623,826,21
1566549394,857,15
1566559991,776,23
1566571456,872,12
1566640842,762,1701
1566668410,812,15
1566737557,849,832
1566760341,800,18
1566787226,779,882
1566795860,831,8
1566804258,804,14
1566812188,716,20
1566822734,809,9
1566846040,716,9
1566847957,407,13
1566855169,762,14
1566863329,780,826
1566873886,833,7
1566878012,621,12
1566881072,461,16
1566884195,540,14
1566887786,536,11
1566892914,615,14
1566901699,660,7
1566909151,732,9
1566919939,686,707
1566937488,990,2
1566955235,716,18
1566961975,717,9
1566989794,721,9
1567007321,699,687
1567015718,722,7
1567019788,787,8
1567021986,622,13
1567025793,578,9
1567031075,688,4
1567038764,680,8
1567042593,604,8
1567046443,640,7
1567049791,450,10
1567053161,481,4
1567063963,686,9
1567067798,535,8
1567072840,638,4
1567078362,624,4
1567081724,446,8
1567085163,459,751
1567091082,632,1474
1567094167,500,9
1567098278,489,736
1567102340,594,9
1567105459,443,4
1567112953,651,2
1567120602,704,9
1567127322,633,8
1567134040,697,9
1567135222,375,15
1567137628,252,4
1567140016,276,8
1567154202,647,736
1567157778,510,2
1567163324,648,9
1567167424,604,679
1567176029,683,4
1567182266,675,756
1567195454,697,10
1567197879,845,1
1567204336,718,10
1567208677,432,10
1567213244,728,9
1567220681,637,11
1567224768,530,4
1567228121,513,2
1567231960,444,12
1567235800,479,3
1567239376,413,5
1567243220,524,7
1567247547,559,640
1567254034,655,4
1567335376,642,720
1567414099,733,3460
1567420570,710,632
1567447967,700,698
1567452027,731,292
1567459472,743,636
1567463791,499,432
1567464251,202,249
1567481541,691,1292
1567487321,732,1014
1567489473,703,433
1567531004,692,3187
1567532897,300,2
1567537365,680,11
1567579230,697,2339
1567581380,495,3
1567583544,379,6
1567586929,625,5
1567590039,587,7
1567592689,553,12
1567596041,539,668
1567598440,391,9
1567601307,460,9
1567604678,701,9
1567607799,440,2
1567611648,657,7
1567624695,651,1927
1567626045,296,6
1567643774,768,2418
1567647160,652,6
1567651711,753,1005
1567657242,734,512
1567685323,768,2773
1567744334,743,6627
1567745298,130,695
1567749659,356,9
1567753460,426,11
1567758263,441,7
1567762365,504,551
1567765464,434,610
1567769802,477,627
1567774123,493,660
1567778932,451,10
1567782040,389,673
1567800188,674,690
1567808894,712,1533
1567831466,708,2961
1567832427,209,5
1567835073,287,407
1567838681,357,530
1567841566,417,488
1567844430,457,563
1567846357,306,5
1567849450,377,614
1567851866,313,7
1567852831,8,656
1567854286,386,12
1567857804,332,6
1567860763,410,687
1567864847,500,12
1567867227,337,4
1567870371,345,7
1567873007,391,4
1567876361,388,5
1567878735,333,5
1567881873,359,4
1567884760,411,7
1567888595,403,4
1567891457,385,9
1567894836,378,10
1567897453,332,10
1567901082,439,6
1567904188,362,8
1567908040,401,6
1567910662,355,4
1567914759,367,5
1567987731,661,646
1567998733,703,7
1568020618,714,719
1568025851,8,696
1568047703,696,9
1568048674,189,7
1568050611,308,4
1568061138,666,1322
1568063329,290,7
1568067881,449,711
1568071706,384,695
1568074605,376,5
1568077251,364,10
1568079389,282,10
1568082741,295,5
1568085636,284,12
1568088771,333,654
1568091633,193,14
1568092122,106,463
1568094040,36,232
1568107232,729,680
1568111547,734,11
1568139636,678,843
1568140820,500,9
1568143244,654,743
1568145640,668,15
1568148750,648,6
1568154997,677,4
1568157878,693,10
1568161233,706,10
1568164125,707,7
1568167960,696,5
1568171056,720,12
1568172758,611,10
1568200587,693,2987
1568211184,722,1936
1568212344,198,5
1568215962,439,683
1568219317,379,647
1568222442,395,5
1568226049,389,9
1568229639,471,276
1568232536,313,629
1568235622,340,5
1568239726,399,8
1568242118,347,9
1568245497,372,6
1568249560,527,666
1568252678,382,708
1568256042,440,10
1568256969,182,741
1568258179,215,9
1568261541,460,7
1568262514,229,741
1568273572,665,10
1568274744,264,8
1568275977,221,9
1568277163,127,6
1568294464,681,683
1568298017,370,4
1568301427,544,7
1568304773,405,4
1568305717,229,7
1568319853,670,8
1568361734,656,1175
