DateTime,Entries,UniqueIPs
1562374382,8421,8426
1562378175,8918,8926
1562382054,8894,8902
1562387568,8895,8902
1562391882,8770,8778
1562396918,8775,8782
1562403426,8275,8282
1562407723,8276,8282
1562412032,8332,8339
1562416109,8331,8339
1562419953,8828,8836
1562424512,8829,8836
1562428593,8828,8836
1562432196,9327,9336
1562436526,9327,9336
1562442279,9827,9836
1562452809,8842,8849
1562463607,8343,8349
1562485945,6494,6497
1562489558,6992,6997
1562496270,6492,6497
1562546166,2500,2500
1562547143,2711,2711
1562553871,2710,2711
1562564433,3210,3211
1562568273,3710,3711
1562617962,2711,2711
1562624204,3211,3211
1562628995,3710,3711
1562670076,2000,2000
1562719209,1000,1000
1562728120,1500,1500
1562821721,500,500
1562863225,1000,1000
1562873550,1500,1500
1562886973,2000,2000
1562889647,2455,2455
1562894433,2955,2955
1562902351,3455,3455
1562906239,3955,3955
1562911062,3955,3955
1562915421,4454,4455
1562919633,4954,4955
1562925155,5454,5455
1562929958,5953,5955
1562934754,6452,6455
1562940515,6952,6955
1562946507,7452,7455
1563026669,1500,1500
1563094819,1000,1000
1563097217,1215,1215
1563138743,1215,1215
1563143559,1715,1715
1563150030,2215,2215
1563153629,2715,2715
1563158673,3215,3215
1563165161,3715,3715
1563169472,4214,4215
1563173072,4714,4715
1563177389,5214,5215
1563181952,5499,5500
1563187717,5500,5500
1563192045,5884,5884
1563197802,6384,6384
1563231637,5884,5884
1563259233,3884,3884
1563350907,500,500
1563442816,500,500
1563534748,500,500
1563626904,500,500
1563720491,500,500
1563811946,500,500
1563838857,1000,1000
1563930277,500,500
1563971768,1000,1000
1564064891,500,500
1564082709,1000,1000
1564092986,1500,1500
1564098982,2000,2000
1564132337,2500,2500
1564135715,2778,2778
1564142433,3278,3278
1564176749,2778,2778
1564188993,2277,2278
1564257371,1500,1500
1564349291,500,500
1564355534,1000,1000
1564377625,1500,1500
1564419646,2000,2000
1564511050,500,500
1564590753,1000,1000
1564682910,500,500
1564774353,500,500
1564865792,500,500
1564925078,1000,1000
1565004743,1000,1000
1565007874,1500,1500
1565099063,500,500
1565190257,500,500
1565281940,500,500
1565372901,500,500
1565464661,500,500
1565555542,500,500
1565604992,1000,1000
1565696169,500,500
1565788144,500,500
1565880747,500,500
1565972204,500,500
1565982506,1000,1000
1566073932,500,500
1566165131,500,500
1566256574,500,500
1566306046,1000,1000
1566385519,1000,1000
1566477614,500,500
1566481236,1000,1000
1566485819,1500,1500
1566490622,2000,2000
1566549393,2500,2500
1566559989,3000,3000
1566571455,2500,2500
1566640841,1500,1500
1566668409,1000,1000
1566737556,1000,1000
1566760340,1000,1000
1566787225,1500,1500
1566795860,1999,2000
1566804258,2499,2500
1566812187,2999,3000
1566822733,3499,3500
1566846038,3499,3500
1566847957,3162,3163
1566855168,3662,3663
1566863328,4162,4163
1566873885,4163,4163
1566878011,4527,4527
1566881071,4749,4749
1566884194,4614,4614
1566887785,4910,4910
1566892913,4783,4783
1566901698,4781,4783
1566909149,4781,4783
1566919938,5281,5283
1566937486,5118,5120
1566955234,4619,4620
1566961974,4755,4756
1566989793,2998,3000
1567007320,2498,2500
1567015717,2998,3000
1567019788,3496,3500
1567021985,3911,3916
1567025792,3814,3819
1567031075,4313,4319
1567038764,4810,4819
1567042592,4760,4769
1567046442,5251,5260
1567049790,5011,5020
1567053160,5335,5344
1567063961,5835,5844
1567067797,6220,6229
1567072839,6720,6729
1567078361,6728,6729
1567081723,7005,7006
1567085161,7322,7323
1567091082,7821,7823
1567094166,7629,7630
1567098278,7977,7979
1567102339,7850,7851
1567105458,8202,8203
1567112952,7383,7384
1567120602,7383,7384
1567127321,7433,7434
1567134039,7181,7183
1567135221,7336,7338
1567137627,7127,7129
1567140014,6743,6745
1567154201,6358,6360
1567157777,6762,6766
1567163323,6762,6766
1567167423,6962,6967
1567176028,6645,6650
1567182265,6468,6472
1567195453,5745,5748
1567197878,6139,6142
1567204335,6140,6142
1567208676,5856,5858
1567213243,6356,6358
1567220680,6201,6203
1567224767,6371,6371
1567228120,6226,6226
1567231959,6457,6457
1567235799,6757,6757
1567239375,7026,7026
1567243219,6994,6994
1567247546,6955,6956
1567254033,6477,6478
1567335375,1000,1000
1567414098,1000,1000
1567420569,1500,1500
1567447966,1500,1500
1567452026,2000,2000
1567459472,2500,2500
1567463791,3000,3000
1567481540,3500,3500
1567487319,4000,4000
1567489471,4500,4500
1567531003,3999,4000
1567532896,4116,4117
1567537364,4044,4046
1567579229,1544,1546
1567581378,1889,1891
1567583543,2067,2069
1567586927,2552,2554
1567590038,2940,2942
1567592688,3266,3268
1567596039,3634,3636
1567598438,3856,3858
1567601305,4223,4225
1567604677,4723,4725
1567607798,4997,4999
1567611647,5497,5499
1567624694,4952,4953
1567626044,5100,5101
1567643772,5600,5601
1567647158,6051,6052
1567651710,6551,6552
1567657241,7051,7052
1567685321,4871,4873
1567744332,1000,1000
1567745297,1030,1030
1567749658,1208,1208
1567753459,1457,1457
1567758262,1710,1710
1567762363,2038,2038
1567765463,2286,2286
1567769800,2565,2565
1567774121,2367,2367
1567778931,2647,2647
1567782039,2867,2867
1567800185,3367,3367
1567808893,3867,3867
1567831465,4337,4337
1567832426,4221,4221
1567835072,4381,4381
1567838679,4328,4328
1567841564,4286,4286
1567844429,4566,4566
1567846355,4399,4399
1567849449,4343,4343
1567851864,4221,4221
1567854285,4398,4398
1567857802,4290,4290
1567860761,4260,4260
1567864845,4606,4606
1567867226,4558,4558
1567870369,4271,4271
1567873006,4480,4480
1567876360,4689,4689
1567878733,4857,4857
1567881872,5078,5078
1567884759,5354,5354
1567888594,5104,5104
1567891455,5312,5312
1567894835,5535,5535
1567897451,5205,5205
1567901081,5515,5515
1567904187,5674,5675
1567908039,5941,5942
1567910661,6122,6123
1567914758,6360,6361
1567928441,5451,5452
1567987728,1686,1686
1567998732,1500,1500
1568020617,1500,1500
1568047701,2000,2000
1568048672,2051,2051
1568050609,2178,2178
1568061136,2678,2678
1568063327,2786,2786
1568067880,3083,3083
1568071705,3348,3348
1568074604,3088,3088
1568077250,3265,3265
1568079388,3411,3411
1568082740,3613,3613
1568085634,3241,3241
1568088770,3465,3465
1568092122,3614,3614
1568094039,3621,3621
1568107231,3621,3621
1568111546,4121,4121
1568139635,3943,3943
1568140819,4252,4252
1568143242,4752,4752
1568145638,5252,5252
1568148749,5644,5644
1568154996,5582,5582
1568157877,6082,6082
1568161231,6165,6165
1568164122,6519,6519
1568167959,6817,6817
1568171054,7189,7189
1568172757,7465,7465
1568200586,6309,6309
1568211183,6808,6809
1568212342,6858,6859
1568215961,7121,7122
1568219316,7371,7372
1568222441,7593,7594
1568226048,7526,7527
1568229638,7298,7299
1568232535,6502,6502
1568235621,6212,6212
1568239724,6462,6462
1568242117,6172,6172
1568245496,5901,5901
1568249559,5742,5742
1568252677,5479,5479
1568256041,5255,5255
1568256968,5302,5302
1568258178,4903,4903
1568261540,4694,4694
1568262513,4801,4801
1568273569,5301,5301
1568274742,5391,5391
1568275975,5491,5491
1568277160,5532,5532
1568294462,5532,5532
1568298015,5715,5715
1568301426,5821,5821
1568304772,5853,5853
1568305716,5932,5932
1568319852,5283,5283
1568361731,3003,3003
1568362921,3020,3020
1568368352,2892,2892
1568382498,3158,3158
1568384435,2827,2827
1568387331,3327,3327
1568390921,3545,3545
1568395238,3466,3466
1568399331,3966,3966
1568402907,4466,4466
1568406754,4469,4469
1568409615,4969,4969
1568413946,5469,5469
1568427639,5969,5969
1568430529,6469,6469
1568440595,6969,6969
1568445411,7469,7469
1568450189,7537,7538
1568453164,8036,8038
1568456657,8036,8038
1568460759,8536,8538
1568463163,9036,9038
1568467485,9535,9538
1568470841,9497,9500
1568474685,9498,9500
1568477583,9498,9500
1568480439,9998,10000
1568483788,9998,10000
1568486414,9999,10000
1568490049,9999,10000
1568492670,10499,10500
1568506330,9500,9500
1568547610,6000,6000
1568561056,5000,5000
1568578602,2499,2500
1568605698,1999,2000
1568608830,2499,2500
1568609794,2808,2809
1568702414,500,500
1568794591,500,500
1568802754,1000,1000
1568803717,1402,1402
1568805148,1426,1426
1568897770,500,500
1568978650,1000,1000
1569071320,500,500
1569163458,500,500
1569255616,500,500
1569348011,500,500
1569416429,1000,1000
1569508094,500,500
1569600502,500,500
1569691454,499,500
1569782896,500,500
1569851809,1000,1000
1569944186,500,500
1570037063,500,500
1570129246,500,500
1570163543,1000,1000
1570185612,1500,1500
1570190921,2000,2000
1570195651,2500,2500
1570199535,3000,3000
1570203815,3500,3500
1570207472,4000,4000
1570211084,4500,4500
1570219722,4500,4500
1570224754,5000,5000
1570227882,5500,5500
1570231456,6000,6000
1570235059,6500,6500
1570248739,7000,7000
1570253535,7000,7000
1570346666,500,500
1570438578,500,500
1570531005,500,500
1570624242,500,500
1570715791,500,500
1570807692,500,500
1570899387,500,500
1570992028,500,500
1571084432,500,500
1571177788,500,500
1571268744,500,500
1571359209,500,500
1571408886,1000,1000
1571500815,500,500
1571592752,500,500
1571684452,500,500
1571777539,500,500
1571868981,500,500
1571960893,500,500
1572010402,1000,1000
1572103956,500,500
1572197550,500,500
1572291396,500,500
1572382370,500,500
1572474247,500,500
1572566183,500,500
1572659073,500,500
1572751208,499,500
1572843646,481,500
1572878423,968,1000
1572959081,982,1000
1573050976,496,500
1573144824,500,500
1573213954,1000,1000
1573305399,489,500
1573396353,499,500
1573488769,496,500
1573580893,497,500
1573660840,997,1000
1573752274,496,500
1573843956,500,500
1573936099,499,500
1574027292,500,500
1574119221,498,500
1574211620,500,500
1574303775,500,500
1574395464,499,500
1574413461,999,1000
1574505179,499,500
1574533451,997,1000
1574613879,995,1000
1574694041,997,1000
1574762915,1000,1000
1574785455,1000,1000
1574865885,1000,1000
1574957325,500,500
1575025972,999,1000
1575117612,500,500
1575138975,1000,1000
1575220122,1000,1000
1575300036,998,1000
1575369145,998,1000
1575461311,500,500
1575541482,1000,1000
1575558763,1000,1000
1575627174,1500,1500
1575719781,500,500
1575753855,1000,1000
1575846981,500,500
1575895454,1000,1000
1575988118,499,500
1575998415,996,1000
1576090335,500,500
1576095605,1000,1000
1576187293,499,500
1576236991,998,1000
1576329615,499,500
1576410268,999,1000
1576502656,500,500
1576561711,999,1000
1576653867,499,500
1576654808,997,1000
1576688898,1497,1500
1576757546,1000,1000
1576780837,999,1000
1576785495,1497,1500
1576789707,1996,2000
1576794786,2495,2500
1576854023,2495,2500
1576855961,2995,3000
1576859556,3495,3500
1576881867,1997,2000
1576893127,2494,2500
1576902019,2992,3000
