DateTime,AddedIPs,RemovedIPs
1562369305,500,500
1562374382,500,500
1562378175,500,0
1562382054,476,0
1562387568,500,500
1562391882,376,0
1562396918,500,500
1562403426,500,0
1562407723,500,0
1562412032,500,500
1562416109,500,0
1562419953,497,500
1562424512,500,0
1562428593,500,500
1562432196,500,0
1562436526,500,0
1562442279,500,500
1562452809,500,0
1562463607,500,500
1562485945,500,500
1562489558,500,0
1562496270,500,0
1562546166,500,4500
1562547143,211,500
1562553871,500,500
1562564433,500,1500
1562568273,500,500
1562617962,500,7000
1562624204,500,500
1562628995,500,910
1562670076,500,3000
1562719209,500,6500
1562728120,500,1000
1562821721,500,4000
1562863225,500,2000
1562873550,500,500
1562886973,500,500
1562889647,455,0
1562894433,500,0
1562902351,500,0
1562906239,500,0
1562911062,500,0
1562915421,500,500
1562919633,500,500
1562925155,500,0
1562929958,500,0
1562934754,500,500
1562940515,500,0
1562946507,500,500
1563026669,500,5704
1563094819,500,5014
1563097217,215,500
1563138743,500,5000
1563143559,500,500
1563150030,500,1000
1563153629,500,0
1563158673,500,500
1563165161,500,1000
1563169472,500,0
1563173072,500,500
1563177389,500,0
1563181952,500,0
1563187717,500,0
1563192045,384,0
1563197802,500,500
1563231637,500,3000
1563259233,500,2000
1563350907,500,1892
1563442816,500,6000
1563534748,500,5245
1563626904,500,2768
1563720491,500,3500
1563811946,500,1645
1563838857,500,0
1563930277,500,2500
1563971768,500,500
1564064891,500,500
1564082709,500,1000
1564092986,500,1000
1564098982,500,500
1564132337,500,500
1564135715,278,0
1564142433,500,0
1564176749,500,1000
1564188993,500,500
1564257371,500,1500
1564349291,500,3496
1564355534,500,500
1564377625,500,2000
1564419646,500,1500
1564511050,500,5657
1564590753,500,7727
1564682910,500,8987
1564774353,500,6478
1564865792,500,9738
1564925078,500,6439
1565004743,500,7839
1565007874,500,0
1565099063,500,5997
1565190257,500,2211
1565281940,500,2000
1565372901,500,1000
1565464661,500,1000
1565555542,500,6955
1565604992,500,0
1565696169,500,1215
1565788144,500,5884
1565880747,500,1500
1565972204,500,500
1565982506,500,0
1566073932,500,500
1566165131,500,500
1566256574,500,500
1566306046,500,0
1566385519,500,500
1566477614,500,1000
1566481236,500,0
1566485819,500,0
1566490622,500,0
1566549393,500,500
1566559989,500,0
1566571455,500,500
1566640841,500,0
1566668409,500,500
1566737556,500,2778
1566760340,500,0
1566787225,500,1000
1566795860,500,0
1566804258,500,0
1566812187,500,0
1566822733,500,0
1566846038,500,0
1566847957,163,0
1566855168,500,500
1566863328,500,0
1566873885,500,0
1566878011,364,0
1566881071,222,0
1566884194,365,0
1566887785,296,0
1566892913,373,0
1566901698,500,0
1566909149,500,0
1566919938,500,0
1566937486,500,0
1566955234,500,1000
1566961974,500,0
1566989793,500,500
1567007320,500,0
1567015717,500,500
1567019788,500,0
1567021985,416,0
1567025792,403,0
1567031075,500,0
1567038764,500,0
1567042592,450,0
1567046442,491,0
1567049790,260,0
1567053160,324,0
1567063961,500,0
1567067797,385,0
1567072839,500,0
1567078361,500,0
1567081723,277,0
1567085161,317,0
1567091082,500,0
1567094166,307,0
1567098278,349,0
1567102339,372,0
1567105458,352,500
1567112952,500,0
1567120602,500,0
1567127321,500,0
1567134039,500,0
1567135221,155,0
1567137627,115,0
1567140014,116,0
1567154201,500,0
1567157777,406,0
1567163323,500,0
1567167423,478,0
1567176028,500,0
1567182265,478,0
1567195453,500,500
1567197878,394,0
1567204335,500,0
1567208676,216,0
1567213243,500,0
1567220680,500,0
1567224767,399,0
1567228120,355,0
1567231959,231,0
1567235799,300,0
1567239375,269,0
1567243219,374,0
1567247546,462,0
1567254033,500,0
1567335375,500,500
1567414098,500,500
1567420569,500,0
1567447966,500,0
1567452026,500,0
1567459472,500,500
1567463791,500,0
1567481540,500,0
1567487319,500,0
1567489471,500,0
1567531003,500,500
1567532896,117,0
1567537364,429,0
1567579229,500,0
1567581378,345,0
1567583543,178,0
1567586927,485,0
1567590038,388,0
1567592688,326,0
1567596039,368,0
1567598438,222,500
1567601305,367,500
1567604677,500,0
1567607798,274,0
1567611647,500,0
1567624694,500,0
1567626044,148,0
1567643772,500,0
1567647158,451,0
1567651710,500,0
1567657241,500,0
1567685321,500,0
1567744332,500,500
1567745297,30,0
1567749658,178,0
1567753459,249,0
1567758262,253,0
1567762363,328,0
1567765463,248,0
1567769800,279,0
1567774121,302,0
1567778931,280,0
1567782039,220,0
1567800185,500,500
1567808893,500,0
1567831465,500,0
1567832426,62,0
1567835072,160,0
1567838679,196,0
1567841564,211,0
1567844429,280,0
1567846355,161,0
1567849449,192,0
1567851864,157,0
1567854285,177,0
1567857802,194,0
1567860761,250,0
1567864845,346,0
1567867226,172,0
1567870369,213,0
1567873006,209,0
1567876360,209,500
1567878733,168,0
1567881872,221,0
1567884759,276,0
1567888594,250,0
1567891455,208,0
1567894835,223,0
1567897451,170,0
1567901081,310,0
