DateTime,AddedIPs,RemovedIPs
1562378176,408,0
1562382056,372,247
1562387570,363,299
1562391883,327,315
1562396919,322,341
1562403428,313,653
1562407724,306,321
1562412033,308,378
1562416110,295,357
1562419955,392,0
1562424514,468,348
1562428594,340,327
1562432197,299,0
1562436527,250,325
1562442280,262,0
1562452811,246,1014
1562463608,356,626
1562485947,336,1823
1562489559,329,0
1562496271,362,691
1562546168,260,3280
1562547145,431,0
1562553872,395,441
1562564434,382,0
1562568275,356,0
1562617964,403,1152
1562624205,449,0
1562628996,445,0
1562670078,373,2026
1562719212,464,1426
1562728121,475,0
1562821722,412,1368
1562863226,488,0
1562873551,458,0
1562886975,462,0
1562889648,464,0
1562894434,446,0
1562902352,439,0
1562906240,396,0
1562911063,395,365
1562915422,403,0
1562919634,375,0
1562925156,333,0
1562929960,332,0
1562934755,424,0
1562940516,340,0
1562946508,283,0
1563026670,372,5138
1563094820,447,867
1563097218,459,0
1563138744,467,447
1563143560,415,0
1563150031,447,0
1563153630,425,0
1563158674,426,0
1563165162,311,0
1563169473,379,0
1563173073,312,0
1563177390,436,0
1563181953,428,374
1563187718,415,388
1563192046,402,0
1563197803,376,0
1563231639,378,655
1563259234,357,1864
1563350908,389,3581
1563442818,490,490
1563534750,492,492
1563626905,485,485
1563720492,490,490
1563811947,492,492
1563838858,469,0
1563930278,475,944
1563971769,479,0
1564064892,460,939
1564082710,491,0
1564092987,449,0
1564098983,450,0
1564132338,469,0
1564135716,435,0
1564142442,382,0
1564176751,397,815
1564188994,335,793
1564257372,424,1329
1564349293,449,1344
1564355536,487,0
1564377626,485,0
1564419648,477,0
1564511051,448,1897
1564590754,480,0
1564682911,460,940
1564774354,459,459
1564865793,492,492
1564925079,494,0
1565005234,471,481
1565007874,478,0
1565099065,473,1435
1565190974,479,479
1565282433,480,480
1565373627,482,482
1565464662,483,483
1565555543,491,491
1565604993,494,0
1565696170,481,975
1565788145,473,473
1565880748,492,492
1565972206,496,496
1565982506,490,0
1566073933,475,965
1566165132,495,495
1566256576,488,488
1566306047,490,0
1566385520,417,485
1566477617,478,900
1566481237,491,0
1566485822,484,0
1566490623,469,0
1566549394,463,0
1566559991,435,0
1566571456,451,911
1566640842,381,1330
1566668410,473,918
1566737557,481,479
1566760341,481,483
1566787226,453,0
1566795860,464,0
1566804258,434,0
1566812188,416,0
1566822734,439,0
1566846040,375,418
1566847957,411,377
1566855169,427,0
1566863329,439,0
1566873886,425,386
1566878012,403,0
1566881072,371,0
1566884195,361,403
1566887786,381,0
1566892914,369,379
1566901699,300,316
1566909151,387,391
1566919939,325,0
1566937488,500,674
1566955235,386,772
1566961975,383,417
1566989794,376,2426
1567007321,412,845
1567015718,450,0
1567019788,438,0
1567021986,447,0
1567025793,368,500
1567031075,360,0
1567038764,370,0
1567042593,316,398
1567046443,316,0
1567049791,381,387
1567053161,300,0
1567063963,360,0
1567067798,314,0
1567072840,238,0
1567078362,224,367
