DateTime,AddedIPs,RemovedIPs
1513492329,2,0
1513536249,2,0
1513580171,2,0
1513624089,2,0
1513667769,1,0
1513711450,2,0
1513755129,3,0
1513799049,1,0
1513842728,1,0
1513930810,1,0
1513974490,2,0
1514018169,1,0
1514061849,2,0
1514105768,1,0
1514149449,2,0
1514193369,2,0
1514237048,2,0
1514280972,6,0
1514368570,1,0
1514456170,1,0
1514500090,1,0
1514543768,4,0
1514587689,2,0
1514675290,1,0
1514719208,4,0
1514851216,3,0
1514894890,1,0
1514938570,2,0
1514982248,4,0
1515026650,5,0
1515070328,3,0
1515114251,1,0
1515157929,1,0
1515201850,2,0
1515245529,2,0
1515289451,6,0
1515333369,1,0
1515420729,1,0
1515464409,1,0
1515508328,3,0
1515552010,5,0
1515683050,1,0
1515726729,5,0
1515814330,4,0
1515858251,1,0
1515901928,3,0
1515945852,1,0
1516033450,2,0
1516121049,1,0
1516208414,1,0
1516252329,3,0
1516296010,3,0
1516339691,2,0
1516383369,4,0
1516427048,2,0
1516470728,2,0
1516514415,1,0
1516558088,1,0
1516601769,1,0
1516645450,5,0
1516689128,1,0
1516732809,1,0
1516776488,5,0
1516820168,3,0
1516863848,2,0
1516907770,3,0
1516951690,1,0
1516995368,1,0
1517039048,2,0
1517082729,1,0
1517126650,4,0
1517214008,3,0
1517257931,2,0
1517301610,3,0
1517345771,6,0
1517389691,6,0
1517433369,4,0
1517477049,7,0
1517520729,3,0
1517564411,8,0
1517608089,18,0
1517652016,14,0
1517695689,3,0
1517739609,16,0
1517783289,10,0
1517826969,12,0
1517870649,14,0
1517914329,10,0
1520580489,526,0
1520624409,1,0
1520799852,1,0
1520888429,3,0
1520932329,1,0
1520976009,2,0
1521019929,2,0
1521107530,1,0
1521151216,1,0
1521282490,2,0
1521326891,1,0
1521370815,1,0
1521414731,2,0
1521458409,2,0
1521502330,3,0
1521721221,2,0
1521764890,1,0
1521808809,1,0
1521896170,1,0
1521983529,3,0
1522114569,1,0
1522158250,2,0
1522246090,1,0
1522377853,3,0
1522421528,1,0
1522552809,1,0
1522596731,1,0
1522640649,1,0
1522772171,3,0
1522815848,2,0
1522859533,1,0
1522903691,2,0
1522991051,3,0
1523034728,2,0
1523122330,1,0
1523209928,1,0
1523253609,1,0
1523297529,1,0
1523341449,2,0
1523472489,1,0
1523560091,2,0
1523647690,2,0
1523691610,2,0
1523735290,2,0
1523779691,2,0
1523823608,1,0
1523867290,2,0
1524086169,1,0
1524129849,2,0
1524173528,2,0
1524348494,2,0
1524435849,1,0
1524479529,3,0
1524523690,5,0
1524567370,2,0
1524611050,5,0
1524742327,1,0
1524786010,2,0
1524829688,1,0
1524961208,2,0
1525048810,1,0
1525092488,2,0
1525136418,2,0
1525180091,2,0
1525224009,3,0
1525267690,1,0
1525311609,1,0
1525487049,1,0
1525530973,1,0
1525618328,1,0
1525662252,1,0
1525705929,4,0
1525793529,2,0
1525837450,2,0
1525881369,2,0
1525969210,1,0
1526013371,6,0
1526101213,2,0
