DateTime,AddedIPs,RemovedIPs
1549846331,2,0
1549890037,2,0
1549933716,2,0
1549977371,1,0
1550021052,1,0
1550064753,1,0
1550152092,2,0
1550195768,1,0
1550239473,1,0
1550370495,1,0
1550414171,1,0
1550457870,2,0
1550501529,1,0
1550588897,2,0
1550632571,4,0
1550719942,1,0
1550763609,2,0
1550807290,1,0
1550894660,3,0
1550982251,2,0
1551025928,2,0
1551113541,1,0
1551157222,2,0
1551201138,2,0
1551288746,2,0
1551376112,3,0
1551463453,1,0
1551507135,2,0
1551551084,1,0
1551594983,2,0
1551638654,2,0
1551682404,2,0
1551726528,1,0
1551770198,2,0
1551813853,3,0
1551857537,2,0
1551901210,1,0
1551944894,2,0
1551988595,3,0
1552075932,3,0
1552119628,1,0
1552163290,2,0
1552250654,2,0
1552294328,2,0
1552338024,1,0
1552381690,4,0
1552425367,1,0
1552469077,1,0
1552513253,2,0
1552556915,1,0
1552644265,1,0
1552687932,2,0
1552731632,3,0
1552775295,1,0
1552818990,1,0
1552862670,1,0
1552906330,2,0
1552950021,3,0
1552993964,1,0
1553037629,10,0
1553081321,1,0
1553124976,2,0
1553212365,2,0
1553256019,1,0
1553343372,2,0
1553387050,1,0
1553474410,2,0
1553561771,1,0
1553605725,3,0
1553649436,1,0
1553693332,3,0
1553780649,1,0
1553824347,3,0
1553868020,2,0
1553911727,6,0
1553999048,1,0
1554174040,1,0
1554261389,2,0
1554348756,2,0
1554436115,2,0
1554479771,2,0
1554523469,2,0
1554567129,1,0
1554610815,1,0
1554698167,3,0
1554741869,3,0
1554785532,1,0
1554829220,2,0
1554872912,4,0
1554916570,3,0
1554960252,4,0
1555003952,1,0
1555047639,1,0
1555091310,1,0
1555178654,2,0
1555222332,1,0
1555266029,3,0
1555353372,1,0
1555397068,1,0
1555484436,2,0
1555615471,2,0
1555659150,1,0
1555702832,2,0
1555746488,2,0
1555790185,1,0
1555833860,3,0
1555877535,1,0
1555921209,2,0
1555964888,1,0
1556008580,2,0
1556052497,3,0
1556139863,1,0
1556249292,1,468
1556336667,1,0
1556424035,3,0
1556511368,1,0
1556555070,3,0
1556642430,1,0
1556729788,2,0
1556773452,6,0
1556817151,1,0
1557035771,1,0
1557079717,1,0
1557123370,1,0
1557167069,2,0
1557210743,2,0
1557254406,2,0
1557298091,1,0
1557385470,1,0
1557429131,2,0
1557472826,1,0
1557516487,1,0
1557603847,1,0
1557647525,2,0
1557734913,1,0
1557778584,1,0
1557909608,1,0
1557953287,1,0
1557996976,1,0
1558040657,5,0
1558084361,2,0
1558171957,2,0
1558215612,1,0
1558302969,6,0
1558346652,1,0
1558390359,1,0
1558434030,1,0
1558477692,3,0
1558521366,4,0
1558565067,3,0
1558652437,3,0
1558739769,2,0
1558870831,3,0
1558914488,1,0
1558958164,1,0
1559001876,1,0
1559089258,3,0
1559220272,1,0
1559263953,2,0
1559307637,4,0
1559351561,1,0
1559395228,2,0
1559482567,2,0
1559526251,1,0
1559613617,5,0
1559744648,2,0
1559788333,2,0
1559832008,1,0
1559875687,3,0
1559963298,4,0
1560050892,4,0
1560094569,2,0
1560138253,3,0
1560181934,1,0
1560269539,2,0
1560313208,1,0
1560400813,1,0
1560444503,1,0
1560488170,1,0
1560575543,1,0
1560619222,1,0
1560662887,3,0
1560750248,2,0
1560881591,2,0
1560925239,1,0
1561099950,1,0
1561143611,1,0
1561187318,1,0
1561231002,1,0
1561362033,1,0
1561449637,2,0
1561537215,1,0
1561624576,1,0
1561668273,1,0
1561755623,2,0
1561799311,4,0
1561842979,2,0
1561886651,2,0
1561930353,4,0
1561974010,3,0
1562017715,1,0
1562061391,1,0
1562148764,2,0
1562194128,1,0
1562237784,1,0
1562281459,3,0
1562325131,1,0
1562368805,2,0
1562412497,3,0
1562456174,1,0
1562499867,1,0
1562543534,3,0
1562587219,3,0
1562630912,4,0
1562674572,1,0
1562718251,3,0
1562761941,1,0
1562805608,1,0
1562892987,2,0
1562936653,1,0
1562980337,1,0
1563024011,1,0
1563111384,4,0
1563155074,1,0
1563198734,1,0
1563242414,1,0
1563329775,2,0
1563417150,1,0
1563460827,1,0
1563504758,1,0
1563548422,1,0
1563592116,2,0
1563635789,1,0
1563679450,1,0
1563723148,1,0
1563810509,2,0
1563854183,1,0
1563897880,2,0
1563941551,3,0
1563985205,2,0
1564029143,1,0
1564072824,1,0
1564203852,2,0
1564291221,1,0
1564422254,2,0
1564465948,2,0
1564509616,4,0
1564553310,4,0
1564596986,3,0
1564640651,1,0
1564684349,1,0
1564728007,3,0
1564771711,1,0
1564815397,1,0
1564859314,5,0
1564902988,3,0
1564946668,2,0
1564990351,4,0
1565034010,2,0
1565077942,2,0
1565121656,1,0
1565165307,1,0
1565208974,2,0
1565252653,3,0
1565296331,1,0
1565340015,1,0
1565427386,3,0
1565471062,2,0
1565558413,1,0
1565645770,4,0
1565689469,3,0
1565776822,2,0
1565820494,3,0
1565864184,1,0
1565908132,1,0
1565951770,3,0
1566126487,2,0
1566170173,2,0
1566257540,2,0
1566301212,3,0
1566345141,2,0
1566389066,5,0
1566433000,3,0
1566476664,4,0
1566563971,1,0
1566607961,5,0
1566651644,1,0
1566695317,3,0
1566738991,1,0
1566782663,1,0
1566826357,1,0
1566870009,1,0
1566913714,3,0
1566957406,4,0
1567001327,1,0
1567044990,1,0
1567088653,1,0
1567132335,1,0
1567219696,2,0
1567263372,1,0
1567307563,2,0
1567351475,2,0
1567438807,2,1
1567482496,3,0
1567526189,1,0
1567569879,3,0
1567613653,1,0
1567657697,4,0
1567701367,3,0
1567745050,4,0
1567788736,2,0
1567876104,1,0
1567919802,1,0
1567963452,6,0
1568007160,6,0
1568051074,14,0
1568094749,3,0
1568138438,2,0
1568182090,2,0
1568225789,6,0
1568269451,5,0
1568313155,4,0
1568357754,4,0
1568401722,3,0
1568445410,6,0
1568489081,3,0
1568532739,3,0
1568576440,12,0
1568620345,2,0
1568664013,1,0
1568707698,5,0
1568751377,3,0
1568795055,3,0
1568838733,9,0
1568882412,19,0
1568926343,11,0
1568970023,2,0
1569013706,4,0
1569057383,1,0
1569101050,3,0
1569188417,4,0
1569232109,1,0
1569275781,3,0
1569319469,2,0
1569363152,1,0
1569406816,3,0
1569494169,1,0
1569537870,3,0
1569581576,1,0
1569625224,3,0
1569712591,4,0
1569756266,1,0
1569799934,3,0
1569843611,2,0
1569887304,3,0
1569974903,4,0
1570062741,4,0
1570106420,3,0
1570150093,2,0
1570193798,2,0
1570237718,2,0
1570281625,1,0
1570325288,3,0
1570456580,3,0
1570588284,1,0
1570632146,5,0
1570676159,3,0
1570719864,3,0
1570763780,2,0
1570851151,4,0
1570894870,3,0
1570938502,1,0
1570982441,1,0
1571026100,1,0
1571070033,2,0
1571113686,4,0
1571157614,7,0
1571201308,6,0
1571245257,2,0
1571288911,3,0
1571332572,1,0
1571376258,1,0
1571419955,10,0
1571463607,4,0
1571507300,8,0
1571550977,8,0
1571594676,6,0
1571638585,2,0
1571682496,2,0
1571726175,3,0
1571770351,3,0
1571814027,1,0
1571857723,2,0
1571901371,2,0
1571945052,4,0
1571988747,6,0
1572032413,3,0
1572163698,4,0
1572207372,3,0
1572251065,1,0
1572294741,5,0
1572338429,4,0
1572382091,2,0
1572425769,4,0
1572469469,4,0
1572513133,3,0
1572556850,3,0
1572600770,1,0
1572644412,1,0
1572688338,1,0
1572732022,5,0
1572775726,2,0
1572819394,2,0
1572863058,1,0
1572906738,2,0
1572950422,1,0
1572994105,1,0
1573037769,2,0
1573081462,1,0
1573125405,2,0
1573212736,1,0
1573256410,1,0
1573300097,3,0
1573343794,5,0
1573387704,3,0
1573431382,1,0
1573518737,2,0
1573562413,2,0
1573606096,8,0
1573649768,5,0
1573693451,4,0
1573737153,7,0
1573780821,5,0
1573824486,2,0
1573868183,3,0
1573911866,1,0
1573955572,6,0
1573999218,2,0
1574042914,6,0
1574086581,3,0
1574130251,6,0
1574173942,5,0
1574217610,5,0
1574261547,2,0
1574305249,4,0
1574392574,3,0
1574436502,2,0
1574480427,1,0
1574524098,3,0
1574567774,5,0
1574611481,1,0
1574655131,2,0
1574699078,6,0
1574742739,3,0
1574786434,6,0
1574873812,2,0
1574917456,5,0
1574961141,3,0
1575005057,2,0
1575048998,3,0
1575092649,1,0
1575136334,2,0
1575180027,3,0
1575223706,6,0
1575267389,4,0
1575311063,2,0
1575354734,1,0
1575398434,1,0
1575442091,1,0
1575485770,3,0
1575529457,3,0
1575573405,4,0
1575617049,1,0
1575660761,1,0
1575704423,2,0
1575748339,1,0
1575792016,2,0
1575835710,3,0
1575879612,3,0
1575923537,1,0
1575967209,2,0
1576011137,33,0
1576055094,3,0
1576098748,2,0
1576142419,5,0
1576186353,2,0
1576230014,1,0
1576273935,1,0
1576317633,2,0
1576361301,3,0
1576404976,7,0
1576448659,2,0
1576536262,4,0
1576579942,2,0
1576623612,1,0
1576667300,1,0
1576711211,1,0
1576798808,3,0
1576842492,2,0
1576886177,2,0
