DateTime,AddedIPs,RemovedIPs
1575036704,2,2
1575040304,1,1
1575043902,1,1
1575047501,0,4
1575051089,1,16
1575054685,2,12
1575058283,1,1
1575061885,1,1
1575065484,1,2
1575069084,1,2
1575072685,3,4
1575076284,1,1
1575079881,0,2
1575083481,2,2
1575087075,0,2
1575090670,0,5
1575094272,0,2
1575097861,0,4
1575105062,2,1
1575108661,1,3
1575112259,0,2
1575115856,2,4
1575119457,2,1
1575123052,1,2
1575126652,2,1
1575130249,0,2
1575133849,1,3
1575137447,2,2
1575141046,0,1
1575144643,0,4
1575148243,2,3
1575151838,0,5
1575155432,0,3
1575159032,1,2
1575162628,1,2
1575166228,2,6
1575169828,1,0
1575173428,1,1
1575177023,0,1
1575180627,2,2
1575184225,1,2
1575187823,3,3
1575191418,0,6
1575194972,0,105
1575198568,1,3
1575202168,0,1
1575205768,1,1
1575209361,0,2
1575212959,1,3
1575216555,1,6
1575220168,1,2
1575223748,1,3
1575227345,1,2
1575230945,1,1
1575234540,1,7
1575238133,0,5
1575241726,0,3
1575245326,0,2
1575248923,0,1
1575252523,0,3
1575256117,0,3
1575259714,1,4
1575263311,0,2
1575266914,1,1
1575270507,1,3
1575277702,1,3
1575284903,0,2
1575288496,0,3
1575292095,1,0
1575295692,0,2
1575299291,0,1
1575302889,1,2
1575306485,0,3
1575310083,0,1
1575313681,2,2
1575317277,0,2
1575320874,0,2
1575324474,1,3
1575328072,1,2
1575331675,2,2
1575335275,1,5
1575338875,0,3
1575342470,1,2
1575346066,2,3
1575349662,1,4
1575353261,1,2
1575356899,45,2
1575360501,5,1
1575364096,0,4
1575367696,1,2
1575371293,0,2
1575374891,1,0
1575378489,0,2
1575382088,1,2
1575385687,0,1
1575389285,0,2
1575396478,0,6
1575400078,9,6
1575403680,8,1
1575407285,15,4
1575410893,30,2
1575414488,3,5
1575418091,16,3
1575421689,7,2
1575425293,7,2
1575428892,7,4
1575432492,9,4
1575436099,11,1
1575439704,7,2
1575443297,2,3
1575446896,4,2
1575450495,7,6
