DateTime,AddedIPs,RemovedIPs
1574427767,1,1
1574431367,0,1
1574434965,1,2
1574442167,1,2
1574445773,14,1
1574449374,11,1
1574452978,2,0
1574460176,0,1
1574463775,1,2
1574467370,0,2
1574470969,0,1
1574474572,0,1
1574478168,1,0
1574485376,2,0
1574496178,1,2
1574499773,0,1
1574503375,1,0
1574510573,1,0
1574521371,0,2
1574524970,0,1
1574535769,1,2
1574542971,1,0
1574546575,2,0
1574550175,1,2
1574560978,1,0
1574586179,1,0
1574593375,0,1
1574596979,2,1
1574604182,2,0
1574614981,0,2
1574618583,0,1
1574622180,1,0
1574629384,1,1
1574632979,1,2
1574640180,0,1
1574647376,0,1
1574650976,0,2
1574654575,2,1
1574658163,0,25
1574668962,0,1
1574683361,0,1
1574690567,1,0
1574694161,0,1
1574697763,1,0
1574704966,1,2
1574715764,0,2
1574719366,0,1
1574722961,1,3
1574726557,2,3
1574730156,1,3
1574733758,0,2
1574737354,0,1
1574740952,0,1
1574744553,2,0
1574751754,0,1
1574755352,0,1
1574758956,3,0
1574762559,1,0
1574769757,1,1
1574773354,0,2
1574776956,1,0
1574780554,1,0
1574784154,2,1
1574787757,1,0
1574791357,0,1
1574794955,1,0
1574798557,1,1
1574802161,4,0
1574805764,3,2
1574809364,1,0
1574812966,2,0
1574816570,3,1
1574820170,1,1
1574823770,2,0
1574827374,4,1
1574830977,1,0
1574834585,2,0
1574845382,3,2
1574848986,2,0
1574863386,0,1
1574866981,1,1
1574874186,2,0
1574877788,1,2
1574881387,4,3
1574884989,1,0
1574888589,0,2
1574892191,1,1
1574895791,2,0
1574902991,0,1
1574906598,1,2
1574910195,3,1
1574913795,1,1
1574917395,1,1
1574924597,2,0
1574928197,1,0
1574931796,0,1
1574935402,2,0
1574939001,2,1
1574942600,1,3
1574946200,1,1
1574953403,2,1
1574960602,0,1
1574964204,1,1
1574967802,1,1
1574971402,1,3
1574975003,1,0
1574978608,2,0
1574982211,5,0
1574985816,20,3
1574989418,1,1
1574996619,1,0
1575011018,0,1
1575014618,1,0
1575018219,0,1
1575021821,0,1
1575025415,0,1
1575029014,0,1
1575032613,1,1
1575036217,1,0
1575039815,1,0
1575043418,1,0
1575047016,0,1
1575050610,0,16
1575054204,1,9
1575057802,0,1
1575061403,1,0
1575068602,0,2
1575072201,0,1
1575079404,0,1
1575082999,1,0
1575086598,0,1
1575090193,0,3
1575097391,0,2
1575104591,1,0
1575108195,0,1
1575115394,2,1
1575126193,1,0
1575129792,0,1
1575133391,0,1
1575136995,1,0
1575144192,0,1
1575147792,2,1
1575151392,0,3
1575154987,0,1
1575158586,0,1
1575165793,2,0
1575169390,1,0
1575180193,1,0
1575183790,0,1
1575190989,0,1
1575216190,1,0
1575219789,1,0
1575223394,1,0
1575226990,0,1
1575230592,1,0
1575234191,1,1
1575237794,0,1
1575259387,0,2
1575262986,0,1
1575266592,1,0
1575277386,1,0
1575284584,0,1
1575291785,1,0
1575298987,1,0
1575313387,1,1
1575324193,1,0
1575327790,1,1
1575331391,1,2
1575334989,0,3
1575342190,1,1
1575345791,1,0
1575349389,1,2
1575352992,1,0
1575356630,45,0
1575360232,3,0
1575363830,0,2
1575367432,1,1
1575374630,1,0
1575381836,1,1
1575396233,0,1
1575399830,1,3
1575403429,2,1
1575407033,8,2
1575410647,28,1
1575414239,0,2
1575417842,14,1
1575421441,5,2
1575425048,6,1
1575428644,6,3
1575432246,6,2
1575435852,9,0
1575439457,3,1
1575443052,0,1
1575446651,1,2
1575450249,1,2
1575453855,1,1
1575461052,4,1
1575464662,7,0
1575468268,4,0
1575471863,0,1
1575475463,0,1
1575479061,1,1
1575482664,0,1
1575486255,1,3
1575489852,0,1
1575493449,1,4
1575497052,0,1
1575500645,1,2
1575504246,2,0
1575511452,4,1
1575515044,1,3
1575518642,0,1
1575525848,1,0
1575529439,1,3
1575533043,2,0
1575536643,1,0
1575540247,1,2
1575543840,3,2
1575547440,2,0
1575551037,0,2
1575554643,2,0
1575558237,0,2
1575561836,0,1
1575565436,0,2
1575572634,0,1
1575576234,3,1
1575583433,0,3
1575587026,0,5
1575590613,2,24
1575594214,2,1
1575597814,0,2
1575601412,1,0
1575605012,1,0
1575612215,1,0
1575615815,2,0
1575619413,1,1
1575623012,1,1
1575637414,1,1
1575644615,2,0
1575648212,1,2
1575655416,1,0
1575662624,24,0
1575666222,1,2
1575680624,1,0
1575684229,1,0
1575687826,1,0
1575691428,3,0
1575698632,1,0
1575702231,1,0
1575705832,2,2
1575713036,1,1
1575720232,1,2
1575731033,2,1
1575734634,1,0
1575741835,0,1
1575749034,1,0
1575752636,2,1
1575756240,1,0
1575770637,0,2
1575774235,0,1
1575777831,2,0
1575785031,1,2
1575788631,1,0
1575795831,0,1
1575813832,1,0
1575821030,0,1
1575824629,0,1
1575828230,0,2
1575835427,1,1
1575839029,1,1
1575842630,1,0
1575846234,10,0
1575849835,13,0
1575860637,1,0
1575871441,1,1
1575885840,1,0
1575889440,1,0
1575893040,1,0
1575896640,0,1
1575907440,1,0
1575911040,1,0
1575914641,1,0
1575918250,1,1
1575925442,1,1
1575929040,2,1
1575932641,1,1
1575936249,2,1
1575939842,1,1
1575943444,1,1
1575947039,0,2
1575950639,1,0
1575954242,2,0
1575957840,1,1
1575961401,1,44
1575965003,2,2
1575968604,2,1
1575972206,0,2
1575975802,1,0
1575979406,2,0
1575986609,1,1
1575990207,0,1
1575993805,0,1
1575997406,2,0
1576001009,0,1
1576004604,0,1
1576008206,0,1
1576011808,4,1
1576015403,0,23
1576019002,2,0
1576022603,1,7
1576026204,1,3
1576029805,2,5
1576033402,0,4
1576036995,0,5
1576040592,3,13
1576044197,0,2
1576051394,2,0
1576054992,0,1
1576058593,0,1
1576062192,1,0
1576065790,0,1
1576069377,0,10
1576072980,1,1
1576076577,1,1
1576080179,2,0
1576083781,3,3
1576087384,2,0
1576090985,1,0
1576094587,3,0
1576098189,2,1
1576101793,3,0
1576108998,4,1
1576112600,1,0
1576116202,1,3
1576119800,0,2
1576127000,2,0
1576137800,1,1
1576141401,1,1
1576145004,2,1
1576148606,1,2
1576152209,2,2
1576155809,1,0
1576159410,0,2
1576163011,0,1
1576170213,2,0
1576173812,0,1
1576177416,1,0
1576181015,1,5
1576188216,0,1
1576191817,1,1
1576195417,4,1
1576199018,0,1
1576202619,1,0
1576206221,1,1
1576217021,1,0
1576220623,1,1
1576224223,2,1
1576227826,3,0
1576235031,3,1
1576238629,1,0
1576242228,0,2
1576245825,1,1
1576249429,2,2
1576253027,0,1
1576260229,2,1
1576263834,2,1
1576267418,0,27
1576271021,2,1
1576278225,1,0
1576285421,3,1
1576289021,1,0
1576292623,0,1
1576296222,0,2
1576299818,1,1
1576303419,1,0
1576310616,0,2
1576317813,0,2
1576325012,1,1
1576328612,1,1
1576335810,0,2
1576339411,0,1
1576346611,1,0
1576357414,1,0
1576361013,1,0
1576375413,0,1
1576379009,0,2
1576382621,24,0
1576386225,1,0
1576393421,0,1
1576411422,1,0
