DateTime,AddedIPs,RemovedIPs
1574726954,1,0
1574730547,0,2
1574737750,4,4
1574741339,2,1
1574744943,2,2
1574752134,1,2
1574755744,0,3
1574759332,1,1
1574763153,1,0
1574766531,0,2
1574770130,3,2
1574773731,2,3
1574780927,3,7
1574784529,3,3
1574788126,3,45
1574795333,83,24
1574798940,2,0
1574802544,1,1
1574809755,9,3
1574813345,2,5
1574816947,1,2
1574824146,4,1
1574827747,1,2
1574831350,2,1
1574838548,2,1
1574842152,1,0
1574845759,2,2
1574849595,2,3
1574852953,2,3
1574856554,2,0
1574860161,3,1
1574864004,0,1
1574867369,4,2
1574870961,2,3
1574874562,4,3
1574881766,4,0
1574885361,2,2
1574888966,4,1
1574896163,4,3
1574899763,0,2
1574910572,1,2
1574914167,0,3
1574917762,1,0
1574924964,1,3
1574928566,0,1
1574932153,1,0
1574935960,0,4
1574939354,2,0
1574942955,1,0
1574946560,0,2
1574953757,3,1
1574957355,0,2
1574960958,2,1
1574968175,7,1
1574971765,1,1
1574975367,2,0
1574979195,1,3
1574982559,1,4
1574986161,6,2
1574989761,1,2
1574996959,2,3
1575000565,2,1
1575004164,1,1
1575011363,1,2
1575014960,1,0
1575018564,1,0
1575025769,0,1
1575029360,1,0
1575032970,3,3
1575036800,0,1
1575040159,1,1
1575043766,1,6
1575047367,0,1
1575051168,2,2
1575054575,2,2
1575058171,1,1
1575061765,1,0
1575065595,5,2
1575068968,4,1
1575072571,0,1
1575076168,0,3
1575079997,2,0
1575083376,1,1
1575086972,4,0
1575097771,1,2
1575101376,1,0
1575104979,1,0
1575112169,0,3
1575115775,1,1
1575119371,3,2
1575126568,2,3
1575130172,4,0
1575133777,3,0
1575140977,10,4
1575144580,4,1
1575148184,6,0
1575155388,6,1
1575162585,1,6
1575169795,3,4
1575173385,0,2
1575184189,2,2
1575187784,1,0
1575191394,2,0
1575198595,0,3
1575202190,0,1
1575205792,1,0
1575209602,22,2
1575212999,10,1
1575216596,1,1
1575220209,0,2
1575227394,5,2
1575231002,0,1
1575234593,3,1
1575238407,0,1
1575241796,2,0
1575245405,1,2
1575248996,2,1
1575256206,4,3
1575263402,0,1
1575267220,0,1
1575270596,0,1
1575274200,1,2
1575277792,0,1
1575281616,1,4
1575284991,1,0
1575292207,11,0
1575299459,65,4
1575303054,2,1
1575306655,1,1
1575313862,5,3
1575317460,2,0
1575321069,2,2
1575328265,4,5
1575331859,0,5
1575335448,0,2
1575342647,3,3
1575346255,2,2
1575349848,0,1
1575357045,1,3
1575360641,1,0
1575371452,2,0
1575375046,1,1
1575378655,2,1
1575385856,2,2
1575389449,0,2
1575393053,2,2
1575396836,1,36
1575400215,1,55
1575403818,4,0
1575407417,4,2
1575414637,49,4
1575418236,2,2
1575421833,17,2
1575429040,14,3
1575432634,4,1
1575436244,19,2
1575440037,0,2
1575443449,0,1
1575447048,1,2
1575450645,0,1
1575457842,4,3
1575461443,2,1
1575465041,0,1
1575472251,7,2
1575475844,1,1
1575479450,6,2
1575483273,1,2
1575486644,5,0
1575490245,2,3
1575493838,3,6
1575501042,5,7
1575504642,3,3
1575508249,3,0
1575515438,1,5
1575519035,1,4
1575529837,0,4
1575537035,2,1
1575544238,2,1
1575547834,1,2
1575551437,1,1
1575558640,1,0
1575562244,0,1
1575565831,2,2
1575569662,3,1
1575573036,0,1
1575576633,2,0
1575580239,2,4
1575584063,5,3
1575587433,2,2
1575591037,5,4
1575594646,1,0
1575601832,1,4
1575609039,0,2
1575612858,1,2
1575616241,1,1
1575619827,2,1
1575630634,5,0
1575634233,1,2
1575637832,1,0
1575645037,2,3
1575648626,0,3
1575652228,4,2
1575656051,2,3
1575659431,1,0
1575663032,1,0
1575666634,1,0
1575673832,5,8
1575677439,2,2
1575681031,0,1
1575688234,3,0
1575691826,1,3
1575695429,0,1
1575702628,1,2
1575709824,1,3
1575717026,0,1
1575720624,2,2
1575724227,0,3
1575731418,4,4
1575735030,7,6
1575738624,2,4
1575742465,2,3
1575745823,2,6
1575749417,1,0
1575753023,2,3
1575760223,6,3
1575763819,1,6
1575767424,8,0
1575774768,5,4
1575778225,0,1
1575781822,0,1
1575785608,1,0
1575789024,0,1
1575796219,1,3
1575803423,2,0
1575807020,1,2
1575810752,1,0
1575814395,1,11
1575817816,1,11
1575821412,2,3
1575825006,2,1
1575832203,1,6
1575835803,1,1
1575839405,1,1
1575846735,4,4
1575850200,0,1
1575853792,1,1
1575861002,3,3
1575864727,0,1
1575875398,0,1
1575878994,0,2
1575886374,2,0
1575889789,0,3
1575893387,0,1
1575896984,0,11
1575904130,3,61
1575907732,0,6
1575911327,0,1
1575914932,2,2
1575918741,1,1
1575922127,0,3
1575925722,1,3
1575929312,2,4
1575932920,5,1
1575936742,1,1
1575940125,1,0
1575943730,1,0
1575947320,3,1
1575950936,2,0
1575954727,1,1
1575958122,1,1
1575961727,0,1
1575965333,0,1
1575968923,2,1
1575972718,0,1
1575976122,1,1
1575979723,1,2
1575983320,2,2
1575987094,1,1
1575990659,2,0
1575994120,0,3
1575997730,2,1
1576001500,1,0
1576004931,1,1
1576008663,1,5
1576012123,3,1
1576015893,2,25
1576019314,3,8
1576022916,1,0
1576026632,1,16
1576030278,2,26
1576033702,2,1
1576037308,1,4
1576040877,0,74
1576048068,0,2
1576051677,1,1
1576055279,1,0
1576059041,0,2
1576062596,0,4
1576066070,1,2
1576069674,2,2
1576073436,3,2
1576076867,0,1
1576080606,4,1
1576084072,2,5
1576087841,3,3
1576091265,0,6
1576094870,1,0
1576098607,4,4
1576102247,3,1
1576109267,4,8
1576116593,1,1
1576120104,2,1
1576123677,0,1
1576127275,0,1
1576130874,1,0
1576149035,1,2
1576152577,2,0
1576156073,2,2
1576159672,0,1
1576170621,82,1
1576174140,52,2
1576177906,3,2
1576188654,1,1
1576192306,1,2
1576195734,3,3
1576199333,1,3
1576202935,0,1
1576210142,2,2
1576213730,2,1
1576217328,3,1
1576221114,0,1
1576224644,2,1
1576228123,0,1
1576235497,0,4
1576238921,1,0
1576246123,4,1
1576249889,4,3
1576253324,1,0
1576256927,2,9
1576260634,2,2
1576264297,4,1
1576267727,2,0
1576271326,0,3
1576274924,1,1
1576278742,1,1
1576282131,2,2
1576285727,2,1
1576289325,1,1
1576293098,0,1
1576296662,2,0
1576300124,1,2
1576303722,1,1
1576307498,1,1
1576310923,1,1
1576318125,0,1
1576321895,1,0
1576325324,0,1
1576328934,0,1
1576332655,1,0
1576336125,2,2
1576339749,3,3
1576343329,1,2
1576346922,0,3
1576350654,0,2
1576354120,1,1
1576357892,1,2
1576361320,0,1
1576364919,1,4
1576368658,4,2
1576372289,1,3
1576375717,0,2
1576379312,1,4
1576382911,0,1
1576390109,2,3
1576393712,3,0
1576397311,2,4
1576404648,0,1
1576408112,2,0
1576411709,1,0
1576415473,1,1
1576422631,0,2
1576426115,5,0
1576429883,2,2
1576433314,2,2
1576436917,1,1
1576440643,1,2
1576444286,3,3
1576447719,1,3
1576451323,4,3
1576454920,1,1
1576458732,0,1
1576469320,1,1
1576473082,1,1
1576476649,1,0
1576483716,0,1
1576487483,1,1
1576490909,0,3
1576494647,1,0
1576498109,1,3
1576501883,0,1
1576505310,1,3
1576508920,3,0
1576512643,3,1
1576519718,2,1
1576523323,2,0
1576526921,0,1
1576530653,3,0
1576534289,1,2
1576537716,3,4
1576541314,2,1
1576544914,2,2
1576548715,3,1
1576552122,1,0
1576555722,1,2
1576559322,4,1
1576563089,0,1
1576566656,1,1
1576573722,0,2
1576577491,1,4
1576588125,0,2
1576591888,2,1
1576595324,2,0
1576598927,1,0
1576602652,4,1
1576606291,1,4
1576609726,2,1
1576613318,0,2
1576616922,0,2
1576620729,2,2
1576624118,2,6
1576627720,2,2
1576631321,1,0
1576635088,2,1
1576638658,3,0
1576642120,1,0
1576645725,3,1
1576652923,1,0
1576660128,0,1
1576663892,1,2
1576667323,3,1
1576670932,3,0
1576674665,3,0
1576678302,1,3
1576681737,0,3
1576685335,4,4
1576688938,1,1
1576696135,7,4
1576699732,0,2
1576703338,2,1
1576707109,6,3
1576710667,2,4
1576714138,3,2
1576717730,1,0
1576724940,4,0
1576735908,0,2
1576739334,0,1
1576742932,0,1
1576746667,0,1
1576753743,3,0
1576757335,1,0
1576760942,0,1
1576768135,0,1
1576771742,8,1
1576775327,7,56
1576779058,2,71
1576782621,3,3
1576786095,2,1
1576789728,73,2
1576793481,46,0
1576796945,5,2
1576800637,2,1
1576804141,0,3
1576807907,3,1
1576811341,1,2
1576814948,1,0
1576822306,1,0
1576825747,1,0
1576829344,0,1
1576832940,0,2
1576840129,0,3
1576843739,2,3
1576847338,1,1
1576851099,2,1
1576854621,1,4
1576858139,2,1
1576861735,2,3
1576865502,0,1
1576868940,1,0
1576872656,4,2
1576876130,2,4
1576879904,2,1
1576883346,5,1
1576886938,2,0
1576890663,2,3
1576894302,1,3
1576897741,1,1
1576901346,2,0
1576912144,3,1
1576919341,1,0
1576926650,2,1
