DateTime,AddedIPs,RemovedIPs
1570176089,1,0
1570187060,1,0
1570194227,1,0
1570212094,0,1
1570262494,0,1
1570284090,3,0
1570295028,1,0
1570312896,1,0
1570320087,2,5
1570323822,0,2
1570330886,1,0
1570338279,1,0
1570352617,2,0
1570359861,0,1
1570363290,0,1
1570367025,2,1
1570384891,0,2
1570403062,1,0
1570420891,0,1
1570428087,2,0
1570431690,1,0
1570457043,1,0
1570471287,1,1
1570485691,1,0
1570489459,0,2
1570503687,1,1
1570507294,1,1
1570511094,0,1
1570514486,2,0
1570528887,0,1
1570532489,0,1
1570536086,1,0
1570539915,1,1
1570546888,2,1
1570561457,1,0
1570564891,1,0
1570579294,1,0
1570615298,1,0
1570622492,0,1
1570629699,2,1
1570633293,0,1
1570636897,1,0
1570658500,3,0
1570680096,0,1
1570683924,1,0
1570687298,1,0
1570716099,1,0
1570719702,2,0
1570727124,0,1
1570780899,0,1
1570788097,1,1
1570816898,1,0
1570838499,1,0
1570849297,0,1
1570888896,0,1
1570903299,0,1
1570910499,1,0
1570914292,1,0
1570943135,1,0
1570946497,0,1
1570957503,1,1
1570960898,0,1
1570975294,0,2
1570989695,0,1
1571004095,1,0
1571007695,0,1
1571011294,0,1
1571018492,0,2
1571036493,0,2
1571047290,2,0
1571065296,1,0
1571072714,1,0
1571079697,0,1
1571087092,1,1
1571090499,1,0
1571094102,2,1
1571119294,0,1
1571126496,0,1
1571130264,0,2
1571133693,0,1
1571140891,0,1
1571148083,1,3
1571155291,1,0
1571176887,0,2
1571184086,2,0
1571220091,0,1
1571223696,2,0
1571231100,0,1
1571234479,0,2
1571238081,0,1
1571241682,0,2
1571252480,0,1
1571263284,1,1
1571266876,0,1
1571274290,1,0
1571288688,1,0
1571292084,1,1
1571342476,0,1
1571356878,1,0
1571364079,1,0
1571378478,1,0
1571421686,1,1
1571428876,0,1
1571443279,1,1
1571475881,1,0
1571493677,0,2
1571508083,2,0
1571515281,0,1
1571522481,0,1
1571533509,1,0
1571551281,1,0
1571569281,0,2
1571587281,0,1
1571591109,1,0
1571608883,1,1
1571652079,0,2
1571659285,1,0
1571663117,2,0
1571666484,1,2
1571670086,1,0
1571691855,0,1
1571698886,0,2
1571709819,0,1
1571727682,1,0
1571731281,1,0
1571735054,0,1
1571738616,3,0
1571742083,0,1
1571749442,2,1
1571753018,1,0
1571760086,0,1
1571767426,3,0
1571778265,1,0
1571785296,1,0
1571788897,1,0
1571796225,1,0
1571803295,1,0
1571807052,0,1
1571814097,1,1
1571821467,2,2
1571828498,0,2
1571832098,1,0
1571839360,1,0
1571846498,1,0
1571868114,0,1
1571875296,0,1
1571897027,0,1
1571929298,0,1
1571943700,1,0
1571961695,0,1
1571969005,0,1
1571986893,0,1
1571990488,0,1
1571997817,0,1
1572008656,1,0
1572023058,0,1
1572048090,1,0
1572055415,0,1
1572058894,1,0
1572084218,1,0
1572098615,1,0
1572105692,1,0
1572120092,0,1
1572134497,1,0
1572152495,1,0
1572170707,1,0
1572174100,1,0
1572177707,0,1
1572195705,0,1
1572199452,0,1
1572203030,1,0
1572228240,0,1
1572264094,0,1
1572267694,0,2
1572271456,0,1
1572296489,1,0
1572303855,1,0
1572310893,1,0
1572332647,0,1
1572343479,1,1
1572361433,1,0
1572372097,0,1
1572379474,1,0
1572382893,0,1
1572390244,2,0
1572400895,0,1
1572408268,1,1
1572422491,0,2
1572426090,0,1
1572429694,1,0
1572436886,0,3
1572440487,1,0
1572444094,0,1
1572447913,0,1
1572451285,0,2
1572454888,1,0
1572458492,1,1
1572472887,1,1
1572480094,1,0
1572512487,1,0
1572516088,1,1
1572526894,1,0
1572552089,0,1
1572559303,0,1
1572570087,1,1
1572573686,0,1
1572580889,1,1
1572602483,0,1
1572638482,1,0
1572681683,0,1
1572685284,0,1
1572699686,0,1
1572710488,1,0
1572717681,1,1
1572721499,0,1
1572742880,1,1
1572753679,0,1
1572757280,0,1
1572760878,1,0
1572775282,0,1
1572782476,0,1
1572789676,0,1
1572804072,0,1
1572807897,0,1
1572814869,0,1
1572825672,1,0
1572829272,1,0
1572858071,0,1
1572868870,1,0
1572876071,1,0
1572897673,1,1
1572901272,0,1
1572904873,1,1
1572969672,0,1
1572998469,0,2
1573005666,0,1
1573012873,1,0
1573027267,1,1
1573030869,1,0
1573041668,0,1
1573059666,0,2
1573063266,0,1
1573067101,1,0
1573077674,1,0
1573084865,0,1
1573088468,0,1
1573099264,1,0
1573117266,0,1
1573120864,0,1
1573164063,0,1
1573171273,1,0
1573189265,1,1
1573192873,2,0
1573203668,1,0
1573214465,1,1
1573228869,0,1
1573243271,1,1
1573246869,0,1
1573261273,1,0
1573264868,1,0
1573272073,1,0
1573293675,1,0
1573300871,0,1
1573304472,1,0
1573311888,1,0
1573329666,0,2
1573340688,1,0
1573351274,1,0
1573372870,0,1
1573387271,1,0
1573390871,1,0
1573398299,0,1
1573408867,1,0
1573412673,2,0
1573416068,0,1
1573448467,0,1
1573470306,0,1
1573480865,0,1
1573499096,1,0
1573509665,0,1
1573531268,1,0
1573549266,0,1
1573567270,0,1
1573574463,0,1
1573675264,1,0
1573682463,0,1
1573689668,1,0
1573743898,1,0
1573761666,0,1
1573783264,0,1
1573790467,1,0
1573797672,0,2
1573805135,0,1
1573812062,2,0
1573905666,1,1
1573909261,0,1
1573920061,0,1
1573934465,0,1
1573941829,0,1
1573948861,2,0
1573959787,0,1
1573992067,0,1
1573995833,0,1
1574002997,0,1
1574010060,1,0
1574020857,0,1
1574028231,1,1
1574031791,1,0
1574056858,1,0
1574103857,1,0
1574107266,1,0
1574114644,2,0
1574118189,0,1
1574136250,0,1
1574139662,0,1
1574146984,1,0
1574164863,1,0
1574172222,1,0
1574208066,2,1
1574211666,1,0
1574229667,1,0
1574237035,1,0
1574265794,1,0
1574280230,0,1
1574341266,0,1
1574373802,1,0
1574416997,0,2
1574438469,1,0
1574442241,1,0
1574478067,1,1
1574481668,1,1
1574499668,0,1
1574503401,0,1
1574510472,1,1
1574535666,1,0
1574550251,0,1
1574564466,1,0
1574575431,1,0
1574593266,1,0
1574614866,0,1
1574632990,0,1
1574665263,0,2
1574679662,1,0
1574694062,1,0
1574705120,0,1
1574719493,1,2
1574726470,1,0
1574730065,0,1
1574737273,1,0
1574748278,0,1
1574766066,1,0
1574780464,0,1
1574798469,1,0
1574809272,1,2
1574812867,1,0
1574841667,0,1
1574870466,1,0
1574874069,1,0
1574942466,1,0
1574949904,1,0
1574967675,0,2
1575036308,1,0
1575043273,0,1
1575050678,1,0
1575061266,1,1
1575068468,2,0
1575072068,1,0
1575082868,0,1
1575093900,0,1
1575115266,1,0
1575122723,1,0
1575133271,1,0
1575140468,0,1
