DateTime,AddedIPs,RemovedIPs
1569499359,138,283
1569517194,172,335
1569531242,129,525
1569545863,604,234
1569560342,352,257
1569574699,260,215
1569589034,157,217
1569603339,176,236
1569617745,198,205
1569632343,395,208
1569646876,378,233
1569664829,189,208
1569682965,192,216
1569700862,407,306
1569718736,475,606
1569733030,216,356
1569747419,158,157
1569761778,166,230
1569776136,123,160
1569790517,124,160
1569804881,134,176
1569819330,191,199
1569833690,125,169
1569848016,111,174
1569862506,303,185
1569876888,190,162
1569891287,190,194
1569905729,221,234
1569920077,118,169
1569934470,234,243
1569948871,190,176
1569963265,164,163
1569977668,184,173
1569991942,118,243
1570006328,131,143
1570020514,119,390
1570034880,141,184
1570049264,135,151
1570063625,117,161
1570078043,178,177
1570092460,125,134
1570106852,117,117
1570121251,131,139
1570135614,129,170
1570149769,124,463
1570164226,230,204
1570178554,137,269
1570192935,186,150
1570207320,161,187
1570221721,154,164
1570235927,172,429
1570250183,214,386
1570264598,203,166
1570278890,121,192
1570292999,153,504
1570307417,173,150
1570321468,227,661
1570335797,190,248
1570350355,182,229
1570364463,151,200
1570378847,144,162
1570393400,166,166
1570407657,140,159
1570422134,216,174
1570436702,212,153
1570451059,244,149
1570465557,277,148
1570480086,206,208
1570494358,233,218
1570508699,195,271
1570523428,500,251
1570537821,140,147
1570552178,147,180
1570566550,296,188
1570581043,257,200
1570595657,250,178
1570610082,221,143
1570624460,132,165
1570638815,110,152
1570653359,408,159
1570667761,125,129
1570682310,377,187
1570696729,190,134
1570711121,142,149
1570725490,114,147
1570739902,115,121
1570754283,152,156
1570768790,269,177
1570783232,201,145
1570797605,131,175
1570812060,242,140
1570826459,128,147
1570840890,174,154
1570855425,355,192
1570869871,173,192
1570884258,104,114
1570898623,104,142
1570912948,96,160
1570927334,116,167
1570941797,182,145
1570956097,104,175
1570970466,109,152
1570984849,117,125
1570999216,128,173
1571013617,112,132
1571028045,209,193
1571042352,106,174
1571056630,92,217
1571071041,337,274
1571085508,269,180
1571099918,270,209
1571114679,681,195
1571128875,225,395
1571143301,222,141
1571157713,220,185
1571172136,285,249
1571186497,204,230
1571200942,309,238
1571215419,361,235
1571229857,187,127
1571244522,436,123
