DateTime,Entries,UniqueIPs
1569499359,18096,18096
1569517194,17933,17933
1569531242,17537,17537
1569545863,17907,17907
1569560342,18002,18002
1569574699,18047,18047
1569589034,17987,17987
1569603339,17927,17927
1569617745,17920,17920
1569632343,18107,18107
1569646876,18252,18252
1569664829,18233,18233
1569682965,18209,18209
1569700862,18310,18310
1569718736,18179,18179
1569733030,18039,18039
1569747419,18040,18040
1569761778,17976,17976
1569776136,17939,17939
1569790517,17903,17903
1569804881,17861,17861
1569819330,17853,17853
1569833690,17809,17809
1569848016,17746,17746
1569862506,17864,17864
1569876888,17892,17892
1569891287,17888,17888
1569905729,17875,17875
1569920077,17824,17824
1569934470,17815,17815
1569948871,17829,17829
1569963265,17830,17830
1569977668,17841,17841
1569991942,17716,17716
1570006328,17704,17704
1570020514,17433,17433
1570034880,17390,17390
1570049264,17374,17374
1570063625,17330,17330
1570078043,17331,17331
1570092460,17322,17322
1570106852,17322,17322
1570121251,17314,17314
1570135614,17273,17273
1570149769,16934,16934
1570164226,16960,16960
1570178554,16828,16828
1570192935,16864,16864
1570207320,16838,16838
1570221721,16828,16828
1570235927,16571,16571
1570250183,16399,16399
1570264598,16436,16436
1570278890,16365,16365
1570292999,16014,16014
1570307417,16037,16037
1570321468,15603,15603
1570335797,15545,15545
1570350355,15498,15498
1570364463,15449,15449
1570378847,15431,15431
1570393400,15431,15431
1570407657,15412,15412
1570422134,15454,15454
1570436702,15513,15513
1570451059,15608,15608
1570465557,15737,15737
1570480086,15735,15735
1570494358,15750,15750
1570508699,15674,15674
1570523428,15923,15923
1570537821,15916,15916
1570552178,15883,15883
1570566550,15991,15991
1570581043,16048,16048
1570595657,16120,16120
1570610082,16198,16198
1570624460,16165,16165
1570638815,16123,16123
1570653359,16372,16372
1570667761,16368,16368
1570682310,16558,16558
1570696729,16614,16614
1570711121,16607,16607
1570725490,16574,16574
1570739902,16568,16568
1570754283,16564,16564
1570768790,16656,16656
1570783232,16712,16712
1570797605,16668,16668
1570812060,16770,16770
1570826459,16751,16751
1570840890,16771,16771
1570855425,16934,16934
1570869871,16915,16915
1570884258,16905,16905
1570898623,16867,16867
1570912948,16803,16803
1570927334,16752,16752
1570941797,16789,16789
1570956097,16718,16718
1570970466,16675,16675
1570984849,16667,16667
1570999216,16622,16622
1571013617,16602,16602
1571028045,16618,16618
1571042352,16550,16550
1571056630,16425,16425
1571071041,16488,16488
1571085508,16577,16577
1571099918,16638,16638
1571114679,17124,17124
1571128875,16954,16954
1571143301,17035,17035
1571157713,17070,17070
1571172136,17106,17106
1571186497,17080,17080
1571200942,17151,17151
1571215419,17277,17277
1571229857,17337,17337
1571244522,17650,17650
1571258831,17469,17469
1571273265,17534,17534
1571287546,17326,17326
1571301875,17240,17240
1571316228,17204,17204
1571330916,17459,17459
1571345409,17541,17541
1571359882,17604,17604
1571374247,17521,17521
1571388511,17388,17388
1571402872,17378,17378
1571417141,17182,17182
1571431562,17216,17216
1571445988,17199,17199
1571460260,17021,17021
1571474614,16973,16973
1571489440,17512,17512
1571503820,17501,17501
1571518232,17535,17535
1571532686,17642,17642
1571547121,17654,17654
1571561514,17707,17707
1571575990,17784,17784
1571590400,17807,17807
1571604780,17769,17769
1571619304,17937,17937
1571633874,18110,18110
1571648281,18118,18118
1571662791,18257,18257
1571677322,18359,18359
1571695144,18335,18335
1571709359,18074,18074
1571723669,18010,18010
1571738083,18028,18028
1571752418,17944,17944
1571766939,18123,18123
1571781312,18041,18041
1571795704,18025,18025
1571810075,17964,17964
1571824325,17788,17788
1571838602,17657,17657
1571852760,17388,17388
1571867112,17344,17344
1571881509,17333,17333
1571895924,17324,17324
1571910288,17302,17302
1571924639,17271,17271
1571938778,17008,17008
1571953080,16922,16922
1571967447,16879,16879
1571981806,16844,16844
1571996172,16829,16829
1572010534,16796,16796
1572024959,16820,16820
1572039344,16872,16872
1572053774,16921,16921
1572068183,16895,16895
1572082524,16847,16847
1572096601,16406,16406
1572111037,16432,16432
1572125693,16562,16562
1572140186,16637,16637
1572154670,16775,16775
1572169110,16875,16875
1572183494,16886,16886
1572199451,17004,17004
1572215987,17162,17162
1572230176,16870,16870
1572244732,16970,16970
1572258936,16777,16777
1572273296,16752,16752
1572287712,16738,16738
1572302033,16709,16709
1572316291,16529,16529
1572330632,16482,16482
1572345007,16437,16437
1572359318,16328,16328
1572373678,16206,16206
1572388101,16208,16208
1572402493,16172,16172
1572416840,16146,16146
1572431446,16183,16183
1572445779,16199,16199
1572460224,16231,16231
1572474633,16263,16263
1572489022,16288,16288
1572503442,16341,16341
1572517811,16337,16337
1572532237,16326,16326
1572546635,16340,16340
1572561016,16330,16330
1572575492,16379,16379
1572589930,16427,16427
1572604308,16436,16436
1572618711,16448,16448
1572633102,16414,16414
1572647496,16385,16385
1572661943,16387,16387
1572676340,16384,16384
1572690731,16392,16392
1572705068,16328,16328
1572719461,16354,16354
1572733913,16373,16373
1572748334,16407,16407
1572762801,16498,16498
1572777185,16510,16510
1572791659,16632,16632
1572806115,16671,16671
1572820508,16635,16635
1572834987,16693,16693
1572849436,16735,16735
1572863831,16790,16790
1572878210,16817,16817
1572892615,16822,16822
1572906992,16835,16835
1572921535,16960,16960
1572935829,16945,16945
1572950237,16970,16970
1572964644,16968,16968
1572979033,16963,16963
1572993439,16953,16953
1573007832,16943,16943
1573022145,16886,16886
1573036532,16887,16887
1573050914,16891,16891
1573065332,16922,16922
1573079730,16838,16838
1573094123,16829,16829
1573108531,16846,16846
1573122810,16748,16748
1573137264,16855,16855
1573151689,16892,16892
1573166105,16900,16900
1573180511,16877,16877
1573194903,16840,16840
1573209307,16835,16835
1573223725,16786,16786
1573238075,16773,16773
1573252387,16759,16759
1573266839,16762,16762
1573281260,16764,16764
1573295530,16711,16711
1573309929,16669,16669
1573324254,16594,16594
1573338638,16541,16541
1573353222,16694,16694
1573367606,16713,16713
1573382027,16723,16723
1573396369,16702,16702
1573410788,16716,16716
1573425209,16714,16714
1573439533,16612,16612
1573454023,16660,16660
1573468329,16613,16613
1573482794,16691,16691
1573497221,16742,16742
1573511618,16719,16719
1573526045,16727,16727
1573540439,16736,16736
1573554772,16707,16707
1573569158,16674,16674
1573583539,16643,16643
1573597964,16668,16668
1573612390,16688,16688
1573626688,16610,16610
1573641110,16603,16603
1573655474,16562,16562
1573669842,16542,16542
1573684301,16603,16603
1573698704,16595,16595
1573713032,16515,16515
1573727385,16481,16481
1573741731,16415,16415
1573756105,16383,16383
1573770497,16358,16358
1573784926,16373,16373
1573799222,16300,16300
1573814818,16255,16255
1573827909,16205,16205
1573842243,16062,16062
1573856588,15939,15939
1573870970,15918,15918
1573885230,15788,15788
1573899586,15740,15740
1573913952,15692,15692
1573928313,15624,15624
1573942636,15523,15523
1573956858,15457,15457
1573971091,15292,15292
1573985545,15215,15215
1573999743,15110,15110
1574014105,15052,15052
1574028538,14954,14954
1574042796,14902,14902
1574057046,14741,14741
1574071504,14651,14651
1574085763,14599,14599
1574100105,14498,14498
1574114636,14454,14454
1574128891,14453,14453
1574143264,14409,14409
1574157629,14393,14393
1574172089,14301,14301
1574186331,14284,14284
1574200708,14234,14234
1574215243,14164,14164
1574229479,14144,14144
1574243788,14067,14067
1574254548,14008,14008
1574265334,13986,13986
1574276138,13968,13968
1574287000,14026,14026
1574297971,14225,14225
1574312627,14334,14334
1574326898,14403,14403
1574341370,14498,14498
1574355916,14532,14532
1574370226,14578,14578
1574384653,14612,14612
1574399205,14620,14620
1574413426,14637,14637
