DateTime,Entries,UniqueIPs
1570025725,14762,14762
1570040135,14770,14770
1570054490,14741,14741
1570068900,14701,14701
1570083335,14710,14710
1570097829,14719,14719
1570112258,14732,14732
1570126540,14709,14709
1570140725,14334,14334
1570155068,14323,14323
1570169549,14308,14308
1570183803,14290,14290
1570198202,14287,14287
1570212560,14253,14253
1570226944,14224,14224
1570241232,14075,14075
1570255651,14074,14074
1570269996,14048,14048
1570284338,14022,14022
1570298470,13683,13683
1570312865,13691,13691
1570326996,13311,13311
1570337741,13296,13296
1570348754,13241,13241
1570359187,13201,13201
1570370012,13178,13178
1570380807,13161,13161
1570391718,13152,13152
1570402447,13152,13152
1570413183,13123,13123
1570424017,13121,13121
1570434928,13191,13191
1570445702,13290,13290
1570456516,13338,13338
1570467271,13305,13305
1570478308,13357,13357
1570488905,13342,13342
1570499735,13333,13333
1570510676,13557,13557
1570521615,13535,13535
1570536050,13544,13544
1570550393,13527,13527
1570561112,13622,13622
1570571930,13608,13608
1570582795,13696,13696
1570593756,13738,13738
1570608140,13754,13754
1570622579,13733,13733
1570636857,13688,13688
1570651386,13913,13913
1570665764,13909,13909
1570680305,14068,14068
1570694700,14140,14140
1570709113,14107,14107
1570723477,14061,14061
1570737899,14047,14047
1570752304,14071,14071
1570766813,14155,14155
1570781290,14230,14230
1570795719,14194,14194
1570810080,14302,14302
1570824509,14294,14294
1570838896,14252,14252
1570853415,14405,14405
1570867902,14363,14363
1570882280,14364,14364
1570896615,14347,14347
1570910939,14280,14280
1570925346,14261,14261
1570939707,14246,14246
1570954088,14212,14212
1570968445,14166,14166
1570982794,14150,14150
1570997189,14114,14114
1571011633,14088,14088
1571025943,14015,14015
1571040251,13943,13943
1571054545,13837,13837
1571069011,13947,13947
1571083485,14013,14013
1571097930,14078,14078
1571112735,14582,14582
1571126862,14412,14412
1571141306,14476,14476
1571155683,14513,14513
1571170104,14511,14511
1571184509,14498,14498
1571198979,14583,14583
1571213537,14816,14816
